,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-06,2.933B,2.933B,1.877B,1.056B,,,,,-122.00M,137.00M,,-137.00M,,-122.00M,1.056B,,137.00M,-137.00M,-92.00M,-137.00M,827.00M,317.00M,510.00M,,,,,510.00M,585.27M,1.291B,327.00M,964.00M,,0.55,,,,0.6318,0.55,,0.55,,,,0.6315,0.55,,920.00M,924.00M,0.20,,AOR,Restated
2017-03,2.869B,2.869B,2.003B,866.00M,,,,,-173.00M,137.00M,,-137.00M,,-173.00M,866.00M,,137.00M,-137.00M,-147.00M,-137.00M,582.00M,220.00M,362.00M,,,,,362.00M,469.61M,1.039B,320.00M,719.00M,,0.39,,,,0.5061,0.39,,0.39,,,,0.5058,0.39,,927.00M,929.00M,0.18,,AOR,Restated
2016-12,3.037B,3.037B,2.059B,978.00M,,,,,-88.00M,156.00M,,-146.00M,,-88.00M,978.00M,,156.00M,-146.00M,-81.00M,-146.00M,751.00M,293.00M,458.00M,,,,,458.00M,511.67M,1.255B,348.00M,907.00M,,0.4935,,,,0.5511,0.4935,,0.49,,,,0.5475,0.49,,932.00M,933.00M,0.18,,AOR,Restated
2016-09,2.71B,2.71B,1.869B,841.00M,,,,,0.00,139.00M,,-139.00M,,0.00,841.00M,,139.00M,-139.00M,13.00M,-139.00M,715.00M,260.00M,455.00M,,,,,455.00M,455.00M,1.175B,321.00M,854.00M,,0.48,,,,0.48,0.48,,0.48,,,,0.48,0.48,,942.00M,943.00M,0.18,,AOR,Restated
2016-06,2.704B,2.704B,1.864B,840.00M,,,,,0.00,141.00M,,-141.00M,,0.00,840.00M,,141.00M,-141.00M,8.00M,-141.00M,707.00M,262.00M,445.00M,,,,,445.00M,445.00M,1.167B,319.00M,848.00M,,0.47,,,,0.47,0.47,,0.47,,,,0.47,0.47,,952.00M,952.00M,0.18,,AOR,Restated
2016-03,2.618B,2.618B,1.914B,704.00M,,,,,0.00,143.00M,,-143.00M,,0.00,704.00M,,143.00M,-143.00M,7.00M,-143.00M,568.00M,212.00M,356.00M,,,,,356.00M,356.00M,1.024B,313.00M,711.00M,,0.37,,,,0.37,0.37,,0.37,,,,0.37,0.37,,962.00M,963.00M,0.18,,AOR,Restated
2015-12,2.781B,2.781B,2.03B,751.00M,,,,,,140.00M,,-134.00M,,,751.00M,,140.00M,-134.00M,124.00M,-134.00M,741.00M,275.00M,466.00M,,,,,466.00M,466.00M,1.193B,312.00M,881.00M,,0.4824,,,,0.4824,0.4824,,0.48,,,,0.48,0.48,,974.00M,975.00M,0.18,,AOR,Restated
2015-09,2.939B,2.939B,2.006B,933.00M,,,,,,136.00M,,-136.00M,,,933.00M,,136.00M,-136.00M,2.00M,-136.00M,799.00M,292.00M,507.00M,,,,,507.00M,507.00M,1.237B,302.00M,935.00M,,0.52,,,,0.52,0.52,,0.52,,,,0.52,0.52,,981.00M,982.00M,0.18,,AOR,Restated
2015-06,3.064B,3.064B,2.047B,1.017B,,,,,,134.00M,,-134.00M,,,1.017B,,134.00M,-134.00M,4.00M,-134.00M,887.00M,334.00M,553.00M,,,,,553.00M,553.00M,1.32B,299.00M,1.021B,,0.56,,,,0.56,0.56,,0.56,,,,0.56,0.56,,988.00M,989.00M,0.18,,AOR,Restated
2015-03,3.027B,3.027B,2.184B,843.00M,,,,,,134.00M,,-134.00M,,,843.00M,,134.00M,-134.00M,2.00M,-134.00M,711.00M,269.00M,442.00M,,,,,442.00M,442.00M,1.14B,295.00M,845.00M,,0.45,,,,0.45,0.45,,0.45,,,,0.45,0.45,,991.00M,992.00M,0.16,,AOR,Restated
2014-12,3.192B,3.192B,2.291B,901.00M,,,,,,133.00M,,-128.00M,,,901.00M,,133.00M,-128.00M,2.00M,-128.00M,775.00M,284.00M,491.00M,,,,,491.00M,491.00M,1.198B,290.00M,908.00M,,0.4950,,,,0.4950,0.4950,,0.49,,,,0.49,0.49,,995.00M,996.00M,0.16,,AOR,Restated
2014-09,3.221B,3.221B,2.245B,976.00M,,,,,,137.00M,,-137.00M,,,976.00M,,137.00M,-137.00M,-26.00M,-137.00M,813.00M,304.00M,509.00M,,,,,509.00M,509.00M,1.241B,291.00M,950.00M,,0.51,,,,0.51,0.51,,0.51,,,,0.51,0.51,,999.00M,999.00M,0.16,,AOR,Restated
2014-06,3.244B,3.244B,2.247B,997.00M,,,,,,135.00M,,-135.00M,,,997.00M,,135.00M,-135.00M,-12.00M,-135.00M,850.00M,321.00M,529.00M,,,,,529.00M,529.00M,1.272B,287.00M,985.00M,,0.53,,,,0.53,0.53,,0.53,,,,0.53,0.53,,1.003B,1.003B,0.16,,AOR,Restated
2014-03,3.012B,3.012B,2.273B,739.00M,,,,,,140.00M,,-140.00M,,,739.00M,,140.00M,-140.00M,7.00M,-140.00M,606.00M,208.00M,398.00M,,,,,398.00M,398.00M,1.029B,283.00M,746.00M,,0.40,,,,0.40,0.40,,0.40,,,,0.40,0.40,,1.008B,1.008B,0.15,,AOR,Restated
2013-12,3.032B,3.032B,2.219B,813.00M,,,,,,139.00M,,-131.00M,,,813.00M,,139.00M,-131.00M,-8.00M,-131.00M,674.00M,248.00M,426.00M,,,,,426.00M,426.00M,1.094B,281.00M,813.00M,,0.4222,,,,0.4222,0.4222,,0.42,,,,0.42,0.42,,1.013B,1.013B,0.15,,AOR,Restated
2013-09,2.985B,2.985B,2.145B,840.00M,,,,,,136.00M,,-136.00M,,,840.00M,,136.00M,-136.00M,5.00M,-136.00M,709.00M,254.00M,455.00M,,,,,455.00M,455.00M,1.122B,277.00M,845.00M,,0.45,,,,0.45,0.45,,0.45,,,,0.45,0.45,,1.017B,1.018B,0.15,,AOR,Restated
2013-06,3.046B,3.046B,2.106B,940.00M,,,,,,140.00M,,-140.00M,,,940.00M,,140.00M,-140.00M,9.00M,-140.00M,809.00M,288.00M,521.00M,,,,,521.00M,521.00M,1.225B,276.00M,949.00M,,0.51,,,,0.51,0.51,,0.51,,,,0.51,0.51,,1.022B,1.023B,0.15,,AOR,Restated
2013-03,2.963B,2.963B,2.083B,880.00M,,,,,,147.00M,,-147.00M,,,880.00M,,147.00M,-147.00M,-3.00M,-147.00M,730.00M,268.00M,462.00M,,,,,462.00M,462.00M,1.147B,270.00M,877.00M,,0.45,,,,0.45,0.45,,0.45,,,,0.45,0.45,,1.022B,1.023B,0.14,,AOR,Restated
2012-12,2.891B,2.891B,2.08B,811.00M,,,,,,145.00M,,-140.00M,,,811.00M,,145.00M,-140.00M,54.00M,-140.00M,725.00M,278.00M,447.00M,,,,,447.00M,447.00M,1.141B,271.00M,870.00M,,0.4343,,,,0.4343,0.4343,,0.43,,,,0.43,0.43,,1.026B,1.028B,0.14,,AOR,Restated
2012-09,2.894B,2.894B,2.04B,854.00M,,,,,,138.00M,,-138.00M,,,854.00M,,138.00M,-138.00M,5.00M,-138.00M,721.00M,266.00M,455.00M,,,,,455.00M,455.00M,1.127B,268.00M,859.00M,,0.44,,,,0.44,0.44,,0.44,,,,0.44,0.44,,1.038B,1.04B,0.14,,AOR,Restated
2012-06,3.012B,3.012B,2.069B,943.00M,,,,,,139.00M,,-139.00M,,,943.00M,,139.00M,-139.00M,5.00M,-139.00M,809.00M,297.00M,512.00M,,,,,512.00M,512.00M,1.211B,263.00M,948.00M,,0.49,,,,0.49,0.49,,0.49,,,,0.49,0.49,,1.041B,1.043B,0.14,,AOR,Restated
2012-03,2.966B,2.966B,2.11B,856.00M,,,,,,144.00M,,-144.00M,,,856.00M,,144.00M,-144.00M,4.00M,-144.00M,716.00M,267.00M,449.00M,,,,,449.00M,449.00M,1.117B,257.00M,860.00M,,0.43,,,,0.43,0.43,,0.43,,,,0.43,0.43,,1.047B,1.049B,0.12,,AOR,Restated
2011-12,3.003B,3.003B,5.144B,-2.141B,,,,,17.00M,140.00M,2.00M,-138.00M,,17.00M,893.00M,2.00M,140.00M,-138.00M,9.00M,-138.00M,764.00M,275.00M,489.00M,,,,,489.00M,478.12M,1.14B,236.00M,904.00M,,0.46,,,,0.4496,0.46,,0.46,,,,0.4497,0.46,,1.05B,1.056B,0.12,,AOR,Restated
2011-09,2.963B,2.963B,1.069B,1.894B,765.00M,765.00M,251.00M,,5.00M,138.00M,1.00M,-137.00M,,1.016B,878.00M,1.00M,138.00M,-137.00M,5.00M,-137.00M,746.00M,282.00M,464.00M,,,,,464.00M,460.89M,1.135B,251.00M,884.00M,,0.43,0.00,,,0.4271,0.43,,0.43,0.00,,,0.4271,0.43,,1.071B,1.077B,0.12,,AOR,Restated
2011-06,3.019B,3.019B,1.083B,1.936B,764.00M,764.00M,246.00M,,-1.00M,134.00M,1.00M,-133.00M,,1.01B,926.00M,1.00M,134.00M,-133.00M,-1.00M,-133.00M,792.00M,286.00M,506.00M,,,,,506.00M,506.64M,1.172B,246.00M,926.00M,,0.46,0.00,,,0.4606,0.46,,0.46,0.00,,,0.4606,0.46,,1.102B,1.109B,0.04,,AOR,Restated
2011-03,2.81B,2.81B,1.029B,1.781B,765.00M,765.00M,243.00M,,4.00M,140.00M,1.00M,-139.00M,,1.008B,773.00M,1.00M,140.00M,-139.00M,4.00M,-139.00M,638.00M,243.00M,395.00M,,,,,395.00M,392.52M,1.021B,243.00M,778.00M,,0.36,0.00,,,0.3578,0.36,,0.35,0.00,,,0.3478,0.35,,1.108B,1.115B,0.0867,,AOR,Restated
2010-12,2.816B,2.816B,4.841B,-2.025B,,,,,6.00M,149.00M,2.00M,-147.00M,,6.00M,846.00M,2.00M,149.00M,-147.00M,2.00M,-147.00M,701.00M,271.00M,430.00M,,,,,430.00M,426.32M,1.107B,257.00M,850.00M,,0.39,,,,0.3867,0.39,,0.38,,,,0.3767,0.38,,1.116B,1.13B,0.0867,,AOR,Restated
2010-09,2.666B,2.666B,878.00M,1.788B,731.00M,731.00M,232.00M,90.00M,7.00M,131.00M,1.00M,-130.00M,,963.00M,825.00M,1.00M,131.00M,-130.00M,7.00M,-130.00M,702.00M,288.00M,414.00M,,,,,414.00M,409.45M,1.065B,232.00M,833.00M,,0.36,0.00,,,0.3560,0.36,,0.36,0.00,,,0.3560,0.36,,1.134B,1.145B,0.08,,AOR,Restated
2010-06,2.663B,2.663B,944.00M,1.719B,721.00M,721.00M,230.00M,,7.00M,135.00M,2.00M,-133.00M,,951.00M,768.00M,2.00M,135.00M,-133.00M,7.00M,-133.00M,642.00M,228.00M,414.00M,,,,,414.00M,409.49M,1.007B,230.00M,777.00M,,0.36,0.00,,,0.3561,0.36,,0.36,0.00,,,0.3561,0.36,,1.149B,1.159B,0.08,,AOR,Restated
2010-03,2.491B,2.491B,902.00M,1.589B,729.00M,729.00M,228.00M,,10.00M,142.00M,1.00M,-141.00M,,957.00M,632.00M,1.00M,142.00M,-141.00M,10.00M,-141.00M,501.00M,196.00M,305.00M,,,,,305.00M,298.91M,871.00M,228.00M,643.00M,,0.26,0.00,,,0.2548,0.26,,0.26,0.00,,,0.2549,0.26,,1.173B,1.183B,0.08,,AOR,Restated
2009-12,2.32B,2.32B,73.00M,2.247B,660.00M,660.00M,226.00M,88.00M,13.00M,138.00M,2.00M,-136.00M,,886.00M,1.361B,2.00M,138.00M,-136.00M,13.00M,-136.00M,456.00M,153.00M,303.00M,0.00,,,,303.00M,294.36M,822.00M,228.00M,594.00M,,0.26,0.00,,,0.2527,0.26,,0.2567,0.00,,,0.2494,0.2567,,1.179B,1.191B,0.0733,,AOR,Restated
2009-09,2.289B,2.289B,815.00M,1.474B,653.00M,653.00M,227.00M,92.00M,4.00M,140.00M,2.00M,-138.00M,,880.00M,594.00M,2.00M,140.00M,-138.00M,4.00M,-138.00M,460.00M,170.00M,290.00M,0.00,,,,290.00M,287.48M,827.00M,224.00M,600.00M,,0.2467,0.00,,,0.2445,0.2467,,0.2433,0.00,,,0.2412,0.2433,,1.177B,1.189B,0.0733,,AOR,Restated
2009-06,2.185B,2.185B,531.00M,1.654B,654.00M,654.00M,227.00M,98.00M,7.00M,139.00M,3.00M,-136.00M,,881.00M,773.00M,3.00M,139.00M,-136.00M,7.00M,-136.00M,448.00M,166.00M,282.00M,23.00M,,,,305.00M,277.59M,814.00M,227.00M,587.00M,,0.24,0.02,,,0.2363,0.26,,0.2367,0.02,,,0.2330,0.2567,,1.176B,1.186B,0.0733,,AOR,Restated
2009-03,2.247B,2.247B,613.00M,1.634B,662.00M,662.00M,224.00M,113.00M,3.00M,141.00M,,-141.00M,,886.00M,748.00M,,141.00M,-141.00M,3.00M,-141.00M,384.00M,130.00M,254.00M,-8.00M,,,,246.00M,252.02M,749.00M,224.00M,525.00M,,0.2167,-0.0067,,,0.2150,0.21,,0.2133,-0.0067,,,0.2117,0.2067,,1.173B,1.182B,0.0733,,AOR,Restated
2008-12,2.674B,2.674B,839.00M,1.835B,723.00M,723.00M,228.00M,96.00M,-31.00M,136.00M,,-99.00M,,951.00M,884.00M,,136.00M,-99.00M,-31.00M,-99.00M,562.00M,201.00M,361.00M,-114.00M,,,,247.00M,380.91M,930.00M,232.00M,698.00M,,0.3067,-0.0933,,,0.3237,0.2133,,0.3033,-0.0933,,,0.3201,0.21,,1.171B,1.187B,0.0733,,AOR,Restated
2008-09,2.961B,2.961B,1.035B,1.926B,754.00M,754.00M,227.00M,106.00M,5.00M,131.00M,,-131.00M,,981.00M,945.00M,,131.00M,-131.00M,5.00M,-131.00M,607.00M,227.00M,380.00M,2.00M,,,,382.00M,376.87M,968.00M,230.00M,738.00M,,0.3133,0.0033,,,0.3107,0.3167,,0.31,0.0033,,,0.3074,0.3133,,1.207B,1.225B,0.0733,,AOR,Restated
2008-06,2.907B,2.907B,1.006B,1.901B,733.00M,733.00M,227.00M,112.00M,17.00M,133.00M,,-133.00M,,960.00M,941.00M,,133.00M,-133.00M,17.00M,-133.00M,601.00M,209.00M,392.00M,-7.00M,,,,385.00M,380.91M,965.00M,231.00M,734.00M,,0.3233,-0.0067,,,0.3142,0.3167,,0.3167,-0.0067,,,0.3078,0.31,,1.219B,1.245B,0.06,,AOR,Restated
2008-03,2.713B,2.713B,898.00M,1.815B,745.00M,745.00M,222.00M,111.00M,55.00M,119.00M,,-119.00M,,967.00M,848.00M,,119.00M,-119.00M,55.00M,-119.00M,562.00M,211.00M,351.00M,,,,,351.00M,316.65M,906.00M,225.00M,681.00M,,0.29,0.00,,,0.2617,0.29,,0.2833,0.00,,,0.2558,0.2833,,1.213B,1.246B,0.05,,AOR,Restated
2007-12,2.577B,2.577B,798.00M,1.779B,761.00M,761.00M,220.00M,110.00M,25.00M,115.00M,,-60.00M,,954.00M,825.00M,,115.00M,-60.00M,25.00M,-60.00M,570.00M,205.00M,365.00M,0.00,,,,365.00M,348.99M,909.00M,224.00M,685.00M,,0.29,0.0033,,,0.2771,0.2933,,0.2833,0.0033,,,0.2708,0.2867,,1.237B,1.276B,0.05,,AOR,Restated
2007-09,2.501B,2.501B,747.00M,1.754B,748.00M,748.00M,220.00M,114.00M,14.00M,102.00M,,-102.00M,,968.00M,786.00M,,102.00M,-102.00M,14.00M,-102.00M,470.00M,173.00M,297.00M,110.00M,,,,407.00M,288.15M,792.00M,218.00M,572.00M,,0.23,0.0833,,,0.2232,0.3133,,0.2233,0.08,,,0.2167,0.3033,,1.298B,1.337B,0.05,,AOR,Restated
2007-06,2.53B,2.53B,470.00M,2.06B,,,222.00M,,3.00M,101.00M,,-101.00M,1.226B,1.448B,612.00M,,101.00M,-101.00M,3.00M,-101.00M,514.00M,190.00M,324.00M,,,,,324.00M,322.11M,838.00M,223.00M,615.00M,,0.2467,0.00,,,0.2452,0.2467,,0.2367,0.00,,,0.2353,0.2367,,1.316B,1.377B,0.04,,AOR,Restated
2007-03,2.422B,2.422B,1.00B,1.422B,734.00M,734.00M,221.00M,,10.00M,99.00M,,-99.00M,,955.00M,467.00M,,99.00M,-99.00M,10.00M,-99.00M,378.00M,138.00M,240.00M,,,,,240.00M,233.65M,702.00M,225.00M,477.00M,,0.1833,0.00,,,0.1785,0.1833,,0.1733,0.00,,,0.1688,0.1733,,1.313B,1.390B,0.04,,AOR,Restated
2006-12,2.396B,2.396B,,,,,216.00M,,62.00M,,,,-5.066B,-1.92B,1.521B,,,,62.00M,,470.00M,123.00M,347.00M,0.00,,,,347.00M,301.23M,821.00M,219.00M,602.00M,,0.2667,0.00,,,0.2318,0.2667,,0.25,0.00,,,0.2171,0.25,,1.311B,1.391B,0.0333,,AOR,Restated
