,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-06,960.10M,990.70M,668.40M,322.30M,-111.40M,56.20M,84.00M,0.90M,-83.10M,,198.40M,123.90M,0.90M,84.00M,-83.10M,-111.80M,-83.10M,-71.00M,-26.60M,-44.40M,,,,,-44.40M,25.22M,155.20M,142.20M,13.00M,,-0.14,,,0.0742,-0.14,,-0.14,,,0.0742,-0.14,,325.10M,325.10M,0.175,,AOR,Restated
2017-03,1.542B,1.599B,963.90M,634.70M,0.00,76.00M,85.20M,,-85.20M,,219.30M,415.40M,,85.20M,-85.20M,2.30M,-85.20M,332.50M,121.20M,211.30M,,,,,211.30M,211.30M,561.00M,143.30M,417.70M,,0.65,,,0.65,0.65,,0.65,,,0.65,0.65,,323.70M,325.30M,0.175,,AOR,Restated
2016-12,1.210B,1.297B,857.50M,439.50M,-3.90M,66.20M,82.80M,,-73.00M,,207.30M,232.20M,,82.80M,-73.00M,-15.50M,-73.00M,143.70M,51.50M,92.20M,,,,,88.80M,94.70M,367.60M,141.10M,226.50M,,0.29,,,0.2977,0.27,,0.28,,,0.2877,0.27,,323.00M,324.40M,0.165,,AOR,Restated
2016-09,857.80M,861.30M,554.80M,306.50M,0.10M,56.60M,85.00M,,-85.00M,,192.90M,113.60M,,85.00M,-85.00M,3.60M,-85.00M,32.20M,8.50M,23.70M,3.50M,,,,27.20M,23.63M,253.50M,136.30M,117.20M,,0.07,0.01,,0.0698,0.08,,0.07,0.01,,0.0698,0.08,,322.30M,323.90M,0.165,,AOR,Restated
2016-06,893.50M,897.60M,572.50M,325.10M,0.20M,50.20M,86.00M,,-86.00M,,187.10M,138.00M,,86.00M,-86.00M,-5.90M,-86.00M,46.10M,17.10M,29.00M,-0.10M,,,,28.90M,28.87M,269.00M,136.90M,132.10M,,0.09,0.00,,0.0896,0.09,,0.09,0.00,,0.0896,0.09,,321.70M,323.20M,0.155,,AOR,Restated
2016-03,1.432B,1.437B,851.20M,585.40M,0.10M,71.30M,90.50M,,-90.50M,,204.10M,381.30M,,90.50M,-90.50M,0.80M,-90.50M,291.60M,105.00M,186.60M,,,,,186.60M,186.54M,514.90M,132.80M,382.10M,,0.58,,,0.5798,0.58,,0.58,,,0.5798,0.58,,320.30M,322.50M,0.155,,AOR,Restated
2015-12,1.090B,1.098B,685.60M,412.20M,-5.20M,58.90M,76.90M,,-82.00M,,192.30M,219.90M,,76.90M,-82.00M,-6.90M,-82.00M,131.00M,66.60M,64.40M,-5.00M,,0.00,,59.40M,67.52M,341.30M,133.40M,207.90M,,0.20,-0.01,,0.2098,0.19,,0.20,-0.01,,0.2098,0.19,,318.60M,318.60M,0.155,,AOR,Restated
2015-09,809.40M,817.20M,520.20M,297.00M,-1.10M,53.70M,94.90M,,-94.90M,,186.20M,110.80M,,94.90M,-94.90M,4.70M,-94.90M,20.60M,5.80M,14.80M,-19.70M,,,,-4.90M,15.59M,248.00M,132.50M,115.50M,,0.05,-0.07,,0.0525,-0.02,,0.05,-0.07,,0.0525,-0.02,,318.10M,321.50M,0.155,,AOR,Restated
2015-06,880.10M,884.60M,606.70M,277.90M,-97.00M,60.20M,98.20M,,-98.20M,,193.70M,84.20M,,98.20M,-98.20M,-94.70M,-98.20M,-108.70M,-35.60M,-73.10M,45.40M,,-8.70M,,-36.40M,-16.62M,123.00M,133.50M,-10.50M,,-0.23,0.12,,-0.0247,-0.11,,-0.23,0.12,,-0.0247,-0.11,,317.50M,317.50M,0.26,,AOR,Restated
2015-03,1.845B,1.852B,1.257B,594.90M,-0.30M,83.30M,92.80M,,-92.80M,,208.30M,386.60M,,92.80M,-92.80M,3.20M,-92.80M,297.00M,104.50M,192.50M,82.80M,,-6.90M,,268.40M,185.79M,514.80M,125.00M,389.80M,,0.61,0.24,,0.6106,0.85,,0.61,0.24,,0.6106,0.85,,316.60M,317.40M,0.26,,AOR,Restated
2014-12,1.388B,1.393B,980.10M,413.20M,-12.60M,61.00M,70.40M,,-77.60M,,184.80M,228.40M,,70.40M,-77.60M,-16.00M,-77.60M,134.80M,55.30M,79.50M,74.70M,,0.00,,154.20M,87.69M,329.00M,123.80M,205.20M,,0.25,0.24,,0.2759,0.49,,0.25,0.23,,0.2757,0.48,,315.70M,318.40M,0.26,,AOR,Restated
