,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-03,2.683B,2.683B,,,-0.50M,103.10M,,,,2.007B,2.246B,437.70M,,,,-0.50M,,333.20M,123.40M,209.80M,-2.40M,,,1.10M,207.40M,210.11M,579.10M,141.40M,437.70M,,0.77,-0.01,,0.7712,0.76,,0.77,-0.01,,0.7712,0.76,,270.30M,272.10M,0.23,,,
2004-12,1.963B,1.963B,,,-7.20M,66.10M,,,,1.426B,1.621B,341.80M,,,,-7.20M,,246.90M,87.90M,159.00M,2.40M,,,,161.40M,163.64M,473.20M,131.40M,341.80M,,0.59,0.00,,0.6073,0.59,,0.59,0.00,,0.6073,0.59,,267.30M,268.50M,0.23,,,
2004-09,978.20M,978.20M,,,1.00M,53.20M,,,,671.30M,850.10M,128.10M,,,,1.00M,,28.50M,6.80M,21.70M,7.10M,,-1.10M,,28.80M,20.94M,260.70M,132.60M,128.10M,,0.08,0.03,,0.0771,0.11,,0.08,0.03,,0.0771,0.11,,262.70M,264.60M,0.23,,,
2004-06,1.244B,1.244B,,,0.10M,45.90M,,,,912.90M,1.086B,157.80M,,,,0.10M,,57.70M,22.20M,35.50M,-0.90M,,-1.10M,,34.60M,35.44M,291.60M,133.80M,157.80M,,0.13,0.00,,0.1298,0.13,,0.13,0.00,,0.1298,0.13,,262.50M,264.50M,0.23,,,
2004-03,2.472B,2.472B,,,2.10M,100.00M,,,,1.803B,2.029B,443.50M,,,,2.10M,,342.30M,125.70M,216.60M,-3.10M,,-1.10M,,213.50M,215.27M,575.90M,132.40M,443.50M,,0.83,-0.02,,0.8249,0.81,,0.82,-0.02,,0.8150,0.81,,262.30M,264.30M,0.23,,,
2003-12,1.678B,1.678B,,,23.70M,66.70M,,,,1.188B,1.378B,300.40M,,,,23.70M,,209.80M,68.00M,141.80M,-2.00M,0.00,3.40M,,139.80M,125.78M,423.50M,121.70M,300.40M,,0.54,0.00,0.00,0.4774,0.54,,0.54,0.00,-0.0001,0.4774,0.54,,256.03M,256.03M,0.23,,,
2003-09,898.30M,898.30M,,,2.40M,48.50M,,,,577.80M,749.40M,148.90M,,,,2.40M,,36.60M,13.10M,23.50M,-8.10M,,-1.10M,,15.40M,21.96M,281.30M,132.40M,148.90M,,0.09,-0.03,,0.0841,0.06,,0.09,-0.03,,0.0842,0.06,,261.40M,263.40M,0.29,,,
2003-06,1.141B,1.141B,,,5.70M,65.50M,,,,774.80M,965.20M,176.00M,,,,5.70M,,65.70M,26.40M,39.30M,-364.20M,,-1.10M,,-324.90M,35.88M,313.20M,137.20M,176.00M,,0.15,-1.39,,0.1369,-1.24,,0.15,-1.39,,0.1370,-1.24,,261.30M,263.10M,0.29,,,
2003-03,2.524B,2.524B,,,1.80M,105.10M,,,,1.821B,2.051B,473.40M,,,,1.80M,,349.70M,127.40M,222.30M,44.80M,-8.80M,-2.50M,,258.30M,221.16M,598.00M,124.60M,473.40M,,0.88,0.16,0.00,0.8755,1.00,,0.87,0.16,-0.0347,0.8655,0.99,,253.80M,256.20M,0.29,,,
2002-12,1.736B,1.736B,,,29.20M,75.20M,,,,1.229B,1.430B,306.50M,,,,29.20M,,199.40M,64.90M,134.50M,-52.40M,,0.40M,,82.10M,114.80M,502.40M,195.90M,306.50M,,0.61,-0.25,,0.5225,0.36,,0.61,-0.26,,0.5226,0.36,,225.01M,225.33M,0.29,,,
2002-09,908.40M,908.40M,,,3.40M,49.60M,,,,556.10M,730.30M,178.10M,,,,3.40M,,37.50M,14.30M,23.20M,,,-6.90M,,23.20M,21.10M,305.50M,127.40M,178.10M,,0.11,0.00,,0.0998,0.11,,0.11,0.00,,0.0999,0.11,,205.70M,208.10M,0.29,,,
2002-06,954.30M,954.30M,,,-0.40M,57.00M,,,,625.80M,795.70M,158.60M,,,,-0.40M,,30.90M,10.10M,20.80M,4.20M,,-5.10M,,25.00M,21.07M,271.50M,101.30M,158.60M,,0.10,0.02,,0.1013,0.12,,0.10,0.02,,0.1013,0.12,,205.60M,208.20M,0.29,,,
2002-03,1.808B,1.808B,,,24.00M,92.10M,,,,1.074B,1.310B,497.80M,,,,24.00M,,388.70M,144.90M,243.80M,-1.60M,,-5.10M,,242.20M,228.75M,647.20M,149.40M,497.80M,,1.19,-0.01,,1.117,1.18,,1.17,-0.01,,1.098,1.16,,205.50M,208.20M,0.29,,,
2001-12,2.029B,2.029B,,,15.00M,76.90M,,,,1.540B,1.787B,242.20M,,,,15.00M,,105.60M,51.70M,53.90M,1.60M,0.00,-12.60M,,55.50M,44.90M,418.20M,176.00M,242.20M,,0.16,0.11,0.00,0.1167,0.27,,0.15,0.11,-0.0001,0.1075,0.26,,208.02M,211.71M,0.29,,,
2001-09,1.756B,1.756B,,,-10.60M,58.50M,,,,1.396B,1.61B,146.40M,,,,-10.60M,,-15.40M,4.30M,-19.70M,-0.40M,,-5.10M,,-20.10M,-13.34M,318.00M,171.60M,146.40M,,-0.10,0.00,,-0.0690,-0.10,,-0.10,0.00,,-0.0690,-0.10,,205.40M,205.40M,0.29,,,
2001-06,1.873B,1.873B,,,8.90M,61.50M,,,,1.513B,1.733B,140.10M,,,,8.90M,,-7.50M,2.40M,-9.90M,-1.70M,,-7.10M,,-11.60M,-15.24M,303.10M,163.00M,140.10M,,-0.05,-0.01,,-0.0760,-0.06,,-0.05,-0.01,,-0.0760,-0.06,,205.30M,205.30M,0.29,,,
2001-03,3.798B,3.798B,,,4.50M,97.90M,,,,3.067B,3.326B,472.20M,,,,4.50M,,306.50M,122.30M,184.20M,0.60M,4.00M,-7.00M,,188.80M,181.50M,633.40M,161.10M,472.20M,,0.90,0.00,0.00,0.8868,0.92,,0.88,0.00,0.0191,0.8671,0.90,,205.00M,209.40M,0.29,,,
2000-12,2.735B,2.735B,,,-2.50M,72.00M,,,,2.321B,2.528B,207.70M,,,,-2.50M,,24.40M,24.60M,-0.20M,2.10M,,-12.90M,,1.90M,1.30M,342.00M,121.03M,207.70M,,-0.30,0.15,,-0.2877,-0.15,,-0.30,0.15,,-0.2877,-0.15,,121.51M,121.51M,0.27,,,
2000-09,1.181B,1.181B,,,49.40M,22.40M,,,,981.60M,1.084B,97.40M,,,,49.40M,,94.80M,48.00M,46.80M,5.20M,,-5.20M,,52.00M,17.16M,181.50M,84.10M,97.40M,,0.39,0.04,,0.1441,0.43,,0.38,0.04,,0.1398,0.42,,120.56M,123.41M,0.27,,,
2000-06,922.97M,922.97M,529.70M,393.27M,2.51M,20.58M,,,,198.76M,303.92M,89.35M,,,,2.51M,,36.32M,12.90M,23.41M,,,-5.00M,,23.41M,21.79M,178.32M,88.97M,89.35M,,0.19,0.00,,0.1766,0.19,,0.18,0.00,,0.1666,0.18,,120.57M,120.57M,0.27,,,
2000-03,1.106B,1.106B,,,2.40M,25.80M,,,,825.70M,931.60M,174.70M,,,,2.40M,,125.60M,46.50M,79.10M,0.50M,,-7.00M,,79.60M,77.59M,254.80M,80.10M,174.70M,,0.64,0.00,,0.6278,0.64,,0.62,0.00,,0.6078,0.62,,124.30M,124.30M,0.27,,,
1999-12,1.014B,1.014B,,,-11.14M,17.69M,,,,1.907B,1.991B,91.05M,,,,-11.14M,,38.28M,11.84M,26.44M,,,-5.597M,,32.94M,34.14M,157.59M,64.55M,91.05M,,0.22,0.05,,0.2828,0.27,,0.20,0.05,,0.2591,0.25,,122.49M,130.32M,0.255,,,
1999-09,692.97M,692.97M,308.33M,384.64M,-14.28M,24.57M,,,,176.04M,278.62M,106.02M,,,,-14.28M,,41.74M,13.78M,27.96M,,,-7.634M,,27.96M,37.52M,184.08M,78.05M,106.02M,,0.22,0.00,,0.2953,0.22,,0.22,0.00,,0.2953,0.22,,127.07M,127.07M,0.255,,,
1999-06,675.35M,675.35M,300.19M,375.16M,-2.318M,25.22M,,,,187.36M,290.18M,84.98M,,,,-2.318M,,34.60M,11.66M,22.94M,,,-5.668M,,22.94M,24.48M,162.57M,77.50M,84.98M,,0.18,0.00,,0.1921,0.18,,0.18,0.00,,0.1921,0.18,,127.47M,127.47M,0.255,,,
1999-03,891.58M,891.58M,460.00M,431.58M,7.10M,28.00M,,,,174.70M,275.60M,155.98M,,,,7.10M,,121.50M,44.90M,76.60M,,,-2.70M,,76.60M,72.12M,228.88M,72.90M,155.98M,,0.62,0.00,,0.5838,0.62,,0.62,0.00,,0.5838,0.62,,123.55M,123.55M,0.255,,,
1998-12,664.40M,664.40M,,,-0.90M,14.10M,,,,1.289B,1.353B,113.10M,,,,-0.90M,,80.40M,25.10M,55.30M,,,,,60.60M,55.92M,163.60M,,113.10M,,0.47,0.04,,0.4753,0.51,,0.47,0.04,,0.4753,0.51,,117.87M,117.87M,0.24,,,
1998-09,747.80M,747.80M,295.40M,452.40M,2.90M,22.00M,,,,270.20M,356.60M,95.80M,,,,2.90M,,64.60M,21.50M,43.10M,,,,,43.10M,41.17M,160.20M,,95.80M,,0.36,0.00,,0.3438,0.36,,0.35,0.00,,0.3343,0.35,,119.72M,123.14M,0.24,,,
1998-06,652.40M,652.40M,222.00M,430.40M,-0.90M,21.10M,,,,267.80M,352.50M,77.90M,,,,-0.90M,,44.80M,15.40M,29.40M,,,,,29.40M,29.99M,141.50M,,77.90M,,0.24,0.00,,0.2448,0.24,,0.24,0.00,,0.2448,0.24,,122.50M,122.50M,0.24,,,
1998-03,779.30M,779.30M,284.40M,494.90M,8.40M,23.40M,,,,292.10M,378.80M,116.10M,,,,8.40M,,93.00M,32.30M,60.70M,,,,,60.70M,55.22M,179.40M,,116.10M,,0.49,0.00,,0.4457,0.49,,0.48,0.00,,0.4366,0.48,,123.88M,126.46M,0.24,,,
1997-12,807.10M,807.10M,229.90M,577.20M,0.40M,22.90M,,,,372.50M,457.70M,119.50M,,,,0.40M,,87.70M,31.80M,55.90M,,,,,55.90M,55.65M,181.80M,,119.50M,,0.44,0.00,,0.4380,0.44,,0.43,0.00,,0.4281,0.43,,127.68M,130.91M,0.225,,,
1997-09,596.40M,596.40M,132.00M,464.40M,3.30M,19.30M,,,,294.70M,378.70M,85.70M,,,,3.30M,,56.10M,20.20M,35.90M,,,,,35.90M,33.79M,150.40M,,85.70M,,0.29,0.00,,0.2729,0.29,,0.29,0.00,,0.2729,0.29,,123.79M,123.79M,0.225,,,
1997-06,523.20M,523.20M,127.10M,396.10M,3.90M,20.30M,,,,238.30M,323.00M,73.10M,,,,3.90M,,45.20M,17.00M,28.20M,,,,,28.20M,25.77M,137.50M,,73.10M,,0.22,0.00,,0.2010,0.22,,0.22,0.00,,0.2010,0.22,,128.18M,128.18M,0.225,,,
1997-03,660.00M,660.00M,297.10M,362.90M,9.40M,21.30M,,,,155.70M,235.30M,127.60M,,,,9.40M,,109.90M,39.10M,70.80M,,,,,70.80M,64.74M,185.90M,,127.60M,,0.59,0.00,,0.5395,0.59,,0.59,0.00,,0.5395,0.59,,120.00M,120.00M,0.225,,,
1996-12,580.10M,580.10M,246.90M,333.20M,4.50M,19.70M,,,,145.90M,226.00M,107.20M,,,,4.50M,,83.60M,32.20M,51.40M,,,,0.00,51.40M,48.63M,167.60M,,107.20M,,0.43,0.00,,0.4067,0.43,,0.42,0.00,,0.3973,0.42,,118.67M,122.10M,0.21,,,
1996-09,393.70M,393.70M,120.50M,273.20M,5.30M,17.20M,,,,122.10M,197.70M,75.50M,,,,5.30M,,53.30M,18.90M,34.40M,,,,,34.40M,30.98M,133.90M,,75.50M,,0.28,0.00,,0.2522,0.28,,0.28,0.00,,0.2522,0.28,,122.86M,122.86M,0.21,,,
1996-06,398.70M,398.70M,152.80M,245.90M,2.20M,17.60M,,,,105.40M,181.70M,64.20M,,,,2.20M,,39.00M,15.60M,23.40M,,,,,23.40M,22.08M,122.90M,,64.20M,,0.19,0.00,,0.1793,0.19,,0.19,0.00,,0.1793,0.19,,123.16M,123.16M,0.21,,,
1996-03,576.00M,576.00M,268.40M,307.60M,0.50M,20.70M,,,,98.10M,172.30M,135.30M,,,,0.50M,,109.00M,41.50M,67.50M,,,,0.10M,67.50M,67.19M,188.80M,,135.30M,,0.54,0.00,,0.5375,0.54,,0.54,0.00,,0.5375,0.54,,124.81M,124.81M,0.21,,,
1995-12,516.00M,516.00M,195.00M,321.00M,3.70M,19.20M,,,,147.70M,224.30M,96.70M,,,,3.70M,,72.70M,20.80M,51.90M,,,,0.80M,51.90M,49.26M,154.10M,,96.70M,,0.41,0.00,,0.3887,0.41,,0.40,0.00,,0.3793,0.40,,124.01M,127.76M,0.195,,,
1995-09,370.30M,370.30M,120.90M,249.40M,-1.20M,17.40M,,,,93.90M,162.00M,87.40M,,,,-1.20M,,61.10M,24.70M,36.40M,,,,0.80M,36.40M,37.12M,138.10M,,87.40M,,0.28,0.00,,0.2857,0.28,,0.28,0.00,,0.2857,0.28,,127.14M,127.14M,0.195,,,
1995-06,360.50M,360.50M,132.10M,228.40M,-0.10M,17.10M,,,,90.60M,157.40M,71.00M,,,,-0.10M,,45.70M,18.80M,26.90M,,,,0.80M,26.90M,26.96M,120.70M,,71.00M,,0.21,0.00,,0.2105,0.21,,0.21,0.00,,0.2105,0.21,,124.29M,124.29M,0.195,,,
1995-03,522.50M,522.50M,237.00M,285.50M,-0.80M,20.40M,,,,93.30M,162.80M,122.70M,,,,-0.80M,,97.90M,37.60M,60.30M,,,,0.80M,60.30M,60.79M,171.80M,,122.70M,,0.46,0.00,,0.4638,0.46,,0.46,0.00,,0.4638,0.46,,129.35M,129.35M,0.195,,,
1994-12,428.30M,428.30M,178.70M,249.60M,5.10M,17.30M,,,,90.10M,156.90M,92.70M,,,,5.10M,,74.20M,25.20M,49.00M,,,,0.80M,49.00M,45.63M,142.20M,,92.70M,,0.37,0.00,,0.3442,0.37,,0.36,0.00,,0.3350,0.36,,130.41M,134.63M,0.18,,,
1994-09,334.60M,334.60M,108.20M,226.40M,1.00M,16.90M,,,,89.70M,155.20M,71.20M,,,,1.00M,,47.70M,19.20M,28.50M,,,,0.80M,28.50M,27.90M,119.80M,,71.20M,,0.22,0.00,,0.2152,0.22,,0.22,0.00,,0.2152,0.22,,125.91M,125.91M,0.18,,,
1994-06,348.00M,348.00M,125.70M,222.30M,-1.90M,17.10M,,,,94.50M,160.20M,62.10M,,,,-1.90M,,37.00M,15.50M,21.50M,,,,0.80M,21.50M,22.64M,110.70M,,62.10M,,0.16,0.00,,0.1688,0.16,,0.16,0.00,,0.1688,0.16,,129.38M,129.38M,0.18,,,
1994-03,565.60M,565.60M,270.60M,295.00M,-1.10M,20.80M,,,,97.70M,166.10M,128.90M,,,,-1.10M,,102.80M,37.80M,65.00M,,,,0.80M,65.00M,65.70M,176.50M,,128.90M,,0.49,0.00,,0.4953,0.49,,0.49,0.00,,0.4953,0.49,,131.02M,131.02M,0.18,,,
1993-12,464.90M,464.90M,,,,,,,,,,464.90M,,,,,,,,48.60M,,,,,48.60M,48.60M,464.90M,,464.90M,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,132.68M,132.68M,0.165,,,
1993-09,342.50M,342.50M,,,,,,,,,,342.50M,,,,,,,,27.30M,,,,,27.30M,27.30M,342.50M,,342.50M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,132.50M,132.50M,0.165,,,
1993-06,348.80M,348.80M,,,,,,,,,,348.80M,,,,,,,,21.70M,,,,,21.70M,21.70M,348.80M,,348.80M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,130.62M,130.62M,0.165,,,
1993-03,521.60M,521.60M,,,,,,,,,,521.60M,,,,,,,,58.60M,,,,,58.60M,58.60M,521.60M,,521.60M,,0.44,0.00,,0.44,0.44,,0.44,0.00,,0.44,0.44,,131.36M,131.36M,0.165,,,
1992-12,462.60M,462.60M,,,,,,,,,,462.60M,,,,,,,,49.00M,,,,,49.00M,49.00M,462.60M,,462.60M,,0.36,0.00,,0.36,0.36,,0.35,0.00,,0.35,0.35,,134.16M,139.55M,0.155,,,
1992-09,316.50M,316.50M,,,,,,,,,,316.50M,,,,,,,,20.80M,,,,,20.80M,20.80M,316.50M,,316.50M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,133.33M,133.33M,0.155,,,
1992-06,329.30M,329.30M,,,,,,,,,,329.30M,,,,,,,,18.60M,,,,,18.60M,18.60M,329.30M,,329.30M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,136.92M,136.92M,0.155,,,
1992-03,474.00M,474.00M,,,,,,,,,,474.00M,,,,,,,,48.20M,,,,,48.20M,48.20M,474.00M,,474.00M,,0.35,0.00,,0.35,0.35,,0.35,0.00,,0.35,0.35,,135.43M,135.43M,0.155,,,
1991-12,429.00M,429.00M,,,,,,,,,,429.00M,,,,,,,,41.70M,,,,,41.70M,41.70M,429.00M,,429.00M,,0.30,0.00,,0.30,0.30,,0.29,0.00,,0.29,0.29,,137.02M,142.62M,0.145,,,
1991-09,323.40M,323.40M,,,,,,,,,,323.40M,,,,,,,,25.30M,,,,,25.30M,25.30M,323.40M,,323.40M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,128.95M,128.95M,0.145,,,
1991-06,320.40M,320.40M,,,,,,,,,,320.40M,,,,,,,,20.30M,,,,,20.30M,20.30M,320.40M,,320.40M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,130.00M,130.00M,0.145,,,
1991-03,462.30M,462.30M,,,,,,,,,,462.30M,,,,,,,,46.10M,,,,,46.10M,46.10M,462.30M,,462.30M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,137.27M,137.27M,0.145,,,
1990-12,423.70M,423.70M,,,,,,,,,,423.70M,,,,,,,,30.70M,,,,,30.70M,30.70M,423.70M,,423.70M,,0.28,0.00,,0.28,0.28,,0.27,0.00,,0.27,0.27,,88.23M,93.84M,0.13,,,
1990-09,317.80M,317.80M,,,,,,,,,,317.80M,,,,,,,,27.90M,,,,,27.90M,27.90M,317.80M,,317.80M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,137.22M,137.22M,0.13,,,
1990-06,325.90M,325.90M,,,,,,,,,,325.90M,,,,,,,,21.10M,,,,,21.10M,21.10M,325.90M,,325.90M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,137.69M,137.69M,0.13,,,
1990-03,453.60M,453.60M,,,,,,,,,,453.60M,,,,,,,,45.70M,,,,,45.70M,45.70M,453.60M,,453.60M,,0.31,0.00,,0.31,0.31,,0.31,0.00,,0.31,0.31,,137.10M,137.10M,0.13,,,
1989-12,451.70M,451.70M,,,,,,,,,,451.70M,,,,,,,,40.90M,,,,,40.90M,40.90M,451.70M,,451.70M,,-0.09,0.00,,-0.09,-0.09,,-0.10,0.00,,-0.10,-0.10,,145.76M,145.76M,0.105,,,
1989-09,318.50M,318.50M,,,,,,,,,,318.50M,,,,,,,,23.30M,,,,,23.30M,23.30M,318.50M,,318.50M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,142.14M,142.14M,0.105,,,
1989-06,322.80M,322.80M,,,,,,,,,,322.80M,,,,,,,,21.30M,,,,,21.30M,21.30M,322.80M,,322.80M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,148.33M,148.33M,,,,
1989-03,466.70M,466.70M,,,,,,,,,,466.70M,,,,,,,,48.30M,,,,,48.30M,,466.70M,,466.70M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,146.62M,146.62M,,,,
1988-12,425.50M,425.50M,,,,,,,,,,425.50M,,,,,,,,43.10M,,,,,43.10M,,425.50M,,425.50M,,,,,,,,,,,,,,146.62M,146.62M,,,,
1988-09,318.00M,318.00M,,,,,,,,,,318.00M,,,,,,,,22.30M,,,,,22.30M,,318.00M,,318.00M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,146.56M,146.56M,,,,
1988-06,315.40M,315.40M,,,,,,,,,,315.40M,,,,,,,,19.10M,,,,,19.10M,,315.40M,,315.40M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,146.56M,146.56M,,,,
1988-03,465.30M,465.30M,,,,,,,,,,465.30M,,,,,,,,38.40M,,,,,38.40M,,465.30M,,465.30M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,146.49M,146.49M,,,,
1987-12,392.60M,392.60M,,,,,,,,,,392.60M,,,,,,,,15.00M,,,,,15.00M,,392.60M,,392.60M,,,,,,,,,,,,,,146.49M,146.49M,,,,
1987-09,324.60M,324.60M,,,,,,,,,,324.60M,,,,,,,,14.00M,,,,,14.00M,,324.60M,,324.60M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,146.42M,146.42M,,,,
1987-06,313.40M,313.40M,,,,,,,,,,313.40M,,,,,,,,13.00M,,,,,13.00M,,313.40M,,313.40M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,146.42M,146.42M,,,,
1987-03,421.00M,421.00M,,,,,,,,,,421.00M,,,,,,,,23.00M,,,,,23.00M,,421.00M,,421.00M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,146.42M,146.42M,,,,
1986-12,399.00M,399.00M,,,,,,,,,,399.00M,,,,,,,,22.10M,,,,,22.10M,,399.00M,,399.00M,,,,,,,,,,,,,,146.34M,146.34M,,,,
1986-09,321.80M,321.80M,,,,,,,,,,321.80M,,,,,,,,-86.70M,,,,,-86.70M,,321.80M,,321.80M,,-0.59,0.00,,-0.59,-0.59,,-0.59,0.00,,-0.59,-0.59,,146.26M,146.26M,,,,
1986-06,365.80M,365.80M,,,,,,,,,,365.80M,,,,,,,,16.20M,,,,,16.20M,,365.80M,,365.80M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,146.09M,146.09M,,,,
1986-03,539.50M,539.50M,,,,,,,,,,539.50M,,,,,,,,34.30M,,,,,34.30M,,539.50M,,539.50M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,146.09M,146.09M,,,,
1985-12,522.80M,522.80M,,,,,,,,,,522.80M,,,,,,,,33.20M,,,,,33.20M,,522.80M,,522.80M,,,,,,,,,,,,,,146.09M,146.09M,,,,
1985-09,391.00M,391.00M,,,,,,,,,,391.00M,,,,,,,,22.70M,,,,,22.70M,,391.00M,,391.00M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,142.10M,142.10M,,,,
1985-06,389.80M,389.80M,,,,,,,,,,389.80M,,,,,,,,18.10M,,,,,18.10M,,389.80M,,389.80M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,140.54M,140.54M,,,,
1985-03,604.90M,604.90M,,,,,,,,,,604.90M,,,,,,,,33.10M,,,,,33.10M,,604.90M,,604.90M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,139.03M,139.03M,,,,
1984-12,512.60M,512.60M,,,,,,,,,,512.60M,,,,,,,,28.70M,,,,,28.70M,,512.60M,,512.60M,,,,,,,,,,,,,,139.03M,139.03M,,,,
1984-09,417.80M,417.80M,,,,,,,,,,417.80M,,,,,,,,27.00M,,,,,27.00M,,417.80M,,417.80M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,135.92M,135.92M,,,,
1984-06,453.40M,453.40M,,,,,,,,,,453.40M,,,,,,,,33.30M,,,,,33.30M,,453.40M,,453.40M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,134.71M,134.71M,,,,
1984-03,617.30M,617.30M,,,,,,,,,,617.30M,,,,,,,,51.50M,,,,,51.50M,,617.30M,,617.30M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,134.71M,134.71M,,,,
