,NetIncome,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,730.00M,,,1.168B,1.168B,-38.00M,29.00M,-34.00M,42.00M,-19.00M,49.00M,15.00M,,-58.00M,29.00M,0.00,1.884B,-787.00M,,,55.00M,,,-732.00M,-397.00M,209.00M,-188.00M,16.00M,-202.00M,-186.00M,-506.00M,-506.00M,,-53.00M,-933.00M,4.941B,219.00M,39.00M,5.199B,0.00,16.00M,1.107B,-1.504B,-202.00M
2020-06,483.00M,,,1.124B,1.124B,-154.00M,32.00M,175.00M,-9.00M,-20.00M,44.00M,156.00M,,-67.00M,104.00M,0.00,1.764B,-783.00M,,,149.00M,,,-634.00M,1.615B,-1.204B,411.00M,12.00M,0.00,12.00M,-506.00M,-506.00M,,-121.00M,-204.00M,4.014B,926.00M,1.00M,4.941B,0.00,12.00M,1.64B,-25.00M,0.00
2020-03,606.00M,,,1.142B,1.142B,-107.00M,43.00M,23.00M,-109.00M,-62.00M,-92.00M,-183.00M,,86.00M,-360.00M,0.00,1.347B,-803.00M,,,190.00M,,,-613.00M,-37.00M,3.149B,3.112B,13.00M,-1.828B,-1.815B,-511.00M,-511.00M,,-27.00M,759.00M,2.70B,1.493B,-179.00M,4.014B,0.00,13.00M,16.00M,-53.00M,-1.828B
2019-12,534.00M,,,1.162B,1.162B,-178.00M,31.00M,-32.00M,110.00M,-20.00M,-7.00M,237.00M,,445.00M,765.00M,2.00M,2.176B,-1.015B,,,72.00M,,,-944.00M,29.00M,455.00M,484.00M,12.00M,-724.00M,-712.00M,-469.00M,-469.00M,,-3.00M,-700.00M,2.12B,531.00M,49.00M,2.70B,-1.00M,12.00M,44.00M,-15.00M,-724.00M
2019-09,731.00M,,,1.095B,1.095B,-15.00M,26.00M,-94.00M,158.00M,12.00M,11.00M,-164.00M,,112.00M,129.00M,-3.00M,1.869B,-959.00M,,,250.00M,,,-709.00M,-247.00M,-220.00M,-467.00M,5.00M,-684.00M,-679.00M,-471.00M,-471.00M,,-35.00M,-1.652B,2.686B,-489.00M,-77.00M,2.12B,3.00M,5.00M,10.00M,-257.00M,-684.00M
2019-06,542.00M,,,1.195B,1.195B,-96.00M,22.00M,-144.00M,-132.00M,-41.00M,3.00M,-216.00M,,-128.00M,-514.00M,7.00M,1.012B,-865.00M,,,1.246B,,,380.00M,-772.00M,522.00M,-250.00M,27.00M,-525.00M,-498.00M,-474.00M,-474.00M,,-3.212B,-4.434B,5.791B,-3.048B,-57.00M,2.686B,-6.00M,27.00M,23.00M,-795.00M,-525.00M
2019-03,465.00M,,,1.223B,1.223B,-14.00M,16.00M,-175.00M,-56.00M,-32.00M,-79.00M,-31.00M,,-249.00M,-447.00M,63.00M,1.131B,-843.00M,,,3.303B,,,2.402B,-494.00M,-533.00M,-1.027B,28.00M,-725.00M,-697.00M,-477.00M,-477.00M,,-10.00M,-2.206B,4.466B,1.317B,8.00M,5.791B,-10.00M,28.00M,22.00M,-516.00M,-725.00M
2018-12,2.837B,,,902.00M,902.00M,-242.00M,22.00M,478.00M,-3.00M,25.00M,40.00M,186.00M,,-17.00M,231.00M,48.00M,1.353B,-827.00M,,,7.175B,,,6.325B,-2.613B,330.00M,-2.283B,7.00M,-597.00M,-590.00M,-454.00M,-454.00M,,-369.00M,-3.694B,600.00M,3.847B,19.00M,4.466B,-137.00M,7.00M,6.00M,-2.619B,-597.00M
2018-09,480.00M,,,306.00M,306.00M,-16.00M,19.00M,13.00M,26.00M,-19.00M,-22.00M,107.00M,,-23.00M,69.00M,0.00,871.00M,-380.00M,,,2.00M,,,-378.00M,2.00M,-135.00M,-133.00M,26.00M,-1.00M,25.00M,-238.00M,-238.00M,,-11.00M,-357.00M,479.00M,136.00M,-15.00M,600.00M,0.00,26.00M,2.00M,0.00,-1.00M
2018-06,499.00M,,,311.00M,311.00M,-1.00M,17.00M,-5.00M,-65.00M,-8.00M,44.00M,61.00M,,-63.00M,-31.00M,0.00,790.00M,-351.00M,,,62.00M,,,-289.00M,-2.00M,-275.00M,-277.00M,15.00M,-1.00M,14.00M,-237.00M,-237.00M,,-16.00M,-516.00M,545.00M,-15.00M,-51.00M,479.00M,0.00,15.00M,0.00,-2.00M,-1.00M
