,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.885B,1.885B,796.00M,1.089B,323.00M,,,6.00M,79.00M,249.00M,1.00M,-248.00M,,402.00M,687.00M,1.00M,249.00M,-248.00M,51.00M,-248.00M,490.00M,209.00M,281.00M,,,281.00M,290.49M,1.08B,341.00M,739.00M,0.37,,,0.3823,0.37,0.37,,,,2020-09,768.79M,769.66M,0.415,,2020-09,AOR,
2020-06,1.739B,1.739B,758.00M,981.00M,319.00M,,,4.00M,67.00M,253.00M,1.00M,-252.00M,,386.00M,595.00M,1.00M,253.00M,-252.00M,75.00M,-252.00M,418.00M,74.00M,344.00M,,,344.00M,339.89M,1.007B,336.00M,671.00M,0.45,,,0.4446,0.45,0.45,,,,2020-06,768.77M,769.41M,0.415,,2020-06,AOR,
2020-03,2.054B,2.054B,840.00M,1.214B,317.00M,,,2.00M,80.00M,248.00M,1.00M,-247.00M,,397.00M,817.00M,1.00M,248.00M,-247.00M,124.00M,-247.00M,694.00M,140.00M,554.00M,,,554.00M,502.91M,1.271B,329.00M,942.00M,0.72,,,0.6535,0.72,0.72,,,,2020-03,767.95M,768.74M,0.415,,2020-03,AOR,
2019-12,1.954B,1.954B,871.00M,1.083B,309.00M,,,-8.00M,81.00M,248.00M,4.00M,-244.00M,,390.00M,693.00M,4.00M,248.00M,-244.00M,-4.00M,-244.00M,445.00M,81.00M,364.00M,,,364.00M,427.80M,1.023B,330.00M,693.00M,0.49,,,0.5752,0.49,0.48,,,,2019-12,748.97M,754.98M,0.4125,,2019-12,AOR,
2019-09,1.933B,1.933B,824.00M,1.109B,306.00M,,,5.00M,77.00M,259.00M,3.00M,-256.00M,,383.00M,726.00M,3.00M,259.00M,-256.00M,123.00M,-256.00M,593.00M,118.00M,475.00M,,,475.00M,435.75M,1.187B,335.00M,852.00M,0.66,,,0.6057,0.66,0.65,,,,2019-09,722.26M,731.15M,0.4125,,2019-09,AOR,Restated
2019-06,1.803B,1.803B,788.00M,1.015B,300.00M,,,6.00M,75.00M,246.00M,3.00M,-243.00M,,375.00M,640.00M,3.00M,246.00M,-243.00M,128.00M,-243.00M,525.00M,84.00M,441.00M,,,441.00M,398.16M,1.08B,309.00M,771.00M,0.61,,,0.5506,0.61,0.60,,,,2019-06,721.78M,730.92M,0.4125,,2019-06,AOR,Restated
2019-03,2.079B,2.079B,934.00M,1.145B,284.00M,,,3.00M,80.00M,241.00M,6.00M,-235.00M,,364.00M,781.00M,6.00M,241.00M,-235.00M,46.00M,-235.00M,592.00M,126.00M,466.00M,,,466.00M,489.61M,1.139B,306.00M,833.00M,0.65,,,0.6828,0.65,0.64,,,,2019-03,721.02M,729.95M,0.4125,,2019-03,AOR,Restated
2018-12,1.939B,1.939B,927.00M,1.012B,277.00M,,,-12.00M,78.00M,245.00M,1.00M,-244.00M,,355.00M,657.00M,1.00M,245.00M,-244.00M,98.00M,-244.00M,511.00M,96.00M,415.00M,,,415.00M,377.64M,1.055B,299.00M,756.00M,0.57,,,0.5181,0.57,0.57,,,,2018-12,720.40M,727.56M,0.41,,2018-12,AOR,Restated
2018-09,1.872B,1.872B,834.00M,1.038B,275.00M,,,4.00M,77.00M,244.00M,3.00M,-241.00M,,352.00M,686.00M,3.00M,244.00M,-241.00M,103.00M,-241.00M,548.00M,103.00M,445.00M,,,445.00M,409.27M,1.089B,297.00M,792.00M,0.63,,,0.5792,0.63,0.62,,,,2018-09,703.73M,710.52M,0.41,,2018-09,AOR,Restated
2018-06,1.848B,1.848B,843.00M,1.005B,273.00M,,,4.00M,74.00M,235.00M,2.00M,-233.00M,,347.00M,658.00M,2.00M,235.00M,-233.00M,232.00M,-233.00M,657.00M,142.00M,515.00M,,,515.00M,383.31M,1.178B,286.00M,892.00M,0.74,,,0.5516,0.74,0.73,,,,2018-06,699.01M,700.98M,0.41,,2018-06,AOR,Restated
