,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2008-10,547.00M,,,5.00M,179.00M,179.00M,46.00M,38.00M,53.00M,-15.00M,10.00M,228.00M,-82.00M,197.00M,,-386.00M,-43.00M,820.00M,,2008-10,-271.00M,-136.00M,-135.00M,0.00,-11.00M,-26.00M,-308.00M,,2008-10,0.00,-605.00M,169.00M,-464.00M,-295.00M,,-210.00M,15.00M,-1.095B,,2008-10,1.17B,-583.00M,541.00M,,2008-10,169.00M,-124.00M,-464.00M,187.00M,75.00M,,2008-10,
2008-07,723.00M,,,-193.00M,173.00M,173.00M,-3.00M,38.00M,55.00M,-11.00M,6.00M,42.00M,-59.00M,-81.00M,,110.00M,12.00M,800.00M,,2008-07,-127.00M,-127.00M,,-29.00M,-545.00M,21.00M,-680.00M,,2008-07,-300.00M,181.00M,198.00M,-175.00M,23.00M,,-211.00M,11.00M,4.00M,,2008-07,1.06B,124.00M,1.17B,,2008-07,198.00M,-300.00M,-175.00M,62.00M,38.00M,,2008-07,
2008-04,813.00M,,,47.00M,180.00M,180.00M,95.00M,,,,-123.00M,-302.00M,47.00M,-259.00M,,-178.00M,-600.00M,589.00M,,2008-04,-95.00M,-2.00M,,-42.00M,-108.00M,141.00M,-104.00M,,2008-04,,-4.00M,77.00M,-80.00M,-3.00M,,-140.00M,8.00M,-139.00M,,2008-04,729.00M,346.00M,1.06B,,2008-04,77.00M,,-80.00M,,,,2008-04,
2008-01,77.00M,,,388.00M,181.00M,181.00M,-147.00M,,,,77.00M,-31.00M,-5.00M,222.00M,,333.00M,519.00M,1.095B,,2008-01,-179.00M,-179.00M,,-4.153B,-448.00M,-161.00M,-4.941B,,2008-01,,569.00M,41.00M,-563.00M,-522.00M,,-141.00M,0.00,-94.00M,,2008-01,4.683B,-3.94B,729.00M,,2008-01,41.00M,,-563.00M,,,,2008-01,
2007-10,666.00M,,,33.00M,127.00M,127.00M,-37.00M,,,,-2.00M,-105.00M,5.00M,174.00M,,34.00M,108.00M,895.00M,,2007-10,-167.00M,-167.00M,,0.00,3.08B,48.00M,2.961B,,2007-10,,314.00M,188.00M,-401.00M,-213.00M,,-142.00M,20.00M,-21.00M,,2007-10,873.00M,3.835B,4.683B,,2007-10,188.00M,,-401.00M,,,,2007-10,
2007-07,675.00M,,,,149.00M,149.00M,40.00M,,,,79.00M,-23.00M,-17.00M,-76.00M,,83.00M,-33.00M,910.00M,,2007-07,-165.00M,-165.00M,,-26.00M,-400.00M,-115.00M,-706.00M,,2007-07,,-48.00M,97.00M,-500.00M,-403.00M,,-142.00M,12.00M,-581.00M,,2007-07,1.256B,-377.00M,873.00M,,2007-07,97.00M,,-500.00M,,,,2007-07,
2007-04,812.00M,,,,168.00M,168.00M,40.00M,,,,131.00M,-102.00M,117.00M,-133.00M,,-63.00M,-226.00M,925.00M,,2007-04,-215.00M,-215.00M,,0.00,-841.00M,-16.00M,-1.072B,,2007-04,,-40.00M,96.00M,-601.00M,-505.00M,,-124.00M,12.00M,-657.00M,,2007-04,2.087B,-804.00M,1.256B,,2007-04,96.00M,,-601.00M,,,,2007-04,
2007-01,710.00M,,,,138.00M,138.00M,-25.00M,,,,43.00M,-45.00M,2.00M,-49.00M,,-27.00M,-119.00M,747.00M,,2007-01,-126.00M,-126.00M,,0.00,386.00M,4.00M,264.00M,,2007-01,,18.00M,122.00M,-40.00M,82.00M,,-126.00M,13.00M,-13.00M,,2007-01,1.09B,998.00M,2.087B,,2007-01,122.00M,,-40.00M,,,,2007-01,
2006-10,681.00M,,,,137.00M,137.00M,-176.00M,,,,52.00M,-154.00M,-40.00M,174.00M,,53.00M,33.00M,727.00M,,2006-10,-228.00M,-228.00M,,-2.00M,1.394B,-37.00M,1.127B,,2006-10,,-1.801B,55.00M,-299.00M,-244.00M,,-127.00M,4.00M,-2.168B,,2006-10,1.396B,-314.00M,1.09B,,2006-10,55.00M,,-299.00M,,,,2006-10,
2006-07,599.00M,,,,140.00M,140.00M,-75.00M,,,,52.00M,-25.00M,-103.00M,25.00M,,-33.00M,-136.00M,580.00M,,2006-07,-125.00M,-125.00M,,-6.00M,-1.882B,-7.00M,-2.02B,,2006-07,,-12.00M,58.00M,-99.00M,-41.00M,,-127.00M,7.00M,-173.00M,,2006-07,2.994B,-1.613B,1.396B,,2006-07,58.00M,,-99.00M,,,,2006-07,
2006-04,740.00M,,,99.00M,138.00M,138.00M,-78.00M,,,,13.00M,-94.00M,17.00M,11.00M,,-65.00M,-217.00M,695.00M,,2006-04,-108.00M,-108.00M,,0.00,576.00M,99.00M,567.00M,,2006-04,,3.841B,598.00M,-3.955B,-3.357B,,-115.00M,1.00M,370.00M,,2006-04,1.368B,1.632B,2.994B,,2006-04,598.00M,,-3.955B,,,,2006-04,
2006-01,670.00M,,,364.00M,137.00M,137.00M,-9.00M,,,,-354.00M,-49.00M,-85.00M,-239.00M,,58.00M,-315.00M,493.00M,,2006-01,-907.00M,-907.00M,,0.00,-1.105B,807.00M,-1.205B,,2006-01,,188.00M,183.00M,-145.00M,38.00M,,-118.00M,,108.00M,,2006-01,1.948B,-604.00M,1.368B,,2006-01,183.00M,,-145.00M,,,,2006-01,
2005-10,816.00M,,,-369.00M,141.00M,141.00M,25.00M,,,,377.00M,-46.00M,-74.00M,-22.00M,138.00M,45.00M,41.00M,1.031B,,2005-10,-127.00M,-127.00M,,-58.00M,-545.00M,-21.00M,-751.00M,,2005-10,,399.00M,129.00M,-335.00M,-206.00M,,-115.00M,1.00M,79.00M,,2005-10,1.59B,359.00M,1.948B,,2005-10,129.00M,,-335.00M,,,,2005-10,
2005-07,321.00M,,,369.00M,128.00M,128.00M,167.00M,,,,2.00M,-28.00M,-115.00M,-718.00M,-138.00M,,-999.00M,-12.00M,,2005-07,-102.00M,-102.00M,,-227.00M,-364.00M,-785.00M,-1.478B,,2005-07,,981.00M,125.00M,-229.00M,-104.00M,,-117.00M,-1.00M,759.00M,,2005-07,2.232B,-731.00M,1.59B,,2005-07,125.00M,,-229.00M,,,,2005-07,
2005-04,194.50M,,,638.70M,123.70M,123.70M,-158.40M,,,,,-92.20M,29.10M,182.40M,-57.00M,41.20M,-3.50M,795.00M,,2005-04,-145.30M,-145.30M,,-11.60M,-533.00M,-122.30M,-812.20M,,2005-04,,66.10M,102.30M,0.00,102.30M,,-101.40M,,67.00M,,2005-04,2.186B,49.80M,2.232B,,2005-04,102.30M,,0.00,,,,2005-04,
2005-01,544.10M,,,37.30M,115.60M,115.60M,-1.70M,,,,,-55.40M,-25.90M,100.90M,,-12.40M,7.20M,702.50M,,2005-01,-110.00M,-110.00M,,-42.30M,-446.50M,36.80M,-562.00M,,2005-01,,17.90M,120.40M,-265.40M,-145.00M,,-101.10M,,-228.20M,,2005-01,2.297B,-87.70M,2.186B,,2005-01,120.40M,,-265.40M,,,,2005-01,
2004-10,535.70M,,,35.80M,113.60M,113.60M,24.40M,,,,,-90.60M,-5.00M,89.10M,-13.80M,-28.80M,-49.10M,660.40M,,2004-10,-107.80M,-107.80M,,-54.10M,-184.50M,33.40M,-313.00M,,2004-10,,9.50M,73.80M,-127.50M,-53.70M,,-101.30M,,-145.50M,,2004-10,2.151B,201.90M,2.297B,,2004-10,73.80M,,-127.50M,,,,2004-10,
2004-07,529.70M,,,3.20M,110.10M,110.10M,-7.30M,,,,,10.20M,-49.20M,50.60M,13.80M,,25.40M,661.10M,,2004-07,-88.90M,-88.90M,,,167.00M,6.10M,84.20M,,2004-07,,-5.50M,42.50M,-118.10M,-75.60M,,-101.20M,,-182.30M,,2004-07,1.594B,563.00M,2.151B,,2004-07,42.50M,,-118.10M,,,,2004-07,
2004-04,568.90M,,,72.60M,110.00M,110.00M,98.80M,,,,,-56.50M,53.60M,186.70M,56.90M,-13.40M,129.90M,980.20M,,2004-04,-139.50M,-139.50M,,-30.90M,-99.70M,-77.10M,-347.20M,,2004-04,,-104.00M,64.40M,-211.90M,-147.50M,,-87.60M,,-339.10M,,2004-04,1.268B,293.90M,1.594B,,2004-04,64.40M,,-211.90M,,,,2004-04,
2004-01,463.90M,,,22.00M,115.80M,115.80M,-1.80M,,,,,4.20M,60.20M,103.60M,-21.40M,13.40M,160.00M,759.90M,,2004-01,-113.20M,-113.20M,,0.20M,-193.50M,32.00M,-274.50M,,2004-01,,-3.40M,113.40M,-153.80M,-40.40M,,-87.60M,,-131.40M,,2004-01,971.00M,354.00M,1.268B,,2004-01,113.40M,,-153.80M,,,,2004-01,
2003-10,476.10M,,,-2.90M,117.10M,117.10M,-21.40M,,,,,-126.80M,0.70M,69.70M,13.00M,,-43.40M,525.50M,,2003-10,-100.70M,-100.70M,,-0.20M,-311.70M,58.90M,-353.70M,,2003-10,,67.20M,24.50M,-356.50M,-332.00M,,-88.00M,,-352.80M,,2003-10,1.173B,-181.00M,971.00M,,2003-10,24.50M,,-356.50M,,,,2003-10,
2003-07,450.40M,,,,99.70M,99.70M,34.90M,,,,,7.60M,13.10M,-33.90M,8.40M,,-4.80M,580.20M,,2003-07,-71.20M,-71.20M,,,-605.90M,1.70M,-675.40M,,2003-07,,20.70M,39.10M,-158.30M,-119.20M,,-88.30M,,-186.80M,,2003-07,1.470B,-282.00M,1.173B,,2003-07,39.10M,,-158.30M,,,,2003-07,
2003-04,487.10M,,,-0.20M,102.60M,102.60M,29.20M,,,,,-26.20M,65.50M,88.00M,,-96.50M,52.40M,671.10M,,2003-04,-109.90M,-109.90M,,0.00,-259.70M,-21.40M,-391.00M,,2003-04,,-36.30M,27.70M,-180.60M,-152.90M,,-76.00M,,-265.20M,,2003-04,1.469B,14.90M,1.470B,,2003-04,27.70M,,-180.60M,,,,2003-04,
2003-01,427.70M,,,-2.50M,105.00M,105.00M,102.80M,,,,,-32.30M,-52.40M,17.80M,,84.00M,17.10M,650.10M,,2003-01,-108.20M,-108.20M,,0.00,8.70M,26.80M,-72.70M,,2003-01,,7.10M,84.30M,-109.10M,-24.80M,,-76.30M,-3.70M,-97.70M,,2003-01,990.90M,479.70M,1.469B,,2003-01,84.30M,,-109.10M,,,,2003-01,
2002-10,301.70M,,,103.20M,102.60M,102.60M,111.50M,,,,,-74.80M,-51.10M,-77.60M,,9.30M,-194.20M,424.80M,,2002-10,-71.20M,-71.20M,,-1.90M,-21.00M,16.80M,-77.30M,,2002-10,,-124.20M,26.90M,-65.10M,-38.20M,,-75.90M,3.70M,-234.60M,,2002-10,872.10M,112.90M,990.90M,,2002-10,26.90M,,-65.10M,,,,2002-10,
2002-07,383.30M,,,4.00M,97.90M,97.90M,-40.90M,,,,,-6.60M,-53.70M,-115.60M,,63.80M,-112.10M,332.20M,,2002-07,-91.10M,-91.10M,,,401.00M,-18.50M,291.40M,,2002-07,,-23.60M,17.00M,-63.70M,-46.70M,,-76.00M,,-146.30M,,2002-07,410.70M,477.30M,872.10M,,2002-07,17.00M,,-63.70M,,,,2002-07,
2002-04,300.90M,,,179.50M,111.50M,111.50M,54.70M,,,,,-84.80M,5.80M,63.00M,-33.10M,-55.60M,-217.80M,428.80M,,2002-04,-104.00M,-104.00M,,-339.40M,-43.00M,-41.50M,-527.90M,,2002-04,,117.50M,14.20M,-0.10M,14.10M,,-69.80M,,61.80M,,2002-04,458.80M,-37.30M,410.70M,,2002-04,14.20M,,-0.10M,,,,2002-04,
2002-01,314.90M,,,40.50M,89.80M,89.80M,-8.70M,,,,,-26.30M,11.40M,-6.30M,62.90M,-53.70M,-12.00M,424.50M,,2002-01,-101.20M,-101.20M,,-66.90M,-172.00M,-34.80M,-374.90M,,2002-01,,94.70M,91.70M,0.00,91.70M,,-69.80M,-3.60M,113.00M,,2002-01,283.10M,162.60M,458.80M,,2002-01,91.70M,,0.00,,,,2002-01,
2001-10,66.70M,,,316.20M,62.80M,62.80M,-13.20M,,,,-61.50M,-46.70M,5.60M,1.60M,,28.40M,-11.10M,359.90M,,2001-10,-97.10M,-97.10M,,-3.651B,479.00M,-49.20M,-3.319B,,2001-10,,2.149B,10.20M,-25.50M,-15.30M,,-69.60M,3.60M,2.068B,,2001-10,1.170B,-890.80M,283.10M,,2001-10,10.20M,,-25.50M,,,,2001-10,
2001-07,301.50M,,,,65.70M,65.70M,18.10M,,,,61.50M,-31.10M,7.60M,-71.60M,,25.30M,-69.80M,377.00M,,2001-07,-84.10M,-84.10M,,,-44.00M,-32.20M,-160.30M,,2001-07,,-12.00M,4.40M,,4.40M,,-69.60M,,-77.20M,,2001-07,1.030B,139.50M,1.170B,,2001-07,4.40M,,,,,,2001-07,
2001-04,150.00M,,,306.70M,79.40M,79.40M,-167.90M,,,,,-33.30M,11.40M,-78.60M,,246.50M,192.70M,560.90M,,2001-04,-136.80M,-136.80M,,,205.00M,-13.20M,55.00M,,2001-04,,-1.00M,25.50M,,25.50M,,-60.40M,-0.50M,-36.40M,,2001-04,448.80M,579.50M,1.030B,,2001-04,25.50M,,,,,,2001-04,
2001-01,302.80M,,,10.40M,74.80M,74.80M,15.30M,,,,,-20.60M,2.50M,-43.70M,,24.90M,-36.90M,366.40M,,2001-01,-121.70M,-121.70M,,,-315.00M,-53.70M,-490.40M,,2001-01,,-57.50M,98.70M,,98.70M,,-60.40M,0.00,-19.20M,,2001-01,596.00M,-143.20M,448.80M,,2001-01,98.70M,,,,,,2001-01,
2000-10,309.10M,,,,70.50M,70.50M,0.30M,,,,-16.90M,-49.70M,-19.40M,127.40M,,-16.50M,41.80M,404.80M,,2000-10,-115.70M,-115.70M,,,-197.00M,-12.90M,-325.60M,,2000-10,,-38.40M,21.70M,,21.70M,,-60.00M,0.50M,-76.20M,,2000-10,588.20M,3.00M,596.00M,,2000-10,21.70M,,,,,,2000-10,
2000-07,284.10M,,,,72.60M,72.60M,0.10M,,,,16.90M,59.50M,-39.00M,26.70M,,78.50M,125.70M,499.40M,,2000-07,-65.50M,-65.50M,,,-160.00M,-39.00M,-264.50M,,2000-07,,-56.80M,2.80M,,2.80M,,-59.90M,,-113.90M,,2000-07,467.80M,121.00M,588.20M,,2000-07,2.80M,,,,,,2000-07,
2000-04,317.60M,,,4.00M,74.70M,74.70M,113.60M,,,,,34.10M,20.70M,171.00M,,-103.60M,-16.10M,493.80M,,2000-04,-121.50M,-121.50M,,,-9.50M,5.20M,-125.80M,,2000-04,,6.80M,49.70M,-73.80M,-24.10M,,-48.00M,,-65.30M,,2000-04,163.80M,302.70M,467.80M,,2000-04,49.70M,,-73.80M,,,,2000-04,
2000-01,253.60M,,,4.50M,26.20M,26.20M,-71.90M,,,,-0.10M,-53.70M,3.60M,-124.30M,,-3.50M,-177.90M,34.40M,,2000-01,-51.50M,-51.50M,,,1.90M,36.30M,-13.30M,,2000-01,,79.00M,63.00M,-127.00M,-64.00M,,-47.70M,,-32.70M,,2000-01,158.90M,-11.60M,163.80M,,2000-01,63.00M,,-127.00M,,,,2000-01,
1999-10,264.10M,,,,93.30M,93.30M,-30.70M,,,,0.10M,-134.50M,-96.80M,189.40M,,-18.80M,-60.70M,266.10M,,1999-10,-117.00M,-117.00M,,,-20.90M,-23.00M,-160.90M,,1999-10,,19.20M,24.60M,-178.50M,-153.90M,,-46.80M,,-181.50M,,1999-10,230.00M,-76.30M,158.90M,,1999-10,24.60M,,-178.50M,,,,1999-10,
1999-07,248.90M,,,,49.70M,49.70M,60.10M,,,,,-39.10M,-47.50M,12.90M,,-52.90M,-126.60M,232.10M,,1999-07,-52.50M,-52.50M,,,39.00M,-63.50M,-77.00M,,1999-07,,-55.00M,73.60M,-118.10M,-44.50M,,-47.00M,,-146.50M,,1999-07,222.10M,8.60M,230.00M,,1999-07,73.60M,,-118.10M,,,,1999-07,
1999-04,151.00M,,,-89.20M,50.60M,50.60M,63.80M,,,,,-59.20M,-23.70M,38.90M,,65.60M,-103.10M,73.10M,,1999-04,881.30M,881.30M,,,79.20M,-30.60M,-87.50M,,1999-04,,2.60M,208.20M,-270.40M,-62.20M,,-38.00M,,-97.60M,,1999-04,350.80M,-112.00M,247.40M,,1999-04,208.20M,,-270.40M,,,,1999-04,
1999-01,-29.80M,,,144.40M,77.50M,77.50M,-88.30M,,,,,-15.40M,40.70M,-140.50M,,7.60M,-107.60M,-3.80M,,1999-01,-157.80M,-157.80M,,,162.70M,55.90M,60.80M,,1999-01,,-545.40M,109.20M,0.00,109.20M,,-31.80M,,-468.00M,,1999-01,761.30M,-411.00M,350.80M,,1999-01,109.20M,,0.00,,,,1999-01,
1998-10,117.00M,,,124.40M,49.50M,49.50M,8.60M,,,,,-63.90M,-92.40M,144.40M,,-58.40M,-70.30M,229.20M,,1998-10,-919.50M,-919.50M,,,-117.50M,-59.60M,-1.097B,,1998-10,,629.00M,707.00M,-47.80M,659.20M,,-31.70M,,1.256B,,1998-10,369.10M,389.10M,761.30M,,1998-10,707.00M,,-47.80M,,,,1998-10,
1998-07,228.50M,,,,41.50M,41.50M,-19.60M,,,,,-45.90M,-15.90M,39.50M,,-70.80M,-93.10M,157.30M,,1998-07,-40.20M,-40.20M,,,-167.00M,-11.90M,-219.10M,,1998-07,,-15.10M,18.40M,-59.00M,-40.60M,,-30.40M,,-86.10M,,1998-07,519.50M,-147.90M,369.10M,,1998-07,18.40M,,-59.00M,,,,1998-07,
