,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,433.00M,-156.00M,,-66.00M,,,-222.00M,37.00M,37.00M,-1.00M,,17.00M,,29.00M,4.00M,,-22.00M,-86.00M,,,,-104.00M,,189.00M,-42.00M,,,205.00M,,1.00M,164.00M,-332.00M,5.00M,-327.00M,,-498.00M,-498.00M,-120.00M,-120.00M,,-31.00M,-976.00M,1.668B,-623.00M,38.00M,1.083B,,12.00M,-339.00M,-498.00M
2017-12,436.00M,-752.00M,,-2.00M,,,-754.00M,58.00M,58.00M,512.00M,,12.00M,,22.00M,-36.00M,,-3.00M,65.00M,,,,26.00M,,312.00M,-90.00M,,,1.057B,,16.00M,983.00M,-13.00M,-35.00M,-48.00M,,-612.00M,-612.00M,-101.00M,-101.00M,,-5.00M,-766.00M,1.051B,529.00M,19.00M,1.599B,,-35.00M,-13.00M,-612.00M
2017-09,418.00M,-201.00M,,-1.00M,,,-202.00M,60.00M,60.00M,112.00M,,10.00M,,-23.00M,-13.00M,,-10.00M,-73.00M,,,,-96.00M,,279.00M,-78.00M,,,395.00M,,-1.00M,316.00M,-12.00M,35.00M,23.00M,,-492.00M,-492.00M,-104.00M,-104.00M,,-46.00M,-619.00M,1.056B,-24.00M,19.00M,1.051B,,35.00M,-12.00M,-492.00M
2017-06,206.00M,-19.00M,,-1.00M,,,-20.00M,65.00M,65.00M,-10.00M,,26.00M,,52.00M,12.00M,,4.00M,-184.00M,,,,-168.00M,,151.00M,-74.00M,,,136.00M,,7.00M,69.00M,736.00M,,736.00M,,-395.00M,-395.00M,-105.00M,-105.00M,,-17.00M,219.00M,611.00M,439.00M,6.00M,1.056B,,896.00M,-160.00M,-395.00M
2017-03,280.00M,-111.00M,,-1.00M,,,-112.00M,70.00M,70.00M,20.00M,,17.00M,,32.00M,18.00M,,-1.00M,-36.00M,,,,-19.00M,,288.00M,-76.00M,,,185.00M,,-5.00M,104.00M,-8.00M,,-8.00M,,-461.00M,-461.00M,-106.00M,-106.00M,,-54.00M,-629.00M,831.00M,-237.00M,17.00M,611.00M,,192.00M,-200.00M,-461.00M
2016-12,308.00M,-88.00M,-10.00M,,,,-100.00M,86.00M,86.00M,-1.00M,,38.00M,,34.00M,-54.00M,-6.00M,-19.00M,26.00M,,,,-53.00M,,312.00M,-135.00M,,,223.00M,,35.00M,123.00M,-13.00M,0.00,-13.00M,,-1.087B,-1.087B,-185.00M,-185.00M,,99.00M,-1.186B,1.594B,-751.00M,-26.00M,831.00M,,0.00,-13.00M,-1.087B
2016-09,218.00M,-21.00M,1.00M,,,,-20.00M,77.00M,77.00M,48.00M,,20.00M,,-5.00M,-3.00M,2.00M,4.00M,8.00M,,,,11.00M,,349.00M,-106.00M,,,63.00M,,6.00M,-37.00M,-6.00M,0.00,-6.00M,,-2.249B,-2.249B,-180.00M,-180.00M,,57.00M,-2.378B,3.667B,-2.066B,-7.00M,1.594B,,0.00,-6.00M,-2.249B
2016-06,266.00M,-54.00M,7.00M,,,,-47.00M,74.00M,74.00M,-14.00M,,9.00M,,11.00M,-11.00M,2.00M,9.00M,-21.00M,,,,-21.00M,,278.00M,-106.00M,,,76.00M,,7.00M,-23.00M,6.598B,-2.08B,4.518B,,-1.142B,-1.142B,-187.00M,-187.00M,,9.00M,3.198B,218.00M,3.453B,-4.00M,3.667B,,6.90B,-2.382B,-1.142B
2016-03,226.00M,0.00,2.00M,,,,2.00M,73.00M,73.00M,-5.00M,,13.00M,,-20.00M,45.00M,2.00M,6.00M,-33.00M,,,,20.00M,,309.00M,-80.00M,,,8.00M,,5.00M,-67.00M,-2.00M,795.00M,793.00M,,-925.00M,-925.00M,-192.00M,-192.00M,,-54.00M,-378.00M,351.00M,-136.00M,3.00M,218.00M,,1.40B,-607.00M,-925.00M
2015-12,-97.00M,-37.00M,-14.00M,-9.00M,31.00M,,-29.00M,-186.00M,-186.00M,-59.00M,,6.00M,46.00M,36.00M,-21.00M,-66.00M,13.00M,-204.00M,,,4.00M,-274.00M,,-557.00M,200.00M,,,141.00M,,-18.00M,323.00M,-257.00M,1.028B,771.00M,,-830.00M,-830.00M,-198.00M,-198.00M,,187.00M,-70.00M,861.00M,-304.00M,-7.00M,365.00M,,912.00M,-141.00M,-830.00M
2015-09,426.00M,2.00M,3.00M,5.00M,-15.00M,,-5.00M,179.00M,179.00M,35.00M,,12.00M,-6.00M,13.00M,-31.00M,41.00M,0.00,204.00M,,,2.00M,216.00M,,870.00M,-238.00M,,,43.00M,16.00M,9.00M,-170.00M,-3.00M,-181.00M,-184.00M,,-83.00M,-83.00M,-177.00M,-177.00M,-11.00M,12.00M,-443.00M,636.00M,257.00M,-32.00M,861.00M,,-65.00M,-119.00M,-83.00M
2015-06,236.00M,68.00M,24.00M,4.00M,-7.00M,,89.00M,187.00M,187.00M,-48.00M,,13.00M,-21.00M,24.00M,13.00M,0.00,0.00,-56.00M,,,-6.00M,-49.00M,,431.00M,-177.00M,,,7.00M,8.00M,6.00M,-156.00M,-4.00M,12.00M,8.00M,,-163.00M,-163.00M,-177.00M,-177.00M,1.00M,1.00M,-330.00M,675.00M,-55.00M,16.00M,636.00M,,12.00M,-4.00M,-163.00M
2015-03,361.00M,-10.00M,3.00M,,-9.00M,,-16.00M,139.00M,139.00M,-29.00M,,15.00M,-19.00M,-96.00M,3.00M,21.00M,-27.00M,164.00M,,,,161.00M,,516.00M,-227.00M,,,22.00M,-24.00M,33.00M,-196.00M,-3.00M,53.00M,50.00M,,-124.00M,-124.00M,-178.00M,-178.00M,10.00M,-4.00M,-246.00M,578.00M,74.00M,23.00M,675.00M,,53.00M,-3.00M,-124.00M
2014-12,-134.00M,11.00M,-12.00M,-12.00M,31.00M,,18.00M,-173.00M,-173.00M,48.00M,,9.00M,-11.00M,12.00M,4.00M,-26.00M,5.00M,-147.00M,,,,-164.00M,,-395.00M,147.00M,,,17.00M,315.00M,17.00M,496.00M,-58.00M,17.00M,-41.00M,,-310.00M,-310.00M,-179.00M,-179.00M,-21.00M,398.00M,-153.00M,685.00M,-52.00M,6.00M,357.00M,,17.00M,-58.00M,-310.00M
2014-09,403.00M,-20.00M,6.00M,5.00M,-9.00M,,-18.00M,181.00M,181.00M,-84.00M,,11.00M,-4.00M,83.00M,-37.00M,19.00M,8.00M,-34.00M,,,,-44.00M,,528.00M,-247.00M,,,49.00M,-88.00M,-20.00M,-306.00M,-2.00M,221.00M,219.00M,,-210.00M,-210.00M,-163.00M,-163.00M,5.00M,-4.00M,-153.00M,597.00M,69.00M,19.00M,685.00M,,221.00M,-2.00M,-210.00M
2014-06,338.00M,-4.00M,21.00M,7.00M,-9.00M,,15.00M,180.00M,180.00M,1.00M,,13.00M,-12.00M,-9.00M,-11.00M,-28.00M,-9.00M,36.00M,,,,-12.00M,,514.00M,-236.00M,,,15.00M,-227.00M,2.00M,-446.00M,-3.00M,143.00M,140.00M,,-176.00M,-176.00M,-163.00M,-163.00M,5.00M,-2.00M,-196.00M,734.00M,-128.00M,-9.00M,597.00M,,143.00M,-3.00M,-176.00M
2014-03,399.00M,-3.00M,3.00M,,-13.00M,,-13.00M,140.00M,140.00M,-11.00M,,12.00M,-13.00M,-31.00M,23.00M,33.00M,-2.00M,33.00M,,,,87.00M,,570.00M,-172.00M,,,2.00M,,2.00M,-168.00M,-2.00M,35.00M,33.00M,,-124.00M,-124.00M,-164.00M,-164.00M,11.00M,7.00M,-237.00M,573.00M,165.00M,-4.00M,734.00M,,35.00M,-2.00M,-124.00M
2013-12,315.00M,-13.00M,21.00M,28.00M,-9.00M,,147.00M,248.00M,248.00M,27.00M,,17.00M,-17.00M,46.00M,-8.00M,-1.00M,1.00M,-189.00M,,,,-197.00M,,586.00M,-350.00M,,,41.00M,-1.00M,11.00M,-299.00M,-62.00M,-2.00M,-64.00M,,-260.00M,-260.00M,-164.00M,-164.00M,20.00M,-8.00M,-476.00M,753.00M,-189.00M,9.00M,573.00M,,599.00M,-663.00M,-260.00M
2013-09,137.00M,-38.00M,300.00M,3.00M,-13.00M,,252.00M,173.00M,173.00M,-46.00M,,11.00M,-3.00M,36.00M,-8.00M,18.00M,-14.00M,268.00M,,,,264.00M,,824.00M,-227.00M,,,54.00M,-1.00M,-3.00M,-177.00M,-1.00M,-53.00M,-54.00M,,-181.00M,-181.00M,-150.00M,-150.00M,6.00M,-9.00M,-388.00M,500.00M,259.00M,-6.00M,753.00M,,1.00M,-55.00M,-181.00M
2013-06,276.00M,-32.00M,6.00M,12.00M,3.00M,,-11.00M,170.00M,170.00M,1.00M,,12.00M,-13.00M,27.00M,-5.00M,-25.00M,0.00,-104.00M,,,,-134.00M,,328.00M,-235.00M,,,-15.00M,2.00M,-9.00M,-257.00M,-3.00M,46.00M,43.00M,,-231.00M,-231.00M,-150.00M,-150.00M,6.00M,4.00M,-328.00M,762.00M,-257.00M,-5.00M,500.00M,,46.00M,-3.00M,-231.00M
2013-03,336.00M,-17.00M,4.00M,,-7.00M,,-20.00M,130.00M,130.00M,-6.00M,,9.00M,-11.00M,-1.00M,9.00M,26.00M,-8.00M,-63.00M,,,,-36.00M,,401.00M,-237.00M,,,81.00M,,3.00M,-153.00M,-1.00M,9.00M,8.00M,,-98.00M,-98.00M,-151.00M,-151.00M,5.00M,-23.00M,-259.00M,776.00M,-11.00M,-3.00M,762.00M,,9.00M,-1.00M,-98.00M
2012-12,336.00M,-37.00M,28.00M,3.00M,-9.00M,,-15.00M,223.00M,223.00M,-58.00M,,15.00M,-46.00M,43.00M,-25.00M,-18.00M,0.00,21.00M,,,,-22.00M,,476.00M,-421.00M,,,176.00M,,-13.00M,-258.00M,-2.00M,-12.00M,-14.00M,,-277.00M,-277.00M,-151.00M,-151.00M,35.00M,13.00M,-394.00M,942.00M,-176.00M,10.00M,776.00M,,-12.00M,-2.00M,-277.00M
2012-09,478.00M,-2.00M,4.00M,23.00M,-16.00M,,9.00M,157.00M,157.00M,96.00M,,12.00M,-6.00M,-13.00M,-9.00M,13.00M,-5.00M,162.00M,,,,161.00M,,894.00M,-272.00M,,,55.00M,82.00M,-16.00M,-151.00M,-265.00M,12.00M,-253.00M,,-399.00M,-399.00M,-131.00M,-131.00M,5.00M,-5.00M,-783.00M,984.00M,-40.00M,-2.00M,942.00M,,12.00M,-265.00M,-399.00M
2012-06,333.00M,-13.00M,4.00M,15.00M,-9.00M,,-3.00M,158.00M,158.00M,-6.00M,,12.00M,-18.00M,-11.00M,-13.00M,-13.00M,6.00M,6.00M,,,,-14.00M,,451.00M,-233.00M,,,28.00M,-3.00M,3.00M,-205.00M,-12.00M,0.00,-12.00M,,-211.00M,-211.00M,-131.00M,-131.00M,6.00M,-3.00M,-351.00M,1.099B,-105.00M,-10.00M,984.00M,,0.00,-12.00M,-211.00M
2012-03,461.00M,-26.00M,1.00M,,-13.00M,,-38.00M,127.00M,127.00M,-4.00M,,11.00M,-28.00M,-43.00M,29.00M,27.00M,-15.00M,-54.00M,,,,-13.00M,,473.00M,-173.00M,,,-438.00M,-79.00M,299.00M,-391.00M,-3.00M,0.00,-3.00M,,-78.00M,-78.00M,-131.00M,-131.00M,16.00M,8.00M,-188.00M,1.198B,-106.00M,7.00M,1.099B,,0.00,-3.00M,-78.00M
2011-12,357.00M,3.00M,22.00M,2.00M,-7.00M,0.00,20.00M,211.00M,211.00M,-65.00M,,19.00M,-33.00M,2.00M,-20.00M,-84.00M,4.00M,56.00M,,,,-44.00M,,467.00M,-387.00M,,,47.00M,,74.00M,-266.00M,51.00M,0.00,51.00M,,-190.00M,-190.00M,-131.00M,-131.00M,29.00M,23.00M,-218.00M,1.236B,-17.00M,-21.00M,1.198B,,55.00M,-4.00M,-190.00M
2011-09,389.00M,66.00M,25.00M,21.00M,-13.00M,,99.00M,157.00M,157.00M,-24.00M,,14.00M,-11.00M,5.00M,-28.00M,-11.00M,-6.00M,196.00M,,,,151.00M,,780.00M,-223.00M,,,70.00M,,-8.00M,-161.00M,345.00M,-350.00M,-5.00M,,-243.00M,-243.00M,-116.00M,-116.00M,8.00M,1.00M,-355.00M,955.00M,264.00M,17.00M,1.236B,,-1.00M,-4.00M,-243.00M
2011-06,322.00M,3.00M,88.00M,16.00M,-11.00M,3.00M,101.00M,146.00M,146.00M,12.00M,-69.00M,13.00M,-14.00M,-12.00M,-2.00M,-14.00M,2.00M,-70.00M,,,,-84.00M,,415.00M,-157.00M,,,35.00M,0.00,-301.00M,-423.00M,-654.00M,350.00M,-304.00M,,-167.00M,-167.00M,-116.00M,-116.00M,13.00M,-5.00M,-579.00M,1.529B,-587.00M,13.00M,955.00M,,350.00M,-654.00M,-167.00M
2011-03,267.00M,0.00,,,-16.00M,-3.00M,-21.00M,123.00M,123.00M,-60.00M,69.00M,13.00M,-8.00M,34.00M,11.00M,34.00M,-25.00M,71.00M,,,,91.00M,,508.00M,-173.00M,0.00,0.00,13.00M,0.00,4.00M,-156.00M,-4.00M,,-4.00M,,-152.00M,-152.00M,-118.00M,-118.00M,9.00M,4.00M,-261.00M,1.426B,91.00M,12.00M,1.529B,,,-4.00M,-152.00M
2010-12,277.00M,12.00M,26.00M,0.00,-8.00M,0.00,30.00M,206.00M,206.00M,20.00M,,10.00M,-23.00M,-4.00M,-6.00M,-38.00M,46.00M,-47.00M,,,,-45.00M,,471.00M,-306.00M,-21.00M,-21.00M,159.00M,,24.00M,-144.00M,-9.00M,-25.00M,-34.00M,,-88.00M,-88.00M,-117.00M,-117.00M,38.00M,15.00M,-186.00M,1.274B,141.00M,11.00M,1.426B,,-17.00M,-17.00M,-88.00M
2010-09,367.00M,-2.00M,5.00M,26.00M,-14.00M,,15.00M,127.00M,127.00M,-52.00M,,13.00M,-23.00M,120.00M,-34.00M,-11.00M,13.00M,129.00M,,,,97.00M,,664.00M,-163.00M,8.00M,8.00M,-37.00M,,-4.00M,-196.00M,338.00M,25.00M,363.00M,,-36.00M,-36.00M,-98.00M,-98.00M,20.00M,12.00M,261.00M,530.00M,729.00M,15.00M,1.274B,,367.00M,-4.00M,-36.00M
2010-06,534.00M,53.00M,16.00M,8.00M,-8.00M,10.00M,16.00M,137.00M,137.00M,-4.00M,-4.00M,11.00M,-14.00M,-276.00M,35.00M,-24.00M,1.00M,65.00M,,,-36.00M,41.00M,,441.00M,-164.00M,4.00M,4.00M,39.00M,,-2.00M,-123.00M,-28.00M,-5.00M,-33.00M,,-115.00M,-115.00M,-98.00M,-98.00M,27.00M,-3.00M,-222.00M,444.00M,96.00M,-10.00M,530.00M,,-23.00M,-10.00M,-115.00M
2010-03,,,,,-12.00M,-10.00M,41.00M,119.00M,119.00M,-74.00M,4.00M,13.00M,-9.00M,245.00M,-7.00M,5.00M,1.00M,18.00M,,,36.00M,53.00M,,392.00M,-163.00M,9.00M,9.00M,42.00M,,-4.00M,-116.00M,20.00M,-3.00M,17.00M,,-132.00M,-132.00M,-99.00M,-99.00M,17.00M,7.00M,-190.00M,353.00M,86.00M,5.00M,444.00M,,23.00M,-6.00M,-132.00M
2009-12,218.00M,-59.00M,-31.00M,-29.00M,92.00M,,-333.00M,195.00M,195.00M,13.00M,103.00M,17.00M,-11.00M,135.00M,-8.00M,-7.00M,19.00M,-72.00M,,,,-68.00M,,269.00M,-292.00M,18.00M,18.00M,63.00M,,-11.00M,-222.00M,-6.00M,-19.00M,-25.00M,,0.00,0.00,-99.00M,-99.00M,22.00M,-1.00M,-103.00M,424.00M,-56.00M,-15.00M,353.00M,,-5.00M,283.00M,0.00
2009-09,340.00M,4.00M,5.00M,21.00M,-12.00M,,18.00M,139.00M,139.00M,88.00M,,13.00M,-5.00M,-17.00M,13.00M,19.00M,-8.00M,40.00M,,,,64.00M,,640.00M,-163.00M,8.00M,8.00M,-49.00M,56.00M,-1.00M,-149.00M,121.00M,-396.00M,-275.00M,,0.00,0.00,-88.00M,-88.00M,14.00M,-8.00M,-357.00M,284.00M,134.00M,6.00M,424.00M,,392.00M,-667.00M,0.00
2009-06,306.00M,-13.00M,26.00M,8.00M,-75.00M,,-40.00M,129.00M,129.00M,-24.00M,-4.00M,19.00M,-35.00M,-39.00M,-20.00M,-4.00M,-17.00M,-49.00M,,,-27.00M,-117.00M,,198.00M,-199.00M,7.00M,7.00M,25.00M,-56.00M,-5.00M,-228.00M,-142.00M,151.00M,9.00M,,0.00,0.00,-88.00M,-88.00M,56.00M,40.00M,17.00M,289.00M,-13.00M,-9.00M,284.00M,,108.00M,-99.00M,0.00
2009-03,219.00M,,,,-10.00M,,-24.00M,117.00M,117.00M,-5.00M,4.00M,7.00M,-8.00M,3.00M,18.00M,19.00M,-1.00M,-76.00M,,,27.00M,-13.00M,,297.00M,-143.00M,1.00M,1.00M,16.00M,,-2.00M,-128.00M,-2.00M,-39.00M,-41.00M,,0.00,0.00,-87.00M,-87.00M,21.00M,8.00M,-99.00M,216.00M,70.00M,3.00M,289.00M,,4.00M,-45.00M,0.00
2008-12,206.00M,0.00,,,-7.00M,,-94.00M,167.00M,167.00M,14.00M,34.00M,22.00M,-12.00M,44.00M,12.00M,8.00M,31.00M,10.00M,,,-82.00M,-21.00M,,374.00M,-352.00M,14.00M,14.00M,98.00M,0.00,-1.00M,-241.00M,-8.00M,-22.00M,-30.00M,,-115.00M,-115.00M,-88.00M,-88.00M,21.00M,12.00M,-200.00M,294.00M,-67.00M,-11.00M,216.00M,,-26.00M,-4.00M,-115.00M
2008-09,285.00M,0.00,,,5.00M,,-3.00M,139.00M,139.00M,-26.00M,3.00M,10.00M,-1.00M,-51.00M,-24.00M,-15.00M,-18.00M,154.00M,,,82.00M,179.00M,,521.00M,-235.00M,24.00M,24.00M,70.00M,0.00,-4.00M,-145.00M,372.00M,-176.00M,196.00M,,-519.00M,-519.00M,-88.00M,-88.00M,11.00M,1.00M,-399.00M,325.00M,-23.00M,-8.00M,294.00M,,205.00M,-9.00M,-519.00M
2008-06,227.00M,0.00,,,13.00M,,12.00M,130.00M,130.00M,-6.00M,8.00M,12.00M,-22.00M,3.00M,9.00M,-7.00M,-4.00M,-103.00M,,,,-105.00M,,259.00M,-216.00M,27.00M,27.00M,44.00M,0.00,-7.00M,-152.00M,-253.00M,33.00M,-220.00M,,0.00,0.00,-71.00M,-71.00M,28.00M,-2.00M,-265.00M,481.00M,-158.00M,2.00M,325.00M,,42.00M,-262.00M,0.00
2008-03,254.00M,-100.00M,,,-11.00M,,-86.00M,120.00M,120.00M,19.00M,-2.00M,15.00M,-9.00M,62.00M,-3.00M,6.00M,-5.00M,-4.00M,,,,-6.00M,,367.00M,-132.00M,7.00M,7.00M,19.00M,,3.00M,-103.00M,-4.00M,433.00M,429.00M,,-994.00M,-994.00M,-75.00M,-75.00M,12.00M,33.00M,-595.00M,789.00M,-331.00M,6.00M,481.00M,,433.00M,-4.00M,-994.00M
2007-12,231.00M,,,,,,-5.00M,180.00M,180.00M,-63.00M,,,,-52.00M,15.00M,-30.00M,-10.00M,79.00M,,-12.00M,,107.00M,,398.00M,-351.00M,14.00M,-337.00M,113.00M,129.00M,-81.00M,-176.00M,,,713.00M,34.00M,-636.00M,-602.00M,,-77.00M,,22.00M,56.00M,507.00M,278.00M,4.00M,789.00M,34.00M,,,-636.00M
2007-09,270.00M,,,,,,9.00M,129.00M,129.00M,-20.00M,,,,24.00M,-3.00M,3.00M,3.00M,103.00M,,58.00M,,164.00M,,576.00M,-174.00M,17.00M,-157.00M,,0.00,17.00M,-140.00M,,,-19.00M,15.00M,-297.00M,-282.00M,,-77.00M,,10.00M,-368.00M,436.00M,68.00M,3.00M,507.00M,15.00M,,,-297.00M
2007-06,214.00M,,,,,,-16.00M,121.00M,121.00M,-1.00M,,,,-10.00M,-4.00M,0.00,7.00M,-29.00M,,-29.00M,,-55.00M,,253.00M,-124.00M,13.00M,-111.00M,-34.00M,5.00M,66.00M,-74.00M,,,167.00M,35.00M,-231.00M,-196.00M,,-79.00M,,18.00M,-90.00M,341.00M,89.00M,6.00M,436.00M,35.00M,,,-231.00M
2007-03,194.00M,,,,,,-10.00M,112.00M,112.00M,-11.00M,,,,59.00M,-12.00M,-4.00M,-6.00M,-35.00M,,53.00M,,-4.00M,,340.00M,-93.00M,12.00M,-81.00M,34.00M,,5.00M,-42.00M,,,-30.00M,28.00M,-246.00M,-218.00M,,-40.00M,,12.00M,-276.00M,319.00M,22.00M,,341.00M,28.00M,,,-246.00M
2006-12,232.00M,,,,,,-24.00M,160.00M,160.00M,17.00M,,,,15.00M,2.00M,-10.00M,-23.00M,-15.00M,,-59.00M,,-105.00M,,295.00M,-291.00M,24.00M,-267.00M,261.00M,118.00M,-288.00M,-176.00M,,,23.00M,49.00M,-130.00M,-81.00M,,-40.00M,,22.00M,-76.00M,271.00M,43.00M,5.00M,319.00M,49.00M,,,-130.00M
2006-09,230.00M,,,,,,-75.00M,109.00M,109.00M,11.00M,,,,73.00M,-3.00M,6.00M,14.00M,35.00M,,49.00M,,101.00M,,449.00M,-137.00M,7.00M,-130.00M,-11.00M,-48.00M,48.00M,-141.00M,,,51.00M,9.00M,-324.00M,-315.00M,,-41.00M,,1.00M,-304.00M,267.00M,4.00M,0.00,271.00M,9.00M,,,-324.00M
