,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.448B,1.448B,725.00M,723.00M,257.00M,257.00M,-1.00M,161.00M,,-161.00M,,257.00M,466.00M,,161.00M,-161.00M,11.00M,-161.00M,316.00M,33.00M,283.00M,,,,283.00M,269.58M,524.00M,47.00M,477.00M,0.94,,,0.8957,0.94,0.92,,,0.8763,0.92,303.00M,307.00M,0.47
2020-06,1.198B,1.198B,649.00M,549.00M,259.00M,259.00M,2.00M,132.00M,,-132.00M,,259.00M,290.00M,,132.00M,-132.00M,99.00M,-132.00M,257.00M,51.00M,206.00M,,,,206.00M,125.00M,415.00M,26.00M,389.00M,0.68,,,0.4127,0.68,0.67,,,0.4062,0.67,303.00M,307.00M,0.47
2020-03,1.263B,1.263B,666.00M,597.00M,208.00M,208.00M,-127.00M,118.00M,,-118.00M,,208.00M,389.00M,,118.00M,-118.00M,-176.00M,-118.00M,95.00M,12.00M,83.00M,,,,83.00M,234.38M,240.00M,27.00M,213.00M,0.28,,,0.7812,0.28,0.27,,,0.7631,0.27,302.00M,307.00M,0.47
2019-12,1.694B,1.694B,868.00M,826.00M,300.00M,300.00M,14.00M,132.00M,,-132.00M,,300.00M,526.00M,,132.00M,-132.00M,3.00M,-132.00M,397.00M,-91.00M,488.00M,,,,488.00M,485.81M,557.00M,28.00M,529.00M,1.61,,,1.6030000000000002,1.61,1.58,,,1.5730000000000002,1.58,303.00M,310.00M,0.42
2019-09,1.339B,1.339B,660.00M,679.00M,208.00M,208.00M,9.00M,120.00M,,-120.00M,,208.00M,471.00M,,120.00M,-120.00M,-51.00M,-120.00M,300.00M,45.00M,255.00M,,,,255.00M,297.45M,450.00M,30.00M,420.00M,0.83,,,0.9687,0.83,0.81,,,0.9456,0.81,306.00M,313.00M,0.42
2019-06,1.31B,1.31B,639.00M,671.00M,198.00M,198.00M,3.00M,119.00M,,-119.00M,,198.00M,473.00M,,119.00M,-119.00M,23.00M,-119.00M,377.00M,88.00M,289.00M,,,,289.00M,271.36M,524.00M,28.00M,496.00M,0.94,,,0.8825,0.94,0.92,,,0.8638,0.92,307.00M,314.00M,0.42
2019-03,1.254B,1.254B,616.00M,638.00M,211.00M,211.00M,6.00M,115.00M,,-115.00M,,211.00M,427.00M,,115.00M,-115.00M,-13.00M,-115.00M,299.00M,37.00M,262.00M,,,,262.00M,270.77M,440.00M,26.00M,414.00M,0.85,,,0.8785,0.85,0.83,,,0.8578,0.83,308.00M,315.00M,0.42
2018-12,1.558B,1.558B,811.00M,747.00M,264.00M,264.00M,249.00M,122.00M,,-122.00M,,264.00M,483.00M,,122.00M,-122.00M,78.00M,-122.00M,439.00M,105.00M,334.00M,,,,334.00M,279.22M,595.00M,34.00M,561.00M,1.07,,,0.895,1.07,1.04,,,0.8688,1.04,313.00M,320.00M,0.36
2018-09,1.391B,1.391B,727.00M,664.00M,204.00M,204.00M,100.00M,111.00M,,-111.00M,,204.00M,460.00M,,111.00M,-111.00M,185.00M,-111.00M,534.00M,80.00M,454.00M,,,,454.00M,287.60M,677.00M,32.00M,645.00M,1.43,,,0.9067,1.43,1.4,,,0.888,1.4,318.00M,325.00M,0.36
2018-06,1.368B,1.368B,735.00M,633.00M,208.00M,208.00M,29.00M,112.00M,,-112.00M,,208.00M,425.00M,,112.00M,-112.00M,44.00M,-112.00M,357.00M,36.00M,321.00M,,,,321.00M,274.15M,503.00M,34.00M,469.00M,0.99,,,0.8454,0.99,0.97,,,0.8285,0.97,324.00M,331.00M,0.36
