,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-03,481.00M,,481.00M,268.00M,268.00M,130.00M,197.00M,,129.00M,95.00M,1.30B,,,,,,,7.227B,-3.42B,3.807B,661.00M,327.00M,988.00M,,308.00M,510.00M,5.613B,6.913B,1.468B,,,1.468B,,1.468B,,,312.00M,,312.00M,180.00M,1.96B,3.372B,,3.372B,,,,,1.202B,4.574B,6.534B,,374.00M,,,,5.00M,379.00M
2007-12,789.00M,,789.00M,225.00M,225.00M,128.00M,142.00M,,125.00M,72.00M,1.481B,0.0,548.00M,3.933B,2.651B,,,7.132B,-3.283B,3.849B,672.00M,333.00M,1.005B,,290.00M,617.00M,5.761B,7.242B,639.00M,,,639.00M,372.00M,1.011B,,,288.00M,,288.00M,763.00M,2.062B,2.924B,,2.924B,,,,,1.117B,4.041B,6.103B,,1.119B,,94.00M,-74.00M,20.00M,1.139B
2007-09,507.00M,,507.00M,250.00M,250.00M,96.00M,139.00M,,97.00M,76.00M,1.165B,,,,,,,6.861B,-3.261B,3.60B,675.00M,336.00M,1.011B,,294.00M,528.00M,5.433B,6.598B,1.40B,,,1.40B,,1.40B,,,291.00M,,291.00M,175.00M,1.866B,2.124B,,2.124B,,,,,1.186B,3.31B,5.176B,,1.541B,,,,-119.00M,1.422B
2007-06,436.00M,,436.00M,252.00M,252.00M,98.00M,152.00M,,90.00M,76.00M,1.104B,,,,,,,6.758B,-3.206B,3.552B,656.00M,340.00M,996.00M,,265.00M,513.00M,5.326B,6.43B,1.264B,,,1.264B,,1.264B,,,306.00M,,306.00M,125.00M,1.695B,2.088B,,2.088B,,,,,1.19B,3.278B,4.973B,,1.579B,,,,-122.00M,1.457B
2007-03,341.00M,,341.00M,278.00M,278.00M,97.00M,147.00M,,88.00M,90.00M,1.041B,,,,,,,6.731B,-3.161B,3.57B,660.00M,343.00M,1.003B,,288.00M,477.00M,5.338B,6.379B,1.278B,,,1.278B,,1.278B,,,34.00M,,34.00M,176.00M,1.488B,2.208B,,2.208B,,,,,1.224B,3.432B,4.92B,,1.613B,,,,-154.00M,1.459B
2006-12,319.00M,,319.00M,220.00M,220.00M,93.00M,138.00M,,57.00M,74.00M,901.00M,0.0,541.00M,3.67B,2.566B,,,6.777B,-3.146B,3.631B,662.00M,347.00M,1.009B,,320.00M,507.00M,5.467B,6.368B,1.386B,,,1.386B,,1.386B,,,227.00M,,227.00M,111.00M,1.724B,2.045B,,2.045B,,,,,1.147B,3.192B,4.916B,0.00,,1.608B,,,-156.00M,1.452B
2006-09,271.00M,123.00M,394.00M,223.00M,223.00M,80.00M,90.00M,,150.00M,99.00M,1.036B,,,,,,,6.27B,-2.994B,3.276B,546.00M,338.00M,884.00M,,,705.00M,4.865B,5.901B,1.212B,,,1.212B,,1.212B,,,173.00M,,173.00M,202.00M,1.587B,1.932B,,1.932B,,,,,1.054B,2.986B,4.573B,,1.462B,,,,-134.00M,1.328B
2006-06,267.00M,74.00M,341.00M,223.00M,223.00M,84.00M,100.00M,,158.00M,97.00M,1.003B,,,,,,,6.245B,-2.945B,3.30B,540.00M,341.00M,881.00M,,,680.00M,4.861B,5.864B,1.185B,,,1.185B,,1.185B,,,13.00M,,13.00M,161.00M,1.359B,2.027B,,2.027B,,,,,1.073B,3.10B,4.459B,,1.548B,,,,-143.00M,1.405B
2006-03,134.00M,61.00M,195.00M,258.00M,258.00M,84.00M,95.00M,,159.00M,102.00M,893.00M,,,,,,,6.171B,-2.876B,3.295B,540.00M,327.00M,867.00M,,,662.00M,4.824B,5.717B,1.208B,,,1.208B,,1.208B,,,223.00M,,223.00M,220.00M,1.651B,1.71B,,1.71B,,,,,1.026B,2.736B,4.387B,,1.484B,,,,-154.00M,1.33B
2005-12,158.00M,43.00M,201.00M,236.00M,236.00M,85.00M,75.00M,,181.00M,77.00M,855.00M,0.0,567.00M,3.22B,2.399B,,,6.186B,-2.83B,3.356B,538.00M,330.00M,868.00M,,225.00M,493.00M,4.942B,5.797B,1.256B,,,1.256B,,1.256B,,,211.00M,,211.00M,156.00M,1.623B,1.649B,,1.649B,,,,,1.076B,2.725B,4.348B,,1.619B,,,,-170.00M,1.449B
2005-09,263.00M,89.00M,352.00M,227.00M,227.00M,74.00M,81.00M,,157.00M,76.00M,967.00M,,,,,,,6.172B,-2.799B,3.373B,,882.00M,882.00M,,,652.00M,4.907B,5.874B,1.24B,,,1.24B,,1.24B,,,213.00M,,213.00M,212.00M,1.665B,1.59B,,1.59B,,,,,1.019B,2.609B,4.274B,174.00M,1.573B,,,,-147.00M,1.60B
2005-06,113.00M,87.00M,200.00M,212.00M,212.00M,77.00M,91.00M,,143.00M,78.00M,801.00M,,,,,,,6.104B,-2.733B,3.371B,,890.00M,890.00M,,,613.00M,4.874B,5.675B,1.214B,,,1.214B,,1.214B,,,222.00M,,222.00M,138.00M,1.574B,1.562B,,1.562B,,,,,992.00M,2.554B,4.128B,328.00M,1.359B,,,,-140.00M,1.547B
2005-03,118.00M,74.00M,192.00M,200.00M,200.00M,81.00M,149.00M,,147.00M,76.00M,845.00M,,,,,,,6.051B,-2.618B,3.433B,,897.00M,897.00M,,,623.00M,4.953B,5.798B,1.184B,,,1.184B,,1.184B,,,16.00M,,16.00M,178.00M,1.378B,1.708B,,1.708B,,,,,1.004B,2.712B,4.09B,628.00M,1.205B,,,,-125.00M,1.708B
2004-12,62.00M,54.00M,116.00M,192.00M,192.00M,76.00M,142.00M,,156.00M,65.00M,747.00M,0.0,617.00M,3.103B,2.337B,,,6.057B,-2.618B,3.439B,,900.00M,900.00M,,,610.00M,4.949B,5.696B,1.189B,,,1.189B,,1.189B,,,11.00M,,11.00M,176.00M,1.376B,1.731B,,1.731B,,,,,994.00M,2.725B,4.101B,659.00M,1.067B,,,,-131.00M,1.595B
2004-09,387.00M,61.00M,448.00M,168.00M,168.00M,72.00M,98.00M,,153.00M,167.00M,1.106B,,,,,,,5.643B,-2.326B,3.317B,,910.00M,910.00M,,,651.00M,4.878B,5.984B,1.176B,,,1.176B,,1.176B,,,375.00M,,375.00M,217.00M,1.768B,1.699B,,1.699B,,,,,1.003B,2.702B,4.47B,823.00M,890.00M,,,,-199.00M,1.514B
2004-06,183.00M,42.00M,225.00M,178.00M,178.00M,73.00M,109.00M,,165.00M,171.00M,921.00M,,,,,,,5.577B,-2.326B,3.251B,,878.00M,878.00M,,,633.00M,4.762B,5.683B,1.097B,,,1.097B,,1.097B,,,379.00M,,379.00M,266.00M,1.742B,1.669B,,1.669B,,,,,999.00M,2.668B,4.41B,783.00M,705.00M,,,,-215.00M,1.273B
2004-03,129.00M,25.00M,154.00M,204.00M,204.00M,71.00M,118.00M,,165.00M,104.00M,816.00M,,,,,,,5.607B,-2.326B,3.281B,,882.00M,882.00M,,,715.00M,4.878B,5.694B,1.236B,,,1.236B,,1.236B,,,17.00M,,17.00M,209.00M,1.462B,2.054B,,2.054B,,,,,986.00M,3.04B,4.502B,802.00M,556.00M,,,,-166.00M,1.192B
2003-12,192.00M,15.00M,207.00M,169.00M,169.00M,67.00M,102.00M,,165.00M,96.00M,806.00M,0.0,662.00M,2.98B,1.964B,,,5.606B,-2.326B,3.28B,,878.00M,878.00M,,,656.00M,4.814B,5.62B,1.213B,,,1.213B,,1.213B,,,10.00M,,10.00M,238.00M,1.461B,2.056B,,2.056B,,,,,983.00M,3.039B,4.50B,916.00M,414.00M,,,,-210.00M,1.12B
2003-09,298.00M,26.00M,324.00M,186.00M,186.00M,67.00M,107.00M,,121.00M,95.00M,900.00M,,,,,,,5.292B,-2.164B,3.128B,,854.00M,854.00M,,,773.00M,4.755B,5.655B,1.199B,,,1.199B,,1.199B,,,97.00M,,97.00M,268.00M,1.564B,2.046B,,2.046B,,,,,1.042B,3.088B,4.652B,1.024B,200.00M,,,,-221.00M,1.003B
2003-06,164.00M,26.00M,190.00M,204.00M,204.00M,67.00M,120.00M,,121.00M,101.00M,803.00M,,,,,,,5.273B,-2.164B,3.109B,,851.00M,851.00M,,,846.00M,4.806B,5.609B,1.131B,,,1.131B,,1.131B,,,99.00M,,99.00M,256.00M,1.486B,2.272B,,2.272B,,,,,1.021B,3.293B,4.779B,1.008B,36.00M,,,,-214.00M,830.00M
2003-03,175.00M,39.00M,214.00M,175.00M,175.00M,70.00M,128.00M,,121.00M,100.00M,808.00M,,,,,,,5.229B,-2.164B,3.065B,,849.00M,849.00M,,,816.00M,4.73B,5.538B,1.11B,,,1.11B,,1.11B,,,123.00M,,123.00M,211.00M,1.444B,2.391B,,2.391B,,,,,1.013B,3.404B,4.848B,1.019B,-86.00M,,,,-243.00M,690.00M
2002-12,130.00M,27.00M,157.00M,168.00M,168.00M,63.00M,110.00M,,121.00M,111.00M,730.00M,0.0,621.00M,2.844B,1.736B,,,5.201B,-2.164B,3.037B,,849.00M,849.00M,,,784.00M,4.67B,5.40B,1.166B,,,1.166B,,1.166B,,,146.00M,,146.00M,208.00M,1.52B,2.299B,,2.299B,,,,,987.00M,3.286B,4.806B,1.046B,-203.00M,,,,-249.00M,594.00M
2002-09,186.00M,39.00M,225.00M,163.00M,163.00M,63.00M,77.00M,,83.00M,8.00M,619.00M,,,,,,,5.043B,-2.121B,2.922B,301.00M,104.00M,405.00M,,,1.212B,4.539B,5.158B,1.031B,,,1.031B,,1.031B,,,138.00M,,138.00M,256.00M,1.425B,2.317B,,2.317B,,,,,883.00M,3.20B,4.625B,1.095B,-375.00M,,,,-187.00M,533.00M
2002-06,169.00M,31.00M,200.00M,188.00M,188.00M,77.00M,82.00M,,83.00M,,630.00M,,,,,,,4.945B,-2.121B,2.824B,,403.00M,403.00M,,,1.216B,4.443B,5.073B,994.00M,,,994.00M,,994.00M,,,168.00M,,168.00M,286.00M,1.448B,2.367B,,2.367B,,,,,862.00M,3.229B,4.677B,1.132B,-522.00M,,,,-214.00M,396.00M
2002-03,136.00M,42.00M,178.00M,170.00M,170.00M,60.00M,90.00M,,83.00M,,581.00M,,,,,,,4.871B,-2.121B,2.75B,,395.00M,395.00M,,,676.00M,3.821B,4.402B,919.00M,,,919.00M,,919.00M,,,588.00M,,588.00M,264.00M,1.771B,1.547B,,1.547B,,,,,820.00M,2.367B,4.138B,1.144B,-662.00M,,,,-218.00M,264.00M
2001-12,110.00M,35.00M,145.00M,190.00M,190.00M,56.00M,114.00M,,79.00M,44.00M,628.00M,0.0,572.00M,2.66B,1.628B,,,4.86B,-2.123B,2.737B,,458.00M,458.00M,,,602.00M,3.797B,4.425B,1.032B,,,1.032B,,1.032B,,,696.00M,,696.00M,114.00M,1.842B,1.552B,,1.552B,,,,,927.00M,2.479B,4.321B,1.097B,-786.00M,,,,-207.00M,104.00M
2001-09,184.00M,65.00M,249.00M,207.00M,207.00M,54.00M,92.00M,,76.00M,,678.00M,,,,,,,4.721B,-2.056B,2.665B,,474.00M,474.00M,,,552.00M,3.691B,4.369B,961.00M,,,961.00M,,961.00M,,,214.00M,,214.00M,233.00M,1.408B,2.159B,,2.159B,,,,,863.00M,3.022B,4.43B,1.071B,-950.00M,,,,-182.00M,-61.00M
2001-06,183.00M,75.00M,258.00M,239.00M,239.00M,54.00M,,,78.00M,99.00M,728.00M,,,,,,,4.678B,-2.056B,2.622B,,456.00M,456.00M,,,551.00M,3.629B,4.357B,927.00M,,,927.00M,,927.00M,,,158.00M,,158.00M,210.00M,1.295B,2.342B,,2.342B,,,,,837.00M,3.179B,4.474B,1.136B,-1.074B,,,,-179.00M,-117.00M
2001-03,158.00M,77.00M,235.00M,256.00M,256.00M,48.00M,107.00M,,78.00M,,724.00M,,,,,,,4.61B,-2.056B,2.554B,,456.00M,456.00M,,,568.00M,3.578B,4.302B,967.00M,,,967.00M,,967.00M,,,101.00M,,101.00M,173.00M,1.241B,2.427B,,2.427B,1.00M,1.00M,,,847.00M,3.275B,4.516B,1.139B,-1.19B,,,,-163.00M,-214.00M
2000-12,133.00M,63.00M,196.00M,,302.00M,47.00M,,,,143.00M,688.00M,,,,,,,4.596B,-2.056B,2.54B,,419.00M,419.00M,,,502.00M,3.461B,4.149B,978.00M,,,978.00M,,978.00M,,,90.00M,,90.00M,148.00M,1.216B,2.397B,,2.397B,10.00M,10.00M,,,848.00M,3.255B,4.471B,1.133B,-1.278B,,,,-177.00M,-322.00M
2000-09,115.00M,61.00M,176.00M,,389.00M,127.00M,,,,117.00M,809.00M,,,,,,,4.624B,-2.145B,2.479B,,446.00M,446.00M,,,562.00M,3.487B,4.296B,1.266B,,,1.266B,,1.266B,,,114.00M,,114.00M,117.00M,1.497B,2.388B,,2.388B,10.00M,10.00M,,,849.00M,3.247B,4.744B,1.111B,-1.406B,,,,-153.00M,-448.00M
2000-06,157.00M,58.00M,215.00M,,422.00M,127.00M,,,,121.00M,885.00M,,,,,,,4.683B,-2.201B,2.482B,,475.00M,475.00M,,,469.00M,3.426B,4.311B,1.172B,,,1.172B,,1.172B,,,122.00M,,122.00M,151.00M,1.445B,2.542B,,2.542B,6.00M,6.00M,,,826.00M,3.374B,4.819B,1.106B,-1.465B,,,,-149.00M,-508.00M
2000-03,102.00M,122.00M,224.00M,,386.00M,137.00M,,,,142.00M,889.00M,,,,,,,4.789B,-2.261B,2.528B,,495.00M,495.00M,,,460.00M,3.483B,4.372B,1.127B,,,1.127B,,1.127B,,,205.00M,,205.00M,163.00M,1.495B,2.583B,,2.583B,7.00M,7.00M,,,815.00M,3.405B,4.90B,1.176B,-1.57B,,,,-134.00M,-528.00M
1999-12,89.00M,48.00M,137.00M,161.00M,161.00M,61.00M,,,,127.00M,486.00M,,,,,,,4.81B,-2.279B,2.531B,,527.00M,527.00M,,,417.00M,3.475B,3.961B,1.085B,,,1.085B,,1.085B,,,117.00M,,117.00M,96.00M,1.298B,2.391B,,2.391B,7.00M,7.00M,,,825.00M,3.223B,4.521B,1.264B,-1.691B,,,,-133.00M,-560.00M
1999-09,151.00M,165.00M,316.00M,,170.00M,60.00M,,,,206.00M,752.00M,,,,,,,4.943B,-2.382B,2.561B,,568.00M,568.00M,,,372.00M,3.501B,4.253B,1.073B,,,1.073B,,1.073B,,,92.00M,,92.00M,308.00M,1.473B,2.605B,,2.605B,,,,,791.00M,3.396B,4.869B,1.366B,-1.836B,,-146.00M,,-146.00M,-616.00M
1999-06,166.00M,,166.00M,,214.00M,68.00M,,,,336.00M,784.00M,,,,,,,5.207B,-2.512B,2.695B,,599.00M,599.00M,,,341.00M,3.635B,4.419B,1.123B,,,1.123B,,1.123B,,,88.00M,,88.00M,217.00M,1.428B,3.045B,,3.045B,,,,,767.00M,3.812B,5.24B,,-2.033B,,,,,-821.00M
1999-03,110.00M,,110.00M,,181.00M,63.00M,,,,312.00M,666.00M,,,,,,,5.41B,-2.595B,2.815B,,620.00M,620.00M,,,362.00M,3.797B,4.463B,1.07B,,,1.07B,,1.07B,,,116.00M,,116.00M,173.00M,1.359B,3.333B,,3.333B,,,,,775.00M,4.108B,5.467B,,-2.212B,,,,,-1.004B
1998-12,121.00M,,121.00M,,155.00M,68.00M,,,,281.00M,625.00M,,,,,,,5.487B,-2.591B,2.896B,,651.00M,651.00M,,,359.00M,3.906B,4.531B,476.00M,,,476.00M,,476.00M,,,96.00M,,96.00M,901.00M,1.473B,3.436B,,3.436B,65.00M,65.00M,,,720.00M,4.221B,5.694B,,-2.318B,,,,,-1.163B
1998-09,145.00M,,145.00M,,148.00M,66.00M,,,,283.00M,642.00M,,,,,,,5.95B,-2.998B,2.952B,,679.00M,679.00M,,,343.00M,3.974B,4.616B,1.226B,,,1.226B,,1.226B,,,109.00M,,109.00M,285.00M,1.62B,3.725B,,3.725B,,,,,646.00M,4.371B,5.991B,,-2.469B,,,,,-1.375B
1998-06,202.00M,,202.00M,,190.00M,67.00M,,,,264.00M,723.00M,,,,,,,5.858B,-2.809B,3.049B,,721.00M,721.00M,,,336.00M,4.106B,4.829B,1.211B,,,1.211B,,1.211B,,,89.00M,,89.00M,260.00M,1.56B,4.134B,,4.134B,,,,,620.00M,4.754B,6.314B,,-2.597B,,,,,-1.485B
