,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,982.00M,,982.00M,501.00M,501.00M,,406.00M,,,,1.889B,,,,,,,3.118B,-1.467B,1.651B,514.00M,105.00M,619.00M,,187.00M,490.00M,2.947B,4.836B,924.00M,,124.00M,1.048B,,1.048B,,61.00M,61.00M,,61.00M,,1.109B,9.419B,,9.419B,,,,,1.062B,10.48B,11.59B,0.00,-6.539B,,,,-215.00M,-6.754B
2017-12,1.522B,,1.522B,400.00M,575.00M,,112.00M,261.00M,,,2.507B,0.0,452.00M,1.784B,700.00M,,,2.936B,-1.342B,1.594B,512.00M,214.00M,726.00M,,139.00M,345.00M,2.804B,5.311B,119.00M,0.00,213.00M,332.00M,9.00M,341.00M,,,375.00M,,375.00M,544.00M,1.512B,9.429B,,9.429B,,,,,704.00M,10.13B,11.64B,0.00,-6.063B,,,,-271.00M,-6.334B
2017-09,980.00M,,980.00M,358.00M,358.00M,15.00M,465.00M,181.00M,,,1.999B,,,,,,,3.622B,-1.761B,1.861B,525.00M,116.00M,641.00M,,649.00M,304.00M,3.455B,5.454B,823.00M,,27.00M,850.00M,,850.00M,,372.00M,372.00M,,372.00M,181.00M,1.403B,9.479B,,9.479B,,,,,693.00M,10.17B,11.58B,0.00,-5.817B,,,,-304.00M,-6.121B
2017-06,970.00M,,970.00M,356.00M,356.00M,31.00M,267.00M,161.00M,,,1.785B,,,,,,,4.011B,-1.99B,2.021B,540.00M,147.00M,687.00M,,763.00M,340.00M,3.811B,5.596B,929.00M,,13.00M,942.00M,,942.00M,,375.00M,375.00M,,375.00M,161.00M,1.478B,9.474B,,9.474B,,,,,746.00M,10.22B,11.70B,0.00,-5.71B,,,,-392.00M,-6.102B
2017-03,525.00M,,525.00M,355.00M,355.00M,34.00M,215.00M,148.00M,,,1.277B,,,,,,,4.092B,-2.008B,2.084B,539.00M,150.00M,689.00M,,744.00M,357.00M,3.874B,5.151B,972.00M,,45.00M,1.017B,,1.017B,,393.00M,393.00M,,393.00M,148.00M,1.558B,8.715B,,8.715B,,,,,690.00M,9.405B,10.96B,0.00,-5.433B,,,,-379.00M,-5.812B
2016-12,725.00M,,725.00M,370.00M,414.00M,37.00M,135.00M,137.00M,,,1.505B,0.0,438.00M,2.29B,1.38B,,,4.108B,-1.995B,2.113B,536.00M,151.00M,687.00M,,772.00M,376.00M,3.948B,5.453B,142.00M,106.00M,102.00M,350.00M,39.00M,389.00M,,66.00M,66.00M,,66.00M,479.00M,1.306B,9.059B,,9.059B,,,,,703.00M,9.762B,11.07B,,-5.157B,,,,-458.00M,-5.615B
2016-09,2.885B,,2.885B,440.00M,440.00M,255.00M,287.00M,136.00M,,,4.003B,,,,,,,7.708B,-3.698B,4.01B,635.00M,258.00M,893.00M,64.00M,900.00M,562.00M,6.429B,10.43B,2.058B,,57.00M,2.115B,,2.115B,,48.00M,48.00M,,48.00M,136.00M,2.299B,9.119B,,9.119B,,,66.00M,0.00,844.00M,9.963B,12.26B,0.00,-1.572B,,,,-324.00M,-1.896B
2016-06,795.00M,,795.00M,395.00M,395.00M,255.00M,332.00M,102.00M,,,1.879B,,,,,,,7.795B,-3.699B,4.096B,649.00M,264.00M,913.00M,46.00M,722.00M,528.00M,6.305B,8.184B,2.016B,,122.00M,2.138B,,2.138B,0.00,39.00M,39.00M,,39.00M,102.00M,2.279B,5.324B,,5.324B,,,58.00M,0.00,912.00M,6.236B,8.515B,0.00,-123.00M,,,,-266.00M,-389.00M
2016-03,934.00M,,934.00M,418.00M,418.00M,210.00M,279.00M,122.00M,,,1.963B,,,,,,,7.793B,-3.682B,4.111B,644.00M,265.00M,909.00M,36.00M,702.00M,500.00M,6.258B,8.221B,2.055B,,150.00M,2.205B,,2.205B,,,2.321B,,2.321B,122.00M,4.648B,2.51B,,2.51B,,,54.00M,7.00M,846.00M,3.363B,8.011B,2.00M,454.00M,,,,-300.00M,156.00M
2015-12,313.00M,,313.00M,324.00M,363.00M,40.00M,84.00M,103.00M,,,1.687B,0.0,480.00M,2.40B,1.515B,,,4.395B,-2.048B,2.347B,571.00M,164.00M,735.00M,,591.00M,2.701B,6.374B,8.061B,181.00M,197.00M,129.00M,507.00M,46.00M,553.00M,600.00M,321.00M,921.00M,,921.00M,1.332B,3.087B,3.007B,,3.007B,,,58.00M,6.00M,745.00M,4.005B,7.092B,0.00,1.15B,,,,-239.00M,911.00M
