,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,1.323B,1.323B,256.00M,1.067B,362.00M,169.00M,531.00M,325.00M,2.00M,,8.00M,3.00M,-5.00M,,858.00M,209.00M,3.00M,8.00M,-5.00M,6.00M,-5.00M,210.00M,12.00M,198.00M,,198.00M,198.00M,264.00M,46.00M,218.00M,0.75,,,0.75,0.75,0.75,,,,2020-10,263.00M,265.00M,0.59,,2020-10,AOR,
2020-07,1.816B,1.816B,322.00M,1.494B,424.00M,193.00M,617.00M,393.00M,1.00M,,7.00M,6.00M,-1.00M,,1.011B,483.00M,6.00M,7.00M,-1.00M,4.00M,-1.00M,486.00M,41.00M,445.00M,,445.00M,445.00M,543.00M,50.00M,493.00M,1.70,,,1.70,1.70,1.68,,,,2020-07,261.00M,264.00M,0.53,,2020-07,AOR,
2020-04,3.002B,3.002B,426.00M,2.576B,648.00M,181.00M,829.00M,332.00M,2.00M,,2.00M,10.00M,8.00M,,1.163B,1.413B,10.00M,2.00M,8.00M,-13.00M,8.00M,1.408B,324.00M,1.084B,,1.084B,1.084B,1.464B,54.00M,1.41B,4.15,,,4.15,4.15,4.11,,,,2020-04,261.00M,264.00M,0.53,,2020-04,AOR,
2020-01,1.696B,1.696B,340.00M,1.356B,593.00M,159.00M,752.00M,333.00M,1.00M,,3.00M,11.00M,8.00M,,1.086B,270.00M,11.00M,3.00M,8.00M,4.00M,8.00M,282.00M,42.00M,240.00M,,240.00M,240.00M,342.00M,57.00M,285.00M,0.92,,,0.92,0.92,0.91,,,,2020-01,261.00M,264.00M,0.53,,2020-01,AOR,
2019-10,1.165B,1.165B,290.00M,875.00M,383.00M,146.00M,529.00M,334.00M,2.00M,,2.00M,12.00M,10.00M,,865.00M,10.00M,12.00M,2.00M,10.00M,2.00M,10.00M,22.00M,-35.00M,57.00M,,57.00M,57.00M,81.00M,57.00M,24.00M,0.22,,,0.22,0.22,0.22,,,,2019-10,261.00M,264.00M,0.53,,2019-10,AOR,Restated
2019-07,994.00M,994.00M,281.00M,713.00M,381.00M,150.00M,531.00M,333.00M,2.00M,,3.00M,19.00M,16.00M,,866.00M,-153.00M,19.00M,3.00M,16.00M,0.00,16.00M,-137.00M,-93.00M,-44.00M,,-44.00M,-44.00M,-75.00M,59.00M,-134.00M,-0.17,,,-0.17,-0.17,-0.17,,,,2019-07,260.00M,264.00M,0.47,,2019-07,AOR,Restated
2019-04,3.272B,3.272B,354.00M,2.918B,652.00M,170.00M,822.00M,311.00M,1.00M,,4.00M,14.00M,10.00M,,1.134B,1.784B,14.00M,4.00M,10.00M,3.00M,10.00M,1.797B,419.00M,1.378B,,1.378B,1.378B,1.855B,54.00M,1.801B,5.30,,,5.30,5.30,5.22,,,,2019-04,260.00M,264.00M,0.47,,2019-04,AOR,Restated
2019-01,1.502B,1.502B,285.00M,1.217B,548.00M,140.00M,688.00M,295.00M,1.00M,,4.00M,6.00M,2.00M,,984.00M,233.00M,6.00M,4.00M,2.00M,,2.00M,235.00M,46.00M,189.00M,,189.00M,189.00M,294.00M,55.00M,239.00M,0.73,,,0.73,0.73,0.72,,,,2019-01,260.00M,264.00M,0.47,,2019-01,AOR,Restated
2018-10,1.016B,1.016B,247.00M,769.00M,346.00M,137.00M,483.00M,294.00M,2.00M,,4.00M,7.00M,3.00M,,779.00M,-10.00M,7.00M,4.00M,3.00M,-7.00M,3.00M,-14.00M,-48.00M,34.00M,,34.00M,34.00M,47.00M,57.00M,-10.00M,0.13,,,0.13,0.13,0.13,,,,2018-10,260.00M,264.00M,0.47,,2018-10,AOR,Restated
2018-07,864.00M,864.00M,229.00M,635.00M,305.00M,217.00M,522.00M,311.00M,2.00M,,4.00M,10.00M,6.00M,,835.00M,-200.00M,10.00M,4.00M,6.00M,1.00M,6.00M,-193.00M,-155.00M,-38.00M,,-38.00M,-38.00M,-127.00M,62.00M,-189.00M,0.19,,,0.19,0.19,0.18,,,,2018-07,256.00M,264.00M,0.39,,2018-07,AOR,Restated
