,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-12,1.308B,1.308B,690.00M,618.00M,133.00M,85.00M,218.00M,137.00M,,26.00M,,-6.00M,7.00M,,-7.00M,,381.00M,237.00M,,7.00M,-7.00M,-14.00M,-7.00M,216.00M,17.00M,199.00M,,,199.00M,207.29M,266.00M,43.00M,223.00M,,3.73,,,3.885,3.73,,3.70,,,3.854,3.70,,53.38M,53.81M,,AOR,
2020-09,1.132B,1.132B,639.00M,493.00M,119.00M,71.00M,190.00M,113.00M,,20.00M,,-20.00M,10.00M,,-10.00M,,323.00M,170.00M,,10.00M,-10.00M,-22.00M,-10.00M,138.00M,22.00M,116.00M,,,116.00M,135.34M,183.00M,35.00M,148.00M,,2.18,,,2.543,2.18,,2.16,,,2.520,2.16,,53.30M,53.72M,,AOR,
2020-06,956.00M,956.00M,537.00M,419.00M,109.00M,74.00M,183.00M,98.00M,,16.00M,,-3.00M,14.00M,,-14.00M,,297.00M,122.00M,,14.00M,-14.00M,-5.00M,-14.00M,103.00M,3.00M,100.00M,,,100.00M,111.65M,151.00M,34.00M,117.00M,,1.87,,,2.089,1.87,,1.85,,,2.067,1.85,,53.19M,53.68M,,AOR,
2020-03,1.052B,1.052B,579.00M,473.00M,122.00M,74.00M,196.00M,105.00M,,16.00M,,-5.00M,45.00M,,-45.00M,,317.00M,156.00M,,45.00M,-45.00M,-8.00M,-45.00M,103.00M,14.00M,89.00M,,,89.00M,95.91M,182.00M,34.00M,148.00M,,1.66,,,1.789,1.66,,1.65,,,1.777,1.65,,53.76M,54.32M,,AOR,
2019-12,1.192B,1.192B,648.00M,544.00M,130.00M,79.00M,209.00M,118.00M,,19.00M,,-10.00M,4.00M,,-4.00M,,346.00M,198.00M,,4.00M,-4.00M,-15.00M,-4.00M,179.00M,10.00M,169.00M,,,169.00M,182.22M,219.00M,36.00M,183.00M,,3.13,,,3.375,3.13,,3.10,,,3.342,3.10,,53.97M,54.55M,,AOR,Restated
2019-09,1.13B,1.13B,595.00M,535.00M,124.00M,78.00M,202.00M,110.00M,,26.00M,,-12.00M,28.00M,,-28.00M,,338.00M,197.00M,,28.00M,-28.00M,-10.00M,-28.00M,159.00M,23.00M,136.00M,,,136.00M,144.55M,231.00M,44.00M,187.00M,,2.52,,,2.678,2.52,,2.50,,,2.656,2.50,,54.09M,54.64M,,AOR,Restated
2019-06,1.097B,1.097B,577.00M,520.00M,127.00M,90.00M,217.00M,108.00M,,30.00M,,-5.00M,33.00M,,-33.00M,,355.00M,165.00M,,33.00M,-33.00M,-3.00M,-33.00M,129.00M,5.00M,124.00M,,,124.00M,129.77M,210.00M,48.00M,162.00M,,2.28,,,2.387,2.28,,2.26,,,2.366,2.26,,54.03M,54.65M,,AOR,Restated
2019-03,1.066B,1.066B,565.00M,501.00M,122.00M,76.00M,198.00M,111.00M,,28.00M,,-5.00M,24.00M,,-24.00M,,337.00M,164.00M,,24.00M,-24.00M,-9.00M,-24.00M,131.00M,16.00M,115.00M,,,115.00M,122.02M,202.00M,47.00M,155.00M,,2.14,,,2.270,2.14,,2.12,,,2.249,2.12,,53.91M,54.55M,,AOR,Restated
2018-12,1.137B,1.137B,598.00M,539.00M,122.00M,89.00M,211.00M,121.00M,,26.00M,,-2.00M,39.00M,,-39.00M,,358.00M,181.00M,,39.00M,-39.00M,6.00M,-39.00M,148.00M,33.00M,115.00M,,,115.00M,116.55M,231.00M,44.00M,187.00M,,2.14,,,2.169,2.14,,2.11,,,2.139,2.11,,53.82M,54.49M,,AOR,Restated
2018-09,1.092B,1.092B,587.00M,505.00M,120.00M,75.00M,195.00M,113.00M,,25.00M,,-10.00M,18.00M,,-18.00M,,333.00M,172.00M,,18.00M,-18.00M,-11.00M,-18.00M,143.00M,16.00M,127.00M,,,127.00M,136.77M,206.00M,45.00M,161.00M,,2.37,,,2.552,2.37,,2.34,,,2.519,2.34,,53.74M,54.42M,,AOR,Restated
2018-06,1.012B,1.012B,540.00M,472.00M,121.00M,93.00M,214.00M,109.00M,,23.00M,,-1.00M,23.00M,,-23.00M,,346.00M,126.00M,,23.00M,-23.00M,-3.00M,-23.00M,100.00M,30.00M,70.00M,,,70.00M,73.50M,166.00M,43.00M,123.00M,,1.31,,,1.375,1.31,,1.29,,,1.355,1.29,,53.54M,54.26M,,AOR,Restated
2018-03,977.00M,977.00M,512.00M,465.00M,120.00M,71.00M,191.00M,101.00M,,23.00M,,-6.00M,11.00M,,-11.00M,,315.00M,150.00M,,11.00M,-11.00M,-6.00M,-11.00M,133.00M,24.00M,109.00M,,,109.00M,113.92M,187.00M,43.00M,144.00M,,2.04,,,2.132,2.04,,2.01,,,2.101,2.01,,53.29M,53.99M,,AOR,Restated
2017-12,1.026B,1.026B,557.00M,469.00M,112.00M,87.00M,199.00M,98.00M,,33.00M,,-6.00M,51.00M,,-51.00M,,330.00M,139.00M,,51.00M,-51.00M,-10.00M,-51.00M,78.00M,74.00M,4.00M,,,4.00M,9.40M,183.00M,54.00M,129.00M,,0.07,,,0.1715,0.07,,0.07,,,0.1703,0.07,,53.19M,53.86M,,AOR,Restated
2017-09,935.00M,935.00M,506.00M,429.00M,113.00M,71.00M,184.00M,96.00M,,49.00M,,-9.00M,95.00M,,-95.00M,,329.00M,100.00M,,95.00M,-95.00M,-12.00M,-95.00M,-7.00M,5.00M,-12.00M,,,-12.00M,-7.20M,156.00M,68.00M,88.00M,,-0.23,,,-0.1381,-0.23,,-0.23,,,-0.1381,-0.23,,52.22M,52.22M,,AOR,Restated
2017-06,896.00M,896.00M,485.00M,411.00M,114.00M,68.00M,182.00M,99.00M,,52.00M,,-20.00M,40.00M,,-40.00M,,333.00M,78.00M,,40.00M,-40.00M,-19.00M,-40.00M,19.00M,2.00M,17.00M,,,17.00M,33.11M,131.00M,72.00M,59.00M,,0.33,,,0.6398,0.33,,0.32,,,0.6232,0.32,,52.00M,53.13M,,AOR,Restated
