,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,921.18M,921.18M,750.90M,310.13M,1.061B,345.42M,246.90M,207.24M,714.49M,109.45M,,,,2.806B,,,,,1.847B,1.847B,-1.129B,717.86M,1.205B,171.25M,1.376B,32.21M,241.51M,2.367B,5.174B,,,428.87M,423.12M,851.99M,,8.581M,8.581M,34.63M,43.22M,198.38M,198.38M,,,1.094B,1.701B,133.35M,1.834B,,,,541.72M,30.42M,3.470B,,2020-09,220.99M,3.625B,6.10M,,-618.86M,-612.76M,1.673B,,2020-09,AOR,
2020-06,561.70M,561.70M,759.38M,309.15M,1.069B,340.94M,226.13M,198.83M,684.43M,115.89M,,,,2.431B,,,,,1.800B,1.800B,-1.086B,714.98M,1.188B,172.71M,1.360B,31.12M,218.60M,2.325B,4.756B,,,428.86M,401.04M,829.90M,,9.058M,9.058M,35.65M,44.71M,214.14M,214.14M,,,1.089B,1.367B,138.74M,1.506B,,,,470.40M,27.78M,3.065B,,2020-06,220.99M,3.644B,6.036M,,-643.17M,-637.14M,1.663B,,2020-06,AOR,
2020-03,622.30M,622.30M,732.88M,275.93M,1.009B,336.87M,225.54M,199.92M,684.11M,110.30M,,,,2.426B,,,,,1.783B,1.783B,-1.049B,733.32M,1.180B,174.54M,1.355B,31.52M,216.92M,2.337B,4.762B,,,425.80M,410.78M,836.58M,,8.98M,8.98M,36.84M,45.82M,223.63M,223.63M,,,1.106B,1.357B,147.03M,1.504B,,,,466.48M,26.00M,3.077B,,2020-03,220.99M,3.662B,8.324M,,-660.12M,-651.80M,1.659B,,2020-03,AOR,
2019-12,670.98M,670.98M,795.54M,272.91M,1.068B,328.08M,192.99M,218.41M,660.84M,105.10M,,,,2.505B,0.00,64.78M,419.45M,1.101B,220.86M,1.806B,-1.048B,758.39M,1.193B,180.80M,1.374B,54.88M,227.18M,2.414B,4.920B,,38.16M,485.75M,170.87M,656.61M,,11.27M,11.27M,36.11M,47.38M,216.54M,216.54M,,,1.113B,1.366B,151.52M,1.518B,,,,473.30M,25.60M,3.104B,,2019-12,220.99M,3.696B,8.334M,,-584.29M,-575.96M,1.790B,,2019-12,AOR,
2019-09,547.27M,547.27M,789.45M,258.30M,1.048B,328.90M,239.34M,195.26M,687.24M,113.40M,,,,2.396B,,,,,1.774B,1.774B,-1.016B,758.12M,1.178B,182.16M,1.360B,44.11M,206.19M,2.369B,4.764B,,,398.22M,385.52M,783.74M,,9.739M,9.739M,35.04M,44.78M,219.68M,219.68M,,,1.048B,1.350B,146.84M,1.497B,,,,449.39M,25.47M,2.995B,,2019-09,220.99M,3.651B,8.277M,,-593.85M,-585.57M,1.744B,,2019-09,AOR,Restated
2019-06,596.47M,596.47M,806.72M,215.44M,1.022B,334.01M,240.70M,182.39M,680.90M,109.79M,,,,2.409B,,,,,1.791B,1.791B,-1.011B,780.18M,1.195B,183.11M,1.378B,54.58M,198.90M,2.412B,4.821B,,,402.12M,339.30M,741.42M,,71.50M,71.50M,36.27M,107.77M,209.69M,209.69M,,,1.059B,1.386B,153.40M,1.540B,,,,472.67M,23.48M,3.071B,,2019-06,220.99M,3.608B,8.219M,,-567.01M,-558.79M,1.726B,,2019-06,AOR,Restated
2019-03,637.71M,637.71M,781.38M,224.85M,1.006B,324.94M,242.18M,186.74M,680.19M,112.49M,,,,2.437B,,,,,1.764B,1.764B,-977.67M,786.57M,1.192B,186.29M,1.378B,47.74M,197.56M,2.410B,4.846B,,,398.05M,405.63M,803.68M,,72.20M,72.20M,37.81M,110.00M,207.74M,207.74M,,,1.121B,1.392B,160.32M,1.553B,,,,464.53M,21.19M,3.139B,,2019-03,220.99M,3.575B,7.107M,,-566.40M,-559.29M,1.687B,,2019-03,AOR,Restated
2018-12,619.68M,619.68M,792.43M,228.58M,1.021B,310.20M,191.66M,205.81M,633.87M,108.58M,,,,2.383B,0.00,72.70M,441.01M,1.053B,,1.567B,-956.63M,610.10M,1.198B,190.55M,1.388B,44.68M,190.16M,2.233B,4.616B,,24.35M,443.24M,168.74M,611.99M,,68.22M,68.22M,0.00,68.22M,202.46M,202.46M,,,1.081B,1.415B,0.00,1.415B,,,,459.69M,18.46M,2.955B,,2018-12,220.99M,3.543B,7.117M,,-573.95M,-566.83M,1.642B,,2018-12,AOR,Restated
2018-09,529.94M,529.94M,780.41M,261.42M,1.042B,326.41M,220.79M,182.67M,655.65M,97.25M,,,,2.325B,,,,,,1.561B,-952.29M,608.74M,1.204B,195.86M,1.400B,61.15M,210.87M,2.280B,4.605B,,,400.28M,398.28M,798.57M,,,67.27M,,67.27M,174.24M,174.24M,,,1.040B,1.437B,,1.437B,,,,497.51M,17.69M,2.974B,,2018-09,220.99M,3.505B,7.025M,,-559.56M,-552.53M,1.613B,,2018-09,AOR,Restated
2018-06,517.44M,517.44M,815.71M,257.22M,1.073B,355.70M,223.92M,177.12M,675.32M,107.29M,,,,2.373B,,,,,,1.609B,-983.07M,625.98M,1.207B,200.25M,1.407B,54.58M,189.95M,2.278B,4.651B,,,428.84M,382.16M,810.99M,,,69.92M,,69.92M,171.94M,171.94M,,,1.053B,1.455B,,1.455B,,,,501.27M,19.89M,3.009B,,2018-06,220.99M,3.502B,6.933M,,-542.20M,-535.26M,1.622B,,2018-06,AOR,Restated
