,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,924.30M,924.30M,639.09M,285.21M,200.73M,,,,14.71M,0.673M,-14.04M,,200.73M,84.48M,0.673M,14.71M,-14.04M,1.879M,-14.04M,72.32M,18.67M,53.65M,,,-2.647M,110.22M,23.19M,87.03M,,2020-09,,,0.39,0.39,,,,,,2020-09,130.31M,130.90M,0.20,,2020-09,AOR,
2020-06,924.96M,924.96M,657.80M,267.16M,227.36M,,,,12.90M,1.149M,-11.75M,,227.36M,39.80M,1.149M,12.90M,-11.75M,-11.86M,-11.75M,16.20M,5.409M,10.79M,,,-2.142M,53.30M,24.20M,29.10M,,2020-06,,,0.07,0.07,,,,,,2020-06,130.17M,130.73M,0.20,,2020-06,AOR,
2020-03,894.46M,894.46M,628.48M,265.98M,243.62M,,,,12.96M,1.749M,-11.21M,,243.62M,22.36M,1.749M,12.96M,-11.21M,26.66M,-11.21M,37.80M,36.31M,1.49M,,,-2.10M,76.05M,25.29M,50.76M,,2020-03,,,-0.0047,-0.0047,,,,,,2020-03,130.73M,130.73M,0.20,,2020-03,AOR,
2019-12,1.073B,1.073B,717.72M,355.61M,234.19M,,,,12.96M,1.915M,-11.04M,,234.19M,121.42M,1.915M,12.96M,-11.04M,-0.04M,-11.04M,110.34M,21.46M,88.88M,,,-1.453M,148.32M,25.03M,123.30M,,2019-12,,,0.53,0.53,,,,,,2019-12,130.86M,131.78M,0.19,,2019-12,AOR,
2019-09,995.71M,995.71M,662.86M,332.85M,230.36M,,,,13.98M,2.253M,-11.73M,,230.36M,102.49M,2.253M,13.98M,-11.73M,-6.39M,-11.73M,84.37M,22.41M,61.96M,,,-2.121M,123.14M,24.78M,98.35M,,2019-09,,,0.46,0.46,,,,,,2019-09,131.14M,131.85M,0.19,,2019-09,AOR,Restated
2019-06,990.08M,990.08M,672.05M,318.03M,223.68M,,,,14.01M,2.218M,-11.80M,,223.68M,94.36M,2.218M,14.01M,-11.80M,0.325M,-11.80M,82.89M,22.41M,60.47M,,,-2.302M,124.10M,27.20M,96.90M,,2019-06,,,0.44,0.44,,,,,,2019-06,131.15M,131.75M,0.19,,2019-06,AOR,Restated
2019-03,890.05M,890.05M,595.98M,294.08M,205.15M,,,,14.03M,2.023M,-12.01M,,205.15M,88.92M,2.023M,14.03M,-12.01M,-0.831M,-12.01M,76.08M,16.59M,59.50M,,,-2.235M,117.58M,27.47M,90.11M,,2019-03,,,0.44,0.44,,,,,,2019-03,130.98M,131.53M,0.19,,2019-03,AOR,Restated
2018-12,986.87M,986.87M,665.02M,321.84M,231.87M,,,0.00,14.52M,2.228M,-12.29M,,231.87M,89.98M,2.228M,14.52M,-12.29M,0.872M,-12.29M,78.56M,14.20M,64.36M,,,-1.262M,120.33M,27.26M,93.08M,,2018-12,,,0.48,0.48,,,,,,2018-12,130.84M,131.41M,0.19,,2018-12,AOR,Restated
2018-09,952.72M,952.72M,644.22M,308.50M,241.88M,,,-7.727M,13.83M,1.269M,-12.56M,,241.88M,66.62M,1.269M,13.83M,-12.56M,-9.715M,-12.56M,44.35M,14.91M,29.44M,,,-1.234M,85.76M,27.58M,58.18M,,2018-09,,,0.2592,0.22,,,,,,2018-09,130.84M,131.35M,0.19,,2018-09,AOR,Restated
2018-06,973.13M,973.13M,687.07M,286.06M,240.79M,,,,14.94M,1.33M,-13.61M,,240.79M,45.27M,1.33M,14.94M,-13.61M,-3.325M,-13.61M,28.33M,13.54M,14.79M,,,-1.567M,71.99M,28.72M,43.27M,,2018-06,,,0.10,0.10,,,,,,2018-06,130.84M,131.23M,0.19,,2018-06,AOR,Restated
