,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2009-09,302.00M,,,,-143.00M,-143.00M,196.00M,196.00M,91.00M,0.00,,5.00M,,,,,,-92.00M,-92.00M,,359.00M,-501.00M,62.00M,-439.00M,-545.00M,7.00M,-6.00M,-983.00M,59.00M,560.00M,619.00M,24.00M,0.00,24.00M,,,,-85.00M,-2.00M,-87.00M,6.00M,562.00M,818.00M,-62.00M,,756.00M,24.00M,73.00M,-14.00M,0.00,62.00M,60.00M
2009-06,189.00M,,,,-151.00M,-151.00M,189.00M,189.00M,119.00M,132.00M,,-39.00M,,,,,,-53.00M,-53.00M,,386.00M,-500.00M,51.00M,-449.00M,-192.00M,4.00M,172.00M,-465.00M,781.00M,-535.00M,246.00M,18.00M,0.00,18.00M,,,,-84.00M,-3.00M,-87.00M,0.00,177.00M,720.00M,98.00M,,818.00M,18.00M,1.086B,-305.00M,0.00,-16.00M,85.00M
2009-03,325.00M,,,,-176.00M,-176.00M,183.00M,183.00M,-29.00M,,,49.00M,,,,,,787.00M,787.00M,,1.139B,-537.00M,42.00M,-495.00M,-25.00M,5.00M,-7.00M,-522.00M,16.00M,-77.00M,-61.00M,10.00M,0.00,10.00M,,,,-86.00M,-2.00M,-88.00M,-89.00M,-228.00M,331.00M,389.00M,,720.00M,10.00M,22.00M,-6.00M,0.00,52.00M,56.00M
2008-12,260.00M,,,,228.00M,228.00M,179.00M,179.00M,159.00M,0.00,,-278.00M,,,,,,180.00M,-162.00M,,386.00M,-159.00M,119.00M,-40.00M,,1.706B,219.00M,-790.00M,1.052B,-421.00M,631.00M,1.00M,-16.00M,-15.00M,,,,-87.00M,-3.00M,-90.00M,11.00M,537.00M,198.00M,133.00M,,331.00M,1.00M,1.056B,-4.00M,-16.00M,114.00M,233.00M
2008-09,302.00M,,,,-28.00M,-28.00M,162.00M,162.00M,114.00M,0.00,,-11.00M,,,,,,-599.00M,-599.00M,,-60.00M,-615.00M,173.00M,-442.00M,,7.00M,-3.00M,-438.00M,55.00M,489.00M,544.00M,6.00M,0.00,6.00M,,,,-86.00M,-2.00M,-88.00M,4.00M,466.00M,230.00M,-32.00M,,198.00M,6.00M,57.00M,-2.00M,0.00,,
2008-06,262.00M,,,,-173.00M,-287.00M,171.00M,171.00M,109.00M,0.00,,55.00M,,,,,,-176.00M,-176.00M,,134.00M,-609.00M,42.00M,-567.00M,,-1.589B,2.107B,-49.00M,478.00M,-70.00M,408.00M,7.00M,-1.00B,-993.00M,,,,-84.00M,-3.00M,-87.00M,11.00M,-661.00M,806.00M,-576.00M,,230.00M,7.00M,541.00M,-63.00M,-1.00B,-9.00M,-50.00M
2008-03,244.00M,,,,-27.00M,-27.00M,175.00M,175.00M,-58.00M,,,32.00M,,,,,,365.00M,365.00M,,731.00M,-678.00M,135.00M,-543.00M,,-575.00M,9.00M,-1.109B,42.00M,566.00M,608.00M,4.00M,-2.00M,2.00M,,,,-82.00M,-2.00M,-84.00M,-10.00M,516.00M,668.00M,138.00M,,806.00M,4.00M,52.00M,-10.00M,-2.00M,9.00M,50.00M
2007-12,289.00M,,,,,-60.00M,,172.00M,107.00M,,,240.00M,,,,,,194.00M,-204.00M,-27.00M,517.00M,-1.30B,536.00M,-764.00M,,-103.00M,137.00M,-730.00M,,,-100.00M,4.00M,-24.00M,-20.00M,,,,,,-82.00M,11.00M,-191.00M,1.072B,-404.00M,,668.00M,4.00M,,,-24.00M,127.00M,107.00M
2007-09,305.00M,,,,,35.00M,,174.00M,81.00M,,,-12.00M,,,,,,-712.00M,-712.00M,25.00M,-104.00M,-468.00M,16.00M,-452.00M,,5.00M,-17.00M,-464.00M,,,520.00M,8.00M,-161.00M,-153.00M,,,,,,-82.00M,3.00M,288.00M,1.352B,-280.00M,,1.072B,8.00M,,,-161.00M,125.00M,138.00M
2007-06,277.00M,,,,,-39.00M,,171.00M,65.00M,,,1.00M,,,,,,-183.00M,-183.00M,0.00,292.00M,-466.00M,-184.00M,-650.00M,211.00M,0.00,-40.00M,-479.00M,,,-92.00M,12.00M,,12.00M,,,,,,-73.00M,5.00M,-148.00M,1.658B,-335.00M,,1.352B,12.00M,,,,171.00M,73.00M
