,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,428.00M,,-15.00M,,-326.00M,-341.00M,418.00M,418.00M,82.00M,1.00M,21.00M,82.00M,,,,0.00,,-508.00M,-508.00M,-10.00M,602.00M,-1.115B,,-1.115B,-89.00M,0.00,13.00M,-439.00M,-542.00M,0.00,-542.00M,-3.00M,-501.00M,-504.00M,-1.00M,,-1.00M,-305.00M,-36.00M,-341.00M,-164.00M,-1.552B,4.93B,-1.389B,5.00M,3.546B,-4.00M,1.875B,-2.417B,-501.00M,73.00M,241.00M
2020-06,528.00M,,-13.00M,,-233.00M,-246.00M,412.00M,412.00M,149.00M,,14.00M,-75.00M,,,,,,36.00M,36.00M,-1.109B,-291.00M,-1.188B,,-1.188B,-54.00M,0.00,14.00M,4.035B,1.903B,-3.998B,-2.095B,2.00M,-7.00M,-5.00M,891.00M,,891.00M,-298.00M,-35.00M,-333.00M,-22.00M,-1.272B,2.454B,2.472B,4.00M,4.93B,893.00M,313.00M,-2.408B,-7.00M,1.235B,277.00M
2020-03,867.00M,,123.00M,,-263.00M,-140.00M,412.00M,412.00M,-243.00M,,22.00M,124.00M,,,,,,208.00M,208.00M,68.00M,1.318B,-1.01B,,-1.01B,-86.00M,0.00,-17.00M,-1.181B,186.00M,2.127B,2.313B,11.00M,-57.00M,-46.00M,,,,-269.00M,-36.00M,-305.00M,43.00M,2.114B,217.00M,2.251B,-14.00M,2.454B,11.00M,3.746B,-1.433B,-57.00M,68.00M,263.00M
2019-12,245.00M,,-2.00M,,-95.00M,-97.00M,395.00M,395.00M,177.00M,0.00,19.00M,24.00M,,,,-88.00M,,557.00M,269.00M,101.00M,970.00M,-1.118B,,-1.118B,-348.00M,0.00,5.00M,-1.154B,-140.00M,-232.00M,-372.00M,1.073B,-3.00M,1.07B,0.00,,0.00,-259.00M,-35.00M,-294.00M,75.00M,-100.00M,497.00M,-284.00M,4.00M,217.00M,1.073B,139.00M,-1.167B,-3.00M,-118.00M,285.00M
2019-09,773.00M,,13.00M,,-266.00M,-250.00M,402.00M,402.00M,24.00M,43.00M,17.00M,23.00M,,,,-323.00M,,-566.00M,-889.00M,108.00M,414.00M,-939.00M,,-939.00M,-58.00M,0.00,3.00M,-1.172B,-990.00M,1.332B,342.00M,737.00M,-5.00M,732.00M,0.00,,0.00,-251.00M,-36.00M,-287.00M,173.00M,964.00M,294.00M,206.00M,-3.00M,497.00M,737.00M,1.527B,-1.185B,-5.00M,308.00M,252.00M
2019-06,390.00M,,-4.00M,,-118.00M,-188.00M,389.00M,389.00M,-36.00M,,18.00M,-14.00M,,,,,,106.00M,106.00M,88.00M,753.00M,-868.00M,,-868.00M,-1.297B,0.00,571.00M,-1.657B,2.292B,-941.00M,1.351B,9.00M,-4.00M,5.00M,0.00,,0.00,-251.00M,-35.00M,-286.00M,-42.00M,992.00M,207.00M,88.00M,-1.00M,294.00M,9.00M,1.829B,-478.00M,-4.00M,48.00M,257.00M
2019-03,591.00M,,-7.00M,,-101.00M,-108.00M,383.00M,383.00M,24.00M,,21.00M,-7.00M,,,,,,-46.00M,-46.00M,93.00M,951.00M,-783.00M,,-783.00M,-94.00M,0.00,337.00M,-610.00M,-533.00M,497.00M,-36.00M,11.00M,-14.00M,-3.00M,,,,-232.00M,-36.00M,-268.00M,-27.00M,-381.00M,246.00M,-40.00M,1.00M,207.00M,11.00M,801.00M,-837.00M,-14.00M,16.00M,257.00M
2018-12,841.00M,,,44.00M,-126.00M,-595.00M,376.00M,376.00M,86.00M,-182.00M,33.00M,76.00M,,,,-79.00M,,190.00M,146.00M,76.00M,857.00M,-890.00M,,-890.00M,-247.00M,0.00,1.567B,322.00M,-37.00M,-799.00M,-836.00M,11.00M,-1.00M,10.00M,-1.00M,,-1.00M,-232.00M,-36.00M,-268.00M,50.00M,-1.215B,288.00M,-36.00M,-6.00M,246.00M,10.00M,469.00M,-506.00M,-1.00M,38.00M,218.00M
2018-09,269.00M,,,-35.00M,-73.00M,-108.00M,337.00M,337.00M,73.00M,4.00M,50.00M,-107.00M,,,,0.00,,292.00M,292.00M,220.00M,1.03B,-713.00M,,-713.00M,-98.00M,0.00,-53.00M,-1.052B,93.00M,-551.00M,-458.00M,171.00M,0.00,171.00M,566.00M,,566.00M,-229.00M,-24.00M,-253.00M,-74.00M,-12.00M,327.00M,-34.00M,-5.00M,288.00M,737.00M,1.051B,-958.00M,0.00,-18.00M,203.00M
2018-06,-502.00M,,,26.00M,3.00M,29.00M,406.00M,406.00M,-603.00M,1.30B,-15.00M,136.00M,,,,,,-12.00M,-12.00M,-76.00M,663.00M,-962.00M,,-962.00M,-206.00M,0.00,60.00M,-1.038B,-266.00M,117.00M,-149.00M,812.00M,-1.00M,811.00M,0.00,,0.00,-222.00M,-29.00M,-251.00M,49.00M,399.00M,307.00M,24.00M,-4.00M,327.00M,812.00M,1.458B,-1.724B,-1.00M,69.00M,244.00M
2018-03,330.00M,,,-35.00M,21.00M,-14.00M,372.00M,372.00M,202.00M,,15.00M,7.00M,,,,,,-22.00M,-22.00M,76.00M,966.00M,-979.00M,,-979.00M,-9.617B,0.00,-45.00M,-10.70B,5.795B,1.149B,6.944B,1.278B,-19.00M,1.259B,1.693B,,1.693B,-194.00M,0.00,-194.00M,-85.00M,9.678B,364.00M,-58.00M,1.00M,307.00M,2.971B,5.949B,-154.00M,-19.00M,18.00M,108.00M
2017-12,-420.00M,,,142.00M,-46.00M,94.00M,330.00M,330.00M,587.00M,0.00,,4.00M,,,,-6.00M,-19.00M,-88.00M,-42.00M,,921.00M,-825.00M,,-825.00M,-159.00M,0.00,-162.00M,-1.625B,1.107B,-514.00M,593.00M,10.00M,0.00,10.00M,0.00,,0.00,-194.00M,1.00M,-193.00M,194.00M,811.00M,261.00M,107.00M,-4.00M,364.00M,10.00M,1.865B,-758.00M,0.00,-4.00M,185.00M
2017-09,102.00M,,,0.00,-13.00M,-13.00M,378.00M,378.00M,-109.00M,352.00M,,37.00M,,,,,,68.00M,68.00M,,815.00M,-1.078B,,-1.078B,-13.00M,0.00,-118.00M,-1.202B,-360.00M,968.00M,608.00M,9.00M,-1.00M,8.00M,0.00,,0.00,-193.00M,0.00,-193.00M,-86.00M,337.00M,310.00M,-50.00M,1.00M,261.00M,9.00M,463.00M,-823.00M,-1.00M,17.00M,113.00M
2017-06,248.00M,,,-36.00M,-18.00M,-54.00M,368.00M,368.00M,143.00M,71.00M,,3.00M,,,,41.00M,-19.00M,84.00M,106.00M,,885.00M,-810.00M,,-810.00M,-38.00M,-7.00M,-178.00M,-1.032B,697.00M,-396.00M,301.00M,11.00M,0.00,11.00M,,,,-192.00M,-1.00M,-193.00M,-29.00M,90.00M,367.00M,-57.00M,0.00,310.00M,11.00M,1.39B,-693.00M,0.00,109.00M,301.00M
2017-03,452.00M,,,-106.00M,5.00M,-101.00M,360.00M,360.00M,268.00M,,,-22.00M,,,,-41.00M,19.00M,69.00M,47.00M,,1.004B,-992.00M,,-992.00M,-59.00M,7.00M,1.00M,-1.026B,229.00M,-97.00M,132.00M,17.00M,-14.00M,3.00M,0.00,,0.00,-176.00M,,-176.00M,-5.00M,-46.00M,425.00M,-68.00M,10.00M,367.00M,17.00M,542.00M,-313.00M,-14.00M,,
2016-12,409.00M,,,-18.00M,-11.00M,-32.00M,342.00M,342.00M,47.00M,-1.00M,,-40.00M,,,,-37.00M,-417.00M,234.00M,-157.00M,,620.00M,-1.127B,,-1.127B,-292.00M,32.00M,-18.00M,-1.403B,179.00M,-944.00M,-765.00M,11.00M,-1.00M,10.00M,,,,-176.00M,0.00,-176.00M,1.585B,654.00M,518.00M,-129.00M,-11.00M,425.00M,11.00M,938.00M,-759.00M,-1.00M,57.00M,165.00M
2016-09,719.00M,,,-2.00M,-648.00M,-781.00M,328.00M,328.00M,246.00M,132.00M,,5.00M,,,,63.00M,-9.00M,72.00M,126.00M,,775.00M,-1.081B,,-1.081B,-1.212B,116.00M,327.00M,-1.839B,317.00M,771.00M,1.088B,11.00M,-1.00M,10.00M,,,,-175.00M,0.00,-175.00M,43.00M,966.00M,616.00M,-98.00M,0.00,518.00M,11.00M,629.00M,-312.00M,-1.00M,30.00M,88.00M
2016-06,27.00M,,,37.00M,-47.00M,-10.00M,314.00M,314.00M,-154.00M,22.00M,,9.00M,,,,-38.00M,137.00M,-17.00M,82.00M,,290.00M,-1.035B,,-1.035B,,-17.00M,445.00M,-604.00M,397.00M,334.00M,731.00M,14.00M,0.00,14.00M,,,,-174.00M,-1.00M,-175.00M,-18.00M,552.00M,376.00M,238.00M,2.00M,616.00M,14.00M,1.329B,-932.00M,0.00,32.00M,182.00M
2016-03,364.00M,,,4.00M,5.00M,9.00M,328.00M,328.00M,78.00M,,,36.00M,,,,-29.00M,10.00M,-170.00M,-189.00M,,626.00M,-971.00M,,-971.00M,,-31.00M,4.00M,-989.00M,1.00M,531.00M,532.00M,15.00M,-54.00M,-39.00M,,,,-161.00M,,-161.00M,-2.00M,330.00M,403.00M,-33.00M,6.00M,376.00M,15.00M,55.00M,-54.00M,-54.00M,41.00M,97.00M
2015-12,388.00M,-5.00M,,10.00M,-46.00M,-49.00M,325.00M,325.00M,60.00M,,,38.00M,,,,-76.00M,265.00M,1.00M,38.00M,,809.00M,-929.00M,,-929.00M,-15.00M,22.00M,32.00M,-889.00M,396.00M,-421.00M,-25.00M,11.00M,0.00,11.00M,,,,-160.00M,0.00,-160.00M,-31.00M,-205.00M,697.00M,-285.00M,-2.00M,450.00M,11.00M,934.00M,-538.00M,0.00,30.00M,182.00M
2015-09,282.00M,0.00,,-20.00M,-60.00M,-80.00M,315.00M,315.00M,-24.00M,,,36.00M,,,,-23.00M,-12.00M,376.00M,341.00M,,870.00M,-761.00M,,-761.00M,-22.00M,32.00M,-32.00M,-778.00M,41.00M,138.00M,179.00M,10.00M,-8.00M,2.00M,,,,-160.00M,0.00,-160.00M,-42.00M,-21.00M,636.00M,71.00M,-10.00M,697.00M,10.00M,511.00M,-470.00M,-8.00M,-35.00M,95.00M
2015-06,320.00M,0.00,,-11.00M,-49.00M,-122.00M,307.00M,307.00M,72.00M,,,19.00M,,,,-47.00M,-6.00M,-135.00M,-188.00M,,408.00M,-686.00M,,-686.00M,-127.00M,-7.00M,381.00M,-431.00M,417.00M,24.00M,441.00M,14.00M,-1.00M,13.00M,,,,-159.00M,-1.00M,-160.00M,-13.00M,281.00M,377.00M,258.00M,1.00M,636.00M,14.00M,609.00M,-192.00M,-1.00M,30.00M,177.00M
2015-03,458.00M,-21.00M,,11.00M,-34.00M,-44.00M,303.00M,303.00M,131.00M,,,-27.00M,,,,-42.00M,13.00M,19.00M,-10.00M,,811.00M,-780.00M,,-780.00M,-34.00M,-1.00M,44.00M,-770.00M,284.00M,-363.00M,-79.00M,17.00M,-65.00M,-48.00M,,,,-149.00M,,-149.00M,45.00M,-231.00M,570.00M,-190.00M,-3.00M,377.00M,17.00M,938.00M,-654.00M,-65.00M,42.00M,83.00M
2014-12,321.00M,67.00M,,-6.00M,-35.00M,-36.00M,290.00M,290.00M,15.00M,,,76.00M,,,,-19.00M,-135.00M,-94.00M,-166.00M,,500.00M,-803.00M,,-803.00M,-140.00M,-5.00M,74.00M,-876.00M,20.00M,523.00M,543.00M,13.00M,0.00,13.00M,,,,-148.00M,0.00,-148.00M,-126.00M,282.00M,667.00M,-94.00M,-3.00M,570.00M,13.00M,209.00M,-189.00M,0.00,-52.00M,177.00M
2014-09,383.00M,-19.00M,,-2.00M,-29.00M,-50.00M,292.00M,292.00M,26.00M,,,38.00M,,,,7.00M,21.00M,-90.00M,-62.00M,,627.00M,-807.00M,,-807.00M,-6.00M,-1.00M,-40.00M,-845.00M,348.00M,-57.00M,291.00M,15.00M,-1.00M,14.00M,,,,-149.00M,0.00,-149.00M,-56.00M,100.00M,789.00M,-118.00M,-4.00M,667.00M,15.00M,718.00M,-370.00M,-1.00M,6.00M,90.00M
2014-06,292.00M,-2.00M,,-14.00M,-32.00M,-48.00M,288.00M,288.00M,10.00M,,,18.00M,,,,-73.00M,2.00M,-359.00M,-430.00M,,130.00M,-712.00M,,-712.00M,-148.00M,-3.00M,9.00M,-851.00M,820.00M,15.00M,835.00M,17.00M,0.00,17.00M,,,,-147.00M,-1.00M,-148.00M,-39.00M,665.00M,844.00M,-56.00M,1.00M,789.00M,17.00M,1.157B,-337.00M,0.00,107.00M,178.00M
2014-03,266.00M,-40.00M,,-3.00M,-23.00M,-66.00M,286.00M,286.00M,95.00M,,,-24.00M,,,,94.00M,19.00M,234.00M,347.00M,,904.00M,-801.00M,,-801.00M,54.00M,-3.00M,-23.00M,-770.00M,50.00M,-69.00M,-19.00M,11.00M,-37.00M,-26.00M,,,,-154.00M,,-154.00M,6.00M,-193.00M,904.00M,-59.00M,-1.00M,844.00M,11.00M,1.188B,-1.138B,-37.00M,41.00M,91.00M
2013-12,320.00M,-1.00M,,4.00M,-21.00M,-18.00M,285.00M,285.00M,7.00M,,,-10.00M,,,,47.00M,-211.00M,257.00M,-130.00M,,454.00M,-787.00M,,-787.00M,3.00M,2.00M,-17.00M,-788.00M,333.00M,175.00M,508.00M,5.00M,0.00,5.00M,,,,-154.00M,0.00,-154.00M,-96.00M,181.00M,1.061B,-153.00M,-4.00M,904.00M,5.00M,677.00M,-344.00M,-82.00M,14.00M,185.00M
2013-09,323.00M,-39.00M,,3.00M,-11.00M,-47.00M,286.00M,286.00M,76.00M,,,22.00M,,,,34.00M,5.00M,-474.00M,-435.00M,,225.00M,-655.00M,,-655.00M,161.00M,169.00M,5.00M,-274.00M,200.00M,91.00M,291.00M,35.00M,0.00,35.00M,,,,-153.00M,-2.00M,-155.00M,-18.00M,153.00M,954.00M,104.00M,3.00M,1.061B,35.00M,510.00M,-310.00M,0.00,28.00M,90.00M
2013-06,267.00M,200.00M,,-45.00M,-9.00M,146.00M,247.00M,247.00M,-1.00M,,,-5.00M,,,,-254.00M,-1.00M,-129.00M,-384.00M,,270.00M,-599.00M,,-599.00M,13.00M,72.00M,-31.00M,-465.00M,-203.00M,33.00M,-170.00M,7.00M,0.00,7.00M,,,,-154.00M,-1.00M,-155.00M,2.00M,-316.00M,1.471B,-511.00M,-6.00M,954.00M,7.00M,286.00M,-489.00M,0.00,64.00M,182.00M
2013-03,178.00M,-74.00M,,17.00M,-14.00M,-71.00M,295.00M,295.00M,252.00M,,,6.00M,,,,17.00M,9.00M,149.00M,175.00M,,835.00M,-531.00M,,-531.00M,371.00M,-7.00M,-10.00M,-162.00M,-37.00M,-43.00M,-80.00M,15.00M,-45.00M,-30.00M,,,,-145.00M,-2.00M,-147.00M,577.00M,320.00M,475.00M,993.00M,3.00M,1.471B,15.00M,608.00M,-645.00M,-45.00M,14.00M,87.00M
2012-12,305.00M,-7.00M,,-27.00M,-22.00M,-49.00M,287.00M,287.00M,2.00M,,,42.00M,,,,197.00M,-462.00M,76.00M,-257.00M,,330.00M,-715.00M,,-715.00M,-12.00M,-5.00M,-14.00M,-582.00M,254.00M,95.00M,349.00M,28.00M,0.00,28.00M,,,,-145.00M,-1.00M,-146.00M,-33.00M,198.00M,530.00M,-54.00M,-1.00M,475.00M,28.00M,803.00M,-549.00M,0.00,31.00M,180.00M
2012-09,290.00M,0.00,,0.00,84.00M,84.00M,280.00M,280.00M,8.00M,,,-9.00M,,,,189.00M,95.00M,-401.00M,-117.00M,,536.00M,-724.00M,,-724.00M,-56.00M,-2.00M,-25.00M,-795.00M,1.123B,-383.00M,740.00M,5.00M,0.00,5.00M,,,,-145.00M,-2.00M,-147.00M,-35.00M,563.00M,221.00M,304.00M,5.00M,530.00M,5.00M,1.127B,-4.00M,0.00,6.00M,69.00M
