,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2012-09,2.507B,2.507B,1.638B,869.00M,,,13.00M,89.00M,126.00M,5.00M,-121.00M,,369.00M,500.00M,5.00M,126.00M,-121.00M,-50.00M,-121.00M,329.00M,49.00M,290.00M,,,-20.00M,2.00M,270.00M,243.65M,735.00M,280.00M,455.00M,1.11,,,1.001,1.11,1.09,,,0.9828,1.09,241.69M,245.80M,0.6
2012-06,2.089B,2.089B,1.419B,670.00M,,,39.00M,79.00M,113.00M,4.00M,-109.00M,,345.00M,325.00M,4.00M,113.00M,-109.00M,-268.00M,-109.00M,-52.00M,-118.00M,74.00M,,,-11.00M,1.00M,63.00M,44.15M,327.00M,266.00M,61.00M,0.26,,,0.1818,0.26,0.25,,,0.1735,0.25,241.14M,246.26M,0.6
2012-03,2.383B,2.383B,1.652B,731.00M,,,35.00M,96.00M,113.00M,6.00M,-107.00M,,353.00M,378.00M,6.00M,113.00M,-107.00M,86.00M,-107.00M,357.00M,117.00M,251.00M,,,-13.00M,2.00M,238.00M,194.45M,727.00M,257.00M,470.00M,0.98,,,0.799,0.98,0.97,,,0.7913,0.97,240.57M,243.76M,0.6
2011-12,2.604B,2.604B,3.811B,-1.207B,,,13.00M,84.00M,121.00M,7.00M,-114.00M,,-1.672B,465.00M,7.00M,121.00M,-114.00M,55.00M,-114.00M,406.00M,105.00M,308.00M,,,-15.00M,,293.00M,283.36M,774.00M,247.00M,527.00M,1.19,,,1.15,1.19,1.19,,,1.15,1.19,239.80M,240.23M,0.48
2011-09,2.576B,2.576B,1.05B,1.526B,,,12.00M,84.00M,118.00M,6.00M,-112.00M,,1.026B,500.00M,6.00M,118.00M,-112.00M,-12.00M,-112.00M,388.00M,75.00M,319.00M,,,-30.00M,,289.00M,279.32M,757.00M,251.00M,506.00M,1.21,0.0,,1.17,1.21,1.2,0.0,,1.16,1.2,239.54M,241.88M,0.48
2011-06,2.422B,2.422B,1.044B,1.378B,,,31.00M,80.00M,118.00M,12.00M,-106.00M,,1.001B,377.00M,12.00M,118.00M,-106.00M,315.00M,-106.00M,586.00M,100.00M,494.00M,,,9.00M,,503.00M,477.29M,952.00M,248.00M,704.00M,2.1,0.0,,1.993,2.1,2.09,0.0,,1.983,2.09,239.42M,240.76M,0.48
2011-03,2.434B,2.434B,1.066B,1.368B,,,43.00M,95.00M,108.00M,3.00M,-105.00M,,964.00M,404.00M,3.00M,108.00M,-105.00M,44.00M,-105.00M,343.00M,114.00M,260.00M,,,-6.00M,,254.00M,225.29M,681.00M,230.00M,451.00M,1.06,0.0,,0.9404,1.06,1.05,0.0,,0.9313,1.05,240.13M,241.90M,0.48
2010-12,2.345B,2.345B,3.445B,-1.10B,,,-10.00M,84.00M,113.00M,4.00M,-109.00M,,-1.475B,375.00M,4.00M,113.00M,-109.00M,46.00M,-109.00M,312.00M,48.00M,271.00M,,,-11.00M,,260.00M,268.46M,648.00M,223.00M,425.00M,1.04,,,1.075,1.04,1.02,,,1.055,1.02,239.40M,242.45M,0.39
2010-09,2.116B,2.116B,803.00M,1.313B,,,49.00M,76.00M,111.00M,5.00M,-106.00M,,884.00M,429.00M,5.00M,111.00M,-106.00M,-224.00M,-106.00M,99.00M,-32.00M,127.00M,,,4.00M,,131.00M,99.15M,428.00M,218.00M,210.00M,0.53,0.0,,0.4009,0.53,0.53,0.0,,0.4025,0.53,246.67M,249.81M,0.39
2010-06,2.008B,2.008B,765.00M,1.243B,,,9.00M,77.00M,103.00M,4.00M,-99.00M,,908.00M,335.00M,4.00M,103.00M,-99.00M,1.00M,-99.00M,237.00M,59.00M,205.00M,,,17.00M,,222.00M,215.24M,555.00M,215.00M,340.00M,0.9,0.0,,0.8726,0.9,0.89,0.0,,0.8629,0.89,246.78M,249.73M,0.39
2010-03,2.534B,2.534B,1.269B,1.265B,,,-160.00M,90.00M,109.00M,4.00M,-105.00M,,876.00M,389.00M,4.00M,109.00M,-105.00M,-145.00M,-105.00M,139.00M,58.00M,100.00M,,,6.00M,,106.00M,210.00M,458.00M,210.00M,248.00M,0.43,0.0,,0.8526,0.43,0.42,0.0,,0.8354,0.42,246.08M,250.37M,0.39
2009-12,2.456B,2.456B,1.026B,1.43B,,0.00,51.00M,68.00M,110.00M,5.00M,-105.00M,,1.072B,358.00M,5.00M,110.00M,-105.00M,139.00M,-105.00M,392.00M,95.00M,306.00M,,,-18.00M,,288.00M,249.36M,709.00M,207.00M,502.00M,1.18,0.0,,1.022,1.18,1.15,0.0,,0.9948,1.15,244.94M,248.91M,0.39
2009-09,1.853B,1.853B,655.00M,1.198B,,0.00,21.00M,77.00M,96.00M,5.00M,-91.00M,,841.00M,357.00M,5.00M,96.00M,-91.00M,144.00M,-91.00M,410.00M,128.00M,302.00M,,,15.00M,,317.00M,302.56M,702.00M,196.00M,506.00M,1.3,0.0,,1.2409999999999999,1.3,1.27,0.0,,1.212,1.27,243.92M,248.46M,0.39
2009-06,1.689B,1.689B,581.00M,1.108B,,132.00M,-66.00M,69.00M,79.00M,5.00M,-74.00M,,840.00M,268.00M,5.00M,79.00M,-74.00M,62.00M,-74.00M,256.00M,90.00M,189.00M,,,9.00M,,198.00M,240.80M,524.00M,189.00M,335.00M,0.82,0.0,,0.9963,0.82,0.8,0.0,,0.9732,0.8,242.72M,247.09M,0.39
2009-03,2.108B,2.108B,996.00M,1.112B,,,10.00M,82.00M,82.00M,6.00M,-76.00M,,788.00M,324.00M,6.00M,82.00M,-76.00M,170.00M,-76.00M,418.00M,109.00M,325.00M,,,-9.00M,,316.00M,308.61M,683.00M,183.00M,500.00M,1.31,0.0,,1.2790000000000001,1.31,1.29,0.0,,1.26,1.29,241.77M,245.02M,0.39
2008-12,2.293B,2.293B,1.074B,1.219B,,0.00,-285.00M,82.00M,88.00M,9.00M,-79.00M,,864.00M,355.00M,9.00M,88.00M,-79.00M,-7.00M,-79.00M,269.00M,15.00M,260.00M,,,59.00M,,319.00M,588.11M,536.00M,179.00M,357.00M,1.32,0.0,,2.434,1.32,1.3,0.0,,2.401,1.3,241.62M,244.42M,0.35
2008-09,2.692B,2.692B,1.446B,1.246B,,0.00,-7.00M,76.00M,67.00M,12.00M,-55.00M,,802.00M,444.00M,12.00M,67.00M,-55.00M,-11.00M,-55.00M,378.00M,94.00M,302.00M,,,6.00M,,308.00M,313.26M,607.00M,162.00M,445.00M,1.26,0.0,,1.2819999999999998,1.26,1.24,0.0,,1.261,1.24,243.79M,247.90M,0.35
2008-06,2.503B,2.503B,1.534B,969.00M,,0.00,141.00M,71.00M,38.00M,10.00M,-28.00M,,791.00M,178.00M,10.00M,38.00M,-28.00M,296.00M,-28.00M,446.00M,202.00M,262.00M,,,-18.00M,,244.00M,152.35M,655.00M,171.00M,484.00M,0.99,0.0,,0.6168,0.99,0.98,0.0,,0.6129,0.98,245.58M,249.68M,0.35
2008-03,3.27B,3.27B,1.943B,1.327B,,,19.00M,83.00M,60.00M,14.00M,-46.00M,,956.00M,371.00M,14.00M,60.00M,-46.00M,25.00M,-46.00M,350.00M,127.00M,244.00M,,,-2.00M,,242.00M,229.89M,585.00M,175.00M,410.00M,0.94,0.0,,0.8932,0.94,0.92,0.0,,0.8739,0.92,258.62M,262.67M,0.32
2007-12,3.11B,3.11B,2.269B,841.00M,,,-51.00M,74.00M,,,,,348.00M,493.00M,,,,39.00M,,481.00M,183.00M,298.00M,1.00M,,,,289.00M,319.60M,923.00M,172.00M,751.00M,1.11,0.01,,1.2329999999999999,1.12,1.1,0.01,,1.22,1.1,257.85M,262.77M,0.31
2007-09,2.663B,2.663B,904.00M,1.759B,,,24.00M,72.00M,,,,1.014B,1.26B,499.00M,,,,24.00M,,465.00M,135.00M,330.00M,-25.00M,,,,305.00M,312.97M,673.00M,174.00M,499.00M,1.27,-0.1,,1.204,1.17,1.24,-0.1,,1.176,1.15,259.56M,264.28M,0.31
2007-06,2.661B,2.661B,1.044B,1.617B,,,54.00M,68.00M,,,,964.00M,1.203B,414.00M,,,,54.00M,,423.00M,143.00M,280.00M,-3.00M,,,,277.00M,244.26M,585.00M,171.00M,414.00M,1.08,-0.01,,0.9426,1.07,1.06,-0.01,,0.9251,1.05,260.20M,264.96M,0.31
2007-03,3.004B,3.004B,485.00M,2.519B,,,69.00M,81.00M,,,,2.002B,2.252B,267.00M,,,,69.00M,,290.00M,63.00M,227.00M,1.00M,,,,228.00M,172.99M,436.00M,169.00M,267.00M,0.88,0.0,,0.6718,0.88,0.86,0.0,,0.6554,0.86,259.46M,264.00M,0.31
2006-12,3.245B,3.245B,3.523B,-278.00M,,,-365.00M,67.00M,,,,,-846.00M,568.00M,,,,-209.00M,,319.00M,180.00M,139.00M,-4.00M,,,,125.00M,348.00M,1.043B,166.00M,877.00M,0.49,-0.02,,1.338,0.47,0.48,-0.02,,1.31,0.46,258.41M,263.71M,0.3
2006-09,2.694B,2.694B,615.00M,2.079B,,,392.00M,67.00M,,,,1.385B,1.615B,464.00M,,,,392.00M,,800.00M,257.00M,543.00M,110.00M,,,,653.00M,276.93M,627.00M,163.00M,464.00M,2.11,0.43,,1.077,2.54,2.07,0.42,,1.055,2.49,257.49M,262.10M,0.3
2006-06,2.486B,2.486B,688.00M,1.798B,,,6.00M,64.00M,,,,1.226B,1.461B,337.00M,,,,6.00M,,281.00M,96.00M,185.00M,188.00M,,,,373.00M,181.05M,508.00M,171.00M,337.00M,0.73,0.73,,0.7146,1.46,0.71,0.72,,0.6948,1.43,255.73M,260.32M,0.3
2006-03,3.336B,3.336B,2.014B,1.322B,,,14.00M,77.00M,,,,676.00M,910.00M,412.00M,,,,14.00M,,342.00M,108.00M,234.00M,21.00M,,,,255.00M,224.42M,569.00M,157.00M,412.00M,0.92,0.08,,0.8823,1.0,0.9,0.08,,0.8631,0.98,254.26M,259.25M,0.3
2005-12,3.932B,3.932B,-1.873B,5.805B,,,55.00M,65.00M,,,,4.593B,5.369B,436.00M,,,,55.00M,,413.00M,56.00M,357.00M,-2.00M,,,3.00M,355.00M,309.46M,596.00M,160.00M,436.00M,1.43,-0.01,,1.235,1.42,1.4,-0.01,,1.208,1.39,243.24M,247.64M,0.29
2005-09,2.71B,2.71B,693.00M,2.017B,,,132.00M,59.00M,,,,1.739B,1.95B,67.00M,,,,132.00M,,153.00M,-63.00M,216.00M,5.00M,,,,221.00M,136.80M,219.00M,152.00M,67.00M,0.85,0.02,,0.5369,0.87,0.84,0.02,,0.5323,0.86,252.97M,257.37M,0.29
2005-06,2.223B,2.223B,746.00M,1.477B,,,10.00M,55.00M,,,,1.062B,1.275B,202.00M,,,,10.00M,,152.00M,33.00M,119.00M,2.00M,,,2.00M,121.00M,111.17M,360.00M,153.00M,202.00M,0.49,0.01,,0.4579,0.5,0.47,0.01,,0.4387,0.48,243.90M,250.07M,0.29
2005-03,2.655B,2.655B,1.058B,1.597B,,,20.00M,68.00M,,,,1.097B,1.323B,274.00M,,,,20.00M,,230.00M,7.00M,223.00M,2.00M,,,2.00M,225.00M,203.61M,435.00M,161.00M,274.00M,0.95,0.01,,0.8668,0.96,0.91,0.01,,0.8296,0.92,232.94M,241.10M,0.29
2004-12,2.713B,2.713B,-1.593B,4.306B,,,41.00M,60.00M,,,,3.634B,3.946B,360.00M,,,,41.00M,,333.00M,-1.00M,334.00M,12.00M,,,,346.00M,309.40M,480.00M,120.00M,360.00M,-1.54,0.05,,-1.6480000000000001,-1.49,-1.54,0.05,,-1.6480000000000001,-1.49,227.41M,227.41M,0.25
2004-09,2.165B,2.165B,581.00M,1.584B,,,40.00M,54.00M,,,,1.014B,1.239B,345.00M,,,,40.00M,,334.00M,103.00M,231.00M,,,,,231.00M,203.34M,516.00M,171.00M,345.00M,1.01,0.0,,0.8894,1.01,0.98,0.0,,0.8627,0.98,229.38M,235.94M,0.25
2004-06,1.996B,1.996B,637.00M,1.359B,,,13.00M,53.00M,,,,921.00M,1.139B,220.00M,,,,13.00M,,160.00M,31.00M,129.00M,-8.00M,,-3.00M,,121.00M,118.52M,385.00M,165.00M,220.00M,0.56,-0.04,,0.5145,0.52,0.55,-0.04,,0.5053,0.52,230.43M,234.31M,0.25
2004-03,2.36B,2.36B,951.00M,1.409B,,,5.00M,64.00M,,,,848.00M,1.077B,332.00M,,,,5.00M,,278.00M,57.00M,221.00M,-24.00M,,-2.00M,,197.00M,217.03M,497.00M,165.00M,332.00M,0.97,-0.11,,0.9526,0.86,0.96,-0.11,,0.9428,0.85,228.06M,231.14M,0.25
2003-12,2.066B,2.066B,655.00M,1.411B,,,-12.00M,63.00M,,,,974.00M,1.197B,214.00M,,,,-12.00M,,189.00M,-62.00M,251.00M,,-17.00M,-2.00M,,234.00M,258.20M,374.00M,160.00M,214.00M,1.39,-0.46,0.0,1.422,1.07,1.36,-0.46,-0.0779,1.392,1.05,222.74M,226.29M,0.25
2003-09,2.058B,2.058B,500.00M,1.558B,,,34.00M,54.00M,,,,1.039B,1.251B,307.00M,,,,34.00M,,269.00M,58.00M,211.00M,,,-2.00M,,211.00M,184.33M,465.00M,158.00M,307.00M,1.01,0.0,,0.8823,1.01,1.0,0.0,,0.8744,1.0,208.82M,212.27M,0.25
2003-06,1.84B,1.84B,137.00M,1.703B,,,9.00M,57.00M,,,,814.00M,1.50B,203.00M,,,,9.00M,,143.00M,27.00M,116.00M,,,-8.00M,,116.00M,108.70M,352.00M,149.00M,203.00M,0.56,0.0,,0.5248,0.56,0.55,0.0,,0.5153,0.55,207.63M,210.16M,0.25
