,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,1.923B,1.923B,163.00M,1.76B,,,-5.00M,56.00M,,,,664.00M,1.545B,215.00M,,,,-5.00M,,141.00M,24.00M,117.00M,,-29.00M,-7.00M,,88.00M,121.15M,363.00M,148.00M,215.00M,0.57,-0.14,0.0,0.5901,0.43,0.56,-0.14,-0.1405,0.58,0.42,206.39M,207.82M,0.25
2002-12,1.70B,1.70B,512.00M,1.188B,,,51.00M,48.00M,,,,793.00M,990.00M,198.00M,,,,51.00M,,137.00M,3.00M,134.00M,,,-7.00M,,148.00M,84.12M,347.00M,149.00M,198.00M,0.73,-0.01,,0.4875,0.72,0.73,-0.01,,0.4875,0.72,205.69M,205.69M,0.25
2002-09,1.385B,1.385B,297.00M,1.088B,,,-10.00M,42.00M,,,,588.00M,777.00M,311.00M,,,,-10.00M,,219.00M,69.00M,150.00M,,,-7.00M,,150.00M,156.85M,458.00M,147.00M,311.00M,0.73,0.0,,0.7634,0.73,0.73,0.0,,0.7634,0.73,204.93M,205.37M,0.25
2002-06,1.494B,1.494B,384.00M,1.11B,,,16.00M,43.00M,,,,683.00M,878.00M,232.00M,,,,16.00M,,164.00M,17.00M,147.00M,,,-8.00M,,147.00M,132.66M,384.00M,152.00M,232.00M,0.72,0.0,,0.6502,0.72,0.71,0.0,,0.6407,0.71,205.35M,207.08M,0.25
2002-03,1.47B,1.47B,61.00M,1.409B,,,19.00M,44.00M,,,,542.00M,1.158B,251.00M,,,,19.00M,,205.00M,59.00M,146.00M,,,-7.00M,,146.00M,132.47M,399.00M,148.00M,251.00M,0.71,0.0,,0.6439,0.71,0.71,0.0,,0.6444,0.71,204.85M,206.42M,0.25
2001-12,1.299B,1.299B,405.00M,894.00M,,,3.00M,41.00M,,,,567.00M,759.00M,135.00M,,,,3.00M,,68.00M,-40.00M,108.00M,,,-7.00M,,108.00M,106.20M,286.00M,151.00M,135.00M,0.52,0.0,,0.5113,0.52,0.52,0.0,,0.5113,0.52,205.86M,206.85M,0.25
2001-09,1.417B,1.417B,205.00M,1.212B,,,21.00M,41.00M,,,,806.00M,993.00M,219.00M,,,,21.00M,,153.00M,57.00M,96.00M,,,-7.00M,,96.00M,82.82M,366.00M,147.00M,219.00M,0.47,0.0,,0.4055,0.47,0.46,0.0,,0.3962,0.46,204.18M,206.59M,0.25
2001-06,1.895B,1.895B,759.00M,1.136B,,,27.00M,50.00M,,,,675.00M,864.00M,272.00M,,,,27.00M,,201.00M,64.00M,137.00M,,,-8.00M,,137.00M,118.60M,411.00M,139.00M,272.00M,0.67,0.0,,0.5795,0.67,0.66,0.0,,0.5706,0.66,203.40M,205.96M,0.25
2001-03,3.242B,3.242B,572.00M,2.67B,,,64.00M,58.00M,,,,736.00M,2.327B,343.00M,,,,64.00M,,310.00M,132.00M,178.00M,,,-7.00M,,178.00M,139.60M,485.00M,142.00M,343.00M,0.88,0.0,,0.6902,0.88,0.88,0.0,,0.6909,0.88,202.28M,203.03M,0.25
2000-12,2.002B,2.002B,2.084B,-82.00M,,,63.00M,42.00M,,,,610.00M,-293.00M,211.00M,,,,63.00M,,198.00M,103.00M,95.00M,,,-7.00M,,95.00M,57.20M,354.00M,143.00M,211.00M,0.47,0.0,,0.283,0.47,0.47,0.0,,0.283,0.47,202.10M,202.10M,0.25
2000-09,1.806B,1.806B,444.00M,1.362B,,,26.00M,47.00M,,,,583.00M,1.154B,208.00M,,,,26.00M,,160.00M,50.00M,110.00M,,,-7.00M,,110.00M,92.12M,350.00M,142.00M,208.00M,0.55,0.0,,0.4612,0.55,0.55,0.0,,0.4613,0.55,201.34M,201.50M,0.25
2000-06,1.536B,1.536B,264.00M,1.272B,,,,40.00M,,,,530.00M,1.03B,242.00M,,,,,,159.00M,49.00M,110.00M,,,-7.00M,,110.00M,110.00M,386.00M,144.00M,242.00M,0.55,0.0,,0.55,0.55,0.5459,0.0,,0.5459,0.5459,201.39M,201.48M,0.25
2000-03,1.442B,1.442B,133.00M,1.309B,,,24.00M,51.00M,,,,499.00M,1.074B,235.00M,,,,24.00M,,181.00M,68.00M,113.00M,,,-5.00M,,113.00M,98.02M,369.00M,134.00M,235.00M,0.49,0.0,,0.4244,0.49,0.49,0.0,,0.4244,0.49,228.29M,228.29M,0.25
1999-12,1.466B,1.466B,1.309B,157.00M,,,-18.00M,55.00M,,,,524.00M,-60.00M,217.00M,,,,-18.00M,,153.00M,48.00M,105.00M,,,-2.00M,,105.00M,117.35M,347.00M,,217.00M,0.44,0.0,,0.4918,0.44,0.44,0.0,,0.4916,0.44,238.32M,239.56M,0.39
1999-09,1.221B,1.221B,180.00M,1.041B,,,33.00M,40.00M,,,,440.00M,823.00M,218.00M,,,,33.00M,,175.00M,67.00M,108.00M,,,-3.00M,,108.00M,87.63M,358.00M,,218.00M,0.45,0.0,,0.3651,0.45,0.45,0.0,,0.3651,0.45,240.00M,240.00M,0.39
1999-06,1.512B,1.512B,109.00M,1.403B,,,6.00M,41.00M,,,,485.00M,1.268B,135.00M,,,,6.00M,,83.00M,1.00M,82.00M,,,-3.00M,,82.00M,76.07M,602.00M,467.00M,135.00M,0.35,0.0,,0.3247,0.35,0.35,0.0,,0.3247,0.35,234.29M,234.29M,0.39
1999-03,1.169B,1.169B,392.00M,777.00M,,,22.00M,45.00M,,,,389.00M,576.00M,201.00M,,,,22.00M,,162.00M,63.00M,99.00M,,,-3.00M,,99.00M,85.56M,343.00M,142.00M,201.00M,0.42,0.0,,0.364,0.42,0.42,0.0,,0.364,0.42,240.12M,240.12M,0.39
1998-12,1.298B,1.298B,1.057B,241.00M,,,-19.00M,43.00M,,,,538.00M,68.00M,173.00M,,,,-19.00M,,115.00M,30.00M,85.00M,,,-3.00M,,85.00M,99.04M,344.00M,,173.00M,0.36,0.0,,0.4195,0.36,0.36,0.0,,0.4195,0.36,235.89M,235.89M,0.39
1998-09,1.131B,1.131B,109.00M,1.022B,,,15.00M,41.00M,,,,415.00M,828.00M,194.00M,,,,15.00M,,148.00M,57.00M,91.00M,,,-3.00M,,91.00M,81.78M,401.00M,,194.00M,0.38,0.0,,0.3415,0.38,0.38,0.0,,0.3415,0.38,239.47M,239.47M,0.39
1998-06,1.217B,1.217B,98.00M,1.119B,,,4.00M,47.00M,,,,523.00M,1.035B,84.00M,,,,4.00M,,38.00M,7.00M,31.00M,,,-2.00M,,31.00M,27.74M,360.00M,,84.00M,0.13,0.0,,0.1163,0.13,0.13,0.0,,0.1163,0.13,238.46M,238.46M,0.39
