,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,2.284B,,2.284B,2.131B,859.00M,3.713B,235.00M,2.23B,432.00M,,,865.00M,9.524B,1.939B,7.46B,113.90B,-31.92B,81.98B,6.226B,848.00M,7.074B,3.369B,,2.674B,,102.04B,111.57B,,2.526B,368.00M,,2.894B,432.00M,3.326B,301.00M,4.271B,,3.235B,7.506B,,7.506B,530.00M,530.00M,1.474B,13.63B,4.914B,44.45B,,44.45B,16.47B,,17.13B,2.206B,1.349B,,2.667B,71.59B,85.22B,,5.378B,9.257B,10.60B,38.00M,324.00M,-200.00M,25.00B,,AOR,Restated
2017-12,2.13B,,2.13B,2.413B,869.00M,4.048B,595.00M,2.627B,452.00M,,,666.00M,10.07B,1.907B,6.904B,112.35B,-31.46B,80.90B,6.268B,873.00M,7.141B,3.345B,,2.608B,,100.93B,111.00B,,3.076B,636.00M,,3.712B,488.00M,4.20B,351.00M,2.439B,,3.861B,6.30B,31.00M,6.331B,542.00M,542.00M,1.211B,13.59B,4.862B,44.46B,,44.46B,16.36B,,17.06B,2.256B,1.361B,,2.684B,71.56B,85.15B,,5.362B,8.885B,10.47B,36.00M,324.00M,-189.00M,24.49B,,AOR,Restated
2017-09,1.841B,,1.841B,2.171B,640.00M,3.501B,631.00M,2.701B,365.00M,,,794.00M,9.202B,1.889B,8.026B,111.93B,-31.16B,80.76B,6.267B,902.00M,7.169B,3.42B,,3.041B,,101.11B,110.32B,,2.804B,866.00M,,3.67B,443.00M,4.113B,245.00M,2.579B,,3.505B,6.084B,,6.084B,550.00M,550.00M,908.00M,12.60B,4.356B,44.04B,,44.04B,16.61B,,17.66B,2.139B,1.395B,59.00M,2.708B,71.41B,84.02B,,5.841B,8.981B,10.30B,35.00M,823.00M,-182.00M,24.90B,,AOR,Restated
2017-06,1.433B,,1.433B,2.082B,539.00M,3.706B,477.00M,2.562B,361.00M,,,775.00M,8.837B,1.904B,7.44B,110.36B,-30.67B,79.70B,6.271B,929.00M,7.20B,3.354B,,2.927B,,99.85B,108.68B,,2.454B,615.00M,,3.069B,508.00M,3.577B,300.00M,3.274B,,3.031B,6.305B,,6.305B,546.00M,546.00M,1.439B,12.75B,4.696B,43.88B,,43.88B,16.04B,,16.85B,2.156B,1.407B,51.00M,2.706B,70.57B,83.32B,,5.577B,8.494B,10.11B,34.00M,580.00M,-191.00M,23.95B,,AOR,Restated
2017-03,1.094B,,1.094B,2.053B,480.00M,3.613B,346.00M,2.51B,401.00M,,,809.00M,8.427B,1.975B,9.465B,111.21B,-30.33B,80.88B,6.251B,935.00M,7.186B,3.293B,,3.222B,,101.33B,109.76B,,2.221B,584.00M,,2.805B,453.00M,3.258B,386.00M,2.818B,,3.269B,6.087B,,6.087B,541.00M,541.00M,1.551B,12.28B,4.558B,42.79B,,42.79B,16.79B,,17.66B,2.234B,1.293B,164.00M,2.724B,70.36B,82.65B,,5.70B,10.46B,9.884B,33.00M,727.00M,-189.00M,25.82B,,AOR,Restated
2016-12,1.975B,,1.975B,2.206B,377.00M,3.79B,631.00M,2.782B,364.00M,,,811.00M,9.722B,1.949B,8.977B,109.34B,-29.85B,79.49B,6.251B,970.00M,7.221B,3.155B,,3.258B,,99.98B,109.70B,,2.825B,860.00M,489.00M,4.174B,518.00M,4.692B,378.00M,2.241B,,2.555B,4.796B,32.00M,4.828B,558.00M,558.00M,1.546B,12.92B,4.533B,42.63B,,42.63B,16.54B,,17.42B,2.299B,1.245B,164.00M,2.748B,70.05B,82.97B,,5.679B,10.36B,9.661B,31.00M,727.00M,-180.00M,25.48B,,AOR,Restated
2016-09,2.669B,,2.669B,2.244B,371.00M,3.211B,627.00M,2.559B,459.00M,,,760.00M,9.658B,1.919B,10.07B,106.16B,-29.59B,76.57B,6.223B,942.00M,7.165B,3.157B,413.00M,2.951B,,96.70B,106.36B,,2.265B,1.016B,,3.281B,410.00M,3.691B,390.00M,1.67B,,2.254B,3.924B,,3.924B,577.00M,577.00M,1.249B,10.57B,4.539B,41.55B,,41.55B,16.14B,,16.78B,3.022B,1.024B,49.00M,3.152B,69.50B,80.06B,,5.627B,10.68B,9.217B,30.00M,727.00M,-225.00M,25.27B,,AOR,Restated
2016-06,1.897B,,1.897B,1.281B,259.00M,2.116B,,2.008B,563.00M,7.963B,,602.00M,15.15B,1.927B,9.451B,89.66B,-24.78B,64.89B,264.00M,490.00M,754.00M,1.578B,413.00M,2.633B,,75.72B,90.87B,,1.493B,411.00M,,1.904B,289.00M,2.193B,349.00M,1.372B,,2.724B,4.096B,,4.096B,408.00M,408.00M,904.00M,8.514B,4.129B,35.37B,,35.37B,14.17B,,14.90B,2.485B,822.00M,47.00M,1.534B,58.80B,67.31B,,5.435B,10.08B,7.499B,30.00M,727.00M,-247.00M,22.74B,,AOR,Restated
2016-03,754.00M,,754.00M,988.00M,279.00M,1.634B,,1.922B,486.00M,,,665.00M,5.461B,2.19B,9.406B,88.37B,-24.57B,63.80B,,,,1.54B,413.00M,2.563B,,73.27B,78.74B,,1.584B,254.00M,,1.838B,255.00M,2.093B,237.00M,1.195B,,2.392B,3.587B,,3.587B,406.00M,406.00M,1.093B,7.856B,3.504B,26.09B,,26.09B,13.81B,,14.56B,2.546B,778.00M,44.00M,1.526B,48.58B,56.43B,,5.331B,9.999B,6.582B,144.00M,727.00M,-244.00M,21.52B,,AOR,Restated
2015-12,1.404B,,1.404B,1.058B,461.00M,2.047B,,1.929B,495.00M,,,651.00M,6.526B,1.849B,9.082B,86.28B,-24.25B,62.03B,2.00M,317.00M,319.00M,1.518B,413.00M,2.524B,,71.79B,78.32B,,1.905B,493.00M,,2.398B,249.00M,2.647B,217.00M,1.376B,,2.642B,4.018B,32.00M,4.05B,404.00M,404.00M,1.034B,9.129B,3.584B,24.69B,,24.69B,13.73B,,14.41B,2.582B,781.00M,43.00M,1.532B,47.09B,56.22B,,5.299B,10.01B,6.282B,142.00M,727.00M,-130.00M,21.32B,,AOR,Restated
