,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-03,515.00M,,515.00M,1.011B,249.00M,1.635B,,2.723B,693.00M,25.00M,,341.00M,5.932B,1.726B,6.193B,71.77B,-22.22B,49.55B,,,,1.365B,,2.404B,,57.34B,63.27B,,1.369B,246.00M,,1.615B,249.00M,1.864B,,1.294B,,1.769B,3.063B,,3.063B,376.00M,376.00M,763.00M,6.439B,1.807B,20.22B,,20.22B,11.00B,,11.63B,2.526B,,,1.22B,37.72B,44.16B,,5.482B,9.281B,4.926B,451.00M,1.082B,-119.00M,19.12B,,AOR,Restated
2012-12,628.00M,,628.00M,961.00M,264.00M,1.649B,,2.819B,657.00M,7.00M,,402.00M,6.162B,1.737B,5.989B,71.24B,-21.96B,49.28B,,,,1.303B,,2.376B,,56.99B,63.15B,,1.387B,401.00M,,1.788B,237.00M,2.025B,,825.00M,,2.312B,3.137B,23.00M,3.16B,370.00M,370.00M,814.00M,7.014B,1.748B,19.27B,,19.27B,11.04B,,11.71B,2.54B,,,1.194B,36.76B,43.77B,,5.471B,9.626B,4.855B,450.00M,1.082B,-123.00M,19.38B,,AOR,Restated
2012-09,1.256B,,1.256B,1.369B,233.00M,2.007B,,2.53B,519.00M,7.00M,,377.00M,6.696B,837.00M,6.363B,69.18B,-21.91B,47.27B,,,,2.159B,,2.398B,,55.27B,61.96B,,1.28B,555.00M,,1.835B,455.00M,2.29B,,335.00M,,2.433B,2.768B,,2.768B,366.00M,366.00M,820.00M,6.569B,1.409B,18.96B,,18.96B,10.69B,,11.33B,2.449B,,375.00M,,36.05B,42.62B,,5.093B,9.67B,4.831B,136.00M,707.00M,-112.00M,19.35B,,AOR,Restated
2012-06,659.00M,,659.00M,1.164B,261.00M,1.899B,,2.591B,577.00M,192.00M,,455.00M,6.373B,807.00M,5.745B,68.13B,-21.62B,46.51B,,,,2.155B,,2.29B,53.00M,54.52B,60.90B,,1.253B,360.00M,,1.613B,441.00M,2.054B,,453.00M,,2.075B,2.528B,,2.528B,363.00M,363.00M,897.00M,6.088B,1.385B,19.46B,,19.46B,10.27B,,10.86B,2.409B,,375.00M,,35.98B,42.07B,,5.084B,9.122B,4.755B,18.00M,707.00M,-112.00M,18.83B,,AOR,Restated
2012-03,1.044B,,1.044B,936.00M,226.00M,1.496B,,2.483B,519.00M,7.00M,,492.00M,6.041B,830.00M,6.225B,67.13B,-21.33B,45.80B,,,,2.194B,,2.274B,54.00M,53.83B,59.87B,,1.262B,261.00M,,1.523B,453.00M,1.976B,,1.029B,,1.881B,2.91B,,2.91B,358.00M,358.00M,915.00M,6.317B,1.341B,19.05B,,19.05B,9.872B,,10.45B,2.432B,,375.00M,,35.15B,41.47B,,5.053B,8.926B,4.55B,18.00M,707.00M,-105.00M,18.41B,,AOR,Restated
2011-12,1.315B,,1.315B,1.074B,425.00M,1.849B,,2.27B,385.00M,8.00M,,445.00M,6.272B,1.685B,5.591B,67.08B,-21.15B,45.92B,,,,1.207B,,2.288B,,53.00B,59.27B,,1.553B,438.00M,,1.991B,226.00M,2.217B,,859.00M,,1.693B,2.552B,24.00M,2.576B,347.00M,347.00M,782.00M,6.577B,1.321B,18.65B,,18.65B,9.644B,,10.16B,2.442B,,,1.165B,34.03B,40.61B,,5.41B,8.968B,4.41B,17.00M,1.082B,-111.00M,18.66B,,AOR,Restated
2011-09,1.516B,,1.516B,1.401B,250.00M,2.07B,,1.93B,319.00M,9.00M,,651.00M,6.495B,743.00M,5.809B,64.63B,-20.89B,43.74B,,,,2.056B,,2.298B,57.00M,50.85B,57.34B,,1.355B,526.00M,,1.881B,436.00M,2.317B,,137.00M,,1.891B,2.028B,,2.028B,340.00M,340.00M,623.00M,5.657B,1.307B,18.73B,,18.73B,9.415B,,9.898B,1.608B,,375.00M,,33.35B,39.00B,,5.019B,9.116B,4.302B,16.00M,707.00M,-81.00M,18.34B,,AOR,Restated
2011-06,437.00M,,437.00M,1.275B,254.00M,2.021B,,2.067B,360.00M,13.00M,,604.00M,5.502B,752.00M,5.301B,63.87B,-20.66B,43.21B,,,,2.232B,,2.274B,66.00M,50.52B,56.02B,,1.423B,413.00M,,1.836B,423.00M,2.259B,,857.00M,,1.354B,2.211B,,2.211B,337.00M,337.00M,629.00M,5.699B,1.30B,18.55B,,18.55B,8.884B,,9.34B,1.563B,,375.00M,,32.64B,38.33B,,4.998B,8.605B,4.163B,15.00M,707.00M,-62.00M,17.69B,,AOR,Restated
2011-03,410.00M,,410.00M,1.024B,249.00M,1.588B,,2.178B,435.00M,7.00M,,622.00M,5.24B,738.00M,4.872B,63.02B,-20.38B,42.63B,,,,2.266B,,2.143B,67.00M,49.78B,55.02B,,1.315B,388.00M,,1.703B,449.00M,2.152B,,1.243B,,1.435B,2.678B,,2.678B,333.00M,333.00M,709.00M,6.037B,1.283B,18.13B,,18.13B,8.431B,,8.939B,1.575B,,375.00M,,31.81B,37.85B,,4.955B,8.404B,3.894B,15.00M,707.00M,-66.00M,17.17B,,AOR,Restated
2010-12,447.00M,,447.00M,1.14B,285.00M,1.82B,,2.135B,784.00M,68.00M,,629.00M,5.883B,670.00M,4.775B,62.18B,-20.17B,42.00B,,,,2.271B,,2.168B,,49.15B,55.03B,,1.275B,635.00M,,1.91B,419.00M,2.329B,,1.297B,,1.301B,2.598B,,2.598B,332.00M,332.00M,775.00M,6.472B,1.257B,18.15B,,18.15B,8.298B,,8.815B,1.58B,,375.00M,,31.65B,38.12B,,4.926B,8.366B,3.702B,15.00M,707.00M,-70.00M,16.91B,,AOR,Restated
2010-03,339.05M,,339.05M,998.67M,362.76M,1.673B,,2.112B,439.41M,35.55M,,621.36M,5.220B,55.59B,3.781B,59.37B,-19.37B,40.00B,,,,2.069B,,2.003B,,47.36B,52.58B,,1.229B,433.57M,,1.663B,410.28M,2.073B,,769.97M,,1.244B,2.014B,,2.014B,337.01M,337.01M,950.96M,5.516B,1.218B,18.10B,,18.10B,7.331B,,7.743B,2.300B,,374.50M,,31.16B,36.68B,,4.832B,8.022B,3.142B,15.51M,707.33M,-78.54M,15.90B,,AOR,Restated
2009-12,690.00M,,690.00M,953.00M,375.00M,1.697B,,2.241B,508.00M,43.00M,,694.00M,5.873B,593.00M,4.17B,58.35B,-19.12B,39.23B,,,,1.963B,,1.905B,,46.17B,52.05B,,1.329B,577.00M,,1.906B,402.00M,2.308B,,639.00M,,1.113B,1.752B,,1.752B,331.00M,331.00M,945.00M,5.584B,1.201B,18.13B,,18.13B,7.151B,,7.497B,2.304B,,375.00M,,30.88B,36.46B,,4.808B,7.885B,2.995B,15.00M,707.00M,-88.00M,15.58B,,AOR,Restated
2009-09,606.86M,,606.86M,1.235B,270.35M,1.871B,,2.169B,372.95M,66.40M,,796.13M,5.882B,536.19M,4.265B,57.13B,-18.99B,38.14B,,,,1.895B,,1.883B,,44.64B,50.52B,,1.159B,760.49M,,1.919B,396.78M,2.316B,,1.065B,,412.30M,1.477B,,1.477B,325.04M,325.04M,867.03M,5.176B,1.235B,18.01B,,18.01B,7.044B,,7.345B,2.024B,,374.50M,,30.28B,35.45B,,4.711B,7.988B,2.469B,14.04M,707.37M,-84.43M,15.07B,,AOR,Restated
2009-06,781.84M,,781.84M,1.149B,335.71M,1.911B,,2.161B,364.46M,96.54M,,1.074B,6.389B,546.22M,3.811B,56.24B,-18.74B,37.50B,,,,1.767B,,1.844B,,44.03B,50.42B,,1.420B,547.54M,,1.967B,390.66M,2.358B,,1.093B,,1.096B,2.189B,,2.189B,319.84M,319.84M,633.42M,5.663B,1.218B,17.92B,,17.92B,6.856B,,7.175B,2.030B,,374.50M,,30.26B,35.93B,,4.690B,7.546B,2.357B,13.30M,707.37M,-88.61M,14.49B,,AOR,
2009-03,672.18M,,672.18M,996.43M,353.12M,1.610B,,1.944B,337.90M,131.61M,,1.252B,5.949B,547.98M,3.610B,55.29B,-18.52B,36.77B,,,,1.939B,,1.471B,394.04M,43.61B,49.56B,,1.639B,365.73M,,2.005B,394.26M,2.399B,,1.075B,,686.44M,1.761B,,1.761B,312.99M,312.99M,853.66M,5.458B,1.200B,17.81B,,17.81B,6.769B,,6.769B,2.057B,,374.50M,347.95M,30.14B,35.60B,,4.622B,7.411B,2.037B,12.95M,707.37M,-96.46M,13.96B,,AOR,Restated
2008-12,417.00M,,417.00M,1.054B,301.00M,1.649B,,1.775B,302.00M,103.00M,,1.112B,5.358B,510.00M,3.036B,54.16B,-18.29B,35.88B,,,,1.988B,,1.881B,,42.99B,48.35B,,1.25B,724.00M,,1.974B,375.00M,2.349B,,953.00M,,617.00M,1.57B,,1.57B,302.00M,302.00M,558.00M,5.226B,1.183B,16.82B,,16.82B,6.794B,,7.124B,2.057B,,375.00M,,29.14B,34.36B,,4.595B,7.612B,1.893B,12.00M,707.00M,-105.00M,13.98B,,AOR,Restated
2008-09,806.02M,,806.02M,1.310B,272.37M,1.945B,,1.582B,258.02M,31.01M,,1.203B,5.825B,460.85M,2.935B,53.22B,-18.11B,35.11B,,,,1.908B,,1.430B,737.42M,43.19B,49.01B,,1.187B,445.35M,,1.633B,427.25M,2.060B,,1.334B,,1.076B,2.410B,,2.410B,295.61M,295.61M,801.91M,5.891B,1.165B,15.78B,,15.78B,6.717B,,6.717B,1.575B,,,391.22M,28.64B,34.53B,,4.957B,7.752B,1.812B,12.87M,1.082B,-22.48M,14.49B,,AOR,Restated
2008-06,193.97M,,193.97M,1.200B,379.99M,1.983B,,1.583B,298.00M,41.41M,,1.270B,5.369B,459.38M,2.453B,52.45B,-17.89B,34.56B,,,,1.978B,,1.423B,723.76M,42.49B,47.86B,,1.396B,313.73M,,1.710B,412.81M,2.123B,,1.120B,,947.84M,2.068B,,2.068B,290.23M,290.23M,996.43M,5.706B,1.147B,15.58B,,15.58B,6.618B,,6.618B,1.525B,,,362.90M,28.30B,34.01B,,4.935B,7.295B,1.678B,12.21M,1.082B,-44.26M,13.85B,,AOR,Restated
2008-03,248.85M,,248.85M,1.926B,,2.223B,,1.503B,,,,850.99M,4.826B,48.14B,3.551B,51.69B,-17.69B,34.00B,,,,,,927.46M,6.839B,41.77B,46.60B,,1.153B,,,1.153B,1.875B,3.028B,,,,,2.415B,,2.415B,,,,5.443B,,14.89B,,14.89B,6.305B,,473.34M,,,1.082B,,16.44B,34.03B,,3.838B,7.202B,1.587B,11.80M,,-51.88M,12.56B,,,Restated
2007-12,201.00M,,201.00M,1.00B,348.00M,1.62B,,1.435B,146.00M,68.00M,,1.262B,4.732B,336.00M,3.228B,50.74B,-17.41B,33.33B,,,,2.354B,,1.39B,460.00M,41.06B,45.79B,,1.214B,217.00M,,1.431B,389.00M,1.82B,,1.272B,,1.178B,2.45B,,2.45B,274.00M,274.00M,679.00M,5.631B,1.20B,14.14B,,14.14B,6.59B,,6.59B,1.492B,,,347.00M,26.69B,32.32B,,13.46B,,,,1.08B,,13.46B,,AOR,Restated
2007-09,534.51M,,534.51M,1.361B,318.38M,2.023B,,1.434B,167.97M,51.50M,,1.225B,5.436B,336.48M,2.896B,49.80B,-17.21B,32.59B,,,,2.383B,,1.406B,654.17M,39.87B,45.31B,,1.103B,363.06M,,1.466B,354.18M,1.820B,,1.284B,,1.721B,3.006B,,3.006B,269.42M,269.42M,722.11M,6.117B,1.185B,13.10B,,13.10B,6.617B,,6.617B,1.682B,,,2.053B,26.84B,32.96B,,4.566B,7.256B,1.340B,10.57M,766.30M,-38.19M,12.35B,,AOR,Restated
2007-06,168.84M,,168.84M,1.037B,268.86M,1.661B,,1.468B,227.08M,96.05M,,1.133B,4.754B,325.10M,2.507B,49.02B,-17.00B,32.02B,,,,2.348B,,1.392B,603.97M,39.39B,44.14B,,1.060B,114.27M,,1.174B,354.65M,1.529B,,1.495B,,1.303B,2.798B,,2.798B,264.61M,264.61M,653.68M,5.441B,1.166B,13.21B,,13.21B,6.600B,,6.600B,1.616B,,,2.148B,26.91B,32.36B,,4.528B,6.799B,1.247B,9.951M,743.93M,-31.24M,11.79B,,AOR,Restated
2007-03,161.49M,,161.49M,1.667B,,1.932B,,1.391B,,,,540.47M,4.024B,46.13B,2.230B,48.36B,-16.84B,31.52B,,,,,,916.89M,6.642B,39.08B,43.11B,,983.92M,,,983.92M,1.365B,2.349B,,,,,3.147B,,3.147B,,,,5.496B,,13.36B,,13.36B,6.647B,,497.23M,,,743.94M,,14.60B,31.62B,,3.761B,6.673B,1.114B,9.509M,,-56.01M,11.48B,,,
2006-12,167.00M,,167.00M,943.00M,330.00M,1.521B,,1.323B,128.00M,0.00,,880.00M,4.019B,317.00M,1.871B,47.67B,-16.58B,31.09B,,,,2.197B,,1.36B,860.00M,38.84B,42.86B,,1.081B,110.00M,,1.191B,335.00M,1.526B,,1.941B,,1.418B,3.359B,,3.359B,249.00M,249.00M,775.00M,6.353B,1.137B,12.50B,,12.50B,6.783B,,6.783B,1.567B,,,306.00M,24.39B,30.74B,,12.12B,,,,744.00M,,12.12B,,AOR,Restated
2006-09,418.10M,,418.10M,1.175B,314.47M,1.788B,,1.273B,192.30M,,,1.111B,4.783B,312.71M,1.512B,46.98B,-16.41B,30.58B,,,,2.457B,,1.382B,549.53M,37.25B,42.04B,,853.67M,106.62M,,960.29M,364.41M,1.325B,,2.046B,,1.292B,3.338B,,3.338B,241.50M,241.50M,781.92M,5.985B,1.164B,10.99B,,10.99B,7.195B,,7.195B,1.029B,,,2.798B,24.77B,30.75B,,4.356B,6.865B,1.102B,316.46M,596.71M,-124.38M,11.29B,,AOR,Restated
2006-06,262.90M,,262.90M,1.853B,,2.230B,,1.233B,,,,594.41M,4.320B,44.87B,1.281B,46.15B,-16.18B,29.96B,,,,,,925.67M,5.594B,36.48B,40.80B,,867.35M,,,867.35M,2.681B,3.548B,,,,,1.852B,,1.852B,,,,5.400B,,13.19B,,13.19B,6.817B,,515.12M,,,595.61M,,14.30B,29.95B,,3.759B,6.415B,1.102B,331.77M,,-97.75M,10.85B,,,Restated
2006-03,300.79M,,300.79M,1.857B,,2.125B,,1.158B,,,,628.49M,4.212B,44.23B,1.404B,45.63B,-15.99B,29.64B,,,,,,931.08M,5.192B,35.77B,39.98B,,845.14M,,,845.14M,1.278B,2.123B,,,,,2.815B,,2.815B,,,,4.938B,,13.23B,,13.23B,6.540B,,521.15M,,,595.62M,,14.35B,29.25B,,3.759B,6.317B,1.101B,340.31M,,-113.60M,10.72B,,,
2005-12,202.00M,,202.00M,868.00M,410.00M,1.544B,,1.069B,129.00M,,,1.261B,4.205B,262.00M,1.367B,45.21B,-15.73B,29.48B,,,,2.373B,,1.408B,339.00M,35.67B,39.88B,,1.229B,104.00M,,1.333B,348.00M,1.681B,,1.258B,,901.00M,2.159B,,2.159B,220.00M,220.00M,721.00M,5.24B,1.117B,12.85B,,12.85B,6.574B,,6.574B,930.00M,,,267.00M,23.35B,28.59B,,11.28B,,,,596.00M,,11.28B,,AOR,Restated
2005-09,416.34M,,416.34M,2.132B,,2.517B,,1.003B,,,,516.04M,4.452B,43.23B,1.349B,44.58B,-15.50B,29.07B,,,,,,873.90M,4.985B,34.93B,39.38B,,1.151B,,,1.151B,2.021B,3.172B,,,,,1.772B,,1.772B,,,,4.944B,,12.85B,,12.85B,6.056B,,533.21M,,,560.44M,,13.95B,28.57B,,3.758B,6.449B,1.078B,347.17M,,-121.33M,10.82B,,,Restated
2005-06,236.76M,,236.76M,1.570B,,1.928B,,1.062B,,,,359.72M,3.586B,43.12B,1.066B,44.18B,-15.29B,28.90B,,,,,,877.42M,4.711B,34.48B,38.07B,,719.93M,,,719.93M,1.465B,2.185B,,,,,2.106B,,2.106B,,,,4.291B,,12.69B,,12.69B,5.871B,,539.27M,,,560.44M,,13.79B,27.52B,,3.744B,6.005B,1.019B,68.69M,,-150.09M,10.55B,,,
2005-03,381.79M,,381.79M,1.568B,,1.821B,,968.03M,,,,429.59M,3.600B,41.94B,1.730B,43.67B,-15.13B,28.54B,,,,,,878.72M,4.272B,33.69B,37.29B,,728.17M,,,728.17M,1.150B,1.878B,,,,,1.843B,,1.843B,,,,3.721B,,12.62B,,12.62B,5.634B,,334.53M,,,560.45M,,13.51B,26.88B,,3.723B,5.896B,925.70M,5.895M,,-130.18M,10.41B,,,
2004-12,368.00M,,368.00M,697.00M,310.00M,1.278B,,910.00M,126.00M,,,809.00M,3.491B,218.00M,1.662B,43.30B,-14.95B,28.36B,,,,2.247B,,1.34B,280.00M,33.46B,36.96B,,877.00M,47.00M,,924.00M,316.00M,1.24B,,426.00M,,983.00M,1.409B,,1.409B,199.00M,199.00M,526.00M,3.798B,903.00M,12.45B,,12.45B,6.168B,,6.168B,864.00M,,,310.00M,22.32B,26.12B,,10.84B,,,,561.00M,,10.84B,,AOR,Restated
2004-09,284.03M,,284.03M,1.562B,,1.883B,,872.92M,,,,332.19M,3.372B,41.30B,1.577B,42.88B,-14.82B,28.06B,,,,,,866.48M,4.201B,33.13B,36.50B,,708.02M,,,708.02M,1.727B,2.435B,,,,,812.48M,,812.48M,,,,3.247B,,12.71B,,12.71B,5.913B,,558.95M,,,569.74M,,13.84B,26.20B,,3.700B,5.890B,833.33M,5.14M,,-116.29M,10.30B,,,
2004-06,191.16M,,191.16M,1.390B,,1.752B,,904.11M,,,,321.39M,3.168B,41.10B,1.435B,42.53B,-14.63B,27.91B,,,,,,866.78M,3.994B,32.77B,35.94B,,628.44M,,,628.44M,1.408B,2.036B,,,,,1.662B,,1.662B,,,,3.698B,,12.24B,,12.24B,5.812B,,565.78M,,,569.74M,,13.37B,26.02B,,3.692B,5.510B,806.28M,4.72M,,-87.47M,9.916B,,,
2004-03,325.49M,,325.49M,1.098B,,1.355B,,865.42M,,,,349.03M,2.895B,40.74B,1.496B,42.24B,-14.50B,27.74B,,,,,,870.35M,3.859B,32.47B,35.37B,,658.58M,,,658.58M,1.175B,1.834B,,,,,1.745B,,1.745B,,,,3.579B,,12.07B,,12.07B,5.680B,,572.64M,,,523.13M,,13.17B,25.59B,,3.688B,5.415B,793.46M,4.378M,,-114.60M,9.778B,,,
2003-12,311.00M,,311.00M,680.00M,542.00M,1.467B,,886.00M,269.00M,,,127.00M,3.06B,223.00M,1.275B,41.84B,-14.31B,27.52B,,,,1.926B,,1.624B,,32.12B,35.18B,,688.00M,295.00M,,983.00M,314.00M,1.297B,,568.00M,,741.00M,1.309B,,1.309B,189.00M,189.00M,273.00M,3.505B,845.00M,10.16B,,10.16B,5.824B,,5.824B,765.00M,,1.90B,1.532B,21.60B,25.11B,,4.098B,5.343B,747.00M,4.00M,423.00M,-113.00M,10.07B,,AOR,Restated
2003-09,582.95M,,582.95M,1.347B,,1.608B,,869.86M,,,,360.24M,3.421B,40.01B,1.431B,41.44B,-15.41B,26.03B,,,,,,885.36M,3.558B,30.47B,33.89B,,694.51M,,,694.51M,1.724B,2.418B,,,,,1.667B,,1.667B,,,,4.086B,,9.750B,,9.750B,5.062B,,586.22M,,2.18B,423.13M,,10.76B,22.03B,,3.658B,5.475B,659.34M,3.776M,,-103.92M,9.684B,,,
2003-06,210.64M,,210.64M,1.243B,,1.538B,,880.77M,,,,328.96M,2.958B,39.81B,1.404B,41.22B,-15.25B,25.96B,,,,,,889.27M,3.483B,30.33B,33.29B,,657.82M,,,657.82M,1.345B,2.003B,,,,,2.142B,,2.142B,,,,4.145B,,9.526B,,9.526B,4.992B,,593.07M,,2.18B,423.13M,,10.54B,21.90B,,3.639B,5.111B,572.73M,3.409M,,-101.64M,9.218B,,,
2003-03,309.40M,,309.40M,1.138B,,1.354B,,840.29M,,,,418.20M,2.922B,38.51B,2.225B,40.74B,-15.04B,25.69B,,,,,,894.34M,3.343B,29.93B,32.85B,,717.95M,,,717.95M,1.122B,1.840B,,,,,2.982B,,2.982B,,,,4.822B,,8.704B,,8.704B,4.905B,,599.93M,,2.38B,423.13M,,9.727B,21.60B,,3.606B,4.922B,436.61M,3.121M,,-89.84M,8.871B,,,
2002-12,273.00M,,273.00M,712.00M,544.00M,1.507B,,859.00M,126.00M,,,164.00M,2.929B,223.00M,2.362B,40.07B,-13.50B,26.57B,,,,1.673B,,1.767B,,30.79B,33.72B,,797.00M,300.00M,,1.097B,288.00M,1.385B,,972.00M,,1.679B,2.651B,,2.651B,169.00M,169.00M,342.00M,4.987B,,8.714B,,8.714B,5.26B,,5.26B,661.00M,,2.38B,303.00M,19.73B,24.71B,,3.881B,4.874B,338.00M,3.00M,298.00M,-82.00M,9.008B,,AOR,Restated
2002-09,293.02M,,293.02M,1.442B,,1.442B,,868.60M,,,,528.90M,3.133B,37.61B,2.128B,39.74B,-15.45B,24.29B,,,,,,902.43M,3.131B,28.32B,31.45B,,728.43M,,,728.43M,1.587B,2.315B,,,,,2.247B,,2.247B,,,,4.562B,,8.826B,,8.826B,4.757B,,613.47M,,2.302B,298.13M,,9.738B,20.43B,,3.564B,4.948B,255.60M,2.485M,,-43.30M,8.721B,,,
2002-06,674.71M,,674.71M,1.305B,,1.305B,,911.80M,,,,452.74M,3.345B,37.44B,1.888B,39.33B,-15.38B,23.96B,,,,,,909.61M,3.101B,27.97B,31.31B,,683.62M,,,683.62M,1.300B,1.984B,,,,,3.296B,,3.296B,,,,5.280B,,8.027B,,8.027B,4.720B,,620.31M,,2.716B,368.13M,,9.015B,20.31B,,3.541B,4.595B,175.54M,2.204M,,-22.21M,8.288B,,,
2002-03,296.09M,,296.09M,1.053B,,1.053B,,938.13M,,,,462.71M,2.750B,36.20B,2.514B,38.71B,-15.23B,23.48B,,,,,,917.40M,3.045B,27.45B,30.20B,,649.47M,,,649.47M,1.159B,1.808B,,,,,2.085B,,2.085B,,,,3.893B,,8.932B,,8.932B,5.209B,,627.15M,,2.276B,368.13M,,9.927B,19.81B,,3.518B,4.500B,76.72M,1.961M,,13.26M,8.106B,,,
2001-12,354.00M,,354.00M,594.00M,324.00M,1.427B,,944.00M,,,,231.00M,2.956B,202.00M,2.089B,38.10B,-15.02B,23.08B,,,,1.53B,,1.686B,,26.94B,29.90B,,823.00M,353.00M,,1.176B,243.00M,1.419B,,1.902B,,429.00M,2.331B,,2.331B,153.00M,153.00M,473.00M,4.376B,533.00M,8.297B,,8.297B,5.231B,42.00M,5.273B,,,2.276B,790.00M,17.17B,21.54B,,3.871B,4.517B,14.00M,57.00M,368.00M,7.00M,8.352B,,AOR,Restated
2001-09,305.62M,,305.62M,1.439B,,1.439B,,859.39M,,,,668.77M,3.273B,35.68B,1.920B,37.60B,-14.83B,22.77B,,,,,,2.285B,1.466B,26.53B,29.80B,,662.59M,,,662.59M,1.575B,2.238B,,,,,2.408B,,2.408B,,,,4.646B,,7.941B,,7.941B,4.776B,,641.45M,,368.13M,2.246B,,10.83B,21.46B,,3.503B,4.643B,9.665M,174.93M,,-8.842M,7.972B,,,
2001-06,200.23M,,200.23M,1.245B,,1.245B,,896.10M,,,,698.20M,3.040B,35.16B,2.008B,37.17B,-14.72B,22.45B,,,,,,945.71M,2.831B,26.23B,29.27B,,705.20M,,,705.20M,1.242B,1.947B,,,,,3.064B,,3.064B,,,,5.011B,,7.531B,,7.531B,4.757B,,648.89M,,368.13M,2.246B,,10.43B,21.36B,,3.503B,4.353B,9.558M,331.28M,,0.764M,7.535B,,,
2001-03,179.76M,,179.76M,1.019B,,1.019B,,836.51M,,,,615.47M,2.651B,34.65B,1.918B,36.57B,-14.53B,22.04B,,,,,,2.178B,4.658B,28.88B,31.53B,,632.84M,,,632.84M,1.145B,1.777B,,,,,2.345B,,2.345B,,,,4.122B,,7.695B,,7.695B,4.731B,,656.14M,,368.13M,2.246B,,10.60B,20.60B,,3.503B,4.763B,3.168B,465.29M,,-407.04M,10.56B,,,
2000-12,205.00M,,205.00M,1.752B,,1.73B,,702.00M,,,,188.00M,2.825B,215.00M,1.569B,35.97B,-14.35B,21.62B,,,,1.447B,,1.648B,3.32B,28.44B,31.26B,,869.00M,296.00M,,1.165B,240.00M,1.405B,,1.68B,,67.00M,1.747B,,1.747B,140.00M,140.00M,426.00M,3.718B,401.00M,7.843B,,7.843B,5.289B,,5.289B,,,2.246B,705.00M,16.48B,20.20B,,3.871B,4.672B,3.153B,545.00M,368.00M,-93.00M,11.06B,,AOR,Restated
2000-09,834.67M,,834.67M,3.897B,,3.897B,,932.24M,,,,1.803B,7.467B,38.32B,1.601B,39.92B,-14.80B,25.12B,,,4.618B,,,2.546B,3.781B,36.06B,43.53B,,2.261B,,,2.261B,3.134B,5.395B,,,,,5.860B,,5.860B,,,,11.26B,,11.95B,,11.95B,5.196B,,671.03M,,674.99M,2.688B,,15.31B,33.48B,,3.503B,4.778B,2.490B,1.284B,,-107.12M,9.380B,,,
2000-06,787.92M,,787.92M,1.802B,,1.802B,,892.27M,,,,653.15M,4.135B,38.14B,1.343B,39.48B,-14.59B,24.89B,,,4.610B,,,2.531B,3.354B,35.39B,39.52B,,886.44M,,,886.44M,1.673B,2.560B,,,,,5.117B,,5.117B,,,,7.677B,,12.41B,,12.41B,5.179B,,678.52M,,749.08M,2.690B,,15.78B,29.85B,,3.503B,4.382B,2.480B,1.333B,,-110.98M,8.921B,,,
2000-03,471.09M,,471.09M,1.395B,,1.395B,,907.86M,,,,539.89M,3.314B,37.12B,1.917B,39.04B,-14.35B,24.69B,,,4.720B,,,2.461B,3.264B,35.14B,38.45B,,692.59M,,,692.59M,1.529B,2.221B,,,,,4.905B,,4.905B,,,,7.127B,,12.14B,,12.14B,5.176B,,685.93M,,751.27M,2.694B,,15.52B,28.89B,,3.503B,4.257B,2.480B,1.333B,,-95.31M,8.812B,,,
1999-12,176.00M,,176.00M,1.309B,,1.287B,,767.00M,,,,132.00M,2.362B,227.00M,1.265B,34.19B,-13.66B,20.54B,,,,1.37B,,1.739B,2.913B,26.93B,29.29B,,669.00M,305.00M,,974.00M,252.00M,1.226B,,1.955B,,329.00M,2.284B,,2.284B,128.00M,128.00M,391.00M,4.029B,465.00M,7.251B,,7.251B,5.217B,,5.647B,,,2.246B,80.00M,15.69B,19.72B,,3.872B,4.232B,2.48B,919.00M,369.00M,-92.00M,9.573B,,AOR,Restated
