,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-12,297.00M,,183.00M,-13.00M,-86.00M,84.00M,608.00M,608.00M,264.00M,,22.00M,17.00M,392.00M,-178.00M,,-143.00M,-112.00M,-483.00M,418.00M,-106.00M,,1.186B,,-2.184B,,-2.184B,-591.00M,-1.00M,376.00M,-2.40B,,1.995B,-114.00M,1.881B,120.00M,0.00,120.00M,,0.00,0.00,-494.00M,,-494.00M,2.00M,1.509B,,1.109B,295.00M,1.404B,,120.00M,2.923B,-1.042B,0.00,,-590.00M,,AOR,Restated
2015-09,969.00M,,150.00M,-1.00M,79.00M,228.00M,616.00M,616.00M,357.00M,,11.00M,-126.00M,40.00M,103.00M,,513.00M,59.00M,71.00M,140.00M,926.00M,,2.981B,,-1.251B,,-1.251B,-720.00M,0.00,-143.00M,-2.114B,,-706.00M,433.00M,-273.00M,20.00M,0.00,20.00M,,0.00,0.00,-493.00M,,-493.00M,175.00M,-571.00M,,813.00M,296.00M,1.109B,,20.00M,1.355B,-1.628B,0.00,,216.00M,,AOR,Restated
2015-06,644.00M,,23.00M,-3.00M,,20.00M,593.00M,593.00M,670.00M,,10.00M,-46.00M,-782.00M,56.00M,,-142.00M,-10.00M,118.00M,63.00M,-697.00M,,1.194B,,-1.142B,,-1.142B,-408.00M,1.00M,-110.00M,-1.659B,,1.919B,-623.00M,1.296B,4.00M,0.00,4.00M,,-412.00M,-412.00M,-494.00M,,-494.00M,-228.00M,166.00M,,1.112B,-299.00M,813.00M,,4.00M,2.152B,-856.00M,-412.00M,,167.00M,,AOR,Restated
2015-03,525.00M,,9.00M,,,9.00M,578.00M,578.00M,113.00M,,56.00M,-59.00M,180.00M,80.00M,,-229.00M,-89.00M,81.00M,-332.00M,-309.00M,,913.00M,,-1.097B,,-1.097B,,-6.00M,-4.00M,-1.107B,,217.00M,877.00M,1.094B,112.00M,-115.00M,-3.00M,,,,-478.00M,,-478.00M,-17.00M,596.00M,,710.00M,402.00M,1.112B,,112.00M,1.427B,-333.00M,-115.00M,,207.00M,,AOR,Restated
2014-12,300.00M,,70.00M,,,-445.00M,495.00M,495.00M,449.00M,,12.00M,49.00M,288.00M,-136.00M,,-149.00M,-28.00M,157.00M,136.00M,268.00M,,1.128B,,-1.342B,,-1.342B,,0.00,-178.00M,-2.251B,,75.00M,441.00M,516.00M,322.00M,0.00,322.00M,,0.00,0.00,-475.00M,51.00M,-424.00M,5.00M,419.00M,,1.414B,-704.00M,710.00M,,322.00M,454.00M,62.00M,0.00,-263.00M,-560.00M,,AOR,Restated
2014-09,735.00M,,418.00M,,,418.00M,616.00M,616.00M,214.00M,,11.00M,-202.00M,-61.00M,78.00M,,470.00M,59.00M,143.00M,136.00M,825.00M,,2.617B,,-1.212B,,-1.212B,,0.00,-176.00M,-1.388B,,1.395B,-1.456B,-61.00M,166.00M,0.00,166.00M,,0.00,0.00,-471.00M,-17.00M,-488.00M,-15.00M,-398.00M,,583.00M,831.00M,1.414B,,166.00M,1.062B,-1.123B,0.00,51.00M,195.00M,,AOR,Restated
2014-06,628.00M,,0.00,,,0.00,595.00M,595.00M,83.00M,,12.00M,3.00M,-451.00M,-37.00M,,-6.00M,26.00M,10.00M,104.00M,-354.00M,,967.00M,,-1.512B,,-1.512B,,0.00,-42.00M,-1.554B,,-359.00M,1.223B,864.00M,190.00M,-1.00M,189.00M,,0.00,0.00,-469.00M,-17.00M,-486.00M,13.00M,580.00M,,590.00M,-7.00M,583.00M,,190.00M,402.00M,462.00M,-1.00M,205.00M,179.00M,,AOR,Restated
2014-03,368.00M,,380.00M,,,380.00M,587.00M,587.00M,-37.00M,,28.00M,-99.00M,-128.00M,436.00M,,-153.00M,-114.00M,-21.00M,-144.00M,-124.00M,,1.103B,,-1.18B,,-1.18B,,-2.00M,-33.00M,-1.215B,,1.242B,-884.00M,358.00M,128.00M,-4.00M,124.00M,,,,-451.00M,-17.00M,-468.00M,29.00M,43.00M,,659.00M,-69.00M,590.00M,,128.00M,1.251B,-893.00M,-4.00M,7.00M,186.00M,,AOR,Restated
2013-12,431.00M,,40.00M,,,171.00M,573.00M,573.00M,535.00M,,11.00M,-168.00M,254.00M,13.00M,,-141.00M,-10.00M,23.00M,-6.00M,133.00M,,1.686B,,-1.485B,,-1.485B,,0.00,-155.00M,-1.64B,,-546.00M,732.00M,186.00M,216.00M,-1.00M,215.00M,-50.00M,,-50.00M,-448.00M,-17.00M,-465.00M,45.00M,-69.00M,,682.00M,-23.00M,659.00M,,166.00M,1.179B,-993.00M,-1.00M,-149.00M,-564.00M,,AOR,Restated
2013-09,869.00M,,150.00M,,,150.00M,585.00M,585.00M,404.00M,,11.00M,-25.00M,-82.00M,267.00M,,174.00M,54.00M,-2.00M,59.00M,470.00M,,2.464B,,-1.381B,,-1.381B,,0.00,-92.00M,-1.473B,,249.00M,-837.00M,-588.00M,318.00M,-1.00M,317.00M,0.00,,0.00,-444.00M,-17.00M,-461.00M,-1.00M,-733.00M,,424.00M,258.00M,682.00M,,318.00M,457.00M,-1.045B,-1.00M,7.00M,180.00M,,AOR,Restated
