,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2010-12,169.00M,,,,-666.00M,-666.00M,454.00M,454.00M,465.00M,,5.00M,-9.00M,399.00M,-115.00M,,-253.00M,42.00M,-27.00M,,46.00M,,464.00M,,-1.192B,11.00M,-1.181B,,19.00M,-88.00M,-1.25B,,-451.00M,,-451.00M,162.00M,,162.00M,,,,-382.00M,-16.00M,-398.00M,661.00M,-26.00M,,1.259B,-812.00M,447.00M,,162.00M,355.00M,-806.00M,,-278.00M,,,AOR,Restated
2010-09,834.00M,,,,53.00M,53.00M,509.00M,509.00M,358.00M,,4.00M,-13.00M,-64.00M,148.00M,,295.00M,36.00M,-48.00M,,367.00M,,2.112B,,-958.00M,7.00M,-951.00M,,3.00M,-22.00M,-970.00M,,244.00M,-244.00M,0.00,269.00M,,269.00M,,,,-379.00M,-17.00M,-396.00M,-22.00M,-149.00M,,266.00M,993.00M,1.259B,,269.00M,1.65B,-1.406B,,-7.00M,-387.00M,,AOR,
2010-06,526.00M,,,,-6.00M,-38.00M,446.00M,446.00M,108.00M,,5.00M,-99.00M,-298.00M,-61.00M,,119.00M,-1.00M,-30.00M,,-271.00M,,677.00M,,-882.00M,0.00,-882.00M,,22.00M,-88.00M,-948.00M,,298.00M,112.00M,410.00M,194.00M,,194.00M,,,,-376.00M,-16.00M,-392.00M,-14.00M,198.00M,,339.00M,-73.00M,266.00M,,194.00M,796.00M,-498.00M,,279.00M,205.00M,,AOR,
2010-03,511.00M,,,,5.00M,-14.00M,422.00M,422.00M,107.00M,,19.00M,-106.00M,43.00M,133.00M,,-285.00M,-94.00M,2.00M,,-201.00M,,738.00M,,-1.054B,0.00,-1.054B,,-49.00M,15.00M,-1.088B,,94.00M,132.00M,226.00M,147.00M,,147.00M,,,,-359.00M,-16.00M,-375.00M,1.00M,-1.00M,,690.00M,-351.00M,339.00M,,147.00M,350.00M,-256.00M,,6.00M,182.00M,,AOR,Restated
2009-12,265.11M,,,,-45.78M,-18.66M,477.15M,477.15M,39.56M,,2.15M,-38.55M,265.71M,-68.67M,,-201.18M,3.977M,176.62M,,176.46M,,903.22M,,-1.491B,0.089M,-1.491B,,154.82M,-126.56M,-1.463B,,821.47M,-306.00M,515.47M,617.47M,,617.47M,,,,-350.07M,-16.32M,-366.40M,-124.39M,642.16M,,606.86M,82.72M,690.00M,,617.47M,825.99M,-4.516M,,644.54M,589.92M,,AOR,Restated
2009-09,806.17M,,,,53.71M,39.23M,415.50M,415.50M,-0.758M,,1.894M,-75.52M,244.52M,-6.364M,,179.45M,45.42M,90.64M,,553.65M,,1.740B,,-986.05M,0.008M,-986.04M,,-12.61M,-52.64M,-1.051B,,-599.02M,-148.09M,-747.11M,129.44M,,129.44M,,,,-348.70M,-16.21M,-364.91M,118.72M,-863.86M,,781.84M,-174.98M,606.86M,,129.44M,282.45M,-1.030B,,-1.113B,-976.65M,,AOR,Restated
2009-06,494.81M,,,,-18.91M,-93.55M,438.52M,438.52M,16.58M,,2.001M,-188.53M,-217.39M,-222.33M,,-0.332M,-28.68M,17.38M,,-451.35M,,218.48M,,-1.057B,339.90M,-716.84M,,-416.14M,449.95M,-683.03M,,523.04M,26.82M,549.85M,387.71M,,387.71M,,,,-343.45M,-16.20M,-359.65M,-3.709M,574.21M,,672.18M,109.66M,781.84M,,387.71M,677.64M,-6.512M,,468.28M,386.73M,,AOR,
2009-03,141.92M,,,,7.974M,7.974M,456.83M,456.83M,-30.39M,,16.96M,131.60M,292.16M,-173.64M,,-423.94M,-67.72M,49.37M,,-323.76M,,401.13M,,-1.136B,,-1.136B,,331.93M,-317.75M,-1.122B,,1.063B,121.27M,1.184B,151.38M,,151.38M,,,,-326.78M,-16.26M,-343.04M,-15.62M,976.50M,,416.58M,255.60M,672.18M,,151.38M,1.256B,-193.42M,,,,,AOR,Restated
2008-12,202.39M,,,,-54.96M,30.04M,438.30M,438.30M,,,2.27M,-162.89M,346.00M,-188.32M,,-23.17M,-2.104M,-29.65M,,102.76M,,827.87M,,-1.101B,28.28M,-1.073B,,-603.84M,530.21M,-1.146B,,571.75M,-376.30M,195.45M,92.80M,,92.80M,,0.00,0.00,-325.56M,-16.50M,-342.06M,-17.30M,-71.11M,,806.02M,-389.47M,417.00M,,92.80M,1.271B,-699.21M,0.00,,,,AOR,Restated
2008-09,796.63M,,,,51.37M,51.37M,433.91M,433.91M,,,1.996M,63.38M,-204.60M,12.76M,,120.86M,20.64M,-71.69M,,-122.03M,,1.225B,,-876.94M,0.223M,-876.72M,,169.88M,-248.99M,-955.83M,,322.57M,62.30M,384.88M,145.75M,,145.75M,,0.00,0.00,-323.84M,-16.22M,-340.07M,152.08M,342.63M,,193.97M,612.05M,806.02M,,145.75M,731.10M,-408.53M,0.00,,,,AOR,Restated
2008-06,432.58M,,,,-6.32M,-6.32M,424.10M,424.10M,,,2.307M,-39.94M,-505.94M,-74.36M,,523.46M,6.784M,111.12M,,61.07M,,873.79M,,-970.27M,5.495M,-964.78M,,245.23M,-309.16M,-1.029B,,398.32M,,398.32M,103.35M,,103.35M,,-125.00M,-125.00M,-322.63M,-16.21M,-338.85M,62.20M,100.03M,,248.85M,-54.88M,193.97M,,103.35M,754.94M,-356.61M,-125.00M,,,,AOR,Restated
2008-03,375.40M,,,,30.92M,30.92M,407.69M,407.69M,,,13.43M,14.45M,188.54M,-76.07M,,-366.16M,-61.32M,10.21M,,-304.79M,,537.09M,,-1.013B,,-1.013B,,153.73M,-136.06M,-995.24M,,925.35M,,925.35M,132.11M,,132.11M,,,,-307.96M,-17.06M,-325.02M,-225.98M,506.45M,,200.55M,48.30M,248.85M,,132.11M,930.00M,-4.653M,,,,,,Restated
2007-12,204.16M,,,,-36.30M,-36.30M,377.52M,377.52M,,,1.989M,-121.88M,591.11M,2.815M,,-105.56M,2.808M,11.34M,-0.345M,502.17M,,927.66M,,-1.076B,1.667M,-1.074B,,243.83M,-319.08M,-1.150B,,-221.85M,,-221.85M,123.50M,,123.50M,,,,-306.23M,,-306.23M,292.78M,-111.81M,,534.51M,-333.66M,201.00M,,123.50M,744.50M,-966.35M,,,,,AOR,Restated
2007-09,762.00M,,,,53.79M,53.79M,375.96M,375.96M,,,2.557M,9.073M,-304.09M,36.76M,,517.18M,67.18M,-27.44M,0.00,289.58M,,1.493B,,-900.70M,2.731M,-897.97M,,215.54M,-194.97M,-877.40M,,480.04M,,480.04M,103.01M,,103.01M,,,,-304.78M,,-304.78M,-528.17M,-249.90M,,168.84M,365.67M,534.51M,,103.01M,550.00M,-69.96M,,,,,AOR,Restated
2007-06,429.15M,,,,21.51M,60.80M,732.51M,368.61M,-53.43M,,23.45M,59.19M,-283.98M,-79.06M,,-273.39M,-6.234M,352.71M,114.70M,-175.25M,,712.52M,,-825.97M,24.68M,-801.29M,,315.63M,-408.54M,-894.21M,,1.002B,,356.61M,143.98M,,143.98M,,,,-593.99M,,-303.70M,-7.851M,189.04M,,161.49M,7.348M,168.84M,,143.98M,2.532B,-1.530B,,-19.26M,-181.71M,,AOR,Restated
2007-03,338.69M,,,,,-39.29M,,363.90M,53.43M,,,36.62M,161.96M,-70.52M,,-92.24M,-63.75M,-326.61M,-100.36M,-491.51M,,261.85M,,-742.38M,3.922M,-738.46M,,,-49.41M,-787.87M,,,,645.21M,167.51M,,167.51M,,,,,,-290.29M,-1.759M,520.66M,,166.85M,-5.357M,161.49M,,167.51M,,,,19.26M,181.71M,,,
2006-12,,,,,-28.03M,-28.03M,361.43M,361.43M,,,2.955M,71.56M,391.09M,-45.72M,,-3.607M,11.98M,-25.62M,120.00M,448.13M,,839.82M,,-881.22M,1.573M,-879.65M,,176.95M,17.17M,-685.53M,,-327.67M,,-327.67M,106.20M,0.117M,106.31M,,,,-288.01M,,-288.01M,104.09M,-405.27M,,418.10M,-250.99M,167.00M,,106.20M,488.16M,-815.82M,0.117M,,,,AOR,Restated
2006-09,,,,,50.36M,50.36M,363.52M,363.52M,,,2.859M,868.53M,-319.65M,-30.37M,,280.39M,82.75M,-49.99M,,-36.87M,,1.237B,,-945.08M,-3.333M,-948.42M,,188.08M,-227.30M,-987.64M,,-11.05M,,-11.05M,11.15M,0.00,11.15M,,,,-287.84M,,-287.84M,194.02M,-93.72M,,262.90M,155.20M,418.10M,,11.15M,115.72M,-126.77M,0.00,,,,AOR,Restated
2006-06,-261.61M,,,,23.67M,-5.814M,696.05M,344.10M,39.65M,,22.19M,891.50M,-376.56M,-73.35M,,-265.82M,19.91M,363.54M,9.425M,-322.87M,,685.22M,,-621.44M,1.239M,-620.20M,,377.97M,-413.70M,-655.92M,,536.72M,,-306.09M,5.777M,14.57M,20.35M,,,,-564.15M,,-287.70M,506.26M,-67.18M,,300.79M,-37.89M,262.90M,,5.777M,960.12M,-423.41M,14.57M,-0.919M,-198.76M,,,Restated
2006-03,261.61M,,,,,29.49M,,351.95M,-39.65M,,,26.41M,236.13M,-89.56M,,-310.96M,-41.64M,-355.93M,-9.425M,-571.39M,,58.40M,,-546.26M,150.52M,-395.74M,,,-109.17M,-504.91M,,,,842.80M,13.88M,-14.69M,-0.811M,,,,,,-276.44M,-20.37M,545.18M,,202.11M,98.68M,300.79M,,13.88M,,,-14.69M,0.919M,198.76M,,,
2005-12,,,,,-37.58M,-37.58M,347.13M,347.13M,,,0.00,314.17M,-69.25M,-105.01M,,-12.10M,-11.48M,34.43M,,-163.41M,,450.15M,,-741.26M,0.53M,-740.73M,,131.11M,-179.69M,-789.31M,,-31.59M,-426.62M,-458.20M,4.278M,-20.58M,-16.30M,,,,-276.74M,,-276.74M,876.51M,125.27M,,416.34M,-213.89M,202.00M,,4.278M,677.30M,-708.89M,-20.58M,,,,AOR,Restated
2005-09,-709.78M,,,,31.58M,85.44M,1.051B,363.67M,-175.75M,,0.00,1.794B,-614.78M,51.59M,,233.55M,-31.76M,247.24M,80.98M,-33.18M,,1.284B,,-486.97M,0.002M,-486.97M,,464.89M,-526.09M,-548.18M,,354.59M,426.62M,-163.97M,60.11M,-269.10M,-208.99M,,,,-821.26M,,-277.62M,94.70M,-555.87M,,236.76M,179.58M,416.34M,,60.11M,930.70M,-576.11M,-269.10M,-45.90M,-312.98M,,,Restated
2005-06,386.82M,,,,,-56.40M,,344.13M,64.37M,,,58.93M,-344.02M,-93.75M,,-20.87M,36.98M,98.57M,150.36M,-172.73M,,625.12M,,-682.93M,0.005M,-682.92M,23.91M,,-85.75M,-744.76M,,,,333.88M,92.58M,-62.32M,30.26M,,,,,,-277.68M,-111.84M,-25.38M,,381.79M,-145.03M,236.76M,,92.58M,,,-62.32M,14.04M,142.22M,,,
2005-03,322.96M,,,,,2.543M,,343.07M,111.38M,,,24.83M,-16.95M,-40.84M,,-88.58M,5.26M,-261.24M,-231.33M,-633.68M,,171.11M,,-458.84M,9.463M,-449.38M,-23.91M,,-73.47M,-546.76M,,,,611.29M,56.03M,,56.03M,,,,,,-265.96M,-12.37M,388.99M,,368.45M,13.34M,381.79M,,56.03M,,,,31.86M,170.76M,,,
2004-12,-1.328B,,,,,57.09M,,294.16M,-484.28M,,,,27.94M,-48.13M,,-24.45M,16.58M,81.80M,-83.63M,-29.90M,,614.32M,,-564.84M,,-564.84M,,,-847.43M,-631.26M,,,,480.97M,-340.68M,268.39M,-72.29M,,,,,,-265.12M,-42.37M,101.19M,,284.03M,84.24M,368.00M,,-340.68M,,,268.39M,-35.97M,-428.94M,,AOR,Restated
2004-09,644.47M,,,,,-28.99M,,297.07M,158.48M,,,,-137.58M,26.33M,,-53.78M,-1.662M,52.73M,222.12M,108.17M,,1.179B,,-418.04M,,-418.04M,,,-44.89M,-462.93M,,,,-382.70M,27.62M,0.00,27.62M,,,,,,-264.05M,-4.284M,-623.41M,,191.16M,92.86M,284.03M,,27.62M,,,0.00,5.163M,151.26M,,,
2004-06,352.13M,,,,,-1.848M,,268.30M,195.57M,,,,-383.48M,-41.18M,,-17.04M,93.07M,132.87M,-4.268M,-220.02M,,594.14M,,-523.89M,,-523.89M,,,-87.54M,-611.43M,,,,94.13M,88.36M,-28.39M,59.97M,,,,,,-258.32M,-12.82M,-117.04M,,325.49M,-134.33M,191.16M,,88.36M,,,-28.39M,4.926M,134.93M,,,
2004-03,331.14M,,,,,-26.25M,,301.46M,130.23M,,,,101.12M,23.98M,,-7.736M,-98.98M,-313.40M,-134.23M,-429.25M,,307.34M,,-515.23M,,-515.23M,,,-37.15M,-552.38M,,,,422.59M,348.70M,-240.00M,108.70M,,,,,,-257.51M,-14.52M,259.26M,,311.27M,14.22M,325.49M,,348.70M,,,-240.00M,25.88M,142.75M,,,
2003-12,125.48M,,,,,152.45M,,327.12M,176.20M,,,-145.00M,88.68M,2.921M,,110.34M,0.242M,142.70M,-294.00M,50.87M,,687.12M,,-561.13M,,-561.13M,,,46.71M,-608.42M,,,,71.90M,-25.30M,240.00M,214.70M,,,,,,-255.89M,-506.32M,-350.61M,,582.95M,-271.92M,311.00M,,99.70M,,,240.00M,-55.28M,-471.00M,,AOR,Restated
2003-09,618.84M,,,,,-80.81M,,296.64M,102.44M,,,,-66.60M,11.27M,,-21.50M,126.54M,103.33M,133.66M,286.69M,,1.224B,,-390.25M,,-390.25M,,,3.756M,-386.49M,,,,-298.23M,94.39M,0.00,94.39M,,,,,,-255.04M,-6.112M,-464.99M,,210.64M,372.31M,582.95M,,94.39M,,,0.00,53.60M,223.56M,,,
2003-06,431.89M,,,,,-23.89M,,303.10M,102.32M,,,3.79M,-216.12M,-40.48M,,-92.31M,25.51M,130.26M,168.60M,-24.52M,,792.69M,,-531.98M,,-531.98M,,,-64.36M,-596.34M,,,,6.864M,165.01M,-200.00M,-34.99M,,,,,,-247.32M,-19.68M,-295.12M,,309.40M,-98.78M,210.64M,,165.01M,,,-200.00M,1.563M,129.99M,,,
2003-03,297.80M,,,,,21.25M,,294.15M,78.03M,,,-3.79M,200.04M,-2.711M,,-76.53M,-125.29M,-307.30M,-8.259M,-320.04M,,367.40M,,-530.64M,,-530.64M,,,-73.10M,-603.74M,,,,338.46M,235.90M,-40.00M,195.90M,,,,,,-245.74M,-15.89M,272.73M,,273.01M,36.38M,309.40M,,235.90M,,,-40.00M,0.117M,117.46M,,,
2002-12,166.91M,,,,,-53.90M,,343.54M,139.97M,,,-9.311M,112.65M,27.64M,,81.84M,,,-260.50M,10.64M,,597.84M,,-731.45M,,-731.45M,,,111.81M,-709.64M,,,,239.77M,-597.17M,649.25M,52.08M,,,,,,-244.72M,114.66M,91.79M,,293.02M,-20.01M,273.00M,,-597.17M,,,579.25M,-202.50M,-382.50M,,AOR,Restated
2002-09,595.41M,,,,,74.16M,,289.80M,32.30M,,,-72.69M,-109.17M,52.52M,,83.09M,,,268.36M,294.79M,,1.214B,,-586.56M,,-586.56M,,,-90.05M,-676.61M,,,,-344.03M,302.34M,-649.25M,-346.91M,,,,,,-242.85M,14.96M,-918.83M,,674.71M,-381.68M,293.02M,,302.34M,,,-649.25M,-38.89M,169.01M,,,
2002-06,331.39M,,,,,-34.50M,,277.14M,37.95M,,,,-235.38M,26.29M,,75.86M,,,117.66M,-15.57M,,596.41M,,-729.83M,,-729.83M,,,-71.05M,-800.88M,,,,326.17M,596.95M,,596.95M,,,,,,-236.15M,-103.87M,583.09M,,296.09M,378.62M,674.71M,,596.95M,,,,183.75M,131.18M,,,
2002-03,224.29M,,,,,27.24M,,274.52M,-15.22M,,,,196.91M,6.544M,,-143.79M,,,-125.52M,-65.85M,,444.98M,,-680.16M,,-680.16M,,,-100.70M,-780.86M,,,,354.08M,125.88M,,125.88M,,,,,,-234.27M,32.26M,277.95M,,354.02M,-57.93M,296.09M,,125.88M,,,,57.64M,82.32M,,,
2001-12,257.72M,,,,,-86.23M,,366.99M,-27.25M,,,-45.54M,435.19M,-85.24M,,217.19M,,-469.19M,22.56M,108.52M,,574.21M,,-600.59M,,-600.59M,,,-5.82M,-656.41M,,,,279.28M,67.33M,,67.33M,,,,,,-232.88M,17.04M,130.77M,,305.62M,48.57M,354.00M,,67.33M,,,,-251.64M,-422.16M,,AOR,Restated
2001-09,412.16M,,,,,590.39M,,327.62M,45.99M,,,-253.46M,-201.64M,36.71M,,-19.07M,,490.19M,-135.32M,170.87M,-304.85M,988.70M,,-604.57M,,-604.57M,,,61.61M,-542.96M,,,,-246.42M,132.34M,,132.34M,,,,,,-231.19M,4.932M,-340.34M,,200.23M,105.40M,305.62M,,132.34M,,,,24.01M,108.32M,,,
2001-06,412.60M,,,,,-210.86M,,335.60M,-10.38M,,,,-234.96M,-59.59M,,51.48M,,,110.95M,-132.13M,2.185M,397.02M,,-741.66M,,-741.66M,,,-47.89M,-789.54M,,,,554.35M,107.45M,,107.45M,,,,,,-229.61M,-19.19M,412.99M,,179.76M,20.47M,200.23M,,107.45M,,,,223.56M,169.39M,,,
2001-03,179.51M,,,,,-342.30M,,327.79M,-30.36M,,,,328.41M,-133.88M,,-209.60M,,,1.813M,-13.26M,302.67M,424.06M,,-670.18M,,-670.18M,,,-76.90M,-747.08M,,,,449.80M,87.88M,,87.88M,,,,,,-228.32M,-5.777M,303.58M,,199.19M,-19.44M,179.76M,,87.88M,,,,4.069M,144.45M,,,
2000-12,112.12M,,,,,161.28M,,319.13M,12.48M,,,-38.12M,0.846M,12.02M,,217.21M,,,-222.98M,17.09M,-510.20M,73.78M,,-691.12M,,-691.12M,,,34.24M,-662.88M,,,,-355.91M,849.53M,0.026M,849.56M,,,,,,-217.86M,-37.15M,238.63M,,195.42M,3.533M,199.00M,,849.53M,,,0.026M,-290.56M,-564.85M,,AOR,Restated
2000-09,613.53M,,,,,96.44M,,316.15M,64.66M,,,-169.88M,-275.26M,56.78M,,26.35M,,,305.40M,113.26M,-77.77M,956.40M,,-555.98M,,-555.98M,,,12.88M,-543.10M,,,,-178.72M,60.17M,-0.168M,60.00M,,,,,,-217.29M,-8.621M,-344.63M,,126.75M,68.67M,195.42M,,60.17M,,,-0.168M,186.60M,160.38M,,,
2000-06,341.90M,,,,,-315.13M,,294.05M,10.16M,,,,-250.35M,6.343M,,124.64M,,,210.09M,90.72M,587.97M,1.010B,,-438.31M,,-438.31M,0.918M,,-37.20M,-474.59M,,,,-262.98M,0.256M,-0.281M,-0.025M,,,,,,-217.29M,-86.66M,-566.96M,,471.09M,-31.88M,126.75M,,0.256M,,,-0.281M,99.32M,64.42M,,,
2000-03,245.44M,,,,,-35.59M,,407.67M,9.695M,,,,161.77M,-12.14M,,-148.20M,,,-292.50M,-291.07M,,336.15M,,-539.60M,,-539.60M,-0.918M,,-84.91M,-625.43M,,,,850.62M,0.043M,-414.58M,-414.53M,,,,,,-220.56M,78.44M,293.96M,,466.42M,4.677M,471.09M,,0.043M,,,-414.58M,4.648M,340.05M,,,
1999-12,122.50M,,,,,226.00M,,1.216B,-145.70M,,,-1.292B,301.00M,-91.20M,,231.80M,28.90M,,-317.90M,152.60M,,279.40M,,-185.20M,-286.60M,-471.80M,1.472B,,-290.00M,710.40M,,,,-1.08B,-249.80M,-127.30M,-377.10M,,,,,,-225.00M,40.00M,-1.728B,,767.60M,-54.30M,154.00M,,-249.80M,,,-213.30M,-311.30M,-764.80M,,AOR,Restated
1999-09,615.20M,,,,,-136.10M,,,75.80M,,,347.20M,-374.50M,111.90M,,-8.90M,-10.30M,,491.30M,209.50M,,1.112B,,-635.40M,277.00M,-358.40M,4.80M,,23.90M,-329.70M,,,,-112.40M,0.10M,-398.00M,-397.90M,,,,,,-228.70M,275.90M,-463.10M,,448.80M,318.80M,767.60M,,0.10M,,,-398.00M,172.20M,275.70M,,,
1999-06,314.00M,,,,,-31.10M,,-358.00M,46.40M,,,701.80M,-248.80M,-30.30M,,33.50M,19.90M,,191.30M,-34.40M,,638.70M,,-555.80M,0.40M,-555.40M,-1.438B,,-32.80M,-2.027B,,,,2.022B,0.00,-251.00M,-251.00M,,,,,,-233.40M,-254.90M,1.283B,,554.10M,-105.30M,448.80M,,0.00,,,-251.00M,114.00M,202.70M,,,
1999-03,224.30M,,,,,-58.80M,,358.00M,33.50M,,,,181.30M,-68.40M,,-321.40M,-38.50M,,-120.70M,-367.70M,,189.30M,,-504.60M,9.20M,-495.40M,-38.60M,,-63.10M,-597.10M,,,,97.50M,273.70M,-85.70M,188.00M,,,,,,-233.90M,39.00M,90.60M,,871.40M,-317.20M,554.10M,,273.70M,,,-85.70M,25.10M,286.40M,,,
1998-12,-51.50M,,,,,-18.60M,,,62.20M,,,-1.382B,287.40M,-37.30M,,313.50M,23.30M,,-437.40M,149.50M,,289.80M,,18.20M,-106.10M,-87.90M,235.20M,,-180.90M,-33.60M,,,,392.30M,-179.50M,-15.30M,-194.80M,,,,,,-233.20M,230.10M,155.40M,,858.30M,-122.40M,312.00M,,20.50M,,,-254.30M,-534.50M,-814.60M,,AOR,Restated
1998-09,516.00M,,,,,10.00M,,,-15.30M,,,470.10M,-188.70M,74.10M,,3.90M,23.30M,,37.10M,-50.30M,,930.50M,,-416.30M,2.50M,-413.80M,-35.70M,,36.40M,-413.10M,,,,-198.90M,56.60M,-68.90M,-12.30M,,,,,,-233.70M,98.60M,-346.30M,,687.10M,171.10M,858.30M,,56.60M,,,-68.90M,296.50M,311.30M,,,
1998-06,270.80M,,,,,-46.50M,,,-14.90M,,,492.80M,-538.30M,17.90M,,127.10M,0.00,,223.90M,-169.40M,,532.80M,,-519.70M,186.50M,-333.20M,-44.90M,,39.70M,-338.40M,,,,66.60M,222.50M,-40.70M,181.80M,,,,,,-233.70M,0.70M,15.40M,,477.30M,209.80M,687.10M,,222.50M,,,-40.70M,192.50M,196.00M,,,
1998-03,241.70M,,,,,35.10M,,,-11.00M,,,387.90M,390.60M,-68.70M,,-341.50M,-46.60M,,-23.60M,-89.80M,,563.90M,,-438.20M,0.10M,-438.10M,-154.60M,,-61.20M,-653.90M,,,,114.00M,134.40M,-0.10M,134.30M,,,,,,-232.40M,-49.40M,-33.50M,,600.80M,-123.50M,477.30M,,134.40M,,,-0.10M,45.50M,307.30M,,,
1997-12,195.50M,,,,,-67.30M,,,11.70M,,,-1.254B,149.10M,21.50M,,103.70M,17.60M,,-393.70M,-101.80M,,376.30M,,-639.00M,-1.30M,-640.30M,-112.60M,,29.10M,-723.80M,,,,491.30M,-1.232B,428.40M,-803.50M,,,,,,-224.30M,1.524B,327.90M,,620.40M,-19.60M,601.00M,,-1.232B,,,-231.60M,-427.00M,-674.50M,,AOR,Restated
1997-09,374.70M,,,,,29.10M,,,-13.40M,,,465.90M,-242.40M,95.50M,,38.40M,-24.20M,,372.90M,240.20M,,1.096B,,-430.50M,17.90M,-412.60M,-958.30M,,-14.00M,-1.385B,,,,689.70M,102.70M,-158.70M,-56.00M,,,,,,-223.00M,115.30M,526.00M,,382.80M,237.60M,620.40M,,102.70M,,,-158.70M,156.60M,300.90M,,,
1997-06,214.80M,,,,,45.10M,,,3.50M,,,373.50M,-365.20M,-26.10M,,54.70M,57.50M,,209.30M,-69.80M,,567.10M,,-411.70M,0.00,-411.70M,-99.00M,,17.90M,-492.80M,,,,-263.60M,468.70M,-66.20M,402.50M,,,,,,-221.50M,-158.70M,-241.30M,,549.90M,-167.00M,382.80M,,468.70M,,,-66.20M,266.40M,159.60M,,,
1997-03,187.00M,,,,,-66.90M,,,-6.80M,,,385.40M,229.50M,-16.90M,,-58.80M,-50.90M,,-16.50M,86.40M,,585.10M,,-377.80M,15.40M,-362.40M,-1.755B,,-46.00M,-2.164B,,,,1.121B,1.020B,-203.50M,817.00M,,,,,,-220.20M,-34.00M,1.683B,,444.80M,105.00M,549.90M,,1.020B,,,-203.50M,4.00M,214.00M,,,
1996-12,139.40M,,,,,-33.30M,,,-10.70M,,,-964.10M,50.90M,17.60M,,155.20M,29.70M,83.40M,-287.40M,49.40M,,518.70M,,-317.60M,1.40M,-316.20M,,,-175.90M,-492.10M,,,,306.50M,-246.90M,78.90M,-168.00M,,,,,,-211.40M,289.70M,37.80M,,381.00M,64.40M,445.00M,,-246.90M,,,-100.10M,-458.70M,-545.80M,,AOR,Restated
1996-09,467.50M,,,,,-45.00M,,,58.40M,,,338.40M,-9.20M,60.20M,,-33.50M,18.80M,1.00M,131.50M,168.80M,,988.10M,,-268.90M,188.70M,-80.20M,,,3.60M,-76.60M,,,,-1.061B,225.10M,-78.90M,146.20M,,,,,,-212.20M,-23.30M,-1.150B,,619.50M,-238.60M,381.00M,,225.10M,,,-78.90M,155.30M,201.80M,,,
1996-06,287.20M,,,,,10.30M,,,-9.60M,,,335.60M,-197.50M,-10.40M,,23.80M,-3.20M,0.70M,50.90M,-135.70M,,487.80M,,-336.00M,19.10M,-316.90M,,,-23.60M,-340.50M,,,,322.00M,77.30M,,77.30M,,,,,,-211.30M,-27.60M,160.40M,,311.80M,307.70M,619.50M,,77.30M,,,,247.10M,144.50M,,,
1996-03,232.90M,,,,,9.00M,,,18.90M,,,340.10M,130.80M,36.60M,,-126.50M,-45.30M,-85.10M,-105.00M,-194.50M,,406.40M,,-306.50M,1.80M,-304.70M,,,-79.10M,-383.80M,,,,-360.70M,115.50M,,115.50M,,,,,,-211.10M,-26.80M,-483.10M,,772.30M,-460.50M,311.80M,,115.50M,,,,56.30M,199.50M,,,
1995-12,160.30M,,,,,-78.50M,,,34.70M,,,-1.086B,115.90M,-51.40M,,78.10M,,-33.10M,46.80M,156.30M,,444.70M,,-434.00M,155.90M,-278.10M,,,479.70M,-1.214B,,,,1.399B,90.40M,1.00M,91.40M,,,,,,-203.00M,-76.20M,1.210B,,331.50M,440.70M,772.00M,,90.40M,,,0.00,-453.30M,-486.20M,,,Restated
1995-09,468.90M,,,,,52.70M,,,52.70M,,,333.10M,-207.70M,88.50M,,50.80M,53.30M,30.00M,39.80M,54.70M,,962.10M,,-332.40M,0.00,-332.40M,,,-354.30M,-686.70M,,,,162.90M,0.10M,0.00,0.10M,,,,,,-203.10M,-19.40M,-59.50M,,115.70M,215.90M,331.50M,,0.10M,,,0.00,208.10M,180.40M,,,
1995-06,267.50M,,,,,7.60M,,,7.40M,,,295.50M,-178.70M,40.00M,,-77.50M,-7.40M,1.40M,57.30M,-164.90M,,413.10M,,-321.90M,131.10M,-190.80M,,,97.70M,-93.10M,,,,26.10M,6.20M,0.00,6.20M,,,,,,-203.00M,-146.10M,-316.80M,,112.60M,3.20M,115.70M,,6.20M,,,0.00,236.40M,144.40M,,,
