,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,266.05M,,,-40.19M,-8.393M,-48.67M,104.24M,104.24M,74.89M,,7.203M,-0.23M,358.73M,149.82M,-398.79M,,,-59.02M,50.75M,,495.32M,,-264.47M,,,-0.147M,,0.241M,-255.65M,,-501.91M,-614.67M,-1.117B,1.182B,,1.182B,-316.41M,-316.41M,-8.511M,-259.39M,,37.19M,-19.72M,,17.47M,,,1.182B,0.00,-501.91M,,,,,AOR,Restated
2017-12,64.81M,,,-40.29M,-0.818M,-40.21M,103.77M,103.77M,251.33M,0.00,6.574M,3.123M,-297.30M,-28.03M,201.93M,,,70.56M,-52.84M,,379.42M,,-181.96M,,,-0.208M,,1.969M,-173.04M,,-1.483M,-317.58M,-319.06M,425.51M,,425.51M,-285.97M,-285.97M,-1.343M,-180.86M,,11.68M,25.52M,,37.19M,,,425.51M,0.429M,-1.912M,,,,,AOR,Restated
2017-09,166.53M,,,-40.06M,2.394M,-37.94M,102.30M,102.30M,95.90M,20.24M,6.211M,-0.04M,-156.31M,-114.13M,216.51M,,,-48.94M,-102.87M,,293.10M,,-135.20M,,,-83.00M,,0.692M,-210.87M,,201.10M,-342.16M,-141.06M,35.00M,,35.00M,-283.69M,-283.69M,-13.20M,-402.93M,,332.37M,-320.70M,,11.68M,,,35.00M,1.190B,-988.97M,,,,,AOR,Restated
2017-06,175.99M,,,-39.36M,3.442M,-36.56M,100.85M,100.85M,37.29M,,7.57M,12.58M,-14.50M,-6.794M,10.87M,,4.119M,40.16M,33.86M,,373.80M,,-82.50M,,,-0.231M,,0.922M,-74.27M,,-1.947M,-16.32M,-18.27M,7.123M,,7.123M,-129.92M,-129.92M,-136.91M,-277.97M,,310.81M,21.56M,,332.37M,,,7.123M,,-1.947M,,,,,AOR,Restated
2017-03,186.18M,,,-39.56M,-5.018M,-44.58M,99.42M,99.42M,53.40M,,5.907M,-0.013M,137.59M,-53.30M,-145.21M,,-4.119M,-5.706M,-70.75M,,269.09M,,-112.74M,,,-4.422M,,0.296M,-109.46M,,-1.951M,180.45M,178.50M,3.722M,,3.722M,-129.84M,-129.84M,-150.08M,-97.69M,,248.88M,61.93M,,310.81M,,,3.722M,,-1.951M,,,,,AOR,Restated
2016-12,194.46M,,,-39.25M,3.373M,-35.97M,99.31M,99.31M,53.82M,0.00,9.451M,-0.001M,-140.38M,77.74M,157.81M,,16.21M,-39.55M,71.83M,,431.19M,,-133.11M,,,-13.10M,,6.321M,-130.86M,,-451.92M,416.78M,-35.15M,7.023M,,7.023M,-129.50M,-129.50M,-131.48M,-289.10M,,237.41M,11.46M,,248.88M,,0.228M,7.023M,0.00,-451.92M,,,,,AOR,Restated
2016-09,194.22M,,,-35.16M,2.098M,-38.80M,98.55M,98.55M,52.25M,0.00,7.918M,0.00,-60.00M,28.18M,18.58M,,-4.621M,59.96M,42.11M,,390.42M,,-158.27M,,,-35.35M,,0.867M,-186.11M,,-1.966M,117.19M,115.23M,3.847M,,3.847M,-129.60M,-129.60M,-137.28M,-147.80M,,180.85M,56.56M,,237.41M,,0.044M,3.847M,0.00,-1.966M,,,,,AOR,Restated
2016-06,179.86M,,,-32.37M,3.133M,-28.83M,99.25M,99.25M,51.84M,,14.96M,0.00,-153.76M,-89.87M,183.21M,,-5.404M,12.27M,-53.56M,,300.94M,,-136.84M,,,-19.67M,,3.374M,-128.53M,,-2.003M,131.74M,129.74M,7.137M,,7.137M,-129.27M,-129.27M,-136.09M,-128.49M,,137.22M,43.64M,,180.85M,,-0.283M,7.137M,0.00,-2.003M,,,,,AOR,Restated
2016-03,174.96M,,,-32.91M,3.039M,-34.08M,94.48M,94.48M,53.72M,,8.232M,-0.208M,68.33M,-27.99M,-88.50M,,-6.186M,-46.88M,-101.23M,,230.67M,,-196.41M,,,-0.158M,,14.86M,-169.95M,,347.85M,-101.77M,246.08M,3.964M,,3.964M,-129.24M,-129.24M,-141.94M,-21.13M,,97.62M,39.60M,,137.22M,,0.011M,3.964M,1.00B,-652.15M,,,,,AOR,Restated
2015-12,-28.22M,,,-32.10M,4.669M,-33.66M,93.38M,93.38M,13.12M,,2.703M,-0.461M,-0.691M,14.22M,6.988M,,-7.329M,-26.52M,-13.33M,,327.75M,,-258.00M,,,0.00,,0.654M,-248.54M,,-1.958M,259.07M,257.11M,6.83M,,6.83M,-128.70M,-128.70M,-155.22M,-19.97M,,38.37M,59.25M,,97.62M,,0.009M,6.83M,0.00,-1.958M,,,,,AOR,Restated
