,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-12,74.62M,,,,,-57.97M,,56.65M,97.33M,,,64.16M,-646.31M,106.92M,279.43M,73.55M,,-58.64M,-245.04M,,-10.24M,,-132.34M,0.126M,-132.21M,-20.52M,103.86M,78.28M,29.41M,,,,-1.645M,2.17M,-0.024M,2.146M,,-35.27M,-44.40M,-79.17M,,85.18M,-60.00M,43.09M,68.27M,,,2.17M,,,-0.024M,48.32M,62.57M,,,
2006-09,24.40M,,,,,28.39M,,55.47M,8.074M,,,69.75M,25.48M,-123.17M,61.62M,-5.106M,,-46.35M,-87.53M,,98.55M,,-111.38M,0.036M,-111.34M,0.00,334.23M,-1.69M,221.20M,,,,28.57M,-399.43M,-279.14M,-678.57M,,-37.62M,347.31M,-340.31M,,148.82M,-20.55M,-43.09M,85.18M,,,-399.43M,,,-279.14M,54.56M,37.76M,,,
2006-06,77.80M,,,,,-3.73M,,67.10M,-28.64M,,,-33.71M,601.02M,-277.91M,-476.10M,,,18.53M,-134.47M,,-55.66M,,-78.04M,298.80M,220.76M,-128.48M,-490.82M,-9.555M,-408.09M,,,,624.79M,406.75M,-0.868M,405.88M,,-35.22M,-448.43M,547.02M,,22.47M,83.26M,43.09M,148.82M,,,406.75M,,,-0.868M,35.75M,82.84M,,,
2006-03,129.49M,,,,,43.53M,,56.32M,38.62M,,,48.78M,669.23M,280.05M,-364.94M,,,-60.36M,523.98M,,840.74M,,-54.55M,,-54.55M,,-5.711M,-19.60M,-79.87M,,,,-1.041B,1.333M,-1.408M,-0.075M,,-27.34M,321.84M,-746.32M,,7.915M,14.56M,,22.47M,,,1.333M,,,-1.408M,123.88M,42.83M,,,
2005-12,237.64M,,,,,-167.28M,,48.37M,-23.76M,,,71.75M,-738.71M,-35.98M,302.40M,43.79M,,4.174M,-424.32M,,-407.17M,,-60.56M,528.91M,468.35M,0.665M,,-93.13M,353.28M,,,,38.52M,1.381M,-44.30M,-42.92M,,-27.32M,7.367M,-24.36M,,86.16M,-78.24M,,7.915M,,,1.381M,,,-44.30M,189.13M,78.05M,,,
2005-09,176.39M,,,,,-108.51M,,31.36M,22.66M,,,19.63M,-489.02M,-327.00M,466.34M,-7.705M,,35.13M,-322.26M,,-180.74M,,-67.24M,27.52M,-39.72M,-1.329B,,639.45M,-728.85M,,,,1.091B,-4.566M,-76.26M,-80.83M,,-28.26M,-2.412M,979.15M,,16.60M,69.56M,,86.16M,,,-4.566M,,,-76.26M,0.537M,37.72M,,,
2005-06,24.85M,,,,,0.062M,,60.44M,3.926M,,,,330.94M,-249.78M,-214.12M,-47.52M,,-4.781M,-185.26M,,-95.98M,,-64.38M,,-64.38M,,,-9.526M,-73.90M,,,,221.66M,2.982M,-47.22M,-44.24M,,-28.56M,2.127M,150.99M,,35.50M,-18.89M,,16.60M,,,2.982M,,,-47.22M,30.33M,42.36M,,,
2005-03,107.66M,,,,,8.986M,,43.22M,13.54M,,,,163.42M,292.13M,-36.21M,,,-73.15M,346.18M,,519.60M,,-58.31M,,-58.31M,,,-24.37M,-82.68M,,,,-290.82M,4.875M,-65.28M,-60.41M,,-26.02M,-33.62M,-410.88M,,9.458M,26.04M,,35.50M,,,4.875M,,,-65.28M,24.93M,61.79M,,,
2004-12,98.40M,,,,,7.999M,,40.05M,13.33M,,,,-738.68M,41.26M,445.97M,-24.76M,,57.16M,-241.07M,,-81.30M,,-71.78M,3.992M,-67.78M,,,-1.332M,-245.82M,,,,341.42M,13.67M,-0.007M,13.66M,,-25.86M,-10.40M,318.82M,,17.76M,-8.301M,,9.458M,,,13.67M,,,-0.007M,18.29M,24.41M,,,
2004-09,20.84M,,,,,2.05M,,25.04M,25.13M,,,,118.18M,-191.03M,-150.54M,-3.094M,,-37.10M,-263.58M,,-190.52M,,-77.93M,2.176M,-75.76M,,,3.765M,-71.99M,,,,277.62M,7.562M,-0.018M,7.544M,,-23.84M,0.00,261.31M,,18.96M,-1.201M,,17.76M,,,7.562M,,,-0.018M,106.78M,13.12M,,,
2004-06,17.79M,,,,,1.445M,,46.23M,33.47M,,,,126.98M,-188.66M,8.626M,19.25M,,-37.38M,-71.19M,,27.74M,,-65.50M,2.00M,-63.50M,,0.082M,-1.482M,-64.90M,,,,23.88M,7.825M,0.002M,7.827M,,-21.42M,23.60M,33.88M,,22.24M,-3.277M,,18.96M,,,7.825M,,,0.002M,,,,,
2004-03,105.15M,,,,,4.053M,,46.74M,19.30M,,,,17.50M,241.91M,18.34M,16.18M,,-19.40M,274.53M,,449.78M,,-48.90M,13.07M,-35.83M,,-0.082M,-4.663M,-40.57M,,,,-600.27M,160.72M,-0.80M,159.92M,,-18.11M,59.32M,-399.14M,,12.17M,10.06M,,22.24M,,,160.72M,,,-0.80M,,,,,
2003-12,61.54M,,,,,6.636M,,40.62M,18.34M,,,,-372.16M,12.74M,152.41M,-5.889M,,-45.12M,-258.03M,0.00,-130.89M,,-64.46M,,-61.38M,-253.67M,,0.44M,-314.61M,,,,452.96M,11.15M,0.00,11.15M,,-18.55M,,445.56M,,12.12M,0.057M,,12.17M,,,11.15M,,,0.00,5.454M,32.13M,,,
2003-09,4.595M,,,,,2.565M,,40.10M,25.45M,,,,62.55M,-181.30M,-99.42M,10.29M,,-33.46M,-241.35M,0.00,-168.63M,,-66.24M,,-66.24M,-3.676M,,-2.274M,-72.19M,,,,155.20M,4.913M,-50.00M,-45.09M,,-17.73M,2.564M,94.94M,,157.99M,-145.88M,,12.12M,,,4.913M,,,-50.00M,10.85M,68.53M,,,
2003-06,22.55M,,,,,17.30M,,39.71M,23.41M,,,,586.30M,-256.54M,-407.49M,3.632M,,-70.08M,-144.18M,-277.09M,-318.30M,,-50.96M,,-50.96M,-12.95M,,280.66M,216.74M,,,,-10.34M,1.288M,0.00,1.288M,,-14.38M,0.00,-23.44M,,282.99M,-125.00M,,157.99M,,,1.288M,,,0.00,,,,,
2003-03,125.61M,,,,,-7.394M,,40.43M,44.59M,,,,-433.58M,-3.313M,455.47M,-8.968M,,123.69M,133.30M,285.37M,621.91M,,-33.48M,,-33.48M,-420.00M,,0.722M,-452.76M,,,,143.50M,219.68M,-300.00M,-80.32M,,-20.30M,-2.564M,40.32M,,73.52M,209.47M,,282.99M,,,219.68M,,,-300.00M,,,,,
2002-12,34.59M,,,,,-59.54M,,38.64M,8.594M,,,,-298.33M,-10.76M,233.49M,8.018M,,56.35M,73.44M,10.15M,105.88M,,-43.82M,99.59M,55.77M,-0.373M,0.00,-3.54M,51.86M,,,,-375.91M,-1.109M,305.50M,304.39M,,-18.60M,,-90.12M,,5.909M,67.61M,,73.52M,,,-1.109M,,,305.50M,7.203M,18.36M,,,
2002-09,13.41M,,,,,62.46M,,25.05M,46.18M,,,,63.90M,10.29M,-12.38M,-11.11M,,-110.81M,-60.11M,33.64M,120.63M,,-32.96M,1.402M,-31.56M,-0.174M,0.00,-18.71M,-50.44M,,,,215.04M,0.984M,-305.50M,-304.52M,,-18.59M,,-108.06M,,43.78M,-37.87M,,5.909M,,,0.984M,,,-305.50M,74.58M,36.98M,,,
2002-06,36.29M,,,,,-73.91M,,52.17M,32.85M,,,,157.32M,-16.22M,30.49M,14.38M,,-58.77M,127.20M,-3.341M,171.26M,,-79.28M,0.00,-79.28M,-3.459M,57.46M,0.391M,-24.88M,,,,-236.78M,2.038M,,2.038M,,-18.57M,,-253.30M,,150.70M,-106.93M,,43.78M,,,2.038M,,,,8.527M,22.17M,,,
2002-03,71.69M,,,,,17.96M,,34.10M,78.10M,,,,-45.62M,44.02M,-12.43M,86.61M,,136.74M,209.33M,3.341M,414.52M,,-54.60M,1.40M,-53.20M,-0.03M,,1.478M,-51.75M,,,,-223.51M,1.76M,,1.76M,,-18.54M,,-240.29M,,28.23M,122.48M,,150.70M,,,1.76M,,,,,32.39M,,,
2001-12,-30.57M,,,,,42.96M,,19.67M,54.80M,,,,-178.97M,11.28M,80.77M,-101.28M,-6.211M,227.29M,32.87M,,183.12M,,-62.78M,0.00,-62.78M,0.405M,-0.756M,-35.43M,-98.56M,,,,-40.20M,2.233M,,2.233M,,-18.47M,,-56.44M,,0.106M,28.12M,,28.23M,,,2.233M,,,,0.003M,26.26M,,,
2001-09,18.79M,,,,,-2.518M,,40.17M,48.81M,,,,131.96M,-18.39M,-129.55M,95.06M,,-216.40M,-137.33M,,-32.08M,,-69.25M,0.00,-69.25M,-0.008M,0.756M,-1.504M,-70.01M,,,,118.01M,2.42M,,2.42M,,-18.47M,,101.95M,,0.242M,-0.136M,,0.106M,,,2.42M,,,,0.381M,42.08M,,,
2001-06,23.61M,,,,,-1.69M,,37.52M,11.65M,,,,685.86M,-43.89M,-500.20M,-65.82M,-77.93M,-174.21M,-176.19M,,-105.10M,,-82.98M,7.425M,-75.55M,-14.71M,7.425M,1.105M,-81.73M,,,,203.39M,1.897M,,1.897M,,-18.46M,,186.82M,,0.249M,-0.007M,,0.242M,,,1.897M,,,,12.67M,15.71M,,,
2001-03,64.86M,,,,,-5.77M,,37.29M,4.936M,,,,270.44M,39.15M,-152.17M,22.75M,77.93M,,258.10M,,359.41M,,-91.01M,0.486M,-90.53M,-0.626M,,0.399M,-90.75M,,,,-254.34M,4.111M,,4.111M,,-18.43M,,-268.66M,,0.249M,,,0.249M,,,4.111M,,,,,48.32M,,,
2000-12,47.45M,,,,,3.265M,,36.43M,-2.49M,,,0.692M,-1.262B,-41.67M,832.58M,-97.18M,78.56M,53.02M,-437.14M,,-351.79M,,-108.49M,0.00,-108.49M,-34.43M,,6.189M,-136.73M,,,,494.67M,-2.229M,11.68M,9.456M,,-15.50M,,488.63M,,0.137M,0.112M,,0.249M,,,-2.229M,,,11.68M,16.34M,24.97M,,,
2000-09,10.09M,,,,,-0.555M,,36.07M,15.31M,,,-0.001M,,,,,,-189.79M,-189.79M,,-128.88M,,-92.87M,0.00,-92.87M,0.00,,0.719M,-92.15M,,,,232.45M,0.232M,-0.325M,-0.093M,,-18.33M,,214.03M,,7.137M,-7.00M,,0.137M,,,0.232M,,,-0.325M,37.59M,50.19M,,,
2000-06,25.05M,,,,,0.351M,,37.00M,7.555M,,,0.001M,23.13M,-73.53M,-101.33M,-19.13M,-22.68M,72.19M,-121.35M,,-51.40M,,-56.40M,5.49M,-50.91M,-154.98M,,-5.738M,-211.62M,,,,238.20M,1.997M,-1.696M,0.301M,,-18.35M,,220.15M,,50.00M,-42.86M,,7.137M,,,1.997M,,,-1.696M,3.651M,10.66M,,,
2000-03,63.02M,,,,,-28.09M,,34.49M,5.765M,,,,-23.13M,73.53M,101.33M,19.13M,22.68M,,193.54M,,268.73M,,-53.64M,55.17M,1.525M,-305.50M,,-1.102M,-305.07M,,,,114.70M,,-10.12M,-10.12M,,-18.30M,,86.28M,,0.072M,49.93M,,50.00M,,,,,,-10.12M,,25.28M,,,
1999-11,15.73M,,,,,-1.76M,,32.55M,23.65M,,,,,,,,,-80.64M,-80.64M,,-10.47M,,-64.31M,,-64.31M,,,0.641M,-63.67M,,,,112.40M,,-23.88M,-23.88M,,-18.78M,,69.74M,,4.402M,-4.402M,,0.00,,,,,,-23.88M,,13.26M,,,
1999-08,-2.183M,,,,,-3.00M,,33.16M,19.51M,,,,,,,,,14.42M,-94.58M,,-42.39M,,225.64M,16.50M,242.14M,,,14.06M,-40.10M,,,,125.59M,-1.749M,-24.89M,-26.64M,,-18.94M,,80.11M,,6.759M,-2.373M,,4.40M,,,-1.749M,,,-24.89M,-56.94M,-32.86M,,,
1999-05,21.20M,,,,,-7.50M,,33.61M,1.444M,,,,,,,,,76.20M,76.20M,,124.95M,,-331.02M,,-331.02M,,,-14.23M,-345.25M,,,,228.84M,0.006M,-1.012M,-1.006M,,-19.13M,,208.70M,,18.36M,-11.60M,,6.759M,,,0.006M,,,-1.012M,15.35M,10.31M,,,
1999-02,68.53M,,,,,5.435M,,31.80M,-2.167M,,,,,,,,,-24.54M,-24.54M,,79.06M,,-75.35M,-22.00M,-97.35M,,,-59.67M,-157.03M,,,,112.27M,3.143M,,3.143M,,-19.13M,,96.28M,,0.04M,18.32M,,18.36M,,,3.143M,,,,39.09M,11.44M,,,
1998-11,14.25M,,,,,-5.435M,,31.14M,-3.883M,,,,,,,,,-66.09M,-66.09M,,-30.02M,,-29.37M,22.00M,-7.371M,,,0.442M,-6.929M,,,,56.00M,,,,,-19.10M,,36.90M,,0.086M,-0.046M,,0.04M,,,,,,,2.50M,11.12M,,,
1998-08,-11.50M,,,,,-2.577M,,26.30M,-5.467M,,,,,,,,,-200.37M,-32.45M,,-25.69M,,-99.95M,,-69.95M,,,-0.317M,-94.69M,,,,103.00M,0.202M,,0.202M,,-9.474M,,93.73M,,26.73M,-26.65M,,0.086M,,,0.202M,,,,20.50M,14.96M,,,
1998-05,26.94M,,,,,-14.64M,,28.30M,2.494M,,,,,,,,,141.48M,141.48M,,184.57M,,-168.11M,,-168.11M,,,-0.406M,-168.51M,,,,-57.62M,0.048M,,0.048M,,-18.45M,,-76.02M,,86.70M,-59.97M,,26.73M,,,0.048M,,,,18.59M,2.789M,,,
1998-02,73.84M,,,,,,,29.54M,-4.491M,,,,,,,,,109.14M,109.14M,,208.03M,,-7.252M,,-7.252M,,,-3.983M,-11.24M,,,,-108.14M,3.603M,,3.603M,,-18.45M,,-122.98M,,12.90M,73.81M,,86.70M,,,3.603M,,,,32.38M,7.945M,,,
1997-11,12.52M,,,,,,,17.51M,-0.159M,,,,,,,,,-50.25M,-50.25M,,-20.38M,,-26.21M,,-26.21M,,,0.928M,-25.28M,,,,50.20M,2.404M,,2.404M,,-8.428M,,44.18M,,14.38M,-1.482M,,12.90M,,,2.404M,,,,2.307M,8.945M,,,
1997-08,-4.932M,,,,,0.00,,,5.10M,,,-55.67M,,,,,,-40.70M,-19.70M,,-0.70M,,-31.90M,,-31.90M,,,0.10M,-31.80M,,,,40.00M,0.70M,0.00,0.70M,,-6.50M,,34.10M,,12.90M,1.60M,,14.40M,,,0.70M,,,0.00,-9.00M,-17.30M,,,
1997-05,13.80M,,,,,0.10M,,,-7.00M,,,19.70M,,,,,,56.60M,56.60M,,83.20M,,-20.30M,,-20.30M,,,0.80M,-19.50M,,,,-44.00M,3.40M,-9.50M,-6.10M,,-6.80M,,-56.90M,,6.10M,6.80M,,12.90M,,,3.40M,,,-9.50M,0.00,0.00,,,
1997-02,38.20M,,,,,0.10M,,,-0.50M,,,19.10M,,,,,,16.00M,16.00M,,72.90M,,-25.60M,,-25.60M,,,0.20M,-25.40M,,,,-50.20M,2.70M,,2.70M,,-7.00M,,-54.50M,,13.00M,-7.00M,,6.10M,,,2.70M,,,,9.00M,17.30M,,,
1996-11,12.20M,,,,,0.10M,,,-0.60M,,,16.90M,,,,,,-31.90M,-31.90M,,-3.30M,,-12.70M,,-12.70M,,,0.60M,-12.10M,,,,35.00M,0.60M,,0.60M,,-7.70M,,27.90M,,0.60M,12.50M,,13.00M,,,0.60M,,,,,,,,
1996-08,-5.90M,,,,,-6.80M,,,-1.10M,,,16.60M,,,,,,-17.80M,-30.90M,,-28.10M,,-28.40M,,-10.80M,,,1.90M,-8.90M,,,,9.90M,-1.10M,,-1.10M,,-7.10M,,1.70M,,36.00M,-35.30M,,0.60M,,,-1.10M,,,,-21.20M,-22.10M,,,
1996-05,11.70M,,,,,0.00,,,-3.50M,,,24.90M,,,,,,69.20M,69.20M,,102.30M,,-41.40M,,-41.40M,,,0.40M,-41.00M,,,,-22.00M,0.00,,0.00,,-6.80M,,-28.80M,,3.40M,32.50M,,36.00M,,,0.00,,,,13.10M,-1.20M,,,
1996-02,38.60M,,,,,1.10M,,,3.60M,,,15.50M,,,,,,-26.20M,-26.20M,,32.60M,,-8.00M,,-8.00M,,,-2.40M,-10.40M,,,,-20.00M,1.10M,,1.10M,,-6.60M,,-25.50M,,6.60M,-3.30M,,3.40M,,,1.10M,,,,8.10M,23.30M,,,
1995-11,8.40M,,,,,0.20M,,,-1.00M,,,15.90M,,,,,,-25.20M,-25.20M,,-1.70M,,-11.80M,,-11.80M,,,0.10M,-11.70M,,,,15.00M,,,,,-7.40M,,7.60M,,12.50M,-5.80M,,6.60M,,,,,,,,,,,
1995-08,-2.30M,,,,,0.80M,,,-7.40M,,,13.40M,,,,,,-28.40M,-1.30M,,3.20M,,-19.80M,,-18.20M,,10.90M,-10.20M,-17.50M,,,,9.00M,,,,,-7.70M,,1.30M,,25.60M,-13.00M,,12.50M,,,,,,,-21.80M,-23.20M,,,
1995-05,9.00M,,,,,-0.10M,,,-5.00M,,,15.50M,,,,,,41.80M,41.80M,,61.20M,,-16.20M,,-16.20M,,-0.30M,15.30M,-1.20M,,,,-41.80M,,,,,-7.60M,,-49.40M,,14.90M,10.60M,,25.60M,,,,,,,9.30M,5.00M,,,
1995-02,28.30M,,,,,0.10M,,,-1.40M,,,12.80M,,,,,,16.50M,16.50M,,56.30M,,-14.80M,,-14.80M,,0.30M,0.10M,-14.40M,,,,-25.00M,,,,,-7.60M,,-32.60M,,5.70M,9.30M,,14.90M,,,,,,,12.50M,18.20M,,,
1994-11,7.80M,,,,,0.60M,,,-1.50M,,,11.90M,,,,,,-29.90M,-29.90M,,-11.10M,,-30.20M,,-30.20M,,,,-30.20M,,,,50.00M,,,,,-7.60M,,42.40M,,4.50M,1.10M,,5.70M,,,,,,,,,,,
1994-08,-3.70M,,,,,1.60M,,,8.70M,,,12.30M,,,,,,-1.80M,-19.50M,,-0.60M,,-17.90M,0.10M,-17.80M,,2.80M,-2.30M,-17.30M,,,,30.00M,,,,,-7.50M,,22.50M,,0.00,4.60M,,4.50M,,,,,,,1.60M,-6.30M,,,
1994-05,5.70M,,,,,-0.10M,,,0.00,,,12.70M,,,,,,3.80M,3.80M,,22.10M,,-17.70M,7.90M,-9.80M,,-1.20M,-1.90M,-12.90M,,,,-15.00M,,,,,-7.60M,,-22.60M,,13.40M,-13.40M,,0.00,,,,,,,4.20M,13.50M,,,
1994-02,26.40M,,,,,0.70M,,,0.60M,,,12.80M,,,,,,30.80M,30.80M,,71.30M,,-19.50M,,-19.50M,,-1.30M,-0.20M,-21.00M,,,,-45.00M,,,,,-7.60M,,-52.60M,,15.80M,-2.30M,,13.40M,,,,,,,8.40M,4.30M,,,
1993-11,7.80M,,,,,-1.30M,,,0.70M,,,13.10M,,,,,,-32.80M,-32.80M,,-12.50M,,-18.80M,,-18.80M,,-0.30M,1.90M,-17.20M,,,,43.00M,,,,,-7.30M,,35.70M,,9.70M,6.00M,,15.80M,,,,,,,0.70M,13.20M,,,
