,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.083B,1.083B,291.28M,791.49M,74.35M,74.35M,,,-98.27M,,86.58M,,-86.58M,3.02M,478.11M,313.39M,,86.58M,-86.58M,117.87M,-86.58M,344.68M,12.15M,332.52M,,1.652M,302.69M,260.35M,831.99M,400.74M,2020-09,0.40,,,,,2020-09,0.40,,0.3446,0.40,,2020-09,738.19M,764.62M,0.58,,2020-09,AOR,
2020-06,1.266B,1.266B,313.65M,952.47M,64.66M,64.66M,,,-23.57M,,81.30M,1.027M,-80.27M,7.979M,470.84M,481.63M,1.027M,81.30M,-80.27M,100.09M,-80.27M,501.45M,46.51M,454.94M,,1.634M,406.17M,364.49M,980.94M,398.20M,2020-06,0.55,,,,,2020-06,0.54,,0.4856,0.54,,2020-06,737.99M,765.83M,0.58,,2020-06,AOR,
2020-03,978.24M,978.24M,274.19M,704.05M,69.69M,69.69M,,,-42.77M,,76.00M,0.37M,-75.63M,14.57M,430.23M,273.82M,0.37M,76.00M,-75.63M,353.53M,-75.63M,552.08M,30.91M,521.16M,,1.635M,491.05M,241.08M,974.05M,345.97M,2020-03,0.70,,,,,2020-03,0.70,,0.3547,0.70,,2020-03,698.27M,723.98M,0.58,,2020-03,AOR,
2019-12,826.02M,826.02M,230.19M,595.83M,65.54M,65.54M,,,-0.04M,,46.66M,11.34M,-48.62M,3.506M,358.29M,237.54M,11.34M,46.66M,-48.62M,258.73M,-48.62M,447.53M,21.29M,426.24M,,1.511M,386.99M,186.90M,783.43M,289.24M,2019-12,0.6101,,,,,2019-12,0.6101,,0.2934,0.6101,,2019-12,631.80M,631.80M,0.53,,2019-12,AOR,
2019-09,942.18M,942.18M,244.27M,697.91M,65.20M,65.20M,,,-13.58M,,60.24M,0.654M,-59.59M,2.294M,349.75M,348.17M,0.654M,60.24M,-59.59M,215.52M,-59.59M,504.10M,13.09M,491.01M,,1.507M,452.15M,287.32M,846.60M,282.25M,2019-09,0.71,,,,,2019-09,0.71,,0.4585,0.71,,2019-09,630.93M,655.26M,0.53,,2019-09,AOR,Restated
2019-06,790.37M,790.37M,218.34M,572.03M,66.28M,66.28M,,,-0.385M,,59.12M,4.312M,-54.81M,3.515M,354.17M,217.86M,4.312M,59.12M,-54.81M,274.41M,-54.81M,437.46M,26.63M,410.83M,,1.492M,385.28M,173.17M,780.96M,284.38M,2019-06,0.61,,,,,2019-06,0.60,,0.2764,0.60,,2019-06,630.27M,655.45M,0.53,,2019-06,AOR,Restated
2019-03,772.05M,772.05M,226.13M,545.93M,69.70M,69.70M,,,-2.116M,,61.00M,7.91M,-53.09M,3.834M,357.54M,188.38M,7.91M,61.00M,-53.09M,251.49M,-53.09M,387.28M,13.51M,373.76M,,1.499M,348.55M,160.52M,732.29M,284.01M,2019-03,0.55,,,,,2019-03,0.55,,0.2627,0.55,,2019-03,629.68M,654.36M,0.53,,2019-03,AOR,Restated
2018-12,807.08M,807.08M,220.13M,586.95M,56.70M,56.70M,,,0.071M,,48.90M,5.155M,-56.99M,2.415M,345.87M,241.08M,5.155M,48.90M,-56.99M,525.35M,-56.99M,709.21M,18.72M,690.49M,,1.492M,598.06M,199.92M,1.045B,286.76M,2018-12,1.90,,,,,2018-12,1.88,,0.6646,1.88,,2018-12,314.82M,327.58M,0.48,,2018-12,AOR,Restated
2018-09,682.43M,682.43M,182.57M,499.86M,62.24M,62.24M,,,-1.955M,,64.19M,1.891M,-62.30M,3.391M,318.34M,181.52M,1.891M,64.19M,-62.30M,270.25M,-62.30M,389.48M,13.96M,375.52M,,1.491M,347.84M,141.87M,706.36M,252.70M,2018-09,1.20,,,,,2018-09,1.20,,0.5108,1.20,,2018-09,287.26M,298.82M,0.48,,2018-09,AOR,Restated
2018-06,621.28M,621.28M,168.18M,453.10M,57.62M,57.62M,,,0.282M,,56.31M,5.641M,-50.67M,4.515M,265.80M,187.29M,5.641M,56.31M,-50.67M,242.47M,-50.67M,379.10M,14.10M,364.99M,,1.476M,336.09M,162.86M,639.08M,203.67M,2018-06,1.26,,,,,2018-06,1.24,,0.6152,1.24,,2018-06,266.32M,277.26M,0.48,,2018-06,AOR,Restated
2018-03,693.66M,693.66M,186.80M,506.86M,62.43M,62.43M,,,0.00,,47.00M,1.976M,-45.02M,3.239M,269.75M,237.11M,1.976M,47.00M,-45.02M,216.67M,-45.02M,408.51M,16.55M,391.96M,,1.476M,367.38M,219.60M,659.59M,204.08M,2018-03,1.38,,,,,2018-03,1.36,,0.8266,1.36,,2018-03,266.09M,277.06M,0.48,,2018-03,AOR,Restated
2017-12,619.92M,619.92M,175.70M,444.22M,59.71M,59.71M,,,-37.78M,,48.01M,4.238M,-58.25M,3.597M,285.81M,158.42M,4.238M,48.01M,-58.25M,250.53M,-58.25M,351.15M,12.28M,338.87M,,1.476M,300.89M,132.75M,621.66M,222.50M,2017-12,1.12,,,,,2017-12,1.10,,0.4934,1.10,,2017-12,265.75M,277.17M,0.44,,2017-12,AOR,Restated
2017-09,602.87M,602.87M,164.73M,438.14M,57.66M,57.66M,,,0.00,,64.19M,4.816M,-59.37M,3.093M,262.65M,175.49M,4.816M,64.19M,-59.37M,815.25M,-59.37M,931.36M,17.95M,913.42M,,1.675M,877.89M,132.36M,1.197B,201.90M,2017-09,3.30,,,,,2017-09,3.26,,0.5693,3.26,,2017-09,265.64M,277.08M,0.44,,2017-09,AOR,Restated
2017-06,766.18M,766.18M,199.78M,566.40M,60.08M,60.08M,,,-30.60M,,75.35M,1.892M,-73.46M,2.909M,291.13M,275.27M,1.892M,75.35M,-73.46M,100.95M,-73.46M,302.76M,14.78M,287.98M,,1.674M,268.62M,237.84M,606.26M,228.14M,2017-06,1.00,,,,,2017-06,1.00,,0.8885,1.00,,2017-06,265.02M,276.06M,0.44,,2017-06,AOR,Restated
2017-03,629.16M,629.16M,184.46M,444.70M,53.62M,53.62M,,,,,73.00M,2.785M,-70.22M,2.606M,282.81M,161.89M,2.785M,73.00M,-70.22M,138.53M,-70.22M,230.29M,9.60M,220.69M,,1.674M,204.93M,118.75M,529.88M,226.59M,2017-03,0.76,,,,,2017-03,0.76,,0.4466,0.76,,2017-03,264.36M,275.00M,0.44,,2017-03,AOR,Restated
