,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,458.10M,,458.10M,,0.00,,0.00,,,,931.25M,,,,,,,,,,,,5.676B,,,,1.387B,28.74B,29.67B,,,,,692.85M,336.85M,336.85M,336.85M,,,,,1.030B,9.123B,,9.123B,,,,3.108B,,730.34M,9.854B,2018-03,74.28M,-2.795B,19.30B,68.95M,,2018-03,AOR,Restated
2017-12,447.05M,,447.05M,85.12M,69.67M,,239.12M,102.18M,,,1.130B,,,,,,,,109.82M,,202.09M,202.09M,5.496B,,19.14M,13.53M,730.34M,28.35B,29.48B,,,67.07M,769.87M,769.87M,317.39M,317.39M,317.39M,,,,,1.087B,9.095B,,9.095B,87.15M,87.15M,32.23M,3.075B,,473.46M,9.688B,2017-12,74.27M,-2.904B,19.36B,68.95M,,2017-12,AOR,Restated
2017-09,568.73M,,568.73M,,0.00,,0.00,,,,890.63M,,,,,,,,,,,,5.372B,,,,1.392B,28.76B,29.65B,,,,,707.05M,0.00,0.00,0.00,,,,,707.05M,9.721B,,9.721B,,,,3.016B,,666.78M,10.39B,2017-09,83.56M,-2.966B,19.35B,78.24M,,2017-09,AOR,Restated
2017-06,271.35M,,271.35M,,19.54M,,19.54M,,,,641.88M,,,,,,,,,,,,4.618B,,,,1.416B,29.51B,30.15B,,,,,554.78M,0.00,0.00,0.00,,,,,554.78M,11.08B,,11.08B,,,,3.013B,,653.46M,11.74B,2017-06,83.55M,-3.607B,19.31B,78.24M,,2017-06,AOR,Restated
2017-03,395.83M,,395.83M,,17.01M,,17.01M,,,,852.58M,,,,,,,,,,,,4.306B,,,,1.440B,28.96B,29.81B,,,,,549.84M,0.00,0.00,0.00,,,,,549.84M,10.97B,,10.97B,,,,2.922B,,629.77M,11.60B,2017-03,83.54M,-3.640B,19.25B,78.24M,,2017-03,AOR,Restated
2016-12,807.32M,,807.32M,110.92M,67.92M,,273.56M,120.36M,,,1.523B,,,,,,,,102.83M,,267.91M,267.91M,4.230B,,47.11M,14.05M,703.27M,28.73B,30.25B,,,84.55M,640.73M,640.73M,35.02M,35.02M,35.02M,,,,,675.76M,10.57B,,10.57B,111.86M,111.86M,1.268M,3.467B,,429.64M,11.12B,2016-12,83.52M,-3.610B,19.46B,78.24M,,2016-12,AOR,Restated
2016-09,375.12M,,375.12M,,33.80M,,33.80M,,,,859.27M,,,,,,,,,,,,4.581B,,,,1.516B,30.03B,30.89B,,,,,672.11M,0.00,0.00,0.00,,,,,672.11M,11.26B,,11.26B,,,,3.484B,,675.83M,11.93B,2016-09,83.52M,-3.828B,19.43B,78.24M,,2016-09,AOR,Restated
2016-06,332.22M,,332.22M,,33.80M,,33.80M,,,,759.46M,,,,,,,,,,,,4.484B,,,,1.467B,29.99B,30.75B,,,,,627.44M,0.00,0.00,0.00,,,,,627.44M,11.14B,,11.14B,,,,3.571B,,696.04M,11.84B,2016-06,83.50M,-3.885B,19.36B,78.24M,,2016-06,AOR,Restated
2016-03,369.74M,,369.74M,,37.55M,,37.55M,,,,838.62M,,,,,,,,,,,,4.867B,,,,1.466B,30.54B,31.38B,,,,,698.68M,306.78M,306.78M,306.78M,,,,,1.005B,11.38B,,11.38B,,,,3.708B,,649.28M,12.03B,2016-03,83.49M,-3.939B,19.30B,78.24M,,2016-03,AOR,Restated
2015-12,264.08M,,264.08M,89.61M,276.31M,,452.04M,107.00M,,,1.202B,,,,,,,,94.18M,,433.95M,433.95M,4.756B,,53.58M,14.65M,594.17M,30.19B,31.39B,,,91.40M,804.12M,804.12M,0.00,0.00,0.00,,,,,804.12M,11.63B,,11.63B,106.93M,106.93M,13.73M,3.753B,,422.32M,12.17B,2015-12,83.48M,-3.926B,19.30B,78.24M,,2015-12,AOR,Restated
2015-09,310.43M,,310.43M,,197.50M,,197.50M,,,,877.32M,,,,,,,,,,,,4.841B,,,,1.588B,30.54B,31.42B,,,,,697.86M,207.98M,207.98M,207.98M,,,,,905.84M,11.73B,,11.73B,,,,3.553B,,602.17M,12.33B,2015-09,83.48M,-3.826B,19.15B,78.24M,,2015-09,AOR,Restated
2015-06,351.02M,,351.02M,,197.50M,,197.50M,,,,1.063B,,,,,,,,,,,,4.912B,,,,1.240B,30.54B,31.60B,,,,,537.43M,440.17M,440.17M,440.17M,,,,,977.60M,11.68B,,11.68B,,,,3.643B,,589.64M,12.27B,2015-06,83.48M,-3.871B,19.13B,78.24M,,2015-06,AOR,Restated
2015-03,192.01M,,192.01M,,197.50M,,197.50M,,,,726.74M,,,,,,,,,,,,4.560B,,,,1.251B,24.73B,25.46B,,,,,459.84M,65.37M,65.37M,65.37M,,,,,525.22M,8.576B,,8.576B,,,,1.178B,,566.75M,9.143B,2015-03,83.48M,-3.819B,19.05B,78.24M,,2015-03,AOR,Restated
2014-12,350.69M,,350.69M,103.44M,46.57M,,236.35M,105.09M,,,736.06M,,,,,,,,86.93M,,,,4.825B,,106.66M,7.887M,613.37M,25.04B,25.78B,,,98.56M,726.56M,726.56M,0.00,0.00,0.00,,,,,726.56M,9.337B,,9.337B,91.20M,91.20M,52.74M,1.208B,,383.93M,9.865B,2014-12,83.33M,-3.974B,18.47B,78.24M,,2014-12,AOR,Restated
2014-09,311.88M,,311.88M,132.46M,0.00,,132.46M,,,,444.34M,,,,,,,,,,,,5.814B,,,,1.043B,23.63B,24.07B,,,,,556.96M,741.61M,741.61M,741.61M,,,,,1.299B,8.081B,,8.081B,,,,696.65M,,555.44M,8.637B,2014-09,83.24M,-4.214B,18.08B,78.24M,,2014-09,AOR,Restated
2014-06,267.43M,,267.43M,123.96M,0.00,,123.96M,,,,391.39M,,,,,,,,,,,,5.575B,,,,1.032B,23.74B,24.13B,,,,,615.85M,38.67M,38.67M,38.67M,,,,,654.52M,8.491B,,8.491B,,,,705.11M,,709.41M,9.200B,2014-06,83.23M,-4.189B,18.06B,78.24M,,2014-06,AOR,Restated
2014-03,188.89M,,188.89M,114.88M,191.70M,,306.58M,,9.75M,,505.22M,,,,,,,,,,,,4.688B,,,,1.121B,24.15B,24.66B,,,,,572.75M,119.47M,119.47M,119.47M,,,,,692.22M,8.751B,,8.751B,,,,922.21M,,718.52M,9.470B,2014-03,105.00M,-4.095B,18.01B,100.00M,,2014-03,AOR,Restated
2013-12,491.13M,,491.13M,107.96M,226.86M,,440.89M,136.73M,,,1.073B,,,,,,,,85.39M,,,,4.430B,,20.24M,19.02M,689.15M,23.50B,24.57B,,,242.15M,806.14M,806.14M,725.48M,725.48M,725.48M,,,,,1.532B,8.286B,,8.286B,103.72M,103.72M,77.02M,465.30M,,397.76M,8.864B,2013-12,104.99M,-3.933B,17.97B,100.00M,,2013-12,AOR,Restated
2013-09,121.69M,,121.69M,137.88M,189.66M,,327.54M,,42.49M,,495.68M,,,,,,,,,,,,4.210B,,,,1.024B,24.29B,24.79B,,,198.71M,890.95M,890.95M,992.78M,992.78M,992.78M,,,,1.394M,1.885B,8.127B,,8.127B,114.07M,114.07M,,510.43M,,400.28M,8.641B,2013-09,104.99M,-3.853B,17.95B,100.00M,,2013-09,AOR,Restated
2013-06,385.42M,,385.42M,124.98M,189.64M,,314.62M,,26.64M,,752.01M,,,,,,,,,,,,3.885B,,,,924.83M,23.29B,24.04B,,,178.58M,829.66M,829.66M,630.84M,630.84M,630.84M,,,,18.06M,1.479B,7.786B,,7.786B,105.44M,105.44M,,523.08M,,344.60M,8.237B,2013-06,104.99M,-3.704B,17.94B,100.00M,,2013-06,AOR,Restated
2013-03,785.36M,,785.36M,139.69M,188.00M,,327.69M,,48.60M,,1.187B,,,,,,,,,,,,3.635B,,,,950.18M,22.89B,24.08B,,,235.82M,824.85M,824.85M,421.25M,421.25M,421.25M,,,,17.69M,1.264B,8.653B,,8.653B,104.37M,104.37M,,709.64M,482.50M,361.23M,9.601B,2013-03,104.62M,-3.561B,16.46B,100.00M,,2013-03,AOR,Restated
2012-12,100.81M,,100.81M,171.08M,222.76M,,504.75M,104.01M,176.93M,,912.53M,,,,,,,,90.18M,,,,2.196B,,,31.73M,751.46M,26.40B,27.31B,,,494.50M,1.106B,1.106B,888.97M,888.97M,888.97M,,,,18.33M,2.014B,10.90B,,10.90B,165.04M,165.04M,,704.32M,,456.36M,11.52B,2012-12,586.82M,-3.696B,16.41B,582.20M,,2012-12,AOR,Restated
