,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,,SECFilingLinks,AsOriginallyReported,Restated
2007-09,296.80M,360.27M,657.07M,159.27M,,,159.27M,,103.21M,,919.55M,,,,,,7.231B,-884.34M,6.347B,,,,,,,,,6.347B,7.063B,,54.90M,,293.79M,293.79M,,,,,,,,293.79M,3.331B,,3.331B,,,,698.28M,,,3.331B,2007-09,224.40M,200.98M,2.270B,223.41M,,2007-09,AOR,Restated
2007-06,223.97M,349.53M,573.50M,166.45M,,,166.45M,,27.08M,,767.04M,,,,,,7.047B,-854.23M,6.193B,,,,,,,,,6.193B,6.759B,,55.89M,,239.93M,239.93M,,,,,,,,239.93M,3.045B,,3.045B,,,,722.76M,,,3.045B,2007-06,224.41M,181.22M,2.309B,223.41M,,2007-06,AOR,Restated
2007-03,259.82M,279.42M,539.24M,141.65M,,,141.65M,,26.34M,,707.23M,,,,,,7.213B,-829.81M,6.384B,,,,,18.71M,,,,6.402B,6.977B,,57.50M,,250.10M,250.10M,,,,,,,,250.10M,3.267B,,3.267B,,,,799.73M,,,3.267B,2007-03,224.41M,119.59M,2.281B,223.42M,,2007-03,AOR,Restated
2006-12,174.76M,,174.76M,134.00M,,,134.00M,,,,308.76M,,,,,,7.025B,-789.69M,6.235B,,,,,,,,,6.235B,6.714B,,48.97M,,235.77M,235.77M,,,,,,,,235.77M,3.437B,,3.437B,,,,837.56M,,,3.437B,2006-12,224.31M,147.27M,1.797B,223.42M,,2006-12,AOR,Restated
2006-09,154.34M,116.86M,271.19M,143.59M,,,143.59M,,29.89M,,444.68M,,,,,,7.918B,-821.54M,7.096B,,,,,18.78M,,,,7.115B,7.578B,,47.47M,,253.67M,253.67M,,,,,,,,253.67M,3.983B,,3.983B,,,,1.237B,,,3.983B,2006-09,224.48M,104.79M,1.733B,223.59M,,2006-09,AOR,Restated
2006-06,202.34M,,202.34M,127.53M,,,127.53M,,29.57M,,359.44M,,,,,,7.618B,-774.53M,6.844B,,,,,18.82M,,,,6.863B,7.336B,,47.01M,,209.94M,209.94M,,,,,,,,209.94M,3.874B,,3.874B,,,,1.230B,,,3.874B,2006-06,176.21M,115.87M,1.686B,175.33M,,2006-06,AOR,Restated
2006-03,142.47M,,142.47M,148.91M,,,148.91M,,25.54M,,316.91M,,,,,,7.330B,-736.76M,6.593B,,,,,21.59M,,,,6.614B,7.044B,,47.80M,,202.69M,202.69M,,,,,,,,202.69M,3.666B,,3.666B,,,,1.189B,,,3.666B,2006-03,176.20M,84.07M,1.681B,175.33M,,2006-03,AOR,Restated
2005-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.803B,,,,,,,,,,,,,,,,,,,,,,,,2005-12,175.55M,,,175.55M,,2005-12,AOR,Restated
2005-09,131.88M,,131.88M,158.00M,,,158.00M,,30.56M,,320.44M,,,,,,7.140B,-721.89M,6.419B,,,,,21.65M,,,,6.440B,6.836B,,43.26M,,216.71M,216.71M,,,,,,,,216.71M,3.552B,,3.552B,,,,1.298B,,,3.552B,2005-09,104.06M,,1.622B,103.20M,,2005-09,AOR,Restated
2005-06,138.96M,,138.96M,173.36M,,,173.36M,,30.51M,,342.83M,,,,,,6.877B,-683.68M,6.193B,,,,,21.68M,,,,6.215B,6.624B,,42.80M,,203.27M,203.27M,,,,,,,,203.27M,3.406B,,3.406B,,,,1.275B,,,3.406B,2005-06,104.04M,9.992M,1.591B,103.20M,,2005-06,AOR,Restated
2005-03,167.78M,,167.78M,135.77M,,,135.77M,,47.29M,,350.84M,,,,,,6.763B,-652.08M,6.111B,,,,,21.71M,,,,6.133B,6.555B,,42.75M,,217.96M,217.96M,,,,,,,,217.96M,3.351B,,3.351B,,,,1.252B,,,3.351B,2005-03,104.04M,8.04M,1.584B,103.20M,,2005-03,AOR,Restated
2004-12,,,,,,,,,37.20M,,37.20M,,,,,,,,6.053B,,,,,,,,,6.053B,6.387B,,,,,,,,,,,,,,3.257B,,3.257B,,,,1.196B,,,3.257B,2004-12,104.04M,,1.568B,103.20M,,2004-12,AOR,Restated
2004-09,116.38M,,116.38M,102.08M,,23.07M,125.15M,,57.94M,,299.47M,,,,,,6.374B,-595.44M,5.779B,,,,48.60M,,,,,5.827B,6.222B,,40.90M,,278.35M,278.35M,,,,,,,,278.35M,3.236B,,3.236B,,,,1.068B,,,3.236B,2004-09,104.03M,0.00,1.535B,103.20M,,2004-09,AOR,Restated
2004-06,116.76M,,116.76M,96.52M,,23.59M,120.12M,,29.38M,,266.25M,,,,,,6.102B,-546.88M,5.555B,,,,52.58M,,,,,5.607B,5.951B,,40.74M,,256.57M,256.57M,,,,,,,,256.57M,3.015B,,3.015B,,,,1.030B,,,3.015B,2004-06,104.03M,0.00,1.544B,103.20M,,2004-06,AOR,Restated
2004-03,123.75M,,123.75M,92.08M,,23.62M,115.70M,,27.16M,,266.60M,,,,,,5.740B,-511.61M,5.229B,,,,54.01M,,,,,5.283B,5.619B,,40.81M,,208.61M,208.61M,,,,,,,,208.61M,2.753B,,2.753B,,,,994.65M,,,2.753B,2004-03,104.04M,0.00,1.558B,103.21M,,2004-03,AOR,Restated
2003-12,,,,,,,,,28.98M,,28.98M,,,,,,,,5.070B,,,,,,,,,5.070B,5.410B,,,,,,,,,,,,,,2.574B,,2.574B,,,,991.07M,,,2.574B,2003-12,104.19M,,1.551B,103.37M,,2003-12,AOR,Restated
2003-09,128.38M,,128.38M,80.93M,,,80.93M,,24.05M,,233.36M,,,,,,5.115B,-442.76M,4.672B,,,,56.16M,13.07M,,,,4.742B,5.045B,,46.25M,,179.56M,179.56M,,,,,,,,179.56M,2.213B,,2.213B,,,,1.038B,,,2.213B,2003-09,49.04M,0.00,1.564B,48.22M,,2003-09,AOR,Restated
2003-06,68.42M,,68.42M,83.12M,,,83.12M,,22.74M,,174.28M,,,,,,5.089B,-412.99M,4.676B,,,,68.57M,13.10M,,,,4.758B,4.976B,,41.69M,,167.62M,167.62M,,,,,,,,167.62M,2.044B,,2.044B,,,,1.042B,,,2.044B,2003-06,145.24M,10.35M,1.567B,144.42M,,2003-06,AOR,Restated
2003-03,134.79M,,134.79M,76.06M,,,76.06M,,15.12M,,225.96M,,,,,,4.929B,-382.90M,4.547B,,,,67.75M,13.11M,,,,4.627B,4.905B,,41.44M,,188.05M,188.05M,,,,,,,,188.05M,2.130B,,2.130B,,,,900.63M,,,2.130B,2003-03,96.81M,28.31M,1.562B,95.99M,,2003-03,AOR,Restated
2002-12,,,,,,,,,27.88M,,27.88M,,,,,,,,4.560B,,,,,,,,,4.560B,4.989B,,,,,,,,,,,,,,2.235B,,2.235B,,,,891.27M,,,2.235B,2002-12,0.82M,3.372M,1.581B,,,2002-12,AOR,Restated
2002-09,76.09M,,76.09M,81.00M,,13.16M,94.16M,,14.75M,,185.00M,,,,,,4.989B,-344.95M,4.644B,,,,64.82M,,,,,4.709B,4.943B,,42.15M,,42.15M,42.15M,,,,,,,,42.15M,2.200B,,2.200B,,,,814.92M,,,2.200B,2002-09,96.84M,4.317M,1.637B,95.99M,,2002-09,AOR,
2002-06,109.15M,,109.15M,80.37M,,87.18M,167.54M,,10.13M,,286.83M,,,,,,4.866B,-311.06M,4.555B,,,,64.08M,,,,,4.619B,4.937B,,42.29M,,42.29M,42.29M,,,,,,,,42.29M,2.204B,,2.204B,,,,824.42M,,,2.204B,2002-06,96.94M,13.54M,1.636B,96.10M,,2002-06,AOR,
2002-03,86.83M,,86.83M,75.40M,,87.21M,162.61M,,12.66M,,262.10M,,,,,,4.706B,-289.70M,4.417B,,,,71.14M,,,,,4.488B,4.781B,,41.43M,,41.43M,41.43M,,,,,,,,41.43M,2.145B,,2.145B,,,,731.42M,,,2.145B,2002-03,96.94M,21.54M,1.630B,96.10M,,2002-03,AOR,
2001-12,,,,,,,,,8.661M,,8.661M,,,,,,,,4.265B,,,,,,,,,4.265B,4.764B,,,,,,,,,,,,,,2.144B,,2.144B,,,,734.29M,,,2.144B,2001-12,0.838M,27.64M,1.628B,,,2001-12,AOR,Restated
2001-09,243.43M,,243.43M,68.81M,,92.23M,161.04M,,13.44M,,417.92M,,,,,,4.540B,-239.14M,4.301B,,,,85.71M,,,,,4.386B,4.832B,,42.90M,,42.90M,42.90M,,,,,,,,42.90M,2.008B,,2.008B,,,,859.06M,,,2.008B,2001-09,96.94M,35.24M,1.635B,96.10M,,2001-09,AOR,
2001-06,135.10M,,135.10M,68.98M,,,68.98M,,,,204.08M,,,,,,4.458B,-213.92M,4.244B,,,,176.12M,,,,,4.420B,4.722B,,35.93M,,35.93M,35.93M,,,,,,,,35.93M,1.911B,,1.911B,,,,819.90M,,,1.911B,2001-06,96.95M,39.04M,1.654B,96.10M,,2001-06,AOR,
2001-03,98.63M,,98.63M,67.48M,,,67.48M,,53.60M,,219.71M,,,,,,4.322B,-202.19M,4.119B,,,,269.24M,,,,,4.389B,4.638B,,,,,,,,,,,,,,1.863B,,1.863B,,,,800.28M,,,1.863B,2001-03,96.95M,44.81M,1.655B,96.10M,,2001-03,AOR,
2000-12,,,,,,,,,22.36M,,22.36M,,,,,,,,3.849B,,,,,,,,,3.849B,4.433B,,,,,,,,,,,,,,1.836B,,1.836B,,,,674.38M,,,1.836B,2000-12,0.841M,36.07M,1.639B,,,2000-12,AOR,Restated
2000-09,18.80M,,18.80M,,,,,,,,18.80M,,,,,,3.937B,-160.88M,3.776B,,,,77.98M,,,,,3.854B,4.103B,,,,,,,,,,,,,,1.513B,,1.513B,,,,672.45M,,,1.513B,2000-09,96.94M,43.44M,1.633B,96.10M,,2000-09,AOR,
2000-06,14.74M,,14.74M,,,,,,6.931M,,21.67M,,,,,,3.800B,-142.04M,3.658B,,,,77.96M,,,,,3.736B,3.853B,,,,,,,,,,,,,,1.378B,,1.378B,,,,559.96M,,,1.378B,2000-06,96.94M,41.84M,1.630B,96.10M,,2000-06,AOR,
2000-03,26.66M,,26.66M,,,,,,62.43M,,89.09M,,,,,,3.520B,-120.19M,3.400B,,,,67.41M,,,,,3.468B,3.657B,,,,,,,,,,,,,,1.262B,,1.262B,,,,483.36M,,,1.262B,2000-03,96.94M,44.99M,1.630B,96.10M,,2000-03,AOR,
1999-12,,,,,,,,,,,,,,,,,,,3.146B,,,,,,,,,3.146B,3.631B,,,,,,,,,,,,,,1.27B,,1.27B,,,,432.90M,,,1.27B,1999-12,0.90M,47.10M,1.656B,,,1999-12,AOR,Restated
1999-09,,,,,,,,,,,,,,,,,,,2.983B,,,,,,,,,2.983B,3.648B,,,,,,,,,,,,,,1.279B,,1.279B,,,,428.22M,,,1.279B,1999-09,0.865M,26.84M,1.679B,,,1999-09,,
1999-06,,,,,,,,,,,,,,,,,,,2.902B,,,,,,,,,2.902B,3.733B,,,,,,,,,,,,,,1.419B,,1.419B,,,,409.66M,,,1.419B,1999-06,0.865M,6.69M,1.680B,,,1999-06,,
1999-03,,,,,,,,,,,,,,,,,,,2.678B,,,,,,,,,2.678B,3.697B,,,,,,,,,,,,,,1.486B,,1.486B,,,,324.86M,,,1.486B,1999-03,0.86M,,1.665B,,,1999-03,,
1998-12,19.91M,,19.91M,,,,,,,,19.91M,,,,,,3.484B,-58.40M,3.426B,,,,57.66M,,,,,3.483B,3.563B,,,,,,,14.10M,14.10M,,,,,14.10M,1.368B,,1.368B,,,,325.02M,,,1.368B,1998-12,96.96M,0.00,1.668B,96.10M,,1998-12,AOR,Restated
1998-09,,,,,,,,,,,,,,,,,,,3.247B,,,,,,,,,3.247B,3.327B,,,,,,,,,,,,,,1.307B,,1.307B,,,,144.39M,,,1.307B,1998-09,0.859M,,1.670B,,,1998-09,,
1998-06,,,,,,,,,,,,,,,,,,,2.968B,,,,,,,,,2.968B,3.033B,,,,,,,,,,,,,,1.129B,,1.129B,,,,149.75M,,,1.129B,1998-06,0.859M,,1.669B,,,1998-06,,
