,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,82.30M,,1.10M,1.10M,27.20M,1.20M,28.40M,28.40M,,9.90M,-5.00M,,,,1.90M,,118.60M,,-47.50M,,,0.00,0.00,,-1.60M,-49.10M,,-0.60M,,-0.60M,,0.00,0.00,-11.90M,-11.90M,5.30M,,-7.20M,,445.90M,62.30M,11.20M,519.40M,,,0.00,-0.60M,0.00,,AOR,
2020-06,91.20M,,0.90M,0.90M,25.20M,1.00M,26.20M,26.20M,,12.30M,-0.80M,,,,18.30M,,148.10M,,-40.90M,,,-3.80M,0.00,,0.00,-40.90M,,-0.50M,,-0.50M,,0.00,0.00,-11.80M,-11.80M,11.40M,,-0.90M,,335.30M,106.30M,4.30M,445.90M,,,0.00,-0.50M,0.00,,AOR,
2020-03,74.30M,,1.40M,1.40M,24.90M,1.10M,26.00M,26.00M,,5.40M,-4.40M,,,,-45.60M,,57.10M,,-32.10M,,,,,,0.20M,-31.90M,,-0.60M,,-0.60M,,-115.50M,-115.50M,-11.80M,-11.80M,7.60M,,-120.30M,,439.10M,-95.10M,-8.70M,335.30M,,,0.00,-0.60M,-115.50M,,AOR,
2019-12,63.90M,,-1.80M,-7.70M,25.40M,0.90M,26.30M,26.30M,,5.60M,1.10M,,,,1.90M,,106.40M,,-37.60M,,,,-85.10M,,2.10M,-120.60M,,62.10M,,62.10M,,0.00,0.00,-11.80M,-11.80M,1.00M,-0.30M,51.00M,,396.00M,36.80M,6.30M,439.10M,,,170.50M,-108.40M,0.00,,AOR,
2019-09,56.30M,,2.70M,2.70M,24.40M,0.90M,25.30M,25.30M,,5.40M,1.90M,,,,16.50M,,108.10M,,-31.70M,,,0.00,0.00,,0.10M,-31.60M,,0.00,,0.00,,0.00,0.00,-11.10M,-11.10M,10.70M,0.00,-0.40M,,326.70M,76.10M,-6.80M,396.00M,,,0.00,0.00,0.00,,AOR,Restated
2019-06,66.10M,,0.00,0.00,25.30M,1.00M,26.30M,26.30M,,7.20M,-0.50M,,,,6.00M,,105.10M,,-28.30M,,,0.00,-18.90M,,0.10M,-47.10M,,0.00,,0.00,,0.00,0.00,-11.10M,-11.10M,14.30M,-0.10M,3.10M,,265.50M,61.10M,0.10M,326.70M,,,0.00,0.00,0.00,,AOR,Restated
2019-03,55.40M,,0.00,0.00,24.90M,0.60M,25.50M,25.50M,,6.20M,-0.70M,,,,-38.80M,,47.60M,,-28.80M,,,,,,0.10M,-28.70M,,0.00,,0.00,,-83.10M,-83.10M,-11.10M,-11.10M,4.50M,-0.80M,-90.50M,,337.40M,-71.60M,-0.30M,265.50M,,,28.00M,-28.00M,-83.10M,,AOR,Restated
2018-12,52.00M,,-7.90M,-12.00M,25.60M,0.70M,26.30M,26.30M,,0.40M,5.30M,,,28.30M,0.30M,,73.20M,,-30.00M,,,,0.00,,1.40M,-28.60M,,-0.10M,,-0.10M,,0.00,0.00,-11.10M,-11.10M,3.00M,,-8.20M,,297.30M,36.40M,3.70M,337.40M,,,0.00,-0.10M,0.00,,AOR,Restated
2018-09,55.20M,,0.00,0.00,25.50M,0.70M,26.20M,26.20M,,5.30M,-0.20M,,,30.50M,1.90M,,88.40M,,-26.50M,,,,0.00,,0.00,-26.50M,,0.00,,0.00,,0.00,0.00,-10.30M,-10.30M,20.40M,,10.10M,,225.50M,72.00M,-0.20M,297.30M,,,0.00,0.00,0.00,,AOR,Restated
2018-06,56.10M,,,,24.90M,0.60M,25.50M,25.50M,,6.00M,-0.70M,,,-4.90M,-4.90M,,82.00M,,-20.20M,,,,0.00,,3.20M,-17.00M,,0.00,,0.00,,-22.90M,-22.90M,-10.30M,-10.30M,7.50M,,-25.70M,,199.80M,39.30M,-13.60M,225.50M,,,0.00,0.00,-22.90M,,AOR,Restated
2018-03,43.60M,,,,25.70M,0.70M,26.40M,26.40M,,3.40M,-2.80M,,,-25.60M,-25.60M,,45.00M,,-28.00M,,,,,,-0.70M,-28.70M,,0.00,,0.00,,-47.90M,-47.90M,-10.40M,-10.40M,1.40M,,-56.90M,,235.90M,-40.60M,4.50M,199.80M,,,0.00,0.00,-47.90M,,AOR,Restated
2017-12,0.00,0.00,,-12.30M,24.40M,0.50M,24.90M,24.90M,,2.50M,3.90M,,,51.20M,20.80M,,81.50M,,-29.50M,,,,0.00,,0.10M,-29.40M,,-33.10M,,-33.10M,,-43.70M,-43.70M,-10.40M,-10.40M,0.90M,-0.20M,-86.50M,,269.30M,-34.40M,1.00M,235.90M,,,,-33.10M,-43.70M,,AOR,Restated
2017-09,51.00M,0.00,,0.00,24.50M,0.50M,25.00M,25.00M,,4.60M,0.40M,,,-5.20M,-5.20M,,75.80M,,-34.30M,,,,0.00,,0.30M,-34.00M,,-0.60M,,-0.60M,,0.00,0.00,-9.60M,-9.60M,7.50M,-0.30M,-3.00M,,226.60M,38.80M,3.90M,269.30M,,,,-0.60M,0.00,,AOR,Restated
2017-06,38.80M,11.10M,,11.10M,22.80M,0.70M,23.50M,23.50M,,5.50M,-0.40M,,,6.80M,6.80M,,85.30M,,-29.50M,,,,-6.00M,,0.00,-35.50M,,-0.60M,,-0.60M,,0.00,0.00,-9.60M,-9.60M,12.60M,-0.10M,2.30M,,169.40M,52.10M,5.10M,226.60M,,,,-0.60M,0.00,,AOR,Restated
2017-03,60.90M,,,,22.60M,0.70M,23.30M,23.30M,,3.50M,-3.20M,,,-63.80M,-63.80M,,20.70M,,-37.50M,,,,,,2.80M,-34.70M,,-0.60M,,-0.60M,,-30.70M,-30.70M,-9.50M,-9.50M,19.10M,-0.10M,-21.80M,,203.00M,-35.80M,2.20M,169.40M,,,,-0.60M,-30.70M,,AOR,Restated
