,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,15.44M,,15.44M,212.19M,329.13M,305.88M,,230.38M,957.40M,108.68M,1.454B,19.59B,-6.232B,13.36B,,262.52M,1.079B,,,,138.59M,58.18M,16.19B,17.15B,,2018-03,205.17M,0.00,194.93M,400.10M,6.397M,951.90M,951.90M,,951.90M,75.76M,75.76M,388.90M,1.874B,909.14M,4.291B,,4.291B,1.895B,109.63M,2.005B,284.01M,47.63M,133.91M,168.86M,10.12B,11.99B,2.620B,2.454B,,2.431M,,-52.34M,5.020B,,2018-03,AOR,Restated
2017-12,13.89M,,13.89M,305.15M,415.07M,289.27M,,220.49M,1.016B,351.05M,1.291B,19.70B,-6.514B,13.19B,,257.19M,903.54M,,,,130.67M,52.04M,16.00B,17.02B,,2017-12,256.44M,77.67M,148.95M,483.06M,4.745M,177.40M,177.40M,,177.40M,70.39M,70.39M,405.87M,1.198B,906.38M,4.790B,,4.790B,1.896B,114.00M,2.010B,327.30M,37.17M,129.04M,162.02M,10.69B,11.88B,2.615B,2.443B,,5.624M,,-45.00M,5.007B,,2017-12,AOR,Restated
2017-09,10.67M,,10.67M,425.56M,574.48M,284.47M,,230.26M,1.174B,110.61M,1.380B,18.94B,-6.037B,12.90B,,256.20M,841.98M,,,1.692M,141.65M,88.82M,15.80B,16.98B,,2017-09,236.75M,0.00,228.79M,465.54M,1.559M,338.40M,338.40M,,338.40M,69.69M,69.69M,378.74M,1.303B,907.93M,4.491B,,4.491B,3.388B,101.21M,3.489B,409.87M,35.78M,135.54M,171.30M,10.40B,11.70B,2.609B,2.576B,,0.833M,,-42.12M,5.142B,,2017-09,AOR,Restated
2017-06,4.953M,,4.953M,293.27M,508.89M,288.02M,,217.91M,1.068B,111.58M,1.195B,18.65B,-5.952B,12.70B,,265.93M,822.24M,,,0.055M,141.10M,71.12M,15.60B,16.67B,,2017-06,270.26M,73.11M,150.71M,494.08M,8.96M,689.00M,689.00M,,689.00M,72.58M,72.58M,320.92M,1.639B,868.47M,4.193B,,4.193B,3.255B,98.80M,3.354B,460.37M,46.59M,130.66M,179.24M,10.04B,11.68B,2.604B,2.300B,,1.553M,,-43.63M,4.859B,,2017-06,AOR,Restated
2017-03,3.028M,,3.028M,191.18M,299.99M,283.25M,,186.88M,795.00M,112.55M,1.006B,18.69B,-6.060B,12.63B,,251.21M,805.05M,,,0.00,144.03M,70.02M,15.40B,16.19B,,2017-03,250.20M,0.00,182.81M,433.01M,8.627M,332.30M,332.30M,,332.30M,76.15M,76.15M,295.16M,1.194B,847.91M,4.274B,,4.274B,3.165B,92.11M,3.257B,469.75M,63.21M,137.16M,172.65M,10.03B,11.23B,2.595B,2.279B,,2.27M,,-42.86M,4.829B,,2017-03,AOR,Restated
2016-12,8.881M,,8.881M,250.49M,359.15M,282.59M,,139.44M,822.22M,351.05M,1.020B,18.98B,-6.355B,12.62B,,90.02M,779.59M,,,0.001M,139.47M,69.06M,15.18B,16.00B,,2016-12,264.63M,72.93M,138.96M,476.52M,9.135M,302.20M,302.20M,,302.20M,82.52M,82.52M,369.74M,1.293B,837.25M,4.022B,,4.022B,3.155B,88.67M,3.244B,509.31M,47.24M,132.29M,166.83M,9.775B,11.07B,2.596B,2.256B,,4.133M,,-43.82M,4.804B,,2016-12,AOR,Restated
2016-09,48.27M,,48.27M,325.03M,471.95M,285.53M,,157.37M,977.49M,114.48M,1.119B,18.24B,-5.896B,12.35B,,96.79M,779.75M,,,0.00,130.75M,68.98M,14.83B,15.81B,,2016-09,248.13M,,219.43M,467.56M,11.85M,134.17M,134.17M,,134.17M,78.26M,78.26M,371.74M,1.110B,678.90M,4.145B,,4.145B,3.122B,98.78M,3.221B,401.68M,58.34M,138.79M,200.16M,9.704B,10.81B,2.553B,2.343B,,0.13M,,-42.15M,4.853B,,2016-09,AOR,Restated
2016-06,43.04M,,43.04M,278.90M,473.72M,278.38M,,151.58M,963.39M,115.45M,966.15M,17.87B,-5.734B,12.13B,,108.75M,767.42M,,,5.464M,129.91M,54.40M,14.58B,15.54B,,2016-06,316.59M,69.48M,145.17M,531.24M,15.51M,357.72M,357.72M,,357.72M,79.14M,81.58M,434.57M,1.479B,649.95M,3.898B,,3.898B,2.980B,101.57M,3.081B,440.92M,52.21M,133.92M,207.80M,9.341B,10.82B,2.549B,2.080B,,0.13M,,-43.72M,4.585B,,2016-06,AOR,Restated
2016-03,14.48M,,14.48M,215.81M,307.81M,278.41M,,209.23M,826.02M,116.42M,1.038B,17.58B,-5.671B,11.91B,,116.01M,751.95M,,,8.612M,127.96M,52.68M,14.36B,15.19B,,2016-03,234.95M,0.00,181.89M,416.84M,17.22M,619.38M,619.38M,,619.38M,78.82M,91.91M,396.07M,1.586B,631.70M,3.463B,,3.463B,2.913B,110.06M,3.023B,441.60M,85.60M,140.41M,204.19M,8.859B,10.44B,2.547B,2.097B,,0.542M,,-43.77M,4.600B,,2016-03,AOR,Restated
2015-12,39.49M,,39.49M,274.69M,368.40M,279.93M,,186.80M,890.52M,351.05M,816.31M,17.66B,-5.974B,11.68B,,123.98M,735.20M,,,12.11M,128.84M,52.52M,14.14B,15.03B,,2015-12,297.48M,69.36M,138.60M,505.44M,28.57M,357.58M,357.58M,,357.58M,73.07M,82.76M,411.66M,1.442B,616.99M,3.462B,,3.462B,2.911B,115.61M,3.026B,481.00M,89.97M,135.54M,195.87M,8.866B,10.31B,2.542B,2.093B,,5.806M,,-44.75M,4.584B,,2015-12,AOR,Restated
