,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2012-09,79.48M,,79.48M,361.01M,497.44M,250.26M,95.49M,108.28M,1.099B,269.84M,587.83M,14.97B,-4.902B,10.07B,,152.66M,667.84M,,,,218.30M,,12.36B,13.46B,,2012-09,231.15M,,190.19M,421.34M,,90.36M,90.36M,,90.36M,76.85M,76.85M,309.91M,949.35M,413.12M,3.339B,,3.339B,2.115B,105.94M,2.221B,1.206B,81.24M,129.34M,317.87M,8.325B,9.275B,2.456B,1.721B,,1.44M,,-119.48M,4.056B,,2012-09,AOR,Restated
2012-06,11.23M,0.00,11.23M,313.42M,482.76M,247.40M,87.69M,88.35M,947.42M,290.42M,458.44M,14.80B,-4.844B,9.954B,163.73M,163.73M,609.73M,,69.51M,43.53M,143.22M,,12.27B,13.21B,,2012-06,316.33M,57.48M,133.77M,507.57M,,166.96M,166.96M,,166.96M,74.58M,74.90M,293.44M,1.104B,408.02M,3.371B,,3.371B,1.947B,111.66M,2.058B,1.243B,108.55M,121.30M,209.64M,8.211B,9.315B,0.00,1.476B,2.453B,1.359M,,-150.32M,3.778B,,2012-06,AOR,Restated
2012-03,20.71M,0.00,20.71M,238.39M,349.12M,240.14M,141.22M,113.68M,904.80M,273.78M,462.42M,14.66B,-4.776B,9.889B,170.20M,170.20M,541.99M,,69.07M,53.12M,146.79M,64.42M,12.28B,13.18B,,2012-03,265.98M,,160.14M,426.11M,,318.31M,318.31M,,318.31M,74.30M,74.30M,294.45M,1.158B,284.84M,3.276B,65.55M,3.341B,1.919B,113.51M,2.252B,1.277B,64.17M,116.51M,190.74M,8.165B,9.322B,0.00,1.469B,2.450B,6.471M,,-167.78M,3.745B,,2012-03,AOR,Restated
2011-12,33.58M,,33.58M,284.18M,412.14M,226.39M,130.57M,95.98M,956.47M,351.05M,496.74M,14.83B,-5.042B,9.792B,,170.57M,513.73M,,68.63M,49.32M,143.94M,64.59M,12.15B,13.11B,,2011-12,326.99M,0.00,120.29M,447.28M,,477.44M,477.44M,,477.44M,72.18M,72.18M,290.95M,1.343B,397.54M,3.019B,,3.019B,1.925B,116.80M,2.042B,1.269B,82.50M,108.74M,290.20M,7.838B,9.180B,2.444B,1.534B,,4.717M,,-152.16M,3.822B,,2011-12,AOR,Restated
2011-09,564.71M,0.00,564.71M,365.87M,545.91M,228.52M,107.73M,85.04M,1.591B,268.06M,618.73M,14.31B,-4.685B,9.625B,176.40M,176.40M,488.55M,,68.20M,32.32M,126.52M,63.73M,11.56B,13.15B,,2011-09,281.65M,,191.51M,473.15M,,876.36M,876.36M,,876.36M,71.77M,71.77M,305.80M,1.783B,258.33M,2.963B,83.13M,3.047B,1.955B,112.73M,2.239B,877.48M,58.74M,108.91M,194.72M,7.364B,9.147B,0.00,1.579B,2.442B,5.232M,,-121.54M,3.894B,,2011-09,AOR,Restated
2011-06,92.27M,0.00,92.27M,294.53M,454.42M,221.22M,113.24M,86.26M,1.037B,277.50M,524.87M,14.15B,-4.675B,9.478B,177.84M,177.84M,497.67M,,67.97M,43.17M,125.07M,63.73M,11.44B,12.47B,,2011-06,271.76M,57.27M,131.73M,460.76M,,910.82M,910.82M,,910.82M,70.20M,124.56M,280.04M,1.831B,255.33M,2.679B,83.13M,2.762B,1.825B,120.62M,1.946B,869.28M,57.07M,101.90M,343.07M,6.927B,8.758B,0.00,1.324B,2.438B,5.768M,,-142.68M,3.614B,,2011-06,AOR,Restated
2011-03,114.19M,0.00,114.19M,309.85M,395.82M,181.57M,124.24M,87.61M,958.02M,707.00M,,13.98B,-4.580B,9.397B,182.86M,182.86M,486.74M,,67.74M,38.52M,127.31M,64.43M,11.34B,12.30B,,2011-03,215.97M,,155.17M,371.14M,,849.58M,849.58M,,849.58M,68.82M,145.97M,252.58M,1.674B,244.48M,2.749B,96.80M,2.845B,1.775B,118.78M,2.039B,824.50M,56.52M,97.36M,200.07M,6.900B,8.574B,0.00,1.352B,2.435B,5.768M,,-149.32M,3.631B,,2011-03,AOR,Restated
2010-12,110.19M,0.00,110.19M,324.21M,422.00M,202.99M,124.90M,90.65M,1.025B,545.11M,459.36M,14.21B,-4.813B,9.394B,184.95M,184.95M,469.89M,,65.10M,39.03M,113.06M,116.22M,11.37B,12.39B,,2010-12,236.35M,,104.71M,341.06M,,648.48M,648.48M,,648.48M,68.32M,126.76M,278.56M,1.450B,328.57M,2.949B,96.80M,3.046B,1.864B,121.64M,2.118B,813.12M,65.39M,91.90M,183.59M,7.168B,8.618B,0.00,1.424B,2.421B,2.239M,,-159.77M,3.683B,,2010-12,AOR,Restated
2010-09,195.92M,,195.92M,387.44M,582.38M,196.25M,134.01M,134.77M,1.243B,13.43B,555.14M,13.99B,-4.460B,9.526B,,,621.73M,65.10M,,,,979.58M,11.19B,12.44B,,2010-09,253.56M,,157.70M,411.26M,,,238.51M,,238.51M,,,265.65M,967.81M,,3.463B,,3.463B,1.869B,,1.910B,737.64M,,111.30M,1.528B,7.639B,8.607B,0.00,1.474B,2.419B,2.157M,,-173.26M,3.717B,,2010-09,AOR,Restated
2010-06,50.50M,,50.50M,283.99M,440.05M,201.69M,187.22M,207.33M,1.087B,13.38B,496.46M,13.88B,-4.400B,9.475B,,,468.46M,65.10M,,,,1.063B,11.07B,12.16B,,2010-06,261.20M,56.94M,153.55M,471.69M,,,463.37M,,463.37M,,,237.86M,1.227B,,3.327B,,3.327B,1.697B,,1.794B,728.93M,,113.46M,1.489B,7.338B,8.565B,0.00,1.240B,2.412B,2.734M,,-169.18M,3.480B,,2010-06,AOR,Restated
2010-03,3.528M,,3.528M,215.06M,315.14M,209.02M,77.92M,115.00M,720.61M,13.31B,528.94M,13.84B,-4.349B,9.486B,,,578.34M,65.10M,,,,1.085B,11.21B,11.93B,,2010-03,219.89M,,127.51M,347.40M,,,779.24M,,779.24M,,,213.75M,1.394B,,3.306B,,3.306B,1.583B,,1.688B,723.96M,,116.07M,1.493B,7.211B,8.605B,0.00,1.239B,2.156B,2.734M,,-178.25M,3.214B,,2010-03,AOR,Restated
2009-12,145.38M,,145.38M,301.92M,432.74M,215.26M,53.99M,81.37M,928.74M,13.03B,467.70M,13.50B,-4.610B,8.889B,164.38M,164.38M,673.51M,65.10M,,,,1.265B,11.06B,11.99B,,2009-12,240.64M,,104.01M,344.65M,,,457.19M,,457.19M,,,252.51M,1.109B,,3.371B,,3.371B,1.496B,,1.583B,811.34M,,111.90M,1.684B,7.449B,8.558B,0.00,1.298B,2.153B,3.812M,,-131.59M,3.316B,,2009-12,AOR,Restated
2009-09,100.82M,32.22M,133.04M,383.69M,704.00M,227.67M,58.64M,27.48M,1.151B,12.76B,540.99M,13.30B,-4.297B,9.007B,154.45M,154.45M,678.79M,,,,113.02M,726.88M,10.68B,11.83B,,2009-09,208.13M,,156.67M,364.80M,,,290.93M,,290.93M,,,249.32M,954.44M,,3.520B,,3.520B,1.542B,,1.603B,726.76M,,28.50M,1.602B,7.452B,8.406B,0.00,1.382B,2.149B,3.811M,,-130.54M,3.397B,,2009-09,AOR,Restated
2009-06,17.60M,207.63M,225.22M,261.63M,568.52M,237.54M,101.36M,52.18M,1.185B,12.70B,481.76M,13.18B,-4.234B,8.944B,,140.41M,587.41M,,,,116.42M,890.15M,10.68B,11.86B,,2009-06,202.01M,,105.40M,307.41M,,,721.63M,,721.63M,,,212.25M,1.296B,,3.529B,,3.529B,1.475B,,1.547B,713.44M,,29.17M,1.542B,7.331B,8.627B,0.00,1.248B,2.147B,4.40M,,-183.90M,3.207B,,2009-06,AOR,Restated
2009-03,32.80M,63.97M,96.77M,217.24M,299.30M,229.98M,119.69M,55.82M,801.56M,12.43B,622.19M,13.05B,-4.205B,8.846B,,143.14M,679.84M,,,,121.86M,825.07M,10.62B,11.42B,,2009-03,170.06M,,27.95M,198.01M,,,573.94M,,573.94M,,,215.33M,1.033B,,3.529B,,3.529B,1.394B,,1.443B,688.80M,,34.37M,1.527B,7.188B,8.220B,0.00,1.235B,2.147B,4.405M,,-214.63M,3.163B,,2009-03,AOR,Restated
2008-12,105.24M,,105.24M,292.68M,389.39M,253.69M,79.73M,54.43M,882.48M,12.41B,572.35M,12.98B,-4.197B,8.785B,131.72M,131.72M,909.96M,0.00,,,115.50M,795.49M,10.74B,11.62B,,2008-12,261.03M,,109.80M,370.83M,,,848.12M,,848.12M,,,246.24M,1.506B,,3.032B,,3.032B,1.403B,,1.403B,675.79M,,47.39M,,5.111B,8.127B,0.00,1.444B,2.151B,2.854M,,-146.70M,3.446B,,2008-12,AOR,Restated
2008-09,104.53M,,104.53M,548.67M,548.67M,191.08M,,155.43M,999.70M,12.19B,572.58M,12.76B,-4.110B,8.651B,,134.19M,,,,,106.47M,1.562B,10.45B,11.45B,,2008-09,307.41M,,,307.41M,,,597.36M,,597.36M,,,,1.361B,,3.047B,,3.047B,1.429B,,1.429B,,,,,4.477B,7.840B,0.00,1.536B,2.142B,2.854M,,-62.62M,3.613B,,2008-09,,Restated
2008-06,96.55M,,96.55M,501.15M,501.15M,181.54M,,256.73M,1.036B,12.13B,498.61M,12.63B,-4.057B,8.571B,,102.36M,,,,,114.24M,1.755B,10.54B,11.58B,,2008-06,309.30M,,,309.30M,,,389.30M,,389.30M,,,,1.184B,,3.086B,,3.086B,1.381B,,1.381B,,,,,4.467B,7.830B,0.00,1.437B,2.139B,3.398M,,175.08M,3.748B,,2008-06,,Restated
2008-03,17.53M,,17.53M,388.56M,388.56M,188.97M,,310.46M,905.53M,11.86B,597.13M,12.46B,-4.016B,8.440B,,103.07M,,,,,120.93M,1.628B,10.29B,11.20B,,2008-03,218.60M,,,218.60M,,,535.52M,,535.52M,,,,1.342B,,3.115B,,3.115B,1.179B,,1.179B,,,,,4.293B,7.653B,0.00,1.356B,2.135B,3.398M,,56.44M,3.544B,,2008-03,,Restated
2007-12,56.32M,,56.32M,451.22M,451.22M,177.55M,,221.83M,906.93M,11.71B,625.58M,12.34B,-4.005B,8.331B,,105.75M,,,,,114.79M,1.704B,10.26B,11.16B,,2007-12,323.35M,,,323.35M,,,504.43M,,504.43M,,,,1.344B,,3.127B,,3.127B,1.244B,,1.244B,,,,,4.371B,7.631B,0.00,1.414B,2.136B,2.054M,,-15.86M,3.532B,,2007-12,,
2007-09,43.91M,,43.91M,630.78M,630.78M,177.56M,,216.71M,1.069B,11.53B,543.96M,12.07B,-3.951B,8.121B,,100.97M,,,,,117.62M,1.988B,10.33B,11.40B,,2007-09,305.42M,,,305.42M,,,340.84M,,340.84M,,,,1.306B,,3.229B,,3.229B,1.274B,,1.274B,,,,,4.503B,7.827B,0.00,1.464B,2.130B,2.062M,,-23.19M,3.569B,,2007-09,,
2007-06,23.47M,,23.47M,498.94M,498.94M,171.27M,,299.84M,993.52M,11.46B,447.22M,11.91B,-3.882B,8.029B,,89.23M,,,,,165.82M,1.904B,10.19B,11.18B,,2007-06,338.72M,,,338.72M,,,206.66M,,206.66M,,,,1.270B,,3.233B,,3.233B,1.236B,,1.236B,,,,,4.469B,7.759B,0.00,1.307B,2.126B,2.463M,,-8.053M,3.423B,,2007-06,,
2007-03,121.25M,,121.25M,366.30M,366.30M,162.21M,,321.33M,971.10M,11.33B,420.60M,11.75B,-3.852B,7.896B,,90.25M,,,,,162.40M,1.889B,10.04B,11.01B,,2007-03,226.65M,,,226.65M,,,132.48M,,132.48M,,,,1.091B,,3.187B,,3.187B,1.233B,,1.233B,,,,,4.420B,7.560B,0.00,1.281B,2.121B,0.75M,,47.50M,3.449B,,2007-03,,
2006-12,87.21M,,87.21M,496.03M,496.03M,147.78M,,743.65M,1.475B,11.22B,368.28M,11.58B,-3.797B,7.786B,,96.10M,,,,,104.69M,1.995B,9.981B,11.46B,,2006-12,346.05M,,,346.05M,,,37.35M,,37.35M,,,,1.459B,,3.233B,,3.233B,1.226B,,1.226B,,,,,4.458B,8.010B,0.00,1.320B,2.115B,0.449M,,12.27M,3.446B,,2006-12,,
2006-09,128.22M,,128.22M,570.57M,570.57M,138.55M,,924.48M,1.762B,11.14B,349.60M,11.49B,-3.779B,7.713B,,93.87M,,,,,125.13M,1.563B,9.495B,11.26B,,2006-09,315.03M,,,315.03M,,,142.84M,,142.84M,,,,1.681B,,3.237B,,3.237B,1.174B,,1.174B,,,,,4.411B,7.862B,0.00,1.354B,2.095B,0.406M,,-53.08M,3.395B,,2006-09,,
2006-06,15.61M,,15.61M,505.22M,505.22M,138.10M,,574.73M,1.234B,11.03B,337.95M,11.37B,-3.726B,7.644B,,101.29M,,,,,120.03M,1.551B,9.416B,10.65B,,2006-06,293.39M,,,293.39M,,,259.62M,,259.62M,,,,1.560B,,2.816B,,2.816B,1.200B,,1.200B,,,,,4.016B,7.365B,0.00,1.219B,2.080B,0.895M,,-13.04M,3.285B,,2006-06,,
2006-03,314.86M,,314.86M,375.13M,375.13M,134.50M,,585.28M,1.410B,10.90B,307.95M,11.21B,-3.672B,7.536B,,109.44M,,,,,127.67M,1.573B,9.346B,10.76B,,2006-03,259.15M,49.59M,,308.74M,,,394.66M,,394.66M,,,,1.797B,,2.782B,,2.782B,1.202B,,1.202B,,,,,3.984B,7.545B,2.075B,1.107B,,0.895M,,29.50M,3.211B,,2006-03,,
2005-12,154.00M,,154.00M,497.70M,497.70M,133.39M,,1.106B,1.891B,10.78B,327.17M,11.11B,-3.623B,7.486B,,90.92M,,,,,135.88M,1.718B,9.431B,11.32B,,2005-12,377.11M,,,377.11M,,,400.62M,,400.62M,,,,2.272B,,2.608B,,2.608B,1.225B,,1.225B,,,,,3.834B,7.898B,0.00,1.194B,2.067B,1.245M,,165.12M,3.425B,,2005-12,,
2005-09,871.25M,,871.25M,579.95M,579.95M,131.88M,,1.310B,2.893B,10.65B,339.49M,10.99B,-3.616B,7.375B,,108.86M,,,,,104.39M,1.587B,9.175B,12.07B,,2005-09,381.33M,,,381.33M,,,859.38M,,859.38M,,,,2.883B,,2.569B,,2.569B,1.358B,,1.358B,,,,,3.928B,8.528B,2.058B,1.222B,,0.938M,,261.71M,3.541B,,2005-09,,
2005-06,300.40M,,300.40M,335.32M,335.32M,132.23M,,1.084B,1.852B,10.67B,299.33M,10.97B,-3.582B,7.386B,,112.15M,,,,,105.34M,1.278B,8.881B,10.73B,,2005-06,264.25M,,,264.25M,,,745.60M,,745.60M,,,,1.922B,,2.772B,,2.772B,1.238B,,1.238B,,,,,4.011B,7.481B,2.039B,1.165B,,1.34M,,50.22M,3.252B,,2005-06,,
2005-03,172.12M,,172.12M,260.91M,260.91M,131.81M,,570.91M,1.136B,10.60B,269.01M,10.87B,-3.438B,7.434B,,127.54M,,,,,109.38M,1.211B,8.881B,10.02B,,2005-03,194.54M,43.75M,,238.29M,,,581.06M,,581.06M,,,,1.587B,,2.576B,,2.576B,1.283B,,1.283B,,,,,3.860B,7.024B,1.781B,1.141B,,0.035M,,70.87M,2.993B,,2005-03,,
2004-12,163.37M,,163.37M,456.19M,456.19M,121.84M,,395.72M,1.137B,10.54B,258.12M,10.80B,-3.366B,7.430B,,105.49M,,,,,107.43M,1.117B,8.760B,9.897B,,2004-12,373.53M,,,373.53M,,,688.20M,,688.20M,,,,1.626B,,2.585B,,2.585B,1.228B,,1.228B,,,,,3.813B,6.947B,1.769B,1.204B,,0.428M,,-22.54M,2.950B,,2004-12,,
2004-09,373.06M,,373.06M,423.89M,423.89M,121.84M,,339.98M,1.259B,10.57B,193.34M,10.76B,-3.304B,7.460B,,,,,,,109.76M,1.139B,8.709B,9.968B,,2004-09,315.32M,,,315.32M,,,661.20M,,661.20M,,,,1.487B,,2.632B,,2.632B,1.402B,,1.402B,,,,,4.034B,6.991B,1.754B,1.214B,,0.49M,,9.538M,2.977B,,2004-09,,
2004-06,271.82M,,271.82M,330.17M,330.17M,121.71M,,338.52M,1.062B,10.52B,179.78M,10.70B,-3.252B,7.452B,,,,,,,110.58M,1.117B,8.680B,9.742B,,2004-06,278.01M,,,278.01M,,,396.01M,,396.01M,,,,1.087B,,2.934B,,2.934B,1.388B,,1.388B,,,,,4.322B,6.847B,1.749B,1.147B,,2.625M,,1.571M,2.895B,,2004-06,,
2004-03,19.19M,,19.19M,288.81M,288.81M,120.80M,,309.56M,738.36M,10.15B,540.36M,10.69B,-3.195B,7.497B,,,,,,,115.66M,1.024B,8.637B,9.375B,,2004-03,237.52M,,,237.52M,,,726.64M,,726.64M,,,,1.326B,,2.463B,,2.463B,1.357B,,1.357B,,,,,3.820B,6.525B,1.746B,1.117B,,2.356M,,-10.21M,2.850B,,2004-03,,
2003-12,131.06M,,131.06M,345.44M,345.44M,124.47M,,373.82M,974.79M,9.957B,554.88M,10.51B,-3.146B,7.366B,,108.53M,,,,,110.71M,958.85M,8.544B,9.519B,,2003-12,283.02M,,,283.02M,,,791.00M,,791.00M,,,,1.433B,,2.617B,,2.617B,1.339B,,1.339B,,,,,3.955B,6.689B,1.744B,1.128B,,3.273M,,-39.00M,2.830B,,2003-12,,
2003-09,201.75M,,201.75M,421.43M,528.29M,122.97M,,187.33M,1.040B,9.855B,581.03M,10.44B,-3.465B,6.971B,,,,,,,118.81M,982.25M,8.073B,9.113B,,2003-09,322.42M,,,322.42M,,,538.99M,,538.99M,,,,1.335B,,2.841B,,2.841B,1.197B,,1.197B,,,,,4.038B,6.309B,1.743B,1.120B,,3.753M,,-55.58M,2.803B,,2003-09,,
2003-06,94.18M,,94.18M,349.59M,456.07M,124.30M,,324.10M,998.65M,9.480B,835.55M,10.32B,-3.401B,6.914B,,,,,,,113.21M,1.044B,8.071B,9.070B,,2003-06,309.71M,,,309.71M,,,301.42M,,301.42M,,,,1.066B,,3.133B,,3.133B,1.217B,,1.217B,,,,,4.350B,6.333B,1.740B,1.048B,,4.064M,,-47.49M,2.737B,,2003-06,,
2003-03,67.29M,,67.29M,340.16M,397.46M,124.03M,,287.10M,875.87M,9.314B,860.19M,10.17B,-3.345B,6.830B,,,,,,,115.12M,934.42M,7.879B,8.755B,,2003-03,300.85M,,,300.85M,,,693.46M,,693.46M,,,,1.362B,,2.644B,,2.644B,1.210B,,1.210B,,,,,3.854B,6.069B,1.739B,1.031B,,4.236M,,-79.80M,2.686B,,2003-03,,
2002-12,77.57M,,77.57M,362.59M,362.59M,119.84M,,300.38M,860.37M,9.279B,777.54M,10.06B,-2.977B,7.080B,,,,,,,110.45M,1.089B,8.279B,9.139B,,2002-12,332.44M,,,332.44M,,,508.57M,,508.57M,,,,1.233B,,2.744B,,2.744B,1.209B,,1.209B,,,,,3.953B,6.453B,1.737B,1.045B,,4.358M,,-91.28M,2.686B,,2002-12,,
2002-09,28.10M,,28.10M,458.70M,562.48M,111.50M,,144.65M,846.72M,9.120B,754.24M,9.875B,-3.447B,6.427B,,,,,,,83.90M,1.150B,7.661B,8.508B,,2002-09,271.30M,,,271.30M,,,578.11M,,578.11M,,,,1.209B,,2.879B,,2.879B,1.222B,,1.222B,,,,,4.101B,5.846B,1.534B,1.161B,,,,-32.65M,2.663B,,2002-09,,
2002-06,13.86M,,13.86M,347.08M,457.77M,113.40M,,138.76M,723.80M,8.388B,1.226B,9.613B,-3.388B,6.225B,,,,,,,77.17M,1.217B,7.519B,8.243B,,2002-06,164.29M,,,164.29M,,,375.61M,,375.61M,,,,916.57M,,3.124B,,3.124B,1.052B,,1.052B,,,,,4.176B,5.653B,1.533B,1.094B,,,,-36.46M,2.590B,,2002-06,,
2002-03,20.44M,,20.44M,313.43M,377.13M,107.76M,,263.33M,768.67M,8.248B,1.148B,9.395B,-3.340B,6.055B,,,,,,,71.01M,1.274B,7.400B,8.168B,,2002-03,151.58M,,,151.58M,,,159.18M,,159.18M,,,,650.39M,,3.265B,,3.265B,1.073B,,1.073B,,,,,4.337B,5.619B,1.533B,1.053B,,,,-36.75M,2.549B,,2002-03,,
2001-12,28.62M,,28.62M,367.24M,443.37M,108.24M,,147.18M,727.40M,8.253B,1.032B,9.285B,-3.378B,5.907B,,,,,,,64.60M,1.282B,7.254B,7.982B,,2001-12,269.12M,,,269.12M,,,531.90M,,531.90M,,,,1.091B,,2.673B,,2.673B,1.065B,,1.065B,,,,,3.738B,5.482B,1.531B,1.033B,,,,-64.56M,2.499B,,2001-12,,
2001-09,25.34M,,25.34M,625.79M,625.79M,106.14M,,421.00M,1.178B,8.184B,777.04M,8.961B,-3.340B,5.621B,,,,,,,75.09M,1.489B,7.185B,8.363B,,2001-09,412.23M,,,412.23M,,,599.67M,,599.67M,,,,1.657B,,2.350B,,2.350B,1.031B,,1.031B,,,,,3.381B,5.872B,1.527B,1.031B,,,,-66.61M,2.491B,,2001-09,,
2001-06,13.09M,,13.09M,310.68M,416.01M,105.46M,,291.24M,825.80M,8.142B,626.56M,8.768B,-3.326B,5.442B,,,,,,,79.11M,1.200B,6.722B,7.547B,,2001-06,196.19M,,,196.19M,,,702.22M,,702.22M,,,,1.336B,,2.105B,,2.105B,1.083B,,1.083B,,,,,3.188B,5.158B,1.528B,912.62M,,,,-51.91M,2.389B,,2001-06,,
2001-03,249.39M,,249.39M,429.11M,490.71M,95.50M,,237.31M,1.073B,7.989B,562.07M,8.551B,-3.291B,5.260B,,,,,,,75.32M,1.188B,6.523B,7.596B,,2001-03,326.39M,,,326.39M,,,178.62M,,178.62M,,,,1.364B,,2.125B,,2.125B,1.159B,,1.159B,,,,,3.285B,5.150B,1.531B,877.55M,,,,37.42M,2.446B,,2001-03,,
2000-12,10.36M,,10.36M,513.82M,588.39M,91.37M,,103.79M,793.91M,7.857B,464.54M,8.321B,-3.188B,5.133B,,,,,,,62.61M,1.173B,6.369B,7.163B,,2000-12,375.80M,,,375.80M,,,546.24M,,546.24M,,,,1.191B,,1.955B,,1.955B,1.143B,,1.143B,,,,,3.098B,4.780B,1.533B,849.88M,,,,,2.383B,,2000-12,,
2000-09,87.68M,,87.68M,669.86M,781.17M,88.06M,,81.61M,1.039B,7.779B,362.47M,8.141B,-3.194B,4.947B,,,,,,,70.95M,1.118B,6.136B,7.175B,,2000-09,498.16M,,,498.16M,,,6.871M,,6.871M,,,,834.60M,,2.355B,,2.355B,1.108B,,1.108B,,,,,3.463B,4.799B,1.536B,839.34M,,,,,2.376B,,2000-09,,
2000-06,70.40M,,70.40M,352.35M,464.62M,91.76M,,88.30M,715.08M,7.724B,251.60M,7.975B,-3.140B,4.835B,,,,,,,102.89M,1.190B,6.129B,6.844B,,2000-06,242.84M,,,242.84M,,,315.76M,,315.76M,,,,816.16M,,2.076B,,2.076B,1.154B,,1.154B,,,,,3.230B,4.553B,1.538B,752.95M,,,,,2.291B,,2000-06,,
2000-03,127.30M,,127.30M,196.42M,259.51M,95.04M,,73.00M,554.86M,7.664B,214.69M,7.878B,-3.083B,4.796B,,,,,,,99.67M,1.220B,6.115B,6.670B,,2000-03,133.39M,,,133.39M,,,344.06M,,344.06M,,,,684.38M,,2.055B,,2.055B,1.186B,,1.186B,,,,,3.241B,4.440B,1.537B,692.71M,,,,,2.230B,,2000-03,,
1999-12,20.70M,,20.70M,244.60M,317.52M,91.85M,,68.72M,498.79M,7.595B,209.28M,7.805B,-3.026B,4.779B,,,,,,,105.72M,1.225B,6.110B,6.609B,,1999-12,186.52M,,,186.52M,,,153.10M,,153.10M,,,,495.49M,,2.206B,,2.206B,1.184B,,1.184B,,,,,3.390B,4.403B,1.537B,668.28M,,,,,2.206B,,1999-12,,
1999-09,24.00M,,24.00M,340.70M,442.00M,87.80M,,63.70M,617.50M,7.530B,214.60M,7.744B,-3.006B,4.739B,,,,,,,114.00M,1.245B,6.098B,6.715B,,1999-09,241.90M,,,241.90M,,,341.30M,,341.30M,,,,851.10M,,1.977B,,1.977B,1.181B,,6.90M,,,,,1.984B,4.523B,1.539B,653.10M,,,,,2.192B,,1999-09,,
1999-06,32.50M,,32.50M,185.70M,283.70M,88.70M,,60.00M,464.90M,7.421B,247.90M,7.669B,-2.942B,4.727B,,,,,,,640.00M,972.00M,6.339B,6.804B,,1999-06,127.80M,27.60M,,155.40M,,,241.80M,,241.80M,,,-0.10M,620.00M,,2.164B,,2.164B,1.339B,,19.70M,,,,,2.184B,4.634B,1.540B,629.40M,,,,,2.170B,,1999-06,,
1999-03,25.70M,,25.70M,198.60M,257.50M,84.20M,,58.70M,426.10M,7.357B,242.10M,7.599B,-2.886B,4.713B,,,,,,,657.30M,975.40M,6.346B,6.772B,,1999-03,104.60M,,,104.60M,,,270.30M,,270.30M,,,0.20M,571.60M,,2.171B,,2.171B,1.360B,,25.30M,,,,,2.196B,4.610B,1.546B,615.90M,,,,,2.162B,,1999-03,,
1998-12,20.50M,,20.50M,233.90M,301.60M,83.10M,,51.60M,456.80M,7.317B,228.60M,7.545B,-2.815B,4.731B,,,,,,,668.80M,968.30M,6.368B,6.824B,,1998-12,155.80M,,,155.80M,,,346.80M,,346.80M,,,0.10M,640.20M,,2.049B,,2.049B,1.371B,,27.30M,,,,,2.076B,4.566B,1.646B,612.70M,,,95.20M,,2.259B,,1998-12,,
1998-09,30.10M,,30.10M,295.70M,381.90M,89.20M,,70.40M,571.60M,7.235B,211.80M,7.447B,-2.759B,4.688B,,,,,,,655.50M,996.70M,6.340B,6.912B,,1998-09,178.70M,,,178.70M,,,273.50M,,273.50M,,,-0.10M,751.70M,,2.054B,,2.054B,1.342B,,30.60M,,,,,2.085B,4.622B,1.685B,604.70M,,,133.20M,,2.29B,,1998-09,,
1998-06,31.60M,,31.60M,171.00M,237.90M,89.20M,,82.10M,440.80M,7.108B,295.00M,7.403B,-2.721B,4.682B,,,,,,,641.80M,1.007B,6.331B,6.772B,,1998-06,106.30M,25.40M,,131.70M,,,371.60M,,371.60M,,,,666.70M,,2.075B,,2.075B,1.387B,,43.00M,,,,,2.118B,4.601B,1.694B,477.40M,,,139.40M,,2.171B,,1998-06,,
