,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,1.992B,1.992B,1.536B,455.81M,125.92M,125.92M,,,11.31M,,-11.31M,-1.988M,123.93M,331.88M,,11.31M,-11.31M,0.887M,-11.31M,321.46M,64.99M,256.47M,,256.47M,256.47M,338.31M,5.547M,332.77M,69.19,,,69.19,69.19,65.11,,,65.11,65.11,3.706M,3.939M
2020-06,1.622B,1.622B,1.285B,337.37M,121.46M,121.46M,,,9.166M,,-9.166M,-2.408M,119.05M,218.32M,,9.166M,-9.166M,0.679M,-9.166M,209.83M,45.76M,164.08M,,164.08M,164.08M,224.63M,5.632M,219.00M,44.56,,,44.56,44.56,42.5,,,42.5,42.5,3.682M,3.861M
2020-03,1.585B,1.585B,1.295B,289.98M,128.38M,128.38M,,,6.214M,,-6.214M,-5.336M,123.04M,166.94M,,6.214M,-6.214M,0.649M,-6.214M,161.38M,-14.33M,175.70M,,175.70M,175.70M,173.21M,5.622M,167.59M,47.97,,,47.97,47.97,44.96,,,44.96,44.96,3.663M,3.908M
2019-12,1.993B,1.993B,1.568B,425.76M,131.49M,131.49M,,,6.301M,,-6.301M,-6.513M,124.98M,300.78M,,6.301M,-6.301M,0.818M,-6.301M,295.30M,39.16M,256.14M,,256.14M,256.14M,307.05M,5.449M,301.60M,69.78,,,69.78,69.78,64.41,,,64.41,64.41,3.671M,3.97M
2019-09,1.915B,1.915B,1.519B,396.04M,130.38M,130.38M,,,6.008M,,-6.008M,-6.696M,123.68M,272.36M,,6.008M,-6.008M,0.819M,-6.008M,267.17M,43.39M,223.79M,,223.79M,223.79M,278.40M,5.223M,273.18M,60.94,,,60.94,60.94,56.11,,,56.11,56.11,3.672M,3.988M
2019-06,1.803B,1.803B,1.426B,377.28M,133.04M,133.04M,,,6.033M,,-6.033M,-5.833M,127.21M,250.06M,,6.033M,-6.033M,0.681M,-6.033M,244.71M,34.50M,210.21M,,210.21M,210.21M,255.83M,5.084M,250.74M,58.2,,,58.2,58.2,53.09,,,53.09,53.09,3.612M,3.959M
2019-03,1.690B,1.690B,1.339B,350.82M,132.49M,132.49M,,,5.993M,,-5.993M,-5.737M,126.76M,224.06M,,5.993M,-5.993M,0.539M,-5.993M,218.61M,30.20M,188.41M,,188.41M,188.41M,229.66M,5.062M,224.60M,52.23,,,52.23,52.23,47.64,,,47.64,47.64,3.607M,3.955M
2018-12,1.998B,1.998B,1.591B,406.78M,128.90M,128.90M,,,6.014M,,-6.014M,-4.858M,124.05M,282.73M,,6.014M,-6.014M,0.722M,-6.014M,277.44M,45.28M,232.16M,,232.16M,232.16M,288.57M,5.115M,283.45M,64.46,,,64.46,64.46,58.57,,,58.57,58.57,3.604M,3.951M
2018-09,1.856B,1.856B,1.473B,382.89M,130.71M,130.71M,,,5.968M,,-5.968M,-2.84M,127.87M,255.02M,,5.968M,-5.968M,0.659M,-5.968M,249.71M,53.89M,195.82M,,195.82M,195.82M,260.71M,5.029M,255.68M,54.21,,,54.21,54.21,48.28,,,48.28,48.28,3.612M,4.056M
2018-06,1.790B,1.790B,1.417B,373.14M,128.31M,128.31M,,,6.047M,,-6.047M,-2.164M,126.15M,246.99M,,6.047M,-6.047M,0.641M,-6.047M,241.59M,38.41M,203.17M,,203.17M,203.17M,252.62M,4.988M,247.63M,55.9,,,55.9,55.9,49.05,,,49.05,49.05,3.635M,4.142M
2018-03,1.532B,1.532B,1.212B,319.29M,124.78M,124.78M,,,6.007M,,-6.007M,-1.977M,122.80M,196.48M,,6.007M,-6.007M,0.524M,-6.007M,191.00M,24.95M,166.05M,,166.05M,166.05M,202.04M,5.036M,197.00M,45.19,,,45.19,45.19,39.34,,,39.34,39.34,3.675M,4.22M
2017-12,1.819B,1.819B,1.439B,380.39M,116.00M,116.00M,,,5.997M,,-5.997M,-2.272M,113.73M,266.66M,,5.997M,-5.997M,0.65M,-5.997M,261.32M,136.70M,124.62M,,124.62M,124.62M,272.90M,5.58M,267.32M,33.39,,,33.39,33.39,28.88,,,28.88,28.88,3.733M,4.363M
2017-09,1.670B,1.670B,1.308B,361.60M,113.62M,113.62M,,,5.821M,,-5.821M,-1.715M,111.90M,249.70M,,5.821M,-5.821M,0.583M,-5.821M,244.46M,82.36M,162.10M,,162.10M,162.10M,255.88M,5.593M,250.28M,43.26,,,43.26,43.26,38.02,,,38.02,38.02,3.747M,4.263M
2017-06,1.546B,1.546B,1.218B,327.69M,115.03M,115.03M,,,5.641M,,-5.641M,-1.447M,113.59M,214.10M,,5.641M,-5.641M,0.506M,-5.641M,208.97M,61.09M,147.88M,,147.88M,147.88M,220.40M,5.795M,214.61M,39.46,,,39.46,39.46,35.19,,,35.19,35.19,3.748M,4.202M
2017-03,1.279B,1.279B,1.026B,252.48M,116.15M,116.15M,,,5.578M,,-5.578M,-1.102M,115.05M,137.43M,,5.578M,-5.578M,0.309M,-5.578M,132.16M,29.24M,102.92M,,102.92M,102.92M,143.44M,5.699M,137.74M,27.78,,,27.78,27.78,25.12,,,25.12,25.12,3.705M,4.097M
