,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,260.00M,,260.00M,1.112B,252.00M,1.34B,308.00M,218.00M,36.00M,,,2.162B,,1.651B,44.83B,-11.97B,32.86B,5.618B,,5.618B,582.00M,,,1.638B,40.78B,42.94B,891.00M,601.00M,1.492B,283.00M,1.775B,,377.00M,377.00M,586.00M,3.077B,173.00M,22.20B,22.20B,3.036B,31.00M,3.067B,3.342B,,,1.117B,32.67B,35.75B,54.00M,-3.13B,10.27B,,-2.00M,7.188B
2020-06,116.00M,,116.00M,1.02B,238.00M,1.232B,303.00M,286.00M,49.00M,,,1.986B,,1.432B,44.23B,-11.82B,32.41B,5.618B,,5.618B,575.00M,,,1.738B,40.42B,42.40B,882.00M,563.00M,1.445B,269.00M,1.714B,196.00M,196.00M,196.00M,367.00M,2.544B,170.00M,21.98B,21.98B,2.876B,31.00M,2.907B,3.401B,,,1.321B,32.72B,35.26B,54.00M,-3.584B,10.67B,,0.00,7.143B
2020-03,152.00M,,152.00M,1.009B,271.00M,1.254B,285.00M,279.00M,33.00M,,,2.003B,,1.456B,43.64B,-11.64B,32.00B,5.618B,,5.618B,563.00M,,,1.81B,40.09B,42.09B,898.00M,566.00M,1.464B,278.00M,1.742B,1.131B,1.131B,1.131B,572.00M,3.697B,168.00M,20.82B,20.82B,2.774B,38.00M,2.812B,3.455B,,,1.357B,31.58B,35.28B,54.00M,-3.893B,10.65B,,2.00M,6.814B
2019-12,627.00M,,627.00M,564.00M,224.00M,1.294B,281.00M,157.00M,52.00M,,,2.444B,,1.31B,43.08B,-11.43B,31.65B,5.618B,80.00M,5.698B,569.00M,,,1.841B,39.86B,42.30B,1.005B,545.00M,1.55B,249.00M,1.799B,1.38B,1.38B,1.38B,1.425B,4.862B,165.00M,19.62B,19.62B,2.849B,49.00M,2.898B,3.065B,,,1.667B,30.46B,35.33B,54.00M,-3.967B,10.87B,,20.00M,6.975B
2019-09,716.00M,,716.00M,1.13B,213.00M,1.336B,258.00M,239.00M,34.00M,,,2.616B,,1.37B,42.39B,-11.23B,31.15B,5.618B,,5.618B,1.425B,,,618.00M,38.89B,41.51B,939.00M,537.00M,1.476B,,1.476B,1.381B,1.381B,1.381B,1.114B,4.239B,844.00M,19.42B,19.42B,2.90B,66.00M,2.966B,2.403B,,,1.755B,30.00B,34.23B,54.00M,-3.856B,11.05B,,27.00M,7.272B
2019-06,422.00M,,422.00M,1.109B,221.00M,1.327B,261.00M,280.00M,52.00M,,,2.386B,,1.245B,41.82B,-11.14B,30.68B,5.618B,,5.618B,1.403B,,,705.00M,38.50B,40.88B,835.00M,416.00M,1.251B,,1.251B,1.631B,1.631B,1.631B,870.00M,3.983B,833.00M,19.05B,19.05B,2.76B,79.00M,2.839B,2.414B,,,1.909B,29.63B,33.62B,74.00M,-4.247B,11.41B,21.00M,31.00M,7.269B
2019-03,174.00M,,174.00M,1.263B,239.00M,1.501B,268.00M,314.00M,36.00M,,,2.314B,,1.199B,41.23B,-10.96B,30.27B,5.618B,,5.618B,1.359B,,,831.00M,38.18B,40.49B,922.00M,562.00M,1.484B,,1.484B,1.506B,1.506B,1.506B,1.081B,4.324B,822.00M,18.81B,18.81B,2.62B,85.00M,2.705B,2.417B,,,1.902B,29.23B,33.56B,74.00M,-4.559B,11.38B,21.00M,36.00M,6.932B
2018-12,367.00M,,367.00M,686.00M,272.00M,1.511B,252.00M,175.00M,62.00M,,,2.392B,,1.235B,40.70B,-10.79B,29.91B,5.618B,,5.618B,1.299B,,,752.00M,37.67B,40.06B,965.00M,533.00M,1.498B,243.00M,1.741B,,1.753B,1.753B,822.00M,4.634B,812.00M,17.75B,17.75B,2.502B,89.00M,2.591B,2.906B,,,2.057B,28.62B,33.25B,122.00M,-4.879B,11.53B,71.00M,41.00M,6.814B
2018-09,436.00M,,436.00M,1.317B,299.00M,1.616B,240.00M,236.00M,51.00M,,,2.596B,,1.29B,39.88B,-10.47B,29.41B,5.618B,,5.618B,1.329B,,,413.00M,36.85B,39.44B,1.104B,529.00M,1.633B,,1.633B,,2.828B,2.828B,1.039B,5.80B,630.00M,16.61B,16.61B,2.427B,99.00M,2.526B,2.742B,,,1.591B,26.77B,32.57B,121.00M,-5.017B,11.71B,70.00M,61.00M,6.873B
2018-06,256.00M,,256.00M,1.231B,177.00M,1.495B,281.00M,263.00M,68.00M,,,2.363B,,1.15B,39.48B,-10.46B,29.02B,5.618B,,5.618B,1.313B,,,572.00M,36.61B,38.97B,909.00M,508.00M,1.417B,,1.417B,,2.796B,2.796B,591.00M,5.068B,589.00M,16.46B,16.46B,2.622B,113.00M,2.735B,2.717B,,,1.165B,26.20B,31.27B,210.00M,-4.559B,11.98B,162.00M,73.00M,7.699B
