,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,454.00M,,,-74.00M,-68.00M,,,202.00M,202.00M,121.00M,,,,8.00M,-108.00M,-5.00M,68.00M,-54.00M,,-10.00M,93.00M,-16.00M,,701.00M,-687.00M,,-687.00M,,,-4.00M,-74.00M,-765.00M,222.00M,185.00M,407.00M,,,,,,-212.00M,0.00,-212.00M,0.00,195.00M,165.00M,131.00M,296.00M,,250.00M,857.00M,
2020-06,309.00M,,,-78.00M,-80.00M,,,307.00M,307.00M,81.00M,,,,-33.00M,24.00M,-18.00M,0.00,94.00M,,-7.00M,33.00M,126.00M,,710.00M,-676.00M,,-676.00M,,,-9.00M,-62.00M,-747.00M,871.00M,-635.00M,236.00M,,,,,,-211.00M,0.00,-211.00M,-8.00M,17.00M,185.00M,-20.00M,165.00M,,1.175B,-939.00M,
2020-03,74.00M,,,357.00M,307.00M,,,295.00M,295.00M,-78.00M,,,,-950.00M,51.00M,,-125.00M,-74.00M,,1.00M,-61.00M,-208.00M,,-560.00M,-616.00M,,-616.00M,,,-5.00M,-38.00M,-659.00M,1.222B,-250.00M,972.00M,,,,,,-211.00M,0.00,-211.00M,-36.00M,725.00M,679.00M,-494.00M,185.00M,,2.00B,-1.028B,
2019-12,-111.00M,,,649.00M,574.00M,,,148.00M,148.00M,1.00M,,,,-115.00M,43.00M,-23.00M,79.00M,149.00M,,-23.00M,8.00M,233.00M,,730.00M,-753.00M,,-753.00M,,,-8.00M,-31.00M,-792.00M,195.00M,0.00,195.00M,,,,,,-205.00M,0.00,-205.00M,1.00M,-9.00M,750.00M,-71.00M,679.00M,,200.00M,-5.00M,
2019-09,391.00M,,,-28.00M,-51.00M,,,367.00M,367.00M,89.00M,,,,54.00M,11.00M,15.00M,40.00M,112.00M,,26.00M,58.00M,262.00M,,1.112B,-684.00M,,-684.00M,,,-10.00M,-51.00M,-745.00M,123.00M,0.00,123.00M,,,,,,-206.00M,0.00,-206.00M,-8.00M,-91.00M,474.00M,276.00M,750.00M,,150.00M,-27.00M,
2019-06,312.00M,,,-14.00M,1.00M,,,357.00M,357.00M,71.00M,,,,26.00M,125.00M,-29.00M,39.00M,-81.00M,,-11.00M,-3.00M,40.00M,,807.00M,-674.00M,,-674.00M,,,-11.00M,-21.00M,-706.00M,421.00M,-50.00M,371.00M,,,,,,-202.00M,-3.00M,-205.00M,-3.00M,163.00M,210.00M,264.00M,474.00M,,500.00M,-129.00M,
2019-03,320.00M,,,-39.00M,-15.00M,,,345.00M,345.00M,91.00M,,,,-520.00M,92.00M,,-148.00M,-211.00M,,-13.00M,-123.00M,-403.00M,,-182.00M,-554.00M,,-554.00M,,,-9.00M,-67.00M,-630.00M,772.00M,50.00M,822.00M,,,,,,-201.00M,-3.00M,-204.00M,-25.00M,593.00M,429.00M,-219.00M,210.00M,,1.45B,-628.00M,
2018-12,138.00M,,,120.00M,76.00M,,,381.00M,381.00M,23.00M,,,,14.00M,6.00M,-19.00M,53.00M,84.00M,,40.00M,56.00M,220.00M,,852.00M,-733.00M,,-733.00M,,,-10.00M,-38.00M,-781.00M,520.00M,-450.00M,70.00M,0.00,,0.00,0.00,0.00,-184.00M,-9.00M,-193.00M,-6.00M,-129.00M,487.00M,-58.00M,429.00M,0.00,850.00M,-330.00M,
2018-09,-458.00M,,,-16.00M,818.00M,,,399.00M,399.00M,135.00M,,,,111.00M,-274.00M,15.00M,29.00M,8.00M,,6.00M,57.00M,-159.00M,,846.00M,-635.00M,,-635.00M,,,-11.00M,-26.00M,-672.00M,147.00M,36.00M,183.00M,0.00,,0.00,0.00,0.00,-184.00M,-10.00M,-194.00M,0.00,-11.00M,324.00M,163.00M,487.00M,0.00,174.00M,-27.00M,
2018-06,299.00M,,,-51.00M,-51.00M,,,324.00M,324.00M,49.00M,,,,62.00M,-12.00M,-8.00M,1.00M,41.00M,,-145.00M,32.00M,-91.00M,,592.00M,-724.00M,,-724.00M,,,-11.00M,313.00M,-422.00M,-325.00M,464.00M,139.00M,0.00,,0.00,0.00,0.00,-172.00M,-21.00M,-193.00M,-91.00M,-145.00M,299.00M,25.00M,324.00M,0.00,450.00M,-775.00M,
2018-03,1.369B,,,-46.00M,-1.285B,,,280.00M,280.00M,278.00M,,,,-1.267B,32.00M,36.00M,-144.00M,-49.00M,,-22.00M,-108.00M,-255.00M,,-880.00M,-583.00M,,-583.00M,,,-22.00M,-538.00M,-1.143B,-1.476B,900.00M,-576.00M,850.00M,,850.00M,1.616B,1.616B,-171.00M,-21.00M,-192.00M,-19.00M,1.679B,643.00M,-344.00M,299.00M,2.466B,0.00,-1.476B,
2017-12,-2.499B,0.0,-46.00M,142.00M,96.00M,,,393.00M,393.00M,386.00M,,2.237B,,213.00M,-112.00M,0.00,71.00M,301.00M,,-67.00M,27.00M,220.00M,,1.046B,-838.00M,,-838.00M,,,-26.00M,347.00M,-517.00M,45.00M,-200.00M,-155.00M,0.00,,0.00,0.00,0.00,-161.00M,0.00,-161.00M,-5.00M,-321.00M,435.00M,208.00M,643.00M,0.00,625.00M,-580.00M,
2017-09,396.00M,0.0,11.00M,11.00M,22.00M,,,478.00M,478.00M,229.00M,,31.00M,,39.00M,-10.00M,4.00M,86.00M,-121.00M,,55.00M,71.00M,85.00M,,1.28B,-615.00M,,-615.00M,,,-24.00M,-52.00M,-691.00M,-426.00M,275.00M,-151.00M,0.00,,0.00,0.00,0.00,-159.00M,0.00,-159.00M,-15.00M,-325.00M,171.00M,264.00M,435.00M,0.00,550.00M,-976.00M,
2017-06,174.00M,,6.00M,7.00M,13.00M,,,413.00M,413.00M,110.00M,,131.00M,,-57.00M,15.00M,-21.00M,-16.00M,24.00M,,-101.00M,12.00M,-87.00M,,697.00M,-668.00M,,-668.00M,,,-25.00M,-43.00M,-736.00M,2.726B,-2.525B,201.00M,,,,,,-160.00M,,-160.00M,-39.00M,2.00M,208.00M,-37.00M,171.00M,,3.25B,-524.00M,
2017-03,205.00M,0.0,47.00M,10.00M,57.00M,,,416.00M,416.00M,114.00M,,,,170.00M,68.00M,11.00M,-111.00M,-86.00M,,78.00M,-137.00M,-177.00M,,785.00M,-720.00M,,-720.00M,,,-23.00M,-36.00M,-779.00M,39.00M,75.00M,114.00M,0.00,,0.00,0.00,0.00,-159.00M,0.00,-159.00M,-13.00M,-58.00M,260.00M,-52.00M,208.00M,0.00,250.00M,-211.00M,
2016-12,-5.796B,,-31.00M,166.00M,135.00M,,,497.00M,497.00M,-3.381B,,9.205B,,46.00M,23.00M,-4.00M,55.00M,122.00M,,-22.00M,-89.00M,85.00M,,791.00M,-716.00M,,-716.00M,,,-35.00M,-75.00M,-826.00M,141.00M,-300.00M,-159.00M,,,,,,-153.00M,,-153.00M,-26.00M,-338.00M,551.00M,-373.00M,260.00M,,1.455B,-1.314B,
2016-09,380.00M,,-15.00M,14.00M,-1.00M,,,527.00M,527.00M,246.00M,,3.00M,,-106.00M,-135.00M,46.00M,63.00M,4.00M,,41.00M,52.00M,71.00M,,1.12B,-671.00M,,-671.00M,,,-27.00M,-11.00M,-709.00M,85.00M,50.00M,135.00M,,,,,,-153.00M,,-153.00M,-41.00M,-59.00M,199.00M,352.00M,551.00M,,521.00M,-436.00M,
2016-06,-1.089B,,69.00M,15.00M,84.00M,,,489.00M,489.00M,-134.00M,,1.457B,,-83.00M,100.00M,-5.00M,-9.00M,-17.00M,,-23.00M,52.00M,98.00M,,822.00M,-833.00M,,-833.00M,,,-26.00M,-43.00M,-902.00M,-550.00M,800.00M,250.00M,,,,,,-153.00M,,-153.00M,36.00M,133.00M,146.00M,53.00M,199.00M,,0.00,-550.00M,
2016-03,328.00M,,-64.00M,16.00M,-48.00M,,,461.00M,461.00M,206.00M,,,,-93.00M,1.00M,4.00M,-82.00M,-85.00M,,60.00M,-102.00M,-204.00M,,650.00M,-847.00M,,-847.00M,,,-23.00M,5.00M,-865.00M,-31.00M,425.00M,394.00M,,,,,,-152.00M,,-152.00M,-12.00M,230.00M,131.00M,15.00M,146.00M,,0.00,-31.00M,
2015-12,-226.00M,,-32.00M,240.00M,208.00M,,,443.00M,443.00M,-144.00M,,412.00M,,72.00M,177.00M,-47.00M,33.00M,102.00M,,-16.00M,129.00M,378.00M,,1.143B,-768.00M,,-768.00M,,,-27.00M,-40.00M,-835.00M,129.00M,-225.00M,-96.00M,,,,,,-152.00M,,-152.00M,-15.00M,-263.00M,86.00M,45.00M,131.00M,,227.00M,-98.00M,
