,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.878B,3.022B,867.00M,2.155B,0.00,0.00,,,,272.00M,245.00M,,-245.00M,1.162B,1.434B,721.00M,,245.00M,-245.00M,100.00M,-245.00M,576.00M,116.00M,460.00M,-6.00M,,,,454.00M,460.00M,1.023B,202.00M,821.00M,0.85,-0.01,,,0.85,0.84,0.85,-0.01,,,0.85,0.84,542.00M,543.00M,0.39
2020-06,2.41B,2.522B,690.00M,1.832B,0.00,0.00,,,,253.00M,245.00M,,-245.00M,1.064B,1.317B,515.00M,,245.00M,-245.00M,103.00M,-245.00M,373.00M,66.00M,307.00M,2.00M,,,,309.00M,307.00M,925.00M,307.00M,618.00M,0.57,0.0,,,0.57,0.57,0.57,0.0,,,0.57,0.57,542.00M,543.00M,0.39
2020-03,2.521B,2.709B,792.00M,1.917B,423.00M,423.00M,,,,267.00M,245.00M,,-245.00M,1.118B,1.808B,109.00M,,245.00M,-245.00M,100.00M,-245.00M,-36.00M,-60.00M,24.00M,50.00M,,,,74.00M,24.00M,504.00M,295.00M,209.00M,0.05,0.09,,,0.05,0.14,0.05,0.09,,,0.05,0.14,541.00M,543.00M,0.39
2019-12,2.489B,2.673B,852.00M,1.821B,674.00M,674.00M,,,,251.00M,242.00M,,-242.00M,955.00M,1.88B,-59.00M,,242.00M,-242.00M,52.00M,-242.00M,-249.00M,-68.00M,-181.00M,70.00M,,,-3.00M,-111.00M,-181.00M,141.00M,148.00M,-7.00M,-0.33,0.13,,,-0.33,-0.2,-0.33,0.13,,,-0.33,-0.21,541.00M,545.00M,0.38
2019-09,2.782B,2.963B,920.00M,2.043B,0.00,0.00,,,,257.00M,242.00M,,-242.00M,1.105B,1.362B,681.00M,,242.00M,-242.00M,57.00M,-242.00M,496.00M,107.00M,389.00M,2.00M,,,,391.00M,389.00M,1.105B,367.00M,738.00M,0.72,0.01,,,0.72,0.73,0.72,0.0,,,0.72,0.72,538.00M,542.00M,0.38
2019-06,2.298B,2.516B,740.00M,1.776B,0.00,0.00,,,,239.00M,243.00M,,-243.00M,952.00M,1.191B,585.00M,,243.00M,-243.00M,80.00M,-243.00M,422.00M,81.00M,341.00M,-29.00M,,,4.00M,312.00M,341.00M,1.022B,357.00M,665.00M,0.63,-0.05,,,0.63,0.58,0.63,-0.05,,,0.63,0.58,532.00M,533.00M,0.38
2019-03,2.661B,2.883B,912.00M,1.971B,0.00,0.00,,,,261.00M,235.00M,,-235.00M,1.081B,1.342B,629.00M,,235.00M,-235.00M,54.00M,-235.00M,448.00M,93.00M,355.00M,-35.00M,,,5.00M,320.00M,355.00M,1.028B,345.00M,683.00M,0.66,-0.07,,,0.66,0.59,0.66,-0.07,,,0.66,0.59,530.00M,533.00M,0.38
2018-12,2.469B,2.71B,850.00M,1.86B,,,,,,247.00M,240.00M,,-240.00M,1.101B,1.492B,368.00M,,240.00M,-240.00M,41.00M,-240.00M,169.00M,35.00M,134.00M,4.00M,,,10.00M,138.00M,134.00M,790.00M,381.00M,409.00M,0.34,-0.09,,,0.34,0.25,0.34,-0.09,,,0.34,0.25,513.00M,515.00M,0.36
2018-09,2.804B,3.064B,1.013B,2.051B,,,,,,252.00M,239.00M,,-239.00M,1.089B,1.341B,710.00M,,239.00M,-239.00M,49.00M,-239.00M,520.00M,121.00M,399.00M,-857.00M,,,54.00M,-458.00M,399.00M,1.158B,399.00M,759.00M,0.68,-1.7,,,0.68,-1.02,0.68,-1.7,,,0.68,-1.02,503.00M,505.00M,0.36
2018-06,2.385B,2.625B,825.00M,1.80B,,,,,,240.00M,339.00M,,-339.00M,860.00M,1.10B,700.00M,,339.00M,-339.00M,48.00M,-339.00M,409.00M,101.00M,308.00M,-9.00M,,,165.00M,299.00M,308.00M,1.072B,324.00M,748.00M,0.3,-0.02,,,0.3,0.28,0.3,-0.02,,,0.3,0.28,477.00M,479.00M,0.36
