,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,304.00M,9.00M,,9.00M,91.00M,91.00M,-44.00M,2.00M,0.00,10.00M,12.00M,-157.00M,6.00M,467.00M,,,,316.00M,,688.00M,-64.00M,,,15.00M,,-1.00M,-50.00M,-307.00M,0.00,-307.00M,,,,-97.00M,-97.00M,,-9.00M,-413.00M,634.00M,225.00M,6.00M,865.00M,,-1.00M,-306.00M,
2020-06,78.00M,1.00M,,1.00M,85.00M,85.00M,-15.00M,5.00M,-2.00M,10.00M,1.498B,-231.00M,-3.00M,182.00M,,,,-52.00M,,109.00M,-36.00M,,,0.00,,4.00M,-32.00M,491.00M,-331.00M,160.00M,,,,-98.00M,-98.00M,,4.00M,66.00M,487.00M,143.00M,4.00M,634.00M,,188.00M,-2.00M,
2020-03,-1.279B,-1.00M,,-1.00M,91.00M,91.00M,-234.00M,1.475B,3.00M,8.00M,1.00M,369.00M,-142.00M,-268.00M,,,,-41.00M,,23.00M,-58.00M,,,,,2.00M,-56.00M,-16.00M,305.00M,289.00M,,,,-99.00M,-99.00M,,-17.00M,173.00M,371.00M,140.00M,-24.00M,487.00M,,305.00M,-16.00M,
2019-12,793.60M,-7.10M,,-7.10M,121.00M,121.00M,-771.90M,75.10M,1.50M,13.50M,0.30M,164.80M,377.40M,-148.20M,,,,394.00M,,620.00M,-92.90M,,,241.70M,,5.60M,154.40M,-306.00M,-305.10M,-611.10M,,,,-97.30M,-97.30M,,-171.20M,-879.60M,466.00M,-105.20M,10.40M,370.90M,,,-306.00M,
2019-09,-626.00M,-2.00M,,-2.00M,151.00M,151.00M,-258.00M,1.071B,1.00M,9.00M,1.00M,71.00M,49.00M,-34.00M,,,,86.00M,,433.00M,-57.00M,,,14.00M,,2.00M,-41.00M,-729.00M,289.00M,-440.00M,,,,-98.00M,-98.00M,,0.00,-538.00M,625.00M,-146.00M,-13.00M,466.00M,,0.00,-729.00M,
2019-06,90.00M,7.00M,,7.00M,87.00M,87.00M,9.00M,14.00M,1.00M,15.00M,2.00M,-171.00M,-36.00M,173.00M,,,,-34.00M,,191.00M,-57.00M,,,740.00M,,15.00M,698.00M,0.00,-531.00M,-531.00M,,,,-97.00M,-97.00M,,-3.00M,-631.00M,364.00M,258.00M,3.00M,625.00M,,-521.00M,0.00,
2019-03,-151.00M,-5.00M,,-5.00M,87.00M,87.00M,-47.00M,175.00M,17.00M,5.00M,1.00M,246.00M,-259.00M,-269.00M,,,,-282.00M,,-200.00M,-58.00M,,,,,-18.00M,-76.00M,-276.00M,521.00M,245.00M,,,,-98.00M,-98.00M,,-2.00M,145.00M,496.00M,-131.00M,-1.00M,364.00M,,521.00M,-276.00M,
2018-12,183.50M,-343.60M,,-343.60M,96.30M,96.30M,-392.20M,553.40M,0.00,17.80M,-5.00M,284.10M,388.00M,-283.90M,,,,388.20M,,498.40M,-110.70M,,,2.359B,,0.10M,2.248B,-2.588B,0.40M,-2.588B,,-996.20M,-996.20M,-102.30M,-102.30M,,-0.10M,-3.686B,1.444B,-940.00M,-7.90M,495.70M,,,-2.588B,-996.20M
2018-09,-7.311B,-27.50M,,-27.50M,82.80M,82.80M,-1.155B,8.762B,0.00,20.20M,0.50M,-11.20M,-12.00M,223.00M,,,,199.80M,,572.10M,-72.70M,,,109.20M,,62.40M,98.90M,-0.60M,-885.80M,-886.40M,,-511.10M,-511.10M,-107.40M,-107.40M,,-0.20M,-1.505B,2.279B,-834.10M,-1.70M,1.444B,,,-0.60M,-511.10M
2018-06,131.70M,-461.20M,,-461.20M,105.00M,105.00M,56.50M,485.60M,0.00,27.60M,1.60M,-367.10M,58.50M,-27.00M,,,,-335.60M,,11.20M,-105.90M,,,2.665B,,6.20M,2.566B,-0.70M,-620.90M,-621.60M,,,,-112.30M,-112.30M,,-3.70M,-737.60M,459.00M,1.839B,-18.90M,2.279B,,,-0.70M,
