,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-09,1.466B,1.466B,902.10M,563.40M,372.60M,,,-231.30M,30.30M,-30.30M,,372.60M,190.80M,30.30M,-30.30M,-231.30M,-30.30M,-70.80M,-99.10M,28.30M,0.00,,,28.30M,178.64M,2.80M,43.30M,-40.50M,0.1,0.0,,0.6501,0.1,0.09,0.0,,0.5895,0.09,273.30M,301.00M,0.05
2010-06,1.496B,1.496B,908.90M,587.30M,362.60M,,,-15.30M,33.20M,-33.20M,,362.60M,224.70M,33.20M,-33.20M,-15.30M,-33.20M,176.20M,45.80M,130.40M,,,,130.40M,141.72M,252.10M,42.70M,209.40M,0.46,0.0,,0.5002,0.46,0.41,0.0,,0.4459,0.41,281.50M,315.40M,0.05
2010-03,1.306B,1.306B,834.70M,471.70M,325.60M,,,-15.70M,32.00M,-32.00M,,325.60M,146.10M,32.00M,-32.00M,-15.70M,-32.00M,98.40M,40.00M,58.40M,,,,58.40M,68.60M,174.60M,44.20M,130.40M,0.21,0.0,,0.2463,0.21,0.19,0.0,,0.2232,0.19,281.10M,307.80M,0.05
2009-12,1.420B,1.420B,894.60M,525.80M,383.50M,,,-21.90M,39.70M,-33.40M,,383.50M,142.30M,39.70M,-33.40M,-21.90M,-33.40M,91.70M,31.10M,60.60M,,,,60.60M,75.07M,176.90M,45.50M,131.40M,0.22,0.0,,0.2715,0.22,0.19,0.0,,0.2369,0.19,281.10M,308.50M,0.05
2009-09,1.449B,1.449B,906.40M,542.60M,350.30M,,,-27.60M,35.70M,-35.70M,,350.30M,192.30M,35.70M,-35.70M,-27.60M,-35.70M,129.00M,43.50M,85.50M,,,,85.50M,103.79M,210.40M,45.70M,164.70M,0.3,0.0,,0.3651,0.3,0.28,0.0,,0.3406,0.28,280.80M,301.80M,0.05
2009-06,1.504B,1.504B,946.00M,558.30M,329.30M,,,-30.70M,40.30M,-40.30M,,329.30M,229.00M,40.30M,-40.30M,-30.70M,-40.30M,158.00M,52.30M,105.70M,,,,105.70M,126.24M,240.30M,42.00M,198.30M,0.38,0.0,,0.4531,0.38,0.37,0.0,,0.4416,0.37,280.80M,286.80M,0.05
2009-03,1.204B,1.204B,781.10M,422.80M,311.50M,,,-31.20M,30.60M,-30.60M,,311.50M,111.30M,30.60M,-30.60M,-31.20M,-30.60M,49.50M,15.80M,33.70M,,,,33.70M,54.94M,122.00M,41.90M,80.10M,0.12,0.0,,0.1957,0.12,0.12,0.0,,0.1957,0.12,280.70M,280.70M,0.105
2008-12,1.452B,1.452B,1.017B,434.80M,354.50M,,,-5.90M,,,,354.50M,80.30M,,,-5.90M,,-275.40M,-20.70M,-254.70M,0.00,,,-256.70M,-251.24M,-343.80M,45.80M,-389.60M,-0.92,0.0,,-0.9011,-0.92,-0.92,0.0,,-0.9011,-0.92,288.60M,288.60M,0.21
2008-09,1.760B,1.760B,1.186B,574.70M,394.30M,,,-68.90M,,,,394.30M,180.40M,,,-68.90M,,72.70M,17.70M,55.00M,,,,55.00M,107.13M,226.90M,46.50M,180.40M,0.2,0.0,,0.3881,0.2,0.2,0.0,,0.3872,0.2,277.10M,278.40M,0.21
2008-06,1.825B,1.825B,1.202B,623.20M,392.90M,,,-70.20M,,,,392.90M,230.30M,,,-70.20M,,121.40M,28.90M,92.50M,,,,92.50M,145.99M,277.10M,46.80M,230.30M,0.33,0.0,,0.523,0.33,0.33,0.0,,0.5223,0.33,277.10M,278.20M,0.21
2008-03,1.434B,1.434B,943.20M,490.50M,361.00M,,,-18.60M,,,,361.00M,129.50M,,,-18.60M,,85.10M,27.70M,57.40M,-0.50M,,,56.90M,69.95M,173.70M,44.20M,129.50M,0.21,0.0,,0.2553,0.21,0.21,0.0,,0.2551,0.2,276.90M,278.20M,0.21
2007-12,1.642B,1.642B,1.067B,575.90M,370.70M,,,-32.20M,,,,370.70M,205.20M,,,-32.10M,,148.80M,47.80M,101.00M,4.40M,,,105.40M,122.86M,247.80M,42.60M,205.20M,0.37,0.02,,0.4492,0.38,0.36,0.02,,0.4364,0.38,276.00M,286.10M,0.21
2007-09,1.687B,1.687B,1.086B,601.00M,364.50M,,,-24.80M,,,,364.50M,236.50M,,,-24.80M,,183.70M,13.80M,169.90M,0.30M,,,170.20M,192.84M,278.50M,42.00M,236.50M,0.62,0.0,,0.7031,0.62,0.61,0.0,,0.6902,0.61,276.00M,286.10M,0.21
2007-06,1.693B,1.693B,1.088B,605.60M,357.30M,,,-17.00M,,,,357.30M,248.30M,,,-17.00M,,203.80M,60.60M,143.20M,-1.00M,,,142.20M,155.15M,294.60M,46.30M,248.30M,0.52,0.0,,0.5633,0.52,0.51,0.0,,0.5518,0.51,276.00M,286.10M,0.21
2007-03,1.384B,1.384B,909.70M,474.70M,338.40M,,,-16.30M,,,,338.40M,136.30M,,,-16.30M,,92.60M,27.50M,65.10M,-15.80M,,,49.30M,76.56M,182.40M,46.10M,136.30M,0.24,-0.06,,0.2815,0.18,0.23,-0.06,,0.2712,0.18,275.90M,277.90M,0.21
2006-12,1.638B,1.638B,1.098B,539.70M,356.70M,,,-15.40M,,,,356.70M,183.00M,,,-14.50M,,135.10M,42.80M,92.30M,9.90M,,,102.20M,102.82M,229.20M,46.20M,183.00M,0.33,0.04,,0.3683,0.37,0.33,0.04,,0.3683,0.37,274.60M,274.60M,0.21
2006-09,1.586B,1.586B,1.051B,535.20M,334.90M,,,-25.50M,,,,334.90M,200.30M,,,-25.50M,,141.90M,29.20M,112.70M,-4.20M,,,108.50M,132.95M,242.30M,42.00M,200.30M,0.41,-0.02,,0.4838,0.39,0.41,-0.02,,0.4835,0.39,274.60M,275.60M,0.21
2006-06,1.634B,1.634B,1.071B,563.00M,342.20M,,,-20.90M,,,,342.20M,220.80M,,,-20.90M,,164.30M,28.80M,135.50M,-16.00M,,,119.50M,152.74M,272.40M,51.60M,220.80M,0.49,-0.06,,0.5528,0.44,0.49,-0.06,,0.5508,0.43,274.60M,283.60M,0.21
2006-03,1.343B,1.343B,910.50M,432.10M,313.20M,,,-11.60M,,,,313.20M,118.90M,,,-11.60M,,73.60M,-56.60M,130.20M,-75.40M,,,54.80M,137.16M,172.40M,53.50M,118.90M,0.47,-0.27,,0.4954,0.2,0.47,-0.27,,0.4946,0.2,274.50M,283.30M,0.21
