,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,262.03M,262.03M,81.86M,180.17M,11.44M,11.44M,,-0.12M,,23.06M,0.032M,-23.03M,5.83M,105.86M,74.30M,0.032M,23.06M,-23.03M,20.25M,-23.03M,71.52M,-0.956M,72.48M,0.04M,-0.693M,,71.82M,62.15M,183.18M,75.77M,94.58M,0.19,0.0001,,0.164,0.19,0.19,0.0001,,0.1643,0.19,371.08M,374.83M,0.235
2020-06,238.51M,238.51M,64.73M,173.78M,13.61M,13.61M,,-14.97M,,22.84M,0.216M,-22.62M,5.58M,105.89M,67.90M,0.216M,22.84M,-22.62M,-5.223M,-22.62M,40.05M,-0.15M,40.20M,0.023M,-0.40M,,39.82M,46.30M,149.59M,72.34M,62.89M,0.11,0.0001,,0.1276,0.11,0.11,0.0001,,0.1274,0.11,368.84M,372.57M,0.235
2020-03,226.37M,226.37M,62.14M,164.23M,21.76M,21.76M,,-23.43M,,23.49M,1.395M,-22.10M,3.637M,110.76M,53.47M,1.395M,23.49M,-22.10M,-11.82M,-22.10M,19.55M,-0.06M,19.61M,0.048M,-0.204M,,19.46M,29.89M,128.40M,71.58M,43.05M,0.05,0.0001,,0.0785,0.05,0.05,0.0001,,0.0782,0.05,368.19M,371.87M,0.235
2019-12,230.48M,230.48M,63.28M,167.20M,11.77M,11.77M,,-6.307M,,21.51M,2.564M,-18.95M,6.479M,102.55M,64.65M,2.564M,21.51M,-18.95M,43.96M,-18.95M,89.66M,2.221M,87.44M,0.079M,-0.72M,,86.80M,62.20M,195.48M,70.16M,111.17M,0.23,-0.001,,0.1633,0.23,0.23,-0.001,,0.1643,0.23,367.66M,373.33M,0.235
2019-09,241.33M,241.33M,74.54M,166.79M,13.72M,13.72M,,0.00,,22.60M,2.085M,-20.52M,1.997M,99.64M,67.15M,2.085M,22.60M,-20.52M,181.25M,-20.52M,227.88M,-0.536M,228.42M,0.112M,-1.965M,,226.57M,96.87M,334.41M,70.38M,250.49M,0.62,0.0003,,0.2624,0.62,0.62,0.0003,,0.2672,0.62,362.42M,367.27M,0.215
2019-06,237.03M,237.03M,73.16M,163.86M,13.42M,13.42M,,0.00,,23.51M,2.534M,-20.98M,4.965M,101.39M,62.48M,2.534M,23.51M,-20.98M,36.68M,-20.98M,78.18M,6.616M,71.57M,0.099M,-0.615M,,71.05M,41.17M,184.70M,69.46M,101.70M,0.2,0.0003,,0.1172,0.2,0.2,0.0003,,0.1179,0.2,359.68M,362.93M,0.215
2019-03,264.93M,264.93M,105.70M,159.23M,21.98M,21.98M,,-0.013M,,22.13M,2.758M,-19.37M,4.279M,102.25M,56.98M,2.758M,22.13M,-19.37M,7.548M,-19.37M,45.15M,0.385M,44.77M,0.155M,-0.372M,,44.55M,43.83M,143.28M,62.42M,67.28M,0.12,0.0004,,0.1184,0.12,0.12,0.0004,,0.1184,0.12,359.14M,362.36M,0.215
2018-12,270.86M,270.86M,113.81M,157.05M,12.78M,12.78M,,-0.148M,,22.87M,3.915M,-18.95M,1.329M,94.11M,62.94M,3.915M,22.87M,-18.95M,19.14M,-18.95M,63.12M,-0.667M,63.79M,0.635M,-0.53M,,63.90M,53.62M,165.99M,65.79M,85.99M,0.18,0.0,,0.1531,0.18,0.18,0.0,,0.1536,0.18,358.57M,364.95M,0.215
2018-09,231.90M,231.90M,82.51M,149.38M,8.959M,8.959M,,-0.089M,,21.46M,4.129M,-17.33M,1.104M,88.92M,60.47M,4.129M,21.46M,-17.33M,9.271M,-17.33M,52.40M,-0.897M,53.30M,0.221M,-0.498M,,53.02M,50.09M,152.72M,64.42M,73.87M,0.15,0.0,,0.1424,0.15,0.15,0.0,,0.1425,0.15,357.90M,361.41M,0.2
2018-06,210.56M,210.56M,62.83M,147.73M,13.46M,13.46M,,-0.151M,,20.68M,4.727M,-15.95M,1.529M,90.82M,56.91M,4.727M,20.68M,-15.95M,151.85M,-15.95M,192.81M,0.063M,192.75M,2.92M,-1.826M,,193.84M,40.81M,289.32M,62.10M,213.49M,0.53,0.01,,0.1096,0.54,0.53,0.01,,0.1162,0.54,357.05M,362.74M,0.2
2018-03,234.56M,234.56M,91.47M,143.09M,21.02M,21.02M,,0.00,,20.00M,4.463M,-15.54M,1.269M,99.82M,43.27M,4.463M,20.00M,-15.54M,56.12M,-15.54M,83.85M,10.33M,73.52M,0.124M,-0.685M,,72.96M,30.90M,181.38M,63.94M,103.85M,0.2,0.0003,,0.0824,0.2,0.2,0.0003,,0.0836,0.2,356.74M,360.40M,0.2
2017-12,215.62M,215.62M,78.73M,136.89M,13.78M,13.78M,,0.00,,21.60M,5.524M,-16.08M,1.986M,92.30M,44.59M,5.524M,21.60M,-16.08M,25.91M,-16.08M,54.42M,-8.275M,62.70M,127.47M,-1.747M,,188.42M,48.28M,152.56M,62.69M,76.02M,0.17,0.35,,0.1344,0.52,0.17,0.35,,0.135,0.52,356.21M,362.20M,0.2
