,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,72.52M,,,-12.26M,,-12.14M,75.77M,,75.77M,75.77M,,0.00,4.948M,5.734M,30.96M,,,36.69M,177.78M,-85.46M,,,-0.465M,,-11.79M,-223.47M,45.62M,0.856M,46.48M,43.09M,,43.09M,,,,-87.30M,,-87.30M,-1.78M,0.485M,58.60M,-45.20M,13.40M,43.09M,47.00M,-1.378M,
2020-06,40.22M,,,-4.751M,,10.22M,72.34M,,72.34M,72.34M,,0.00,8.566M,-2.937M,18.20M,,,15.26M,146.61M,,,,-2.467M,,-0.214M,-175.36M,-84.60M,0.00,-84.60M,71.21M,,71.21M,,,,-86.57M,,-86.57M,-3.186M,-103.14M,190.48M,-131.89M,58.60M,71.21M,146.75M,-231.35M,
2020-03,19.66M,,,-6.899M,,10.91M,71.58M,,71.58M,71.58M,,5.626M,14.29M,-0.78M,-6.738M,,,-7.518M,114.55M,,,,-2.353M,,82.62M,-158.68M,217.24M,-14.44M,202.80M,5.465M,,5.465M,,,,-86.56M,,-86.56M,-8.516M,113.18M,121.43M,69.05M,190.48M,5.465M,534.77M,-317.53M,
2019-12,87.52M,,,-30.77M,,-43.02M,70.16M,,70.16M,70.16M,,0.00,10.50M,-4.964M,-18.39M,,,-23.36M,101.81M,-63.59M,,,-4.925M,,5.919M,-311.25M,143.32M,14.44M,157.77M,50.09M,,50.09M,,,,-86.38M,,-86.38M,-41.14M,80.33M,250.53M,-129.10M,121.43M,50.09M,430.00M,-286.68M,
2019-09,228.53M,,,-177.91M,,-177.91M,70.38M,,70.38M,70.38M,,0.00,9.865M,-1.427M,16.85M,,,15.42M,146.30M,-38.43M,,,2.663M,,-4.279M,87.84M,-70.87M,-30.18M,-101.05M,180.54M,,180.54M,,,,-77.77M,,-77.77M,-2.35M,-0.625M,17.03M,233.50M,250.53M,180.54M,-69.72M,-1.15M,
2019-06,71.67M,,,-33.10M,,-33.10M,69.46M,,69.46M,69.46M,,0.00,10.35M,3.945M,20.91M,,,24.86M,143.23M,-32.12M,,,0.512M,,87.72M,-125.36M,11.16M,6.174M,17.34M,37.64M,,37.64M,,,,-77.31M,,-77.31M,-0.677M,-23.02M,22.17M,-5.141M,17.03M,37.64M,12.00M,-0.837M,
2019-03,44.92M,,,-0.775M,,-0.762M,62.42M,,62.42M,62.42M,,0.00,7.168M,11.70M,-10.89M,,,0.807M,114.56M,-76.08M,,,-6.474M,,23.91M,-206.31M,167.34M,9.70M,177.04M,4.492M,,4.492M,,,,-77.24M,,-77.24M,-15.89M,88.40M,25.52M,-3.349M,22.17M,4.492M,210.00M,-42.66M,
2018-12,64.43M,,,-14.00M,-5.316M,-19.16M,65.79M,,65.79M,65.79M,,,7.933M,-10.31M,4.084M,,,-6.228M,112.76M,-139.19M,,,0.765M,,-16.10M,-264.85M,23.64M,-44.76M,-21.11M,4.322M,,4.322M,,,,-77.04M,,-77.04M,-1.366M,-95.20M,272.80M,-247.28M,25.52M,4.322M,30.00M,-6.356M,
2018-09,53.52M,,,-3.944M,-2.024M,-5.879M,64.42M,,64.42M,64.42M,,,10.06M,0.034M,18.87M,,,18.90M,141.03M,0.00,,,1.626M,,-8.22M,-341.55M,223.96M,58.00M,281.96M,29.22M,,29.22M,,,,-71.66M,,-71.66M,-8.846M,230.68M,242.64M,30.16M,272.80M,29.22M,450.00M,-226.04M,
2018-06,195.67M,,,-153.21M,2.088M,-150.97M,62.10M,,62.10M,62.10M,,,10.52M,-4.755M,4.898M,,,0.143M,117.46M,-186.11M,,,5.418M,,95.13M,50.30M,-80.03M,-1.883M,-81.91M,0.67M,,0.67M,,,,-71.41M,,-71.41M,-0.825M,-153.48M,228.36M,14.28M,242.64M,0.67M,-75.00M,-5.029M,
