,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2002-09,94.00M,,,-6.00M,136.00M,136.00M,76.00M,,12.00M,265.00M,40.00M,-115.00M,,,-122.00M,68.00M,,380.00M,-160.00M,295.00M,135.00M,,,-138.00M,-3.00M,,,-111.00M,,-1.00M,-1.00M,,-55.00M,,-4.00M,-171.00M,383.00M,206.00M,-3.00M,586.00M,,,,-1.00M,,
2002-06,-498.00M,,,647.00M,134.00M,134.00M,-80.00M,,-117.00M,307.00M,4.00M,60.00M,,,8.00M,379.00M,,465.00M,-169.00M,-108.00M,-277.00M,,,-60.00M,-337.00M,,,49.00M,,-1.00M,-1.00M,,-55.00M,,-1.00M,-8.00M,266.00M,120.00M,-3.00M,383.00M,,,,-1.00M,,
2002-03,22.00M,,,-38.00M,132.00M,132.00M,7.00M,,78.00M,120.00M,-28.00M,109.00M,,,-247.00M,-46.00M,,155.00M,-235.00M,162.00M,-73.00M,,,-4.00M,-77.00M,,,-39.00M,,-1.00M,-1.00M,,-54.00M,,1.00M,-93.00M,290.00M,-15.00M,-9.00M,266.00M,,,,-1.00M,,
2001-12,139.00M,,,-192.00M,141.00M,141.00M,3.00M,,-321.00M,155.00M,44.00M,2.00M,,,243.00M,444.00M,321.00M,535.00M,-229.00M,104.00M,-125.00M,-105.00M,,-12.00M,-238.00M,,,-169.00M,2.00M,-1.00M,1.00M,,-54.00M,,-11.00M,-233.00M,227.00M,64.00M,-1.00M,290.00M,2.00M,,,-1.00M,,
2001-09,179.00M,,,274.00M,132.00M,132.00M,-27.00M,,37.00M,-8.00M,10.00M,37.00M,,,-163.00M,-124.00M,-232.00M,239.00M,-224.00M,38.00M,-186.00M,24.00M,,-6.00M,-168.00M,,,-84.00M,1.00M,-25.00M,-24.00M,,-54.00M,,-3.00M,-165.00M,328.00M,-94.00M,-7.00M,227.00M,1.00M,,,-25.00M,,
2001-06,382.00M,,,-221.00M,124.00M,124.00M,37.00M,,136.00M,-348.00M,-46.00M,110.00M,,,4.00M,-280.00M,1.198B,1.376B,-199.00M,18.00M,-181.00M,35.00M,,-6.00M,-152.00M,,,-1.123B,5.00M,-4.00M,1.00M,,-53.00M,,-1.00M,-1.176B,278.00M,48.00M,2.00M,328.00M,5.00M,,,-4.00M,,
2001-03,109.00M,,,-21.00M,134.00M,134.00M,13.00M,,21.00M,2.00M,-99.00M,-31.00M,,,38.00M,-90.00M,-24.00M,142.00M,-145.00M,21.00M,-124.00M,-174.00M,,-2.00M,-300.00M,,,260.00M,19.00M,-4.00M,15.00M,,-54.00M,,-2.00M,219.00M,231.00M,61.00M,-14.00M,278.00M,19.00M,,,-4.00M,,
2000-12,5.00M,,,-62.00M,115.00M,115.00M,29.00M,,110.00M,-253.00M,55.00M,129.00M,,,4.00M,-65.00M,0.00,132.00M,-211.00M,41.00M,-170.00M,-10.00M,,-24.00M,-204.00M,,,799.00M,3.00M,-745.00M,-742.00M,,-54.00M,,-15.00M,-12.00M,310.00M,-84.00M,5.00M,231.00M,3.00M,,,-745.00M,,
2000-09,372.00M,,,-374.00M,139.00M,139.00M,-73.00M,,-110.00M,-64.00M,-14.00M,29.00M,,,181.00M,132.00M,22.00M,108.00M,-177.00M,151.00M,-26.00M,12.00M,,-6.00M,-20.00M,,,-107.00M,45.00M,-18.00M,27.00M,,-56.00M,,-5.00M,-141.00M,363.00M,-53.00M,0.00,310.00M,45.00M,,,-18.00M,,
2000-06,75.00M,,,-13.00M,127.00M,127.00M,-11.00M,,36.00M,-293.00M,-9.00M,37.00M,,,-121.00M,-386.00M,-20.00M,-192.00M,-111.00M,11.00M,-100.00M,2.00M,,-22.00M,-120.00M,,,337.00M,39.00M,-2.00M,37.00M,,-56.00M,,,318.00M,369.00M,6.00M,-12.00M,363.00M,39.00M,,,-2.00M,,
2000-03,49.00M,,,9.00M,122.00M,122.00M,49.00M,,-88.00M,-286.00M,-24.00M,-25.00M,,,91.00M,-244.00M,824.00M,721.00M,-79.00M,25.00M,-54.00M,-14.00M,,1.00M,-67.00M,,,-708.00M,18.00M,-4.00M,14.00M,,-55.00M,,,-749.00M,466.00M,-95.00M,-2.00M,369.00M,18.00M,,,-4.00M,,
1999-12,216.00M,,,-193.00M,132.00M,132.00M,83.00M,,-593.00M,629.00M,-13.00M,-88.00M,,,72.00M,600.00M,72.00M,317.00M,-134.00M,36.00M,-98.00M,,,7.00M,-98.00M,,,11.00M,5.00M,-6.00M,-1.00M,,-55.00M,,1.00M,-44.00M,295.00M,175.00M,-4.00M,466.00M,5.00M,,,-6.00M,,
1999-09,58.00M,,,-85.00M,135.00M,135.00M,21.00M,,86.00M,-191.00M,21.00M,-213.00M,,,8.00M,-375.00M,23.00M,-137.00M,-147.00M,27.00M,-120.00M,,,7.00M,-113.00M,,,259.00M,11.00M,-1.00M,10.00M,,-56.00M,,-7.00M,206.00M,336.00M,-44.00M,3.00M,295.00M,11.00M,,,-1.00M,,
1999-06,83.00M,,,-124.00M,124.00M,124.00M,6.00M,,-132.00M,-62.00M,-40.00M,65.00M,,,-174.00M,-211.00M,86.00M,-168.00M,-110.00M,288.00M,178.00M,,,-1.00M,177.00M,,,-79.00M,19.00M,0.00,19.00M,,-55.00M,,-1.00M,-116.00M,419.00M,-107.00M,24.00M,336.00M,19.00M,,,0.00,,
1999-03,81.00M,,,-128.00M,120.00M,120.00M,77.00M,,-27.00M,240.00M,29.00M,57.00M,,,-338.00M,-12.00M,53.00M,164.00M,-129.00M,58.00M,-71.00M,,,-2.00M,-73.00M,,,186.00M,14.00M,-3.00M,11.00M,,-55.00M,,1.00M,143.00M,203.00M,234.00M,-18.00M,419.00M,14.00M,,,-3.00M,,
1998-12,66.00M,,,-577.60M,58.00M,58.00M,-95.20M,,183.80M,165.80M,87.10M,-37.00M,,240.50M,,201.40M,,71.40M,-121.80M,28.60M,-93.20M,,,4.60M,-128.60M,,,93.00M,4.00M,-1.50M,2.50M,,-54.70M,,-9.60M,31.20M,228.50M,-26.00M,0.80M,203.00M,4.00M,,,-1.50M,,
1998-09,-527.00M,,,966.60M,151.00M,151.00M,-193.80M,,0.20M,-14.80M,23.90M,-166.00M,,-70.50M,,-227.40M,,169.60M,-213.20M,7.40M,-205.80M,,,-2.60M,-208.40M,,,56.00M,5.00M,-1.50M,3.50M,,-66.30M,,-1.40M,-8.20M,0.00,-47.00M,-5.80M,228.50M,5.00M,,,-1.50M,,
1998-06,243.00M,,,-72.00M,143.00M,143.00M,-4.00M,,32.00M,-194.00M,-72.00M,28.00M,,-37.00M,,-275.00M,,67.00M,-279.00M,40.00M,-239.00M,,,3.00M,-236.00M,,,238.00M,10.00M,0.00,10.00M,,-66.00M,,0.00,182.00M,0.00,13.00M,-2.00M,0.00,10.00M,,,0.00,,
