,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,5.74B,5.74B,5.063B,677.00M,58.00M,58.00M,265.00M,-265.00M,140.00M,,-140.00M,,58.00M,619.00M,,140.00M,-140.00M,-290.00M,-140.00M,189.00M,142.00M,47.00M,,,-1.00M,46.00M,239.45M,723.00M,394.00M,329.00M,0.05,,,,0.2711,0.05,0.05,,,,0.2703,0.05,875.00M,878.00M,0.18
2017-12,5.94B,5.94B,5.101B,839.00M,71.00M,71.00M,385.00M,-385.00M,115.00M,,-115.00M,,71.00M,768.00M,,115.00M,-115.00M,-409.00M,-115.00M,244.00M,1.05B,-806.00M,,,1.00M,-824.00M,-574.00M,752.00M,393.00M,359.00M,-0.92,-0.02,,,-0.6554,-0.94,-0.92,-0.02,,,-0.6554,-0.94,873.00M,873.00M,0.18
2017-09,5.444B,5.444B,4.747B,697.00M,55.00M,55.00M,0.00,0.00,115.00M,,-115.00M,,55.00M,642.00M,,115.00M,-115.00M,-31.00M,-115.00M,496.00M,135.00M,361.00M,,,4.00M,365.00M,365.00M,1.005B,394.00M,611.00M,0.42,,,,0.42,0.42,0.42,,,,0.42,0.42,872.00M,873.00M,0.18
2017-06,4.957B,4.957B,4.474B,483.00M,75.00M,75.00M,262.00M,-262.00M,121.00M,,-121.00M,,75.00M,408.00M,,121.00M,-121.00M,-288.00M,-121.00M,-1.00M,-29.00M,28.00M,,,0.00,28.00M,185.20M,506.00M,386.00M,120.00M,0.03,,,,0.2109,0.03,0.03,,,,0.2105,0.03,869.00M,871.00M,0.18
2017-03,4.279B,4.279B,4.021B,258.00M,55.00M,55.00M,,,242.00M,,-242.00M,,55.00M,203.00M,,242.00M,-242.00M,-18.00M,-242.00M,-57.00M,-25.00M,-32.00M,,,,-32.00M,-32.00M,568.00M,383.00M,185.00M,-0.04,,,,-0.04,-0.04,-0.04,,,,-0.04,-0.04,867.00M,867.00M,0.18
2016-12,4.021B,4.021B,3.698B,323.00M,94.00M,94.00M,168.00M,-168.00M,99.00M,,-137.00M,,94.00M,229.00M,,99.00M,-137.00M,-267.00M,-137.00M,-175.00M,-22.00M,-153.00M,0.00,,4.00M,-149.00M,-2.12M,310.00M,386.00M,-76.00M,-0.1723,0.0,,,-0.0023,-0.17,-0.1723,0.0,,,-0.0023,-0.17,864.00M,864.00M,0.18
2016-09,3.833B,3.833B,3.662B,171.00M,43.00M,43.00M,,,159.00M,18.00M,-141.00M,,43.00M,128.00M,18.00M,159.00M,-141.00M,-39.00M,-141.00M,-52.00M,-59.00M,7.00M,0.00,,-1.00M,6.00M,6.00M,482.00M,375.00M,107.00M,0.007,0.0,,,0.007,0.01,0.0069,0.0,,,0.0069,0.01,862.00M,864.00M,0.18
2016-06,3.835B,3.835B,3.732B,103.00M,41.00M,41.00M,423.00M,-3.942B,196.00M,,-196.00M,,41.00M,62.00M,,196.00M,-196.00M,-3.973B,-196.00M,-4.107B,-902.00M,-3.205B,,,-3.00M,-3.208B,-131.76M,-3.515B,396.00M,-3.911B,-3.73,,,,-0.153,-3.73,-3.73,,,,-0.153,-3.73,860.00M,860.00M,0.18
2016-03,4.198B,4.198B,3.925B,273.00M,48.00M,48.00M,2.766B,-3.304B,165.00M,,-165.00M,,48.00M,225.00M,,165.00M,-165.00M,-3.351B,-165.00M,-3.291B,-875.00M,-2.416B,-2.00M,,6.00M,-2.412B,15.14M,-2.78B,346.00M,-3.126B,-2.8089999999999997,-0.0023,,,0.0176,-2.81,-2.8089999999999997,-0.0023,,,0.0176,-2.81,858.00M,858.00M,0.18
2015-12,5.082B,5.082B,4.556B,526.00M,53.00M,53.00M,282.00M,-387.00M,136.00M,,-136.00M,,53.00M,473.00M,,136.00M,-136.00M,-430.00M,-136.00M,-93.00M,-67.00M,-26.00M,0.00,,-2.00M,-28.00M,204.20M,445.00M,402.00M,43.00M,-0.03,0.0,,,0.2413,-0.03,-0.03,0.0,,,0.2413,-0.03,856.00M,856.00M,0.18
2015-09,5.582B,5.582B,5.039B,543.00M,37.00M,37.00M,381.00M,-463.00M,99.00M,,-99.00M,,37.00M,506.00M,,99.00M,-99.00M,-497.00M,-99.00M,-90.00M,-37.00M,-53.00M,,,-1.00M,-54.00M,223.80M,426.00M,417.00M,9.00M,-0.06,0.0,,,0.2649,-0.06,-0.06,0.0,,,0.2649,-0.06,855.00M,855.00M,0.18
2015-06,5.919B,5.919B,5.233B,686.00M,43.00M,43.00M,306.00M,-389.00M,106.00M,,-106.00M,,43.00M,643.00M,,106.00M,-106.00M,-412.00M,-106.00M,125.00M,71.00M,54.00M,-1.00M,,1.00M,54.00M,288.40M,687.00M,456.00M,231.00M,0.06,0.0,,,0.3339,0.06,0.06,0.0,,,0.3333,0.06,852.00M,854.00M,0.18
2015-03,7.05B,7.05B,6.285B,765.00M,66.00M,66.00M,1.208B,-1.247B,106.00M,,-106.00M,,66.00M,699.00M,,106.00M,-106.00M,-1.471B,-106.00M,-878.00M,-241.00M,-637.00M,-4.00M,,-2.00M,-643.00M,266.32M,-212.00M,560.00M,-772.00M,-0.75,-0.01,,,0.3151,-0.76,-0.75,-0.01,,,0.3151,-0.76,850.00M,850.00M,0.18
2014-12,8.77B,8.77B,7.27B,1.50B,55.00M,55.00M,129.00M,-146.00M,113.00M,,-100.00M,,55.00M,1.445B,,113.00M,-100.00M,-105.00M,-100.00M,1.24B,336.00M,904.00M,1.00M,,-4.00M,901.00M,1.006B,1.91B,557.00M,1.353B,1.06,0.01,,,1.186,1.07,1.06,0.01,,,1.185,1.06,848.00M,849.00M,0.18
2014-09,8.701B,8.701B,6.993B,1.708B,74.00M,74.00M,0.00,0.00,96.00M,,-96.00M,,74.00M,1.634B,,96.00M,-96.00M,12.00M,-96.00M,1.55B,411.00M,1.139B,66.00M,,-2.00M,1.203B,1.137B,2.181B,535.00M,1.646B,1.34,0.08,,,1.34,1.42,1.33,0.08,,,1.33,1.41,848.00M,854.00M,0.15
2014-06,8.051B,8.051B,6.768B,1.283B,89.00M,89.00M,0.00,0.00,94.00M,,-94.00M,,89.00M,1.194B,,94.00M,-94.00M,-24.00M,-94.00M,1.076B,299.00M,777.00M,-2.00M,,-1.00M,774.00M,776.00M,1.694B,524.00M,1.17B,0.92,0.0,,,0.92,0.92,0.91,0.0,,,0.91,0.91,846.00M,852.00M,0.15
2014-03,7.348B,7.348B,6.303B,1.045B,75.00M,75.00M,0.00,0.00,93.00M,,-93.00M,,75.00M,970.00M,,93.00M,-93.00M,-31.00M,-93.00M,846.00M,229.00M,617.00M,-1.00M,,6.00M,622.00M,623.00M,1.449B,510.00M,939.00M,0.73,0.0,,,0.73,0.73,0.73,0.0,,,0.73,0.73,849.00M,853.00M,0.15
2013-12,7.639B,7.639B,6.401B,1.238B,94.00M,94.00M,,0.00,98.00M,,-98.00M,,94.00M,1.144B,,98.00M,-98.00M,-6.00M,-98.00M,1.04B,268.00M,772.00M,23.00M,,-2.00M,793.00M,770.00M,1.635B,497.00M,1.138B,0.91,0.02,,,0.91,0.93,0.9,0.02,,,0.9,0.93,847.00M,851.00M,0.15
2013-09,7.472B,7.472B,6.284B,1.188B,80.00M,80.00M,,0.00,91.00M,,-91.00M,,80.00M,1.108B,,91.00M,-91.00M,-12.00M,-91.00M,1.005B,296.00M,709.00M,-1.00M,,-2.00M,706.00M,707.00M,1.577B,481.00M,1.096B,0.79,0.0,,,0.79,0.79,0.79,0.0,,,0.79,0.79,890.00M,894.00M,0.125
2013-06,7.317B,7.317B,6.246B,1.071B,87.00M,87.00M,,0.00,71.00M,,-71.00M,,87.00M,984.00M,,71.00M,-71.00M,-11.00M,-71.00M,902.00M,256.00M,646.00M,2.00M,,-4.00M,644.00M,642.00M,1.447B,474.00M,973.00M,0.69,0.01,,,0.69,0.7,0.69,0.0,,,0.69,0.69,925.00M,928.00M,0.125
2013-03,6.974B,6.974B,6.00B,974.00M,72.00M,72.00M,,-1.00B,71.00M,,-71.00M,,72.00M,902.00M,,71.00M,-71.00M,-1.014B,-71.00M,-183.00M,-172.00M,-11.00M,-5.00M,,-2.00M,-18.00M,637.00M,336.00M,448.00M,-112.00M,-0.01,-0.01,,,0.6882,-0.02,-0.01,-0.01,,,0.6882,-0.02,931.00M,931.00M,0.125
2012-12,7.29B,7.29B,6.236B,1.054B,73.00M,73.00M,,0.00,71.00M,,-73.00M,,73.00M,981.00M,,71.00M,-73.00M,-9.00M,-73.00M,899.00M,307.00M,592.00M,80.00M,,-3.00M,669.00M,589.00M,1.401B,431.00M,970.00M,0.63,0.09,,,0.63,0.72,0.63,0.08,,,0.63,0.72,929.00M,931.00M,0.09
2012-09,7.111B,7.111B,6.09B,1.021B,67.00M,67.00M,,0.00,72.00M,1.00M,-71.00M,,67.00M,954.00M,1.00M,72.00M,-71.00M,-6.00M,-71.00M,877.00M,267.00M,610.00M,-6.00M,,-2.00M,602.00M,608.00M,1.355B,406.00M,949.00M,0.66,-0.01,,,0.66,0.65,0.65,-0.01,,,0.65,0.65,928.00M,930.00M,0.09
2012-06,7.234B,7.234B,5.966B,1.268B,67.00M,67.00M,,0.00,82.00M,2.00M,-80.00M,,67.00M,1.201B,2.00M,82.00M,-80.00M,-17.00M,-80.00M,1.104B,357.00M,747.00M,-8.00M,,-2.00M,737.00M,745.00M,1.592B,406.00M,1.186B,0.81,-0.01,,,0.81,0.8,0.8,-0.01,,,0.8,0.79,924.00M,926.00M,0.09
2012-03,6.868B,6.868B,5.477B,1.391B,68.00M,68.00M,,-300.00M,76.00M,2.00M,-74.00M,,68.00M,1.323B,2.00M,76.00M,-74.00M,-307.00M,-74.00M,942.00M,304.00M,638.00M,-8.00M,,-3.00M,627.00M,838.18M,1.403B,385.00M,1.018B,0.69,-0.01,,,0.9101,0.68,0.69,-0.01,,,0.9094,0.68,923.00M,926.00M,0.09
2011-12,7.064B,7.064B,5.567B,1.497B,,67.00M,,18.00M,70.00M,1.00M,-69.00M,,67.00M,1.43B,1.00M,70.00M,-69.00M,-7.00M,-69.00M,1.354B,447.00M,907.00M,0.00,,-1.00M,906.00M,893.94M,1.936B,512.00M,1.424B,0.98,0.0,,,0.9669,0.98,0.98,0.0,,,0.9669,0.98,921.00M,922.00M,0.09
2011-09,6.548B,6.548B,5.137B,1.411B,,79.00M,,-9.00M,63.00M,1.00M,-62.00M,,79.00M,1.332B,1.00M,63.00M,-62.00M,-9.00M,-62.00M,1.261B,411.00M,850.00M,-165.00M,,-2.00M,683.00M,854.07M,1.664B,340.00M,1.324B,0.92,-0.18,,,0.9266,0.74,0.92,-0.18,,,0.9266,0.74,920.00M,925.00M,0.09
2011-06,5.935B,5.935B,4.709B,1.226B,,65.00M,,-5.00M,65.00M,2.00M,-63.00M,,65.00M,1.161B,2.00M,65.00M,-63.00M,-5.00M,-63.00M,1.093B,352.00M,741.00M,0.00,,-2.00M,739.00M,742.39M,1.489B,331.00M,1.158B,0.81,0.0,,,0.8137,0.81,0.8,0.0,,,0.8037,0.8,916.00M,921.00M,0.09
2011-03,5.282B,5.282B,4.398B,884.00M,,70.00M,,-4.00M,70.00M,1.00M,-69.00M,,70.00M,814.00M,1.00M,70.00M,-69.00M,-4.00M,-69.00M,741.00M,229.00M,512.00M,-1.00M,,0.00,511.00M,514.76M,1.131B,320.00M,811.00M,0.56,0.0,,,0.563,0.56,0.56,0.0,,,0.563,0.56,914.00M,919.00M,0.09
2010-12,5.16B,5.16B,4.118B,1.042B,,62.00M,,,77.00M,8.00M,-69.00M,,62.00M,980.00M,8.00M,77.00M,-69.00M,-1.00M,-69.00M,910.00M,283.00M,627.00M,-20.00M,,-2.00M,605.00M,625.00M,1.289B,302.00M,987.00M,0.69,-0.03,,,0.69,0.66,0.68,-0.03,,,0.68,0.66,911.00M,914.00M,0.09
2010-09,4.665B,4.665B,3.785B,880.00M,,62.00M,,-7.00M,85.00M,9.00M,-76.00M,,62.00M,818.00M,9.00M,85.00M,-76.00M,-7.00M,-76.00M,735.00M,249.00M,486.00M,59.00M,,-1.00M,544.00M,489.63M,1.104B,284.00M,820.00M,0.53,0.07,,,0.5351,0.6,0.53,0.07,,,0.5351,0.6,910.00M,912.00M,0.09
2010-06,4.387B,4.387B,3.578B,809.00M,,47.00M,,-9.00M,79.00M,3.00M,-76.00M,,47.00M,762.00M,3.00M,79.00M,-76.00M,-9.00M,-76.00M,677.00M,200.00M,477.00M,6.00M,,-3.00M,480.00M,480.34M,1.028B,272.00M,756.00M,0.52,0.01,,,0.527,0.53,0.52,0.01,,,0.527,0.53,906.00M,909.00M,0.09
2010-03,3.761B,3.761B,3.259B,502.00M,,58.00M,,-35.00M,79.00M,3.00M,-76.00M,,58.00M,444.00M,3.00M,79.00M,-76.00M,-35.00M,-76.00M,333.00M,121.00M,212.00M,-5.00M,,-1.00M,206.00M,233.28M,673.00M,261.00M,412.00M,0.23,0.0,,,0.2546,0.23,0.23,0.0,,,0.2545,0.23,905.00M,908.00M,0.09
2009-12,3.686B,3.686B,3.205B,481.00M,,58.00M,,-4.00M,75.00M,-3.00M,-78.00M,,53.00M,428.00M,-3.00M,75.00M,-78.00M,-4.00M,-78.00M,346.00M,98.00M,248.00M,-4.00M,,-1.00M,243.00M,249.87M,675.00M,254.00M,421.00M,0.27,0.0,,,0.2732,0.27,0.27,0.0,,,0.2732,0.27,903.00M,905.00M,0.09
2009-09,3.588B,3.588B,3.065B,523.00M,,49.00M,,-4.00M,80.00M,3.00M,-77.00M,,49.00M,474.00M,3.00M,80.00M,-77.00M,-4.00M,-77.00M,393.00M,124.00M,269.00M,-3.00M,,-4.00M,262.00M,267.74M,711.00M,238.00M,473.00M,0.29,0.0,,,0.293,0.29,0.29,0.0,,,0.293,0.29,902.00M,904.00M,0.09
2009-06,3.494B,3.494B,2.97B,524.00M,48.00M,48.00M,,,82.00M,3.00M,-79.00M,,48.00M,476.00M,3.00M,82.00M,-79.00M,-14.00M,-79.00M,383.00M,117.00M,266.00M,-1.00M,,-3.00M,262.00M,263.00M,689.00M,224.00M,465.00M,0.29,0.0,,,0.29,0.29,0.29,0.0,,,0.29,0.29,898.00M,900.00M,0.09
2009-03,3.907B,3.907B,3.239B,668.00M,,52.00M,,-5.00M,53.00M,2.00M,-51.00M,,52.00M,616.00M,2.00M,53.00M,-51.00M,-5.00M,-51.00M,560.00M,179.00M,381.00M,-1.00M,,-2.00M,378.00M,382.40M,828.00M,215.00M,613.00M,0.42,0.0,,,0.4238,0.42,0.42,0.0,,,0.4238,0.42,897.00M,899.00M,0.09
2008-12,4.91B,4.91B,3.686B,1.224B,,61.00M,,-26.00M,48.00M,4.00M,-44.00M,0.00,61.00M,1.163B,4.00M,48.00M,-44.00M,-26.00M,-44.00M,1.093B,342.00M,751.00M,-308.00M,,25.00M,468.00M,793.86M,1.344B,203.00M,1.141B,0.87,-0.35,,,0.89,0.52,0.86,-0.35,,,0.8799,0.52,895.00M,897.00M,0.09
2008-09,4.853B,4.853B,3.725B,1.128B,,78.00M,,-4.00M,35.00M,6.00M,-29.00M,-1.00M,77.00M,1.051B,6.00M,35.00M,-29.00M,-4.00M,-29.00M,1.018B,343.00M,675.00M,0.00,,-3.00M,672.00M,674.65M,1.246B,193.00M,1.053B,0.76,0.0,,,0.763,0.76,0.74,0.0,,,0.7429,0.74,882.00M,908.00M,0.09
2008-06,4.487B,4.487B,3.492B,995.00M,,71.00M,,-2.00M,42.00M,9.00M,-33.00M,-25.00M,46.00M,949.00M,9.00M,42.00M,-33.00M,-2.00M,-33.00M,914.00M,288.00M,626.00M,-116.00M,,-6.00M,504.00M,621.37M,1.134B,178.00M,956.00M,0.71,-0.13,,,0.7116,0.58,0.68,-0.13,,,0.6815,0.55,875.00M,918.00M,0.09
2008-03,4.029B,4.029B,3.146B,883.00M,,72.00M,,-1.00M,42.00M,20.00M,-22.00M,-36.00M,36.00M,847.00M,20.00M,42.00M,-22.00M,-1.00M,-22.00M,824.00M,238.00M,586.00M,1.00M,,-7.00M,580.00M,579.71M,1.03B,164.00M,866.00M,0.66,0.0,,,0.6608,0.66,0.63,0.0,,,0.6308,0.63,879.00M,914.00M,0.09
2007-12,4.179B,4.179B,3.194B,985.00M,,79.00M,,-53.00M,,,,-1.00M,78.00M,907.00M,,,,-53.00M,,893.00M,212.00M,674.00M,16.00M,,,690.00M,714.42M,1.189B,166.00M,1.023B,0.76,0.03,,,0.8061,0.79,0.73,0.03,,,0.7741,0.76,877.00M,917.00M,0.09
2007-09,3.928B,3.928B,2.956B,972.00M,,63.00M,,-2.00M,,,,-1.00M,62.00M,910.00M,,,,-2.00M,,896.00M,152.00M,726.00M,1.00M,,-18.00M,727.00M,727.66M,1.056B,146.00M,910.00M,0.83,0.0,,,0.8319,0.83,0.79,0.0,,,0.7918,0.79,880.00M,917.00M,0.09
2007-06,3.735B,3.735B,2.809B,926.00M,,82.00M,,47.00M,,,,-49.00M,33.00M,893.00M,,,,47.00M,,886.00M,284.00M,595.00M,935.00M,,-7.00M,1.53B,563.07M,1.033B,140.00M,893.00M,0.66,1.03,,,0.6247,1.69,0.63,0.99,,,0.5961,1.62,905.00M,942.00M,0.09
2007-03,3.422B,3.422B,2.566B,856.00M,,69.00M,,-2.00M,,,,-1.00M,68.00M,788.00M,,,,-2.00M,,785.00M,259.00M,529.00M,23.00M,,3.00M,552.00M,530.34M,919.00M,131.00M,788.00M,0.53,0.02,,,0.5314,0.55,0.52,0.02,,,0.5213,0.54,992.00M,1.025B,0.075
2006-12,3.509B,3.509B,2.533B,976.00M,,99.00M,,38.00M,,,,-46.00M,53.00M,923.00M,,,,38.00M,,909.00M,278.00M,627.00M,31.00M,,-4.00M,658.00M,600.62M,1.047B,124.00M,923.00M,0.63,0.03,,,0.6034,0.66,0.61,0.03,,,0.5844,0.64,993.00M,1.03B,0.075
2006-09,3.392B,3.392B,2.439B,953.00M,,84.00M,,-4.00M,,,,-1.00M,83.00M,870.00M,,,,-4.00M,,863.00M,257.00M,603.00M,8.00M,,-3.00M,611.00M,605.81M,992.00M,122.00M,870.00M,0.6,0.01,,,0.6028,0.61,0.57,0.01,,,0.5727,0.58,1.011B,1.048B,0.075
2006-06,3.116B,3.116B,2.284B,832.00M,,73.00M,,-2.00M,,,,-1.00M,72.00M,760.00M,,,,-2.00M,,752.00M,245.00M,498.00M,93.00M,,-9.00M,591.00M,499.35M,877.00M,117.00M,760.00M,0.49,0.09,,,0.4913,0.58,0.47,0.08,,,0.4713,0.55,1.026B,1.07B,0.075
2006-03,2.938B,2.938B,2.17B,768.00M,,86.00M,,12.00M,,,,-10.00M,76.00M,692.00M,,,,12.00M,,675.00M,223.00M,449.00M,7.00M,,-3.00M,456.00M,440.96M,809.00M,117.00M,692.00M,0.44,0.04,,,0.4322,0.48,0.42,0.04,,,0.4125,0.46,1.024B,1.068B,0.075
2005-12,-4.598B,-4.598B,-4.975B,377.00M,,8.00M,,-105.00M,,,,56.00M,64.00M,313.00M,,,,-75.00M,,278.00M,-580.00M,872.00M,230.00M,,24.00M,1.102B,935.00M,384.00M,71.00M,313.00M,1.08,0.01,,,1.1420000000000001,1.09,1.04,0.01,,,1.1,1.05,1.022B,1.056B,0.0625
2005-09,4.965B,4.965B,4.228B,737.00M,,89.00M,,81.00M,,,,-32.00M,57.00M,680.00M,,,,28.00M,,642.00M,129.00M,492.00M,7.00M,,-21.00M,499.00M,427.28M,805.00M,125.00M,680.00M,0.49,0.01,,,0.426,0.5,0.47,0.01,,,0.4084,0.48,1.012B,1.05B,0.0625
2005-06,4.974B,4.974B,4.284B,690.00M,,96.00M,,-7.00M,,,,-2.00M,94.00M,596.00M,,,,-8.00M,,544.00M,150.00M,384.00M,8.00M,,-10.00M,392.00M,389.07M,723.00M,127.00M,596.00M,0.38,0.01,,,0.385,0.39,0.37,0.01,,,0.3749,0.38,1.006B,1.026B,0.0625
2005-03,4.759B,4.783B,4.216B,567.00M,,101.00M,,107.00M,,,,-109.00M,-8.00M,575.00M,,,,131.00M,,533.00M,166.00M,359.00M,6.00M,,-8.00M,365.00M,285.32M,700.00M,125.00M,575.00M,0.36,0.005,,,0.2865,0.365,0.355,0.005,,,0.2828,0.36,1.002B,1.02B,0.0625
2004-12,4.599B,4.599B,4.209B,390.00M,,90.00M,,21.00M,,,,26.00M,116.00M,274.00M,,,,35.00M,,280.00M,104.00M,170.00M,-373.00M,,-6.00M,-203.00M,156.80M,409.00M,135.00M,274.00M,0.195,-0.425,,,0.1799,-0.23,0.19,-0.425,,,0.175,-0.23,874.00M,882.00M,0.0625
2004-09,4.795B,4.795B,4.391B,404.00M,,97.00M,,39.00M,,,,-35.00M,62.00M,342.00M,,,,34.00M,,303.00M,111.00M,186.00M,-230.00M,,-6.00M,-44.00M,161.29M,460.00M,118.00M,342.00M,0.215,-0.27,,,0.1868,-0.055,0.21,-0.27,,,0.182,-0.055,876.00M,884.00M,0.0625
2004-06,4.963B,4.963B,4.904B,59.00M,,78.00M,,-8.00M,,,,7.00M,85.00M,-26.00M,,,,-15.00M,,-80.00M,-29.00M,-58.00M,-609.00M,,-7.00M,-667.00M,-52.90M,98.00M,124.00M,-26.00M,-0.065,-0.695,,,-0.0592,-0.76,-0.065,-0.695,,,-0.0592,-0.76,874.00M,874.00M,0.0625
2004-03,5.527B,5.527B,5.248B,279.00M,,96.00M,,2.00M,,,,8.00M,104.00M,175.00M,,,,-6.00M,,131.00M,49.00M,76.00M,-141.00M,,-6.00M,-65.00M,74.75M,307.00M,132.00M,175.00M,0.085,-0.16,,,0.0836,-0.075,0.085,-0.16,,,0.0836,-0.075,872.00M,880.00M,0.0625
