,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,525.70M,,,,563.69M,563.69M,252.39M,4.382M,-351.37M,-170.00M,19.29M,,382.12M,,,-304.35M,-72.94M,921.86M,,-1.054B,,-63.79M,,-16.59M,12.96M,-1.058B,,1.176B,-548.01M,628.28M,0.031M,,0.031M,0.00,0.00,0.00,-186.21M,-4.58M,-190.79M,2.507M,440.03M,,935.47M,304.20M,,1.240B,,0.031M,-2.417B,3.593B,0.00,,194.44M,,AOR,
2020-06,365.11M,,,,562.62M,562.62M,99.74M,6.773M,-481.84M,-101.35M,-4.508M,,186.36M,,,156.34M,236.85M,789.25M,,-1.145B,,-3.625M,,-28.41M,21.02M,-1.153B,,27.32M,4.403M,31.73M,1.789M,,1.789M,,0.00,0.00,-186.15M,-4.579M,-190.73M,-7.692M,-164.91M,,1.464B,-528.36M,,935.47M,,1.789M,2.006B,-1.978B,0.00,,201.78M,,AOR,
2020-03,123.29M,,,,568.60M,568.60M,-31.40M,4.962M,607.13M,70.36M,-15.39M,,-176.76M,,,-491.73M,-613.52M,659.06M,,-1.154B,,-109.97M,,-28.99M,137.08M,-1.045B,,1.581B,-4.911M,1.576B,39.96M,,39.96M,,0.00,0.00,-185.76M,-4.763M,-190.53M,-0.756M,1.425B,,425.72M,1.038B,,1.464B,,39.96M,3.195B,-1.615B,0.00,,203.47M,,AOR,
2019-12,389.60M,,,,547.64M,547.64M,-179.77M,1.503M,-239.08M,129.78M,-13.77M,,88.24M,,,-25.44M,178.79M,698.68M,,-1.497B,,-378.66M,,-39.50M,50.78M,-1.485B,,411.16M,28.94M,440.10M,4.559M,,4.559M,-0.298M,0.00,-0.298M,-185.16M,-4.11M,-189.28M,1.443M,256.53M,,955.83M,-530.11M,,425.72M,,4.261M,8.031B,-7.619B,0.00,,193.59M,,AOR,
2019-09,369.46M,,,,565.87M,565.87M,147.97M,198.49M,60.14M,-103.75M,-1.053M,,-122.82M,,,-49.46M,-277.08M,1.065B,,-984.86M,,-0.653M,,-32.89M,17.82M,-999.92M,,96.80M,282.33M,379.13M,31.51M,,31.51M,33.49M,0.00,33.49M,-180.96M,-4.109M,-185.06M,-4.069M,254.99M,,635.91M,319.92M,,955.83M,,64.99M,-4.118B,4.214B,0.00,,196.06M,,AOR,Restated
2019-06,240.53M,,,,538.58M,538.58M,120.86M,1.222M,-182.20M,-166.96M,-8.945M,,71.08M,,,-62.28M,-167.10M,551.90M,,-1.160B,,-16.08M,,11.02M,74.91M,-1.074B,,31.68M,-306.86M,-275.18M,629.87M,,629.87M,,0.00,0.00,-172.86M,-4.11M,-176.97M,-3.161M,174.56M,,983.50M,-347.59M,,635.91M,,629.87M,1.947B,-1.916B,0.00,,173.63M,,AOR,Restated
2019-03,258.65M,,,,530.22M,530.22M,104.88M,25.46M,-278.00M,39.70M,-4.401M,,-128.24M,,,-47.08M,-140.02M,501.19M,,-990.07M,,-38.44M,,4.163M,34.95M,-950.96M,,1.145B,-0.017M,1.145B,35.58M,,35.58M,,-50.00M,-50.00M,-172.59M,-4.109M,-176.70M,-1.945M,952.29M,,480.98M,502.52M,,983.50M,,35.58M,3.444B,-2.299B,-50.00M,,214.94M,,AOR,Restated
2018-12,-62.32M,,,,523.21M,523.21M,-339.49M,281.48M,285.31M,252.25M,-3.889M,,27.74M,,,-438.54M,-162.44M,525.74M,,-1.217B,,-158.39M,,-10.00M,121.85M,-1.106B,,-352.51M,-4.339M,-356.85M,577.94M,,577.94M,73.33M,-53.87M,19.46M,-164.84M,-3.868M,-168.71M,0.913M,72.76M,,987.98M,-507.01M,,480.98M,,651.27M,2.431B,-2.784B,-53.87M,1.625M,176.46M,,AOR,Restated
2018-09,539.82M,,,,489.74M,489.74M,-6.091M,158.76M,-289.20M,-108.19M,41.22M,,26.74M,,,-73.22M,-113.44M,779.58M,,-1.078B,,-80.50M,,-9.399M,16.74M,-1.071B,,632.25M,-37.42M,594.82M,20.96M,0.00,20.96M,0.00,0.00,0.00,-161.04M,-3.439M,-164.48M,15.11M,466.40M,,812.79M,175.19M,,987.98M,,20.96M,2.245B,-1.613B,0.00,4.055M,195.75M,,AOR,Restated
2018-06,248.86M,,,,502.43M,502.43M,-15.88M,25.70M,114.48M,-176.66M,24.77M,,222.48M,,,-423.66M,-353.07M,522.53M,,-994.61M,,-40.67M,,-20.82M,60.18M,-955.25M,,-981.66M,1.179B,197.31M,1.739M,,1.739M,,0.00,0.00,-160.93M,-3.439M,-164.37M,5.241M,39.92M,,1.206B,-392.81M,,812.79M,,1.739M,853.47M,-1.835B,0.00,14.14M,177.02M,,AOR,Restated
