,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,10.96B,10.96B,78.00M,5.702B,5.78B,5.78B,346.00M,1.486B,3.487B,736.00M,2.751B,,,-34.00M,120.00M,2.717B,2.717B,853.00M,4.057B,1.68,,,,1.68,1.68,1.66,,,,1.66,1.66,1.542B,1.566B,0.35
2020-06,12.70B,12.70B,63.00M,6.624B,6.687B,6.687B,275.00M,1.60B,4.355B,1.119B,3.236B,,,-40.00M,149.00M,3.196B,3.196B,686.00M,5.113B,1.98,,,,1.98,1.98,1.96,,,,1.96,1.96,1.541B,1.557B,0.35
2020-03,8.747B,8.747B,132.00M,4.846B,4.978B,4.978B,38.00M,1.356B,2.146B,366.00M,1.78B,,,-82.00M,108.00M,1.698B,1.698B,824.00M,4.293B,1.02,,,,1.02,1.02,1.01,,,,1.01,1.01,1.555B,1.573B,0.35
2019-12,10.22B,10.22B,200.00M,5.795B,5.995B,5.995B,739.00M,1.433B,2.733B,428.00M,2.305B,,,-66.00M,154.00M,2.239B,2.239B,656.00M,5.252B,1.325,0.0,,,1.325,1.33,1.301,0.0,,,1.301,1.3,1.572B,1.601B,0.35
2019-09,9.395B,9.395B,157.00M,4.984B,5.141B,5.141B,87.00M,1.218B,2.71B,492.00M,2.218B,,,-45.00M,113.00M,2.173B,2.173B,654.00M,5.842B,1.28,,,,1.28,1.28,1.27,,,,1.27,1.27,1.604B,1.627B,0.35
2019-06,9.614B,9.614B,162.00M,5.069B,5.231B,5.231B,441.00M,1.029B,2.903B,657.00M,2.246B,,,-45.00M,170.00M,2.201B,2.201B,675.00M,6.38B,1.24,,,,1.24,1.24,1.23,,,,1.23,1.23,1.634B,1.655B,0.3
2019-03,9.693B,9.693B,141.00M,5.183B,5.324B,5.324B,273.00M,1.014B,2.955B,487.00M,2.468B,,,-39.00M,93.00M,2.429B,2.429B,658.00M,6.231B,1.41,,,,1.41,1.41,1.39,,,,1.39,1.39,1.658B,1.677B,0.3
2018-12,7.95B,7.95B,220.00M,4.316B,4.536B,4.536B,28.00M,989.00M,1.857B,300.00M,1.557B,1.00M,,-27.00M,170.00M,1.531B,1.53B,469.00M,4.979B,0.8124,0.0006,,,0.8124,0.81,0.7977,0.0006,,,0.7977,0.8,1.675B,1.705B,0.3
2018-09,9.313B,9.313B,152.00M,4.823B,4.975B,4.975B,136.00M,936.00M,2.851B,696.00M,2.155B,-1.00M,,-42.00M,93.00M,2.112B,2.113B,468.00M,5.542B,1.19,-0.0006,,,1.19,1.19,1.17,-0.0006,,,1.17,1.17,1.697B,1.727B,0.3
2018-06,10.00B,10.00B,179.00M,5.117B,5.296B,5.296B,147.00M,906.00M,3.109B,640.00M,2.469B,-2.00M,,-30.00M,170.00M,2.437B,2.439B,517.00M,5.497B,1.319,-0.0012,,,1.319,1.32,1.298,-0.0012,,,1.298,1.3,1.72B,1.748B,0.25
2018-03,10.45B,10.45B,140.00M,5.392B,5.532B,5.532B,126.00M,975.00M,3.42B,714.00M,2.706B,-2.00M,,-36.00M,93.00M,2.668B,2.67B,390.00M,5.305B,1.4809999999999999,-0.0011,,,1.4809999999999999,1.48,1.455,-0.0011,,,1.455,1.45,1.74B,1.771B,0.25
