,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,13.84B,94.77B,,94.77B,72.54B,,72.54B,255.59B,,,,7.348B,1.88B,9.228B,147.15B,913.00M,146.24B,424.67B,599.54B,955.94B,192.30B,,,192.30B,,192.30B,,4.553B,4.553B,4.553B,383.24B,198.89B,198.89B,239.25B,,1.424B,,438.14B,866.12B,8.54B,76.06B,24.02B,19.68B,8.52B,,,-537.00M,88.39B
2020-06,12.41B,106.28B,,106.28B,62.29B,,62.29B,265.18B,,,,7.329B,1.958B,9.287B,142.84B,866.00M,141.97B,433.01B,603.35B,975.36B,198.97B,,,198.97B,,198.97B,,3.226B,3.226B,3.226B,402.80B,202.24B,202.24B,236.85B,,1.364B,,439.09B,887.35B,8.54B,74.02B,23.78B,19.69B,8.52B,,,1.00M,86.64B
2020-03,11.57B,131.51B,,131.51B,74.42B,,74.42B,310.73B,,,,7.125B,2.021B,9.146B,149.31B,617.00M,148.70B,387.07B,564.76B,947.80B,198.07B,,,198.07B,,198.07B,,2.211B,2.211B,2.211B,388.18B,192.64B,192.64B,235.24B,,1.368B,,427.88B,860.57B,8.54B,71.52B,23.43B,19.72B,8.52B,,,2.095B,85.86B
2019-12,4.293B,49.66B,,49.66B,55.65B,,55.65B,193.53B,,,,7.143B,2.107B,9.25B,130.99B,349.00M,130.64B,402.84B,562.84B,895.43B,197.83B,,,197.83B,,197.83B,,2.567B,2.567B,2.567B,387.96B,190.06B,190.06B,190.36B,,1.148B,,380.42B,812.73B,8.54B,70.59B,23.94B,18.73B,8.52B,,,-2.788B,81.55B
2019-09,35.72B,48.92B,,48.92B,59.51B,,59.51B,201.80B,,,,7.139B,2.211B,9.35B,125.82B,297.00M,125.52B,383.21B,537.67B,902.60B,202.92B,,,202.92B,,202.92B,,1.297B,1.297B,1.297B,407.08B,192.36B,192.36B,180.74B,,1.168B,,373.10B,819.05B,8.54B,69.07B,23.65B,17.28B,8.52B,,,-1.598B,82.38B
2019-06,38.26B,49.14B,,49.14B,53.38B,,53.38B,187.92B,,,,7.158B,2.276B,9.434B,121.17B,265.00M,120.90B,390.03B,540.02B,891.96B,192.10B,,,192.10B,,192.10B,,1.776B,1.776B,1.776B,395.57B,196.07B,196.07B,176.59B,,1.121B,,372.66B,809.11B,8.54B,67.59B,23.45B,15.80B,8.52B,,,-2.051B,81.72B
2019-03,35.47B,49.97B,,49.97B,52.67B,,52.67B,199.21B,,,,6.686B,2.084B,8.77B,116.46B,259.00M,116.20B,362.76B,507.15B,875.96B,193.09B,,,193.09B,,193.09B,,1.498B,1.498B,1.498B,387.10B,189.19B,189.19B,179.73B,,1.168B,,368.92B,794.07B,8.54B,66.06B,23.18B,14.58B,8.52B,,,-2.473B,80.72B
2018-12,30.54B,51.84B,,51.84B,53.30B,,53.30B,203.66B,,,,6.688B,2.163B,8.851B,115.82B,238.00M,115.58B,358.13B,498.20B,853.53B,179.56B,,,179.56B,,179.56B,,1.545B,1.545B,1.545B,357.61B,188.12B,188.12B,187.82B,,1.16B,,375.94B,772.12B,8.54B,64.18B,23.79B,13.97B,8.52B,,,-2.292B,80.25B
2018-09,36.64B,59.28B,,59.28B,60.84B,,60.84B,189.20B,,,,6.68B,2.24B,8.92B,110.21B,231.00M,109.98B,365.76B,500.62B,865.52B,191.03B,,,191.03B,,191.03B,,940.00M,940.00M,940.00M,381.33B,189.95B,189.95B,175.18B,,1.371B,,365.13B,785.44B,8.54B,63.33B,23.66B,12.83B,8.52B,,,-3.999B,78.70B
2018-06,30.18B,48.88B,,48.88B,61.71B,,61.71B,204.52B,,,,6.692B,2.332B,9.024B,112.35B,241.00M,112.11B,348.39B,485.40B,875.88B,201.74B,,,201.74B,,201.74B,,2.329B,2.329B,2.329B,394.08B,189.92B,189.92B,172.80B,,1.397B,,362.72B,795.37B,8.54B,61.84B,23.45B,11.65B,8.52B,,,-3.07B,79.11B
