,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,398.00M,0.00,,0.00,,,146.00M,146.00M,,,,-719.00M,-65.00M,1.084B,,308.00M,608.00M,,1.152B,-96.00M,,,,,,0.00,-96.00M,2.00M,-12.00M,-10.00M,13.00M,0.00,13.00M,-77.00M,-77.00M,,-74.00M,2.546B,982.00M,13.00M,3.541B,13.00M,2.00M,0.00,0.00
2020-06,25.00M,0.00,,0.00,,,133.00M,133.00M,,,,-69.00M,426.00M,-686.00M,,240.00M,-89.00M,,69.00M,-73.00M,,,,,,1.00M,-72.00M,486.00M,-694.00M,-208.00M,0.00,0.00,0.00,-80.00M,-80.00M,,-288.00M,2.837B,-291.00M,0.00,2.546B,0.00,488.00M,-2.00M,0.00
2020-03,147.00M,,,,,,135.00M,135.00M,,,,125.00M,-203.00M,-812.00M,,-206.00M,-1.096B,,-814.00M,-82.00M,,,,,,26.00M,-56.00M,-25.00M,2.111B,2.086B,3.00M,-121.00M,-118.00M,-75.00M,-75.00M,,1.893B,1.952B,1.023B,-138.00M,2.837B,3.00M,541.00M,-566.00M,-121.00M
2019-12,288.00M,0.00,,0.00,,,144.00M,144.00M,,,,430.00M,486.00M,366.00M,,82.00M,1.364B,,1.796B,-226.00M,,,,,,139.00M,-87.00M,-2.00M,-660.00M,-662.00M,3.00M,-48.00M,-45.00M,-76.00M,-76.00M,0.00,-783.00M,999.00M,926.00M,27.00M,1.952B,3.00M,1.00M,-3.00M,-48.00M
2019-09,364.00M,-516.00M,,-516.00M,,,141.00M,141.00M,,,,-266.00M,49.00M,380.00M,,103.00M,266.00M,,255.00M,-109.00M,,,,,,1.027B,918.00M,-1.00M,-1.182B,-1.183B,1.00M,-50.00M,-49.00M,-80.00M,-80.00M,-7.00M,-1.319B,1.209B,-146.00M,-64.00M,999.00M,1.00M,2.00M,-3.00M,-50.00M
2019-06,72.00M,79.00M,,79.00M,,,160.00M,160.00M,,,,-212.00M,-99.00M,32.00M,,42.00M,-237.00M,,74.00M,-112.00M,,,,,,3.00M,-109.00M,-2.00M,128.00M,126.00M,1.00M,0.00,1.00M,-76.00M,-76.00M,,51.00M,1.195B,16.00M,-2.00M,1.209B,1.00M,2.00M,-4.00M,0.00
2019-03,474.00M,,,,,,142.00M,142.00M,,,,-39.00M,-475.00M,-614.00M,,-383.00M,-1.511B,,-895.00M,-85.00M,,,,,,-1.00M,-86.00M,-244.00M,991.00M,747.00M,3.00M,-50.00M,-47.00M,-73.00M,-73.00M,,627.00M,1.538B,-354.00M,11.00M,1.195B,3.00M,695.00M,-939.00M,-50.00M
2018-12,170.00M,0.00,,0.00,,,154.00M,154.00M,,0.00,0.00,664.00M,344.00M,443.00M,,69.00M,1.52B,,1.844B,-260.00M,,,,,0.00,133.00M,-127.00M,-3.00M,-1.108B,-1.111B,10.00M,-51.00M,-41.00M,-74.00M,-74.00M,-42.00M,-1.268B,1.082B,449.00M,7.00M,1.538B,10.00M,2.00M,-5.00M,-51.00M
2018-09,216.00M,0.00,,0.00,,,152.00M,152.00M,,0.00,0.00,-482.00M,128.00M,262.00M,,-307.00M,-399.00M,,-31.00M,-136.00M,,,,,-23.00M,-4.00M,-163.00M,-2.00M,363.00M,361.00M,0.00,-101.00M,-101.00M,-73.00M,-73.00M,-6.00M,181.00M,1.127B,-13.00M,-32.00M,1.082B,0.00,3.00M,-5.00M,-101.00M
2018-06,-639.00M,0.00,,0.00,,,162.00M,162.00M,,747.00M,747.00M,-188.00M,-24.00M,226.00M,,-155.00M,-141.00M,,129.00M,-128.00M,,,,,0.00,22.00M,-106.00M,328.00M,799.00M,1.127B,2.00M,-1.001B,-999.00M,-81.00M,-81.00M,,47.00M,1.124B,70.00M,-67.00M,1.127B,2.00M,700.00M,-372.00M,-1.001B
