,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,5.291B,5.291B,4.136B,1.155B,513.00M,16.00M,-56.00M,51.00M,22.00M,-29.00M,,529.00M,626.00M,22.00M,51.00M,-29.00M,-56.00M,-29.00M,541.00M,143.00M,398.00M,,,-1.00M,397.00M,438.20M,738.00M,146.00M,592.00M,6.35,,,7.007999999999999,6.35,6.27,,,6.921,6.27,62.60M,63.30M,1.2
2020-06,4.042B,4.042B,3.411B,631.00M,421.00M,15.00M,-118.00M,49.00M,15.00M,-34.00M,,436.00M,195.00M,15.00M,49.00M,-34.00M,-118.00M,-34.00M,43.00M,18.00M,25.00M,,,10.00M,35.00M,121.14M,225.00M,133.00M,92.00M,0.55,,,1.93,0.55,0.55,,,1.9240000000000002,0.55,62.40M,62.70M,1.2
2020-03,4.325B,4.325B,3.625B,700.00M,420.00M,15.00M,-5.00M,42.00M,1.00M,-41.00M,,435.00M,265.00M,1.00M,42.00M,-41.00M,-5.00M,-41.00M,219.00M,72.00M,147.00M,,,5.00M,152.00M,155.36M,396.00M,135.00M,261.00M,2.42,,,2.4730000000000003,2.42,2.41,,,2.463,2.41,62.80M,63.30M,1.2
2019-12,5.382B,5.382B,4.334B,1.048B,562.00M,16.00M,-46.00M,39.00M,-54.00M,-93.00M,,578.00M,470.00M,-54.00M,39.00M,-93.00M,-46.00M,-93.00M,331.00M,43.00M,288.00M,,,0.00,288.00M,328.02M,514.00M,144.00M,370.00M,4.56,,,5.191,4.56,4.52,,,5.146,4.52,63.40M,63.90M,1.2
2019-09,5.091B,5.091B,4.35B,741.00M,491.00M,17.00M,460.00M,45.00M,29.00M,-16.00M,,508.00M,233.00M,29.00M,45.00M,-16.00M,460.00M,-16.00M,677.00M,313.00M,364.00M,,,-6.00M,358.00M,22.20M,863.00M,141.00M,722.00M,5.62,,,0.3401,5.62,5.57,,,0.3395,5.57,63.60M,64.20M,1.2
2019-06,5.186B,5.186B,4.254B,932.00M,584.00M,18.00M,-139.00M,52.00M,63.00M,11.00M,,602.00M,330.00M,63.00M,52.00M,11.00M,-139.00M,11.00M,202.00M,130.00M,72.00M,,,-5.00M,67.00M,168.47M,414.00M,160.00M,254.00M,1.04,,,2.63,1.04,1.04,,,2.6180000000000003,1.04,63.80M,64.30M,1.2
2019-03,4.76B,4.76B,3.948B,812.00M,505.00M,18.00M,-26.00M,51.00M,130.00M,79.00M,,523.00M,289.00M,130.00M,51.00M,79.00M,-26.00M,79.00M,342.00M,-132.00M,474.00M,,,-3.00M,471.00M,489.98M,535.00M,142.00M,393.00M,7.36,,,7.657,7.36,7.31,,,7.604,7.31,64.00M,64.50M,1.15
2018-12,5.66B,5.66B,4.71B,950.00M,593.00M,17.00M,-31.00M,53.00M,,-53.00M,,610.00M,340.00M,,53.00M,-53.00M,-31.00M,-53.00M,256.00M,86.00M,170.00M,,,0.00,170.00M,190.59M,463.00M,154.00M,309.00M,2.66,,,2.9810000000000003,2.66,2.64,,,2.9610000000000003,2.64,64.20M,64.20M,1.15
2018-09,5.326B,5.326B,4.431B,895.00M,550.00M,18.00M,-28.00M,76.00M,,-76.00M,,568.00M,327.00M,,76.00M,-76.00M,-28.00M,-76.00M,223.00M,7.00M,216.00M,,,-6.00M,210.00M,237.12M,451.00M,152.00M,299.00M,3.25,,,3.67,3.25,3.22,,,3.635,3.22,64.50M,65.30M,1.15
2018-06,5.14B,5.14B,4.26B,880.00M,541.00M,20.00M,-791.00M,137.00M,,-137.00M,,561.00M,319.00M,,137.00M,-137.00M,-791.00M,-137.00M,-609.00M,30.00M,-639.00M,,,-18.00M,-657.00M,-79.57M,-310.00M,162.00M,-472.00M,-9.5,,,-1.1440000000000001,-9.5,-9.5,,,-1.1440000000000001,-9.5,69.10M,69.10M,1.15
