,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.101B,1.101B,1.541B,,1.541B,176.10M,176.10M,,,143.07M,2.961B,,,,,9.983B,,,9.983B,-4.404B,5.579B,3.854B,,3.854B,25.07M,556.26M,10.01B,12.98B,1.591B,7.335M,1.599B,,1.599B,5.426M,,94.50M,94.50M,57.22M,151.72M,,,878.48M,2.634B,3.515B,274.24M,3.789B,24.90M,24.90M,72.31M,4.177M,488.46M,4.306B,6.941B,,,,,5.963B
2020-06,539.62M,539.62M,1.439B,,1.439B,167.63M,167.63M,,,150.84M,2.297B,,,,,9.734B,,,9.734B,-4.294B,5.440B,3.836B,,3.836B,26.63M,549.12M,9.852B,12.15B,1.372B,126.43M,1.498B,,1.498B,145.23M,,82.08M,82.08M,56.63M,138.71M,,,477.10M,2.259B,3.450B,279.75M,3.730B,19.17M,19.17M,72.92M,4.287M,374.62M,4.128B,6.387B,0.85M,6.167B,,0.578M,5.689B
2020-03,54.62M,54.62M,1.487B,,1.487B,162.60M,162.60M,,,130.30M,1.834B,,,,,9.574B,,,9.574B,-4.191B,5.384B,3.837B,,3.837B,23.42M,542.54M,9.786B,11.62B,1.383B,34.78M,1.417B,,1.417B,145.23M,,69.52M,69.52M,57.77M,127.29M,,,,1.690B,3.736B,284.01M,4.020B,34.00M,34.00M,71.83M,3.953M,387.67M,4.445B,6.135B,,,,,5.413B
2019-12,61.27M,61.27M,1.561B,,1.561B,159.89M,159.89M,,,133.93M,1.916B,0.0,613.84M,5.647B,2.430B,326.52M,376.98M,38.58M,9.433B,-4.090B,5.343B,3.870B,,3.870B,22.56M,516.78M,9.752B,11.67B,446.96M,74.12M,521.08M,373.70M,894.77M,144.51M,,87.55M,87.55M,56.44M,143.99M,,,,1.563B,3.897B,270.08M,4.167B,25.07M,25.07M,74.77M,4.333M,329.93M,4.526B,6.089B,0.867M,5.934B,,31.89M,5.504B
2019-09,58.90M,58.90M,1.544B,,1.544B,156.28M,156.28M,,,171.36M,1.931B,,,,,9.297B,,,9.297B,-4.009B,5.288B,3.828B,,3.828B,26.12M,522.04M,9.664B,11.59B,1.344B,0.57M,1.344B,,1.344B,144.12M,,78.08M,78.08M,55.08M,133.16M,,,,1.622B,3.870B,274.25M,4.145B,21.21M,21.21M,74.73M,4.061M,338.87M,4.509B,6.130B,,,,,5.389B
2019-06,61.30M,61.30M,1.601B,,1.601B,153.57M,153.57M,,,148.81M,1.965B,,,,,9.191B,,,9.191B,-3.914B,5.277B,3.843B,,3.843B,23.28M,644.08M,9.788B,11.75B,1.254B,0.479M,1.254B,,1.254B,141.75M,,91.83M,91.83M,56.45M,148.28M,,,,1.544B,4.057B,275.69M,4.333B,37.91M,37.91M,71.36M,3.986M,369.23M,4.744B,6.288B,,,,,5.393B
2019-03,62.73M,62.73M,1.602B,,1.602B,149.93M,149.93M,,,145.38M,1.960B,,,,,9.075B,,,9.075B,-3.819B,5.257B,3.857B,,3.857B,13.56M,633.74M,9.761B,11.72B,1.356B,44.63M,1.400B,,1.400B,128.29M,,71.99M,71.99M,56.14M,128.13M,,,,1.657B,3.822B,286.10M,4.108B,35.98M,35.98M,69.90M,3.843M,364.33M,4.512B,6.169B,,,,,5.482B
2018-12,105.22M,105.22M,1.510B,,1.510B,148.21M,148.21M,,,174.47M,1.938B,0.0,565.61M,5.388B,2.252B,,314.36M,44.02M,8.563B,-3.716B,4.848B,3.845B,,3.845B,14.05M,621.06M,9.328B,11.27B,445.65M,58.65M,504.30M,408.46M,912.76M,129.15M,,63.45M,63.45M,0.00,63.45M,,,,1.449B,3.935B,0.00,3.935B,49.66M,49.66M,76.53M,4.292M,361.81M,4.351B,5.800B,0.914M,5.793B,,4.242M,5.389B
2018-09,83.72M,83.72M,1.543B,,1.543B,144.47M,144.47M,,,169.71M,1.941B,,,,,,,,8.460B,-3.623B,4.837B,3.853B,,3.853B,9.877M,632.98M,9.332B,11.27B,1.436B,0.252M,1.436B,,1.436B,,,,342.42M,,342.42M,,,,1.778B,3.684B,,3.684B,46.76M,46.76M,75.38M,6.389M,319.11M,4.056B,5.834B,,,,,5.364B
2018-06,76.89M,76.89M,1.557B,,1.557B,140.80M,140.80M,,,105.55M,1.881B,,,,,,,,8.281B,-3.528B,4.753B,3.815B,,3.815B,11.05M,609.54M,9.189B,11.07B,1.321B,0.193M,1.321B,,1.321B,,,,126.30M,,126.30M,,,,1.448B,3.864B,,3.864B,49.64M,49.64M,72.63M,6.341M,311.52M,4.232B,5.679B,,,,,5.318B
2018-03,73.05M,73.05M,1.570B,,1.570B,137.25M,137.25M,,,104.62M,1.885B,,,,,,,,8.145B,-3.444B,4.701B,3.843B,,3.843B,11.95M,583.16M,9.139B,11.02B,1.366B,87.00M,1.453B,,1.453B,,,,126.25M,,126.25M,,,,1.580B,3.795B,,3.795B,44.85M,44.85M,70.38M,6.081M,311.90M,4.158B,5.737B,,,,,5.216B
2017-12,74.42M,74.42M,1.501B,,1.501B,136.18M,136.18M,,,86.50M,1.798B,0.0,520.45M,4.953B,2.000B,,402.78M,44.74M,7.921B,-3.349B,4.572B,3.825B,,3.825B,12.79M,554.04M,8.964B,10.76B,441.98M,104.13M,546.12M,413.07M,959.19M,38.56M,,,545.62M,,545.62M,,,,1.848B,3.494B,,3.494B,54.96M,54.96M,61.92M,6.702M,306.30M,3.862B,5.710B,0.942M,5.353B,,7.177M,4.990B
2017-09,65.42M,65.42M,1.452B,,1.452B,135.85M,135.85M,,,101.90M,1.755B,,,,,,,,7.769B,-3.253B,4.516B,3.822B,,3.822B,11.72M,534.70M,8.884B,10.64B,1.285B,0.00,1.285B,,1.285B,,,,112.76M,,112.76M,,,,1.397B,3.927B,,3.927B,78.97M,78.97M,65.00M,7.037M,298.25M,4.312B,5.709B,,,,,4.865B
2017-06,66.45M,66.45M,1.457B,,1.457B,130.70M,130.70M,,,109.02M,1.763B,,,,,,,,7.605B,-3.163B,4.442B,3.803B,,3.803B,13.02M,531.04M,8.789B,10.55B,1.182B,13.72M,1.196B,,1.196B,,,,126.11M,,126.11M,,,,1.322B,3.989B,,3.989B,73.81M,73.81M,64.97M,6.974M,282.73M,4.352B,5.675B,,,,,4.813B
2017-03,62.97M,62.97M,1.448B,,1.448B,126.48M,126.48M,,,94.82M,1.732B,,,,,,,,7.470B,-3.074B,4.397B,3.788B,,3.788B,13.82M,518.32M,8.716B,10.45B,1.283B,108.82M,1.391B,,1.391B,,,,126.06M,,126.06M,,,,1.517B,3.773B,,3.773B,75.47M,75.47M,65.36M,8.848M,272.68M,4.130B,5.647B,,,,,4.736B
2016-12,33.75M,33.75M,1.440B,,1.440B,125.36M,125.36M,,,82.71M,1.681B,0.0,492.73M,4.677B,1.820B,,278.72M,45.77M,7.314B,-2.983B,4.331B,3.784B,,3.784B,14.75M,506.62M,8.636B,10.32B,439.67M,70.35M,510.02M,426.17M,936.19M,,,,105.90M,,105.90M,,,,1.317B,4.030B,,4.030B,88.12M,88.12M,64.37M,9.319M,275.17M,4.403B,5.720B,0.966M,4.891B,,-25.42M,4.533B
2016-09,61.74M,61.74M,1.316B,,1.316B,121.62M,121.62M,,0.00,88.71M,1.588B,,,,,,,,6.928B,-2.900B,4.028B,3.615B,,3.615B,16.89M,425.60M,8.086B,9.674B,1.183B,5.108M,1.188B,,1.188B,,,,91.25M,,91.25M,,,,1.279B,3.543B,,3.543B,82.69M,82.69M,68.41M,9.28M,296.16M,3.931B,5.211B,,,,,4.395B
2016-06,56.27M,56.27M,1.345B,,1.345B,117.71M,117.71M,,2.849M,85.00M,1.607B,,,,,,,,6.722B,-2.820B,3.902B,3.586B,,3.586B,15.32M,430.49M,7.934B,9.541B,1.169B,3.991M,1.173B,,1.173B,,,,94.80M,,94.80M,,,,1.268B,3.499B,,3.499B,90.25M,90.25M,64.95M,8.782M,306.56M,3.905B,5.173B,,,,,4.303B
2016-03,54.59M,54.59M,1.375B,,1.375B,116.72M,116.72M,,0.00,89.39M,1.635B,,,,,,,,6.655B,-2.775B,3.881B,3.595B,,3.595B,16.24M,437.88M,7.930B,9.565B,1.147B,49.79M,1.197B,,1.197B,,,,488.26M,,488.26M,,,,1.685B,2.792B,,2.792B,178.95M,178.95M,62.08M,261.49M,295.68M,3.528B,5.214B,,,,,4.289B
2015-12,61.23M,61.23M,1.302B,,1.302B,116.04M,116.04M,,135.12M,103.49M,1.718B,0.0,451.72M,4.182B,1.659B,,192.13M,45.66M,6.531B,-2.695B,3.836B,3.596B,,3.596B,16.69M,448.36M,7.897B,9.615B,366.24M,64.24M,430.48M,362.09M,792.57M,,,,62.72M,,62.72M,,,,1.100B,3.369B,,3.369B,315.90M,315.90M,59.51M,242.51M,278.83M,4.206B,5.306B,0.983M,4.567B,,-23.13M,4.250B
2015-09,39.52M,39.52M,1.328B,,1.328B,112.72M,112.72M,,134.55M,81.46M,1.697B,,,,,,,,6.516B,-2.740B,3.776B,3.388B,,3.388B,35.11M,310.74M,7.510B,9.207B,1.103B,8.697M,1.111B,,1.111B,,,,84.88M,,84.88M,,,,1.196B,3.010B,,3.010B,264.36M,264.36M,60.62M,250.21M,292.44M,3.817B,5.013B,,,,,4.133B
2015-06,42.46M,42.46M,1.361B,,1.361B,109.12M,109.12M,,124.86M,71.55M,1.709B,,,,,,,,6.372B,-2.686B,3.686B,3.317B,,3.317B,36.93M,329.69M,7.370B,9.079B,1.096B,24.42M,1.121B,,1.121B,,,,73.81M,,73.81M,,,,1.194B,2.962B,,2.962B,271.11M,271.11M,60.05M,250.53M,279.28M,3.762B,4.957B,,,,,4.062B
2015-03,35.08M,35.08M,1.384B,,1.384B,108.27M,108.27M,,109.40M,80.52M,1.717B,,,,,,,,6.301B,-2.611B,3.691B,3.297B,,3.297B,38.76M,340.14M,7.367B,9.084B,1.101B,65.11M,1.166B,,1.166B,,,,89.02M,,89.02M,,,,1.255B,3.052B,,3.052B,280.66M,280.66M,57.43M,254.84M,277.62M,3.865B,5.120B,,,,,3.907B
2014-12,32.07M,32.07M,1.283B,,1.283B,108.12M,108.12M,,114.56M,77.65M,1.615B,0.0,435.63M,3.949B,1.649B,,138.40M,40.78M,6.212B,-2.532B,3.680B,3.291B,,3.291B,40.32M,348.08M,7.359B,8.974B,336.45M,113.56M,450.01M,341.07M,791.08M,,,,68.32M,,68.32M,,,,1.183B,3.210B,,3.210B,282.21M,282.21M,55.13M,239.55M,268.56M,4.001B,5.183B,0.987M,4.015B,,-25.23M,3.736B
2014-09,39.71M,39.71M,1.239B,,1.239B,104.39M,104.39M,,95.20M,143.31M,1.622B,,,,,,,,6.105B,-2.456B,3.649B,3.296B,,3.296B,41.91M,352.26M,7.339B,8.962B,1.084B,0.00,1.084B,,1.084B,,,,81.48M,,81.48M,,,,1.165B,3.373B,,3.373B,253.19M,253.19M,54.12M,231.47M,280.80M,4.139B,5.304B,,,,,3.603B
