,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,4.00M,,5.00M,1.00M,6.00M,12.00M,212.00M,212.00M,22.00M,,,7.00M,,-26.00M,18.00M,-22.00M,,1.00M,,-5.00M,-8.00M,223.00M,,-87.00M,2.00M,-85.00M,,,0.00,-84.00M,,,0.00,0.00,,0.00,0.00,-64.00M,-64.00M,1.00M,-87.00M,-150.00M,,563.00M,-11.00M,1.00M,553.00M,,,0.00,0.00,0.00,,AOR,
2020-06,218.00M,,9.00M,2.00M,-4.00M,7.00M,239.00M,239.00M,-46.00M,,,6.00M,,-33.00M,1.00M,80.00M,,-6.00M,,-40.00M,35.00M,426.00M,,-52.00M,0.00,-52.00M,,,0.00,-52.00M,,,-500.00M,-500.00M,,0.00,0.00,-64.00M,-64.00M,0.00,-1.00M,-565.00M,,753.00M,-191.00M,1.00M,563.00M,,,0.00,-500.00M,0.00,,AOR,
2020-03,91.00M,,0.00,-13.00M,-4.00M,-17.00M,211.00M,211.00M,-50.00M,,,7.00M,,8.00M,-12.00M,-29.00M,,-37.00M,,120.00M,42.00M,292.00M,,-67.00M,0.00,-67.00M,,,2.00M,-65.00M,,,500.00M,500.00M,,-100.00M,-100.00M,-65.00M,-65.00M,3.00M,-96.00M,242.00M,,287.00M,469.00M,-3.00M,753.00M,,,500.00M,,-100.00M,,AOR,
2019-12,94.00M,,3.00M,12.00M,-1.00M,35.00M,212.00M,212.00M,33.00M,,,4.00M,,-46.00M,73.00M,-43.00M,,17.00M,,-77.00M,-30.00M,302.00M,,-107.00M,-1.00M,-108.00M,,,0.00,-108.00M,,,,-769.00M,,-90.00M,-90.00M,-65.00M,-65.00M,2.00M,-8.00M,-930.00M,,1.019B,-736.00M,4.00M,287.00M,,,,-769.00M,-90.00M,,AOR,
2019-09,114.00M,,2.00M,3.00M,13.00M,18.00M,223.00M,223.00M,31.00M,,,7.00M,,-45.00M,-1.00M,-4.00M,,27.00M,,140.00M,162.00M,510.00M,,-143.00M,8.00M,-135.00M,,,15.00M,-120.00M,,,0.00,0.00,,-71.00M,-71.00M,-67.00M,-67.00M,11.00M,-100.00M,-227.00M,,858.00M,163.00M,-2.00M,1.019B,,,0.00,0.00,-71.00M,,AOR,Restated
2019-06,320.00M,,-46.00M,0.00,-2.00M,-48.00M,252.00M,252.00M,71.00M,,,11.00M,,7.00M,-50.00M,122.00M,,-53.00M,,-245.00M,-226.00M,387.00M,,-74.00M,58.00M,-16.00M,,,,-16.00M,,,0.00,0.00,,-122.00M,-122.00M,-66.00M,-66.00M,4.00M,0.00,-184.00M,,671.00M,187.00M,0.00,858.00M,,,0.00,0.00,-122.00M,,AOR,Restated
2019-03,118.00M,,1.00M,3.00M,-8.00M,-4.00M,188.00M,188.00M,14.00M,,,6.00M,,2.00M,-28.00M,-101.00M,,-41.00M,,152.00M,-18.00M,306.00M,,-80.00M,5.00M,-75.00M,,,,-75.00M,,,0.00,0.00,,-87.00M,-87.00M,-67.00M,-67.00M,2.00M,-90.00M,-242.00M,,682.00M,-11.00M,0.00,671.00M,,,0.00,,-87.00M,,AOR,Restated
2018-12,95.00M,,7.00M,-3.00M,2.00M,6.00M,221.00M,221.00M,41.00M,,,5.00M,,-2.00M,37.00M,-49.00M,,65.00M,,-165.00M,-112.00M,254.00M,,-144.00M,7.00M,-137.00M,,,0.00,-137.00M,,,,,,-380.00M,-380.00M,-70.00M,-70.00M,2.00M,-8.00M,-456.00M,,1.022B,-339.00M,-1.00M,682.00M,,,,,-380.00M,,AOR,Restated
2018-09,71.00M,,-1.00M,-2.00M,-2.00M,-5.00M,233.00M,233.00M,35.00M,,,6.00M,,-9.00M,65.00M,-24.00M,,-19.00M,,292.00M,314.00M,645.00M,,-133.00M,3.00M,-130.00M,,,10.00M,-120.00M,,,,,,-87.00M,-87.00M,-70.00M,-70.00M,6.00M,-80.00M,-231.00M,,728.00M,294.00M,0.00,1.022B,,,,,-87.00M,,AOR,Restated
2018-06,174.00M,,0.00,-4.00M,0.00,-4.00M,241.00M,241.00M,-27.00M,,,5.00M,,-7.00M,-95.00M,118.00M,,44.00M,,-133.00M,-66.00M,316.00M,,-77.00M,8.00M,-69.00M,,,0.00,-63.00M,,,,,,0.00,0.00,-70.00M,-70.00M,2.00M,-388.00M,-456.00M,,936.00M,-203.00M,-5.00M,728.00M,,,,,0.00,,AOR,Restated
