,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,,553.00M,,553.00M,234.00M,,234.00M,39.00M,259.00M,,298.00M,53.00M,,,33.00M,1.171B,0.00,67.00M,891.00M,12.39B,284.00M,307.00M,13.94B,-5.93B,8.008B,2.357B,102.00M,2.459B,86.00M,,,207.00M,10.76B,11.93B,,424.00M,,3.00M,427.00M,,427.00M,,,,,93.00M,93.00M,143.00M,143.00M,,18.00M,681.00M,,3.96B,195.00M,4.155B,1.201B,1.201B,,,,2.649B,419.00M,5.775B,6.456B,,2.00M,1.905B,1.308B,1.00M,,,,-388.00M,2.826B,,AOR,
2020-06,,563.00M,,563.00M,250.00M,,250.00M,44.00M,229.00M,,273.00M,20.00M,,,30.00M,1.136B,0.00,70.00M,889.00M,12.32B,279.00M,240.00M,13.80B,-5.73B,8.07B,2.346B,101.00M,2.447B,94.00M,,,203.00M,10.81B,11.95B,,389.00M,,109.00M,498.00M,,498.00M,,,,,92.00M,92.00M,8.00M,8.00M,,17.00M,615.00M,,3.959B,191.00M,4.15B,1.175B,1.175B,,,,2.703B,434.00M,5.759B,6.374B,,2.00M,1.997B,1.30B,,,,,-426.00M,2.873B,,AOR,
2020-03,,753.00M,,753.00M,251.00M,,251.00M,43.00M,336.00M,,379.00M,78.00M,,,19.00M,1.48B,0.00,70.00M,888.00M,12.24B,287.00M,242.00M,13.73B,-5.505B,8.225B,2.346B,102.00M,2.448B,91.00M,,,197.00M,10.96B,12.44B,,378.00M,,19.00M,397.00M,,397.00M,,,500.00M,500.00M,94.00M,594.00M,239.00M,239.00M,,5.00M,1.235B,,3.958B,197.00M,4.155B,1.217B,1.217B,,,,2.675B,431.00M,5.803B,7.038B,,2.00M,1.961B,1.313B,108.00M,,,,-440.00M,2.728B,,AOR,
2019-12,59.00M,287.00M,,287.00M,229.00M,13.00M,242.00M,40.00M,311.00M,,351.00M,71.00M,,,23.00M,974.00M,0.00,71.00M,890.00M,12.34B,280.00M,236.00M,13.82B,-5.365B,8.45B,2.365B,110.00M,2.475B,88.00M,,,185.00M,11.20B,12.17B,,78.00M,,1.00M,79.00M,359.00M,438.00M,,,,,90.00M,90.00M,119.00M,119.00M,,18.00M,665.00M,,3.957B,193.00M,4.15B,1.246B,1.246B,5.00M,298.00M,15.00M,2.74B,9.00M,5.87B,6.535B,,2.00M,1.958B,1.303B,0.00,,,,-366.00M,2.897B,,AOR,
2019-09,,1.019B,,1.019B,311.00M,,311.00M,43.00M,253.00M,,296.00M,17.00M,,,26.00M,1.669B,0.00,69.00M,887.00M,12.18B,264.00M,249.00M,13.64B,-5.134B,8.511B,2.344B,106.00M,2.45B,87.00M,,,185.00M,11.23B,12.90B,,459.00M,,7.00M,466.00M,,466.00M,,,499.00M,499.00M,87.00M,586.00M,184.00M,184.00M,,9.00M,1.245B,,4.204B,181.00M,4.385B,1.235B,1.235B,,,,2.701B,356.00M,5.976B,7.221B,,2.00M,2.109B,1.317B,74.00M,,,,-374.00M,2.98B,,AOR,Restated
2019-06,52.00M,858.00M,,858.00M,313.00M,,313.00M,40.00M,250.00M,,290.00M,1.00M,,,26.00M,1.488B,0.00,70.00M,882.00M,12.18B,281.00M,275.00M,13.69B,-5.069B,8.617B,2.353B,111.00M,2.464B,101.00M,,,193.00M,11.38B,12.86B,,416.00M,,13.00M,429.00M,,429.00M,,,498.00M,498.00M,89.00M,587.00M,21.00M,21.00M,,5.00M,1.042B,,4.203B,197.00M,4.40B,1.207B,1.207B,,,,2.752B,396.00M,6.003B,7.045B,,2.00M,2.111B,1.299B,2.00M,,,,-344.00M,3.066B,,AOR,Restated
2019-03,,671.00M,,671.00M,264.00M,,264.00M,41.00M,405.00M,,446.00M,1.00M,,,30.00M,1.412B,0.00,70.00M,882.00M,12.16B,285.00M,210.00M,13.61B,-4.853B,8.756B,2.36B,115.00M,2.475B,100.00M,,,199.00M,11.53B,12.94B,,432.00M,,3.00M,435.00M,,435.00M,,,,,85.00M,85.00M,301.00M,301.00M,,5.00M,826.00M,,4.70B,203.00M,4.903B,1.135B,1.135B,,,,2.715B,408.00M,6.446B,7.272B,,2.00M,2.047B,1.311B,64.00M,,,,-341.00M,2.955B,,AOR,Restated
2018-12,34.00M,682.00M,,682.00M,226.00M,9.00M,235.00M,37.00M,272.00M,,309.00M,28.00M,,,20.00M,1.274B,0.00,69.00M,886.00M,12.13B,,225.00M,13.31B,-4.684B,8.623B,2.353B,115.00M,2.468B,93.00M,,,203.00M,11.39B,12.66B,,101.00M,,5.00M,106.00M,444.00M,550.00M,,,,,0.00,0.00,149.00M,149.00M,,6.00M,705.00M,,4.698B,0.00,4.698B,1.117B,1.117B,7.00M,280.00M,16.00M,2.773B,11.00M,6.225B,6.93B,,2.00M,2.463B,1.368B,504.00M,,,,-371.00M,2.958B,,AOR,Restated
2018-09,54.00M,1.022B,,1.022B,273.00M,,273.00M,38.00M,226.00M,,264.00M,17.00M,,,21.00M,1.597B,0.00,70.00M,886.00M,12.17B,,225.00M,13.35B,-4.581B,8.772B,2.361B,119.00M,2.48B,96.00M,,,211.00M,11.56B,13.16B,,467.00M,,0.00,467.00M,,467.00M,,,,,,,313.00M,313.00M,,8.00M,788.00M,,4.697B,,4.697B,1.087B,1.087B,,,,2.727B,421.00M,6.205B,6.993B,,2.00M,2.474B,1.36B,92.00M,,,,-308.00M,3.436B,,AOR,Restated
2018-06,56.00M,728.00M,,728.00M,338.00M,,338.00M,40.00M,217.00M,,257.00M,1.00M,,,24.00M,1.348B,0.00,70.00M,884.00M,12.06B,,257.00M,13.28B,-4.434B,8.841B,2.364B,121.00M,2.485B,94.00M,,,219.00M,11.64B,12.99B,,429.00M,,23.00M,452.00M,,452.00M,,,,,,,21.00M,21.00M,,9.00M,482.00M,,4.695B,,4.695B,1.051B,1.051B,,,,2.766B,437.00M,6.183B,6.665B,,2.00M,2.514B,1.349B,,,,,-309.00M,3.556B,,AOR,Restated
2018-03,472.00M,936.00M,,936.00M,247.00M,,247.00M,38.00M,363.00M,,401.00M,55.00M,,,21.00M,1.66B,0.00,71.00M,885.00M,12.14B,,202.00M,13.30B,-4.266B,9.031B,2.381B,131.00M,2.512B,100.00M,,,219.00M,11.86B,13.52B,,447.00M,,10.00M,457.00M,,457.00M,,,,,,,154.00M,154.00M,,15.00M,626.00M,,4.693B,,4.693B,1.076B,1.076B,,,,3.071B,462.00M,6.231B,6.857B,,2.00M,2.436B,1.405B,1.00M,,,,-248.00M,3.594B,,AOR,Restated
2017-12,120.00M,835.00M,,835.00M,297.00M,10.00M,307.00M,42.00M,233.00M,,275.00M,33.00M,,,15.00M,1.465B,0.00,71.00M,882.00M,12.07B,,223.00M,13.25B,-4.071B,9.175B,2.371B,129.00M,2.50B,108.00M,,,215.00M,12.00B,13.46B,,99.00M,,2.00M,101.00M,373.00M,474.00M,,,,,,,89.00M,89.00M,,17.00M,580.00M,,4.692B,,4.692B,1.047B,1.047B,7.00M,324.00M,20.00M,3.105B,16.00M,6.199B,6.779B,,2.00M,2.443B,1.397B,0.00,,,,-263.00M,3.579B,,AOR,Restated
2017-09,115.00M,1.992B,,1.992B,279.00M,,279.00M,39.00M,277.00M,,316.00M,42.00M,0.00,,22.00M,2.651B,0.00,70.00M,882.00M,12.06B,,248.00M,13.26B,-3.886B,9.372B,2.369B,130.00M,2.499B,109.00M,,,226.00M,12.21B,14.86B,,635.00M,,7.00M,642.00M,,642.00M,,,,798.00M,,798.00M,92.00M,92.00M,,19.00M,1.551B,,4.988B,,4.988B,1.592B,1.592B,,,,3.073B,486.00M,7.066B,8.617B,,2.00M,2.048B,1.392B,0.00,,,,-275.00M,3.167B,,AOR,Restated
