,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,847.00M,847.00M,764.00M,83.00M,49.00M,49.00M,,46.00M,0.00,-48.00M,-4.00M,45.00M,38.00M,0.00,46.00M,-48.00M,1.00M,-48.00M,-9.00M,-13.00M,4.00M,-32.00M,-28.00M,-28.00M,249.00M,212.00M,37.00M,,-0.13,,-0.13,-0.13,,-0.13,,-0.13,-0.13,,213.90M,213.90M,0.30,,AOR,
2020-06,1.204B,1.204B,870.00M,334.00M,51.00M,51.00M,,47.00M,17.00M,-32.00M,6.00M,57.00M,277.00M,17.00M,47.00M,-32.00M,6.00M,-32.00M,251.00M,33.00M,218.00M,-28.00M,190.00M,190.00M,537.00M,239.00M,298.00M,,0.89,,0.89,0.89,,0.89,,0.89,0.89,,214.50M,214.60M,0.30,,AOR,
2020-03,971.00M,971.00M,767.00M,204.00M,,54.00M,,46.00M,5.00M,-43.00M,6.00M,60.00M,144.00M,5.00M,46.00M,-43.00M,3.00M,-43.00M,104.00M,13.00M,91.00M,-23.00M,68.00M,68.00M,361.00M,211.00M,150.00M,,0.31,,0.31,0.31,,0.31,,0.31,0.31,,216.00M,216.60M,0.30,,AOR,
2019-12,1.049B,1.049B,822.00M,227.00M,63.00M,63.00M,,52.00M,8.00M,-47.00M,64.00M,127.00M,100.00M,8.00M,52.00M,-47.00M,54.00M,-47.00M,107.00M,13.00M,94.00M,-39.00M,55.00M,55.00M,371.00M,212.00M,159.00M,,0.26,,0.26,0.26,,0.25,,0.25,0.25,,217.20M,218.90M,0.30,,AOR,
2019-09,1.038B,1.038B,810.00M,228.00M,56.00M,56.00M,,59.00M,4.00M,-59.00M,-30.00M,26.00M,202.00M,4.00M,59.00M,-59.00M,-10.00M,-59.00M,133.00M,19.00M,114.00M,-49.00M,65.00M,65.00M,415.00M,223.00M,192.00M,,0.29,,0.29,0.29,,0.29,,0.29,0.29,,219.00M,220.70M,0.30,,AOR,Restated
2019-06,1.502B,1.502B,1.003B,499.00M,62.00M,62.00M,,56.00M,4.00M,-55.00M,-37.00M,25.00M,474.00M,4.00M,56.00M,-55.00M,3.00M,-55.00M,422.00M,102.00M,320.00M,-37.00M,283.00M,283.00M,730.00M,252.00M,478.00M,,1.28,,1.28,1.28,,1.28,,1.28,1.28,,221.10M,222.30M,0.30,,AOR,Restated
2019-03,1.001B,1.001B,781.00M,220.00M,,58.00M,,57.00M,4.00M,-56.00M,4.00M,62.00M,158.00M,4.00M,57.00M,-56.00M,8.00M,-56.00M,110.00M,-8.00M,118.00M,-28.00M,90.00M,90.00M,355.00M,188.00M,167.00M,,0.40,,0.40,0.40,,0.40,,0.40,0.40,,223.40M,224.60M,0.30,,AOR,Restated
2018-12,1.132B,1.132B,890.00M,242.00M,51.00M,51.00M,,58.00M,4.00M,-57.00M,10.00M,61.00M,181.00M,4.00M,58.00M,-57.00M,17.00M,-57.00M,141.00M,46.00M,95.00M,-46.00M,49.00M,49.00M,420.00M,221.00M,199.00M,,0.21,,0.21,0.21,,0.21,,0.21,0.21,,229.00M,230.50M,0.30,,AOR,Restated
2018-09,1.04B,1.04B,867.00M,173.00M,53.00M,53.00M,,56.00M,4.00M,-55.00M,-11.00M,42.00M,131.00M,4.00M,56.00M,-55.00M,7.00M,-55.00M,83.00M,12.00M,71.00M,-41.00M,30.00M,30.00M,372.00M,233.00M,139.00M,,0.13,,0.13,0.13,,0.13,,0.13,0.13,,233.50M,235.20M,0.30,,AOR,Restated
2018-06,1.30B,1.30B,988.00M,312.00M,53.00M,53.00M,,57.00M,2.00M,-59.00M,3.00M,56.00M,256.00M,2.00M,57.00M,-59.00M,21.00M,-59.00M,218.00M,44.00M,174.00M,-26.00M,148.00M,148.00M,516.00M,241.00M,275.00M,,0.63,,0.63,0.63,,0.63,,0.63,0.63,,234.00M,234.90M,0.30,,AOR,Restated
2018-03,957.00M,957.00M,767.00M,190.00M,57.00M,57.00M,,57.00M,3.00M,-57.00M,-21.00M,36.00M,154.00M,3.00M,57.00M,-57.00M,8.00M,-57.00M,105.00M,17.00M,88.00M,-25.00M,63.00M,63.00M,355.00M,193.00M,162.00M,,0.27,,0.27,0.27,,0.27,,0.27,0.27,,233.90M,234.80M,0.30,,AOR,Restated
2017-12,1.099B,1.099B,956.00M,143.00M,51.00M,51.00M,,71.00M,4.00M,-70.00M,-5.00M,46.00M,97.00M,4.00M,71.00M,-70.00M,-44.00M,-70.00M,-17.00M,-520.00M,503.00M,-38.00M,465.00M,465.00M,289.00M,235.00M,54.00M,,1.99,,1.99,1.99,,1.98,,1.98,1.98,,234.40M,236.00M,0.30,,AOR,Restated
2017-09,870.00M,870.00M,859.00M,11.00M,45.00M,45.00M,,76.00M,5.00M,-76.00M,-2.00M,43.00M,-32.00M,5.00M,76.00M,-76.00M,-7.00M,-76.00M,-115.00M,-47.00M,-68.00M,-19.00M,-87.00M,-87.00M,187.00M,226.00M,-39.00M,,-0.37,,-0.37,-0.37,,-0.37,,-0.37,-0.37,,233.20M,233.20M,0.30,,AOR,Restated
