,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,163.70M,-2.246M,-1.505M,-5.26M,-9.011M,56.24M,19.69M,75.93M,75.93M,-17.44M,,0.00,21.43M,,3.148M,-300.63M,8.655M,19.66M,235.63M,,,-124.46M,,114.86M,,2020-09,-50.78M,5.844M,5.844M,0.00,,0.073M,-230.56M,,2020-09,-180.37M,-1.761M,-182.14M,,0.00,0.00,-7.001M,,-9.368M,-198.50M,,532.85M,-314.20M,0.449M,219.10M,,2020-09,,-1.651B,0.00,,,,2020-09,AOR,
2020-06,74.80M,-1.158M,-3.084M,4.784M,0.542M,54.53M,17.78M,72.30M,72.30M,-5.993M,,9.311M,21.98M,,-2.24M,321.47M,2.50M,-33.60M,22.65M,,,325.71M,,497.48M,,2020-06,-48.15M,7.826M,7.826M,0.00,,0.00,-36.61M,,2020-06,-282.80M,-1.62M,-284.42M,,0.00,0.00,-7.16M,,-19.06M,-310.64M,,381.64M,150.23M,0.986M,532.85M,,2020-06,,-785.14M,0.00,,,,2020-06,AOR,
2020-03,41.50M,-0.814M,-0.353M,2.683M,1.516M,54.41M,17.91M,72.32M,72.32M,4.21M,,,14.91M,,3.347M,138.70M,-4.368M,84.08M,-110.39M,,,89.47M,,227.55M,,2020-03,-68.11M,4.79M,4.79M,0.00,,0.198M,-89.13M,,2020-03,302.95M,-2.799M,300.15M,,-200.00M,-200.00M,-7.384M,,-18.84M,73.93M,,169.74M,212.34M,-0.449M,381.64M,,2020-03,,-1.174B,-200.00M,,,,2020-03,AOR,
2019-12,120.30M,-2.335M,-5.033M,-12.72M,-20.09M,56.52M,21.55M,78.06M,78.06M,-56.22M,,13.89M,10.93M,,5.928M,536.35M,8.57M,50.15M,-189.05M,,,466.75M,,626.80M,,2019-12,-54.56M,6.895M,6.895M,-0.441M,,1.463M,-10.47M,,2019-12,-523.13M,-1.205M,-524.33M,,0.00,0.00,-5.851M,,-0.879M,-531.06M,,84.51M,85.26M,-0.03M,169.74M,,2019-12,,-1.838B,0.00,,,,2019-12,AOR,
2019-09,137.02M,-0.992M,1.383M,-1.931M,-1.54M,55.56M,15.26M,70.83M,70.83M,4.167M,,0.00,13.58M,,4.243M,-445.56M,1.511M,-8.048M,250.61M,,,-137.91M,,91.17M,,2019-09,-66.24M,4.854M,4.854M,0.00,,0.49M,-391.80M,,2019-09,327.22M,-11.17M,316.05M,,0.00,0.00,-5.803M,,-3.136M,307.11M,,78.12M,6.481M,-0.087M,84.51M,,2019-09,,-1.802B,0.00,,,,2019-09,AOR,Restated
2019-06,28.46M,-2.411M,-3.135M,-1.757M,-7.303M,53.81M,12.61M,66.42M,66.42M,19.57M,,0.00,14.48M,,4.779M,-163.49M,13.09M,-73.24M,44.54M,,,-235.49M,,-108.66M,,2019-06,-72.82M,8.55M,8.55M,-0.042M,,0.003M,-68.17M,,2019-06,166.82M,7.304M,174.12M,,-0.159M,-0.159M,-5.83M,,-2.758M,165.38M,,89.49M,-11.46M,0.082M,78.12M,,2019-06,,-894.31M,-0.159M,,,,2019-06,AOR,Restated
2019-03,121.04M,-0.059M,1.217M,-60.39M,-59.23M,52.22M,12.67M,64.89M,64.89M,24.56M,,,13.01M,,0.324M,-154.20M,29.00M,-29.34M,-66.68M,,,-250.16M,,-82.75M,,2019-03,-68.65M,10.84M,10.84M,-0.025M,,0.008M,-147.16M,,2019-03,299.37M,-23.22M,276.15M,,-19.93M,-19.93M,-5.752M,,-14.21M,236.26M,,83.26M,6.354M,-0.118M,89.49M,,2019-03,,-1.371B,-19.93M,,,,2019-03,AOR,Restated
2018-12,57.79M,1.691M,-0.148M,9.891M,11.43M,52.22M,12.46M,64.68M,64.68M,55.86M,,49.38M,12.68M,,-3.168M,-33.92M,-14.29M,4.815M,-46.36M,,,-115.52M,,137.17M,,2018-12,-82.31M,13.14M,13.14M,-11.45M,,0.204M,-80.99M,,2018-12,126.96M,13.72M,140.68M,,-226.49M,-226.49M,0.00,,-3.622M,-89.43M,,118.17M,-33.24M,-1.673M,83.26M,,2018-12,,-1.472B,-226.49M,112.90M,34.94M,,2018-12,AOR,Restated
2018-09,124.90M,-0.34M,-0.168M,17.84M,17.33M,51.54M,10.62M,62.17M,62.17M,-7.391M,,0.00,11.63M,,-1.107M,-294.92M,-8.436M,12.99M,170.47M,,,-170.57M,,39.10M,,2018-09,-74.14M,5.642M,5.642M,0.00,,0.145M,-136.43M,,2018-09,112.33M,7.124M,119.46M,,-26.76M,-26.76M,0.00,,-1.739M,90.96M,,124.74M,-6.364M,-0.199M,118.17M,,2018-09,,-743.50M,-26.76M,,,,2018-09,AOR,Restated
2018-06,74.71M,0.982M,0.582M,11.80M,13.36M,50.03M,10.51M,60.54M,60.54M,-2.872M,,0.00,13.48M,,-5.991M,-102.02M,8.277M,-39.25M,151.00M,,,3.15M,,156.52M,,2018-06,-84.78M,7.224M,7.224M,-3.00M,,0.365M,-93.35M,,2018-06,-39.50M,12.94M,-26.56M,,-15.99M,-15.99M,0.00,,-2.27M,-44.82M,,105.28M,18.34M,1.113M,124.74M,,2018-06,,-1.102B,-15.99M,-17.96M,-5.96M,,2018-06,AOR,Restated
2018-03,38.61M,0.963M,-0.651M,13.34M,13.66M,48.72M,10.40M,59.12M,59.12M,16.38M,,,14.69M,,0.288M,-137.90M,-13.68M,-18.74M,-27.21M,,,-117.59M,,25.99M,,2018-03,-66.81M,5.769M,5.769M,0.00,,,-91.90M,,2018-03,214.23M,0.00,214.23M,,-173.91M,-173.91M,0.00,,-13.60M,26.72M,,143.78M,-39.19M,0.691M,105.28M,,2018-03,,-760.72M,-173.91M,17.96M,5.96M,,2018-03,AOR,Restated
2017-12,115.58M,0.068M,-1.475M,5.439M,4.032M,48.04M,10.17M,58.21M,58.21M,-33.78M,,,12.10M,,-4.867M,116.26M,5.383M,-8.937M,-188.10M,,,-11.28M,,197.20M,,2017-12,-76.37M,6.924M,6.924M,0.00,0.41M,0.442M,-6.52M,,2017-12,-90.16M,0.00,-90.16M,,-50.00M,-50.00M,,0.00,-2.111M,-142.27M,,95.23M,48.40M,0.136M,143.78M,,2017-12,,-959.12M,-50.00M,112.34M,19.37M,,2017-12,AOR,Restated
2017-09,89.85M,-0.451M,1.022M,2.755M,3.326M,48.43M,8.979M,57.40M,57.40M,-1.98M,,,10.93M,,0.339M,-251.15M,13.52M,10.50M,203.61M,,,13.69M,,173.57M,,2017-09,-63.00M,4.08M,4.08M,0.00,0.676M,0.136M,-451.55M,,2017-09,270.90M,0.00,270.90M,,0.00,0.00,,0.00,-0.772M,270.13M,,102.61M,-7.849M,0.475M,95.23M,,2017-09,,-541.60M,0.00,-101.50M,-7.506M,,2017-09,AOR,Restated
