,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,3.020B,3.020B,2.513B,507.51M,250.65M,19.69M,,-0.078M,11.05M,0.08M,-10.97M,,270.34M,237.17M,0.08M,11.05M,-10.97M,7.973M,-10.97M,234.18M,70.48M,163.70M,,,-0.787M,162.97M,321.16M,75.93M,245.23M,,,,1.160,1.16,,,,1.130,2020-09,140.54M,144.36M,0.05,,2020-09,AOR,
2020-06,2.506B,2.506B,2.151B,355.26M,227.85M,17.78M,,2.238M,8.654M,0.275M,-8.379M,,245.63M,109.63M,0.275M,8.654M,-8.379M,6.53M,-8.379M,107.78M,32.99M,74.80M,,,-0.849M,72.39M,188.74M,72.30M,116.44M,,,,0.5189,0.53,,,,0.5092,2020-06,139.86M,143.52M,0.05,,2020-06,AOR,
2020-03,2.764B,2.764B,2.432B,332.20M,230.79M,17.91M,,-2.758M,14.01M,0.759M,-13.25M,,248.70M,83.50M,0.759M,14.01M,-13.25M,-12.58M,-13.25M,57.66M,16.16M,41.50M,,,-2.817M,40.67M,143.99M,72.32M,71.67M,,,,0.2837,0.27,,,,0.2735,2020-03,144.45M,146.79M,0.05,,2020-03,AOR,
2019-12,3.113B,3.113B,2.669B,443.32M,255.13M,21.55M,,-19.23M,18.82M,0.165M,-18.66M,,276.68M,166.64M,0.165M,18.82M,-18.66M,-2.053M,-18.66M,145.93M,25.63M,120.30M,,,-2.155M,134.00M,242.82M,78.06M,164.76M,,,,0.9187,0.81,,,,0.9065,2019-12,145.88M,148.91M,0.05,,2019-12,AOR,
2019-09,3.353B,3.353B,2.879B,473.44M,245.01M,15.26M,,-3.777M,18.37M,0.186M,-18.18M,,260.27M,213.17M,0.186M,18.37M,-18.18M,-3.06M,-18.18M,191.93M,54.91M,137.02M,,,-0.954M,138.76M,281.12M,70.83M,210.30M,,,,0.9485,0.93,,,,0.9383,2019-09,145.91M,147.44M,0.04,,2019-09,AOR,Restated
2019-06,2.839B,2.839B,2.520B,319.50M,223.94M,12.61M,,-4.371M,15.82M,0.267M,-15.55M,,236.55M,82.95M,0.267M,15.82M,-15.55M,2.15M,-15.55M,69.55M,41.09M,28.46M,,,-1.115M,30.53M,151.79M,66.42M,85.37M,,,,0.2119,0.19,,,,0.2117,2019-06,145.94M,147.24M,0.04,,2019-06,AOR,Restated
2019-03,2.807B,2.807B,2.443B,363.98M,231.91M,12.67M,,0.084M,13.88M,0.309M,-13.57M,,244.58M,119.40M,0.309M,13.88M,-13.57M,59.04M,-13.57M,164.88M,43.84M,121.04M,,,-0.547M,120.43M,243.64M,64.89M,178.76M,,,,0.8296,0.83,,,,0.8196,2019-03,145.11M,146.46M,0.04,,2019-03,AOR,Restated
2018-12,3.112B,3.112B,2.693B,419.72M,212.01M,12.46M,,-45.80M,11.77M,0.427M,-11.34M,,224.47M,195.25M,0.427M,11.77M,-11.34M,-55.11M,-11.34M,128.79M,71.00M,57.79M,,,-0.975M,90.25M,205.24M,64.68M,140.56M,,,,0.6035,0.38,,,,0.6010,2018-12,149.59M,151.31M,0.04,,2018-12,AOR,Restated
2018-09,2.985B,2.985B,2.559B,425.83M,224.04M,10.62M,,1.394M,9.219M,0.322M,-8.897M,,234.66M,191.17M,0.322M,9.219M,-8.897M,-14.10M,-8.897M,168.17M,43.27M,124.90M,,,-0.348M,123.52M,239.55M,62.17M,177.38M,,,,0.8132,0.82,,,,0.8033,2018-09,152.56M,153.69M,,,2018-09,AOR,Restated
2018-06,2.656B,2.656B,2.323B,333.37M,206.10M,10.51M,,6.279M,9.178M,0.66M,-8.518M,,216.61M,116.76M,0.66M,9.178M,-8.518M,-4.147M,-8.518M,104.10M,29.39M,74.71M,,,-0.341M,69.86M,173.81M,60.54M,113.27M,,,,0.4606,0.49,,,,0.4508,2018-06,153.32M,154.60M,,,2018-06,AOR,Restated
2018-03,2.418B,2.418B,2.117B,301.05M,215.42M,10.40M,,0.00,6.778M,0.146M,-6.632M,,225.83M,75.22M,0.146M,6.778M,-6.632M,-11.98M,-6.632M,56.61M,18.00M,38.61M,,,-0.997M,37.61M,122.52M,59.12M,63.39M,,,,0.24,0.24,,,,0.24,2018-03,156.55M,157.56M,,,2018-03,AOR,Restated
2017-12,2.479B,2.479B,2.156B,322.88M,206.26M,10.17M,,-52.89M,6.652M,0.185M,-6.467M,,216.43M,106.44M,0.185M,6.652M,-6.467M,-54.05M,-6.467M,45.92M,-69.65M,115.58M,,,-2.015M,145.29M,110.79M,58.21M,52.58M,,0.00,,0.9220,0.72,,0.00,,0.9205,2017-12,157.11M,158.24M,,,2017-12,AOR,Restated
2017-09,2.609B,2.609B,2.259B,350.63M,201.22M,8.979M,,0.00,6.058M,0.196M,-5.862M,,210.20M,140.43M,0.196M,6.058M,-5.862M,-2.371M,-5.862M,132.20M,42.35M,89.85M,,,-0.536M,89.31M,195.66M,57.40M,138.25M,,,,0.57,0.57,,,,0.56,2017-09,157.48M,158.62M,,,2017-09,AOR,Restated
2017-06,2.200B,2.200B,1.898B,302.16M,185.88M,6.494M,,,4.271M,0.164M,-4.107M,,192.37M,109.79M,0.164M,4.271M,-4.107M,-1.079M,-4.107M,104.60M,40.24M,64.36M,,,-0.523M,63.84M,160.02M,51.14M,108.88M,,,,0.41,0.41,,,,0.41,2017-06,155.09M,156.16M,,,2017-06,AOR,Restated
