,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.877B,800.00M,2.677B,1.606B,1.606B,16.40M,59.86M,1.359B,,1.435B,,408.81M,6.680B,,,,,2.319B,2.319B,,2.319B,1.174B,1.851B,3.025B,,,,917.34M,6.261B,12.94B,450.11M,,450.11M,1.506B,1.956B,,,,14.36M,,14.36M,,,114.36M,2.085B,5.679B,1.130B,6.809B,,,,,,,,,1.102B,7.911B,9.996B,97.49M,-44.95M,3.852B,,,,-959.66M,2.945B
2020-06,2.145B,700.00M,2.845B,934.98M,934.98M,24.06M,64.40M,1.314B,,1.403B,,513.05M,6.261B,,,,,2.312B,2.312B,,2.312B,1.163B,1.856B,3.018B,,,,887.92M,6.218B,12.48B,348.93M,,348.93M,1.255B,1.604B,,,,20.28M,,20.28M,,,91.28M,1.715B,5.610B,1.104B,6.714B,,,,,,,,,1.137B,7.851B,9.566B,97.41M,-298.09M,4.011B,,,,-897.54M,2.913B
2020-03,1.369B,,1.369B,1.308B,1.308B,24.75M,67.60M,1.202B,,1.294B,,444.89M,5.027B,0.0,83.94M,858.67M,981.79M,1.274B,3.198B,-970.00M,2.228B,1.156B,2.058B,3.214B,143.92M,20.05M,185.00M,100.14M,6.106B,11.13B,407.02M,196.74M,603.76M,493.95M,1.098B,215.00M,1.00B,14.83M,1.230B,352.58M,1.582B,8.779M,,138.16M,3.024B,2.608B,1.021B,3.629B,161.37M,,265.88M,47.53M,170.51M,3.153M,,,57.74M,4.752B,7.776B,97.20M,7.309M,4.184B,,,,-930.96M,3.357B
2019-12,583.95M,,583.95M,1.642B,1.642B,62.03M,80.34M,1.423B,,1.565B,,365.02M,4.156B,,,,,2.207B,2.207B,,2.207B,1.540B,1.948B,3.488B,,,,963.35M,6.659B,10.81B,456.99M,,456.99M,1.444B,1.901B,,,,60.68M,,60.68M,,,,1.962B,2.110B,1.053B,3.163B,,,,,,,,,1.121B,4.285B,6.247B,98.63M,1.182B,4.182B,,,,-895.37M,4.568B
2019-09,507.60M,,507.60M,1.976B,1.976B,65.11M,78.12M,1.747B,,1.891B,,400.73M,4.775B,,,,,2.136B,2.136B,,2.136B,1.529B,1.920B,3.449B,,,,910.49M,6.495B,11.27B,550.70M,,550.70M,1.364B,1.915B,,,,489.31M,,489.31M,,,,2.404B,2.091B,1.028B,3.119B,,,,,,,,,1.099B,4.218B,6.623B,99.72M,1.406B,4.073B,,,,-930.72M,4.648B
2019-06,606.08M,,606.08M,1.306B,1.306B,75.99M,77.92M,1.511B,,1.665B,,413.37M,3.991B,,,,,2.146B,2.146B,,2.146B,1.544B,1.981B,3.525B,,,,739.81M,6.411B,10.40B,588.42M,,588.42M,1.286B,1.874B,,,,72.73M,,72.73M,,,,1.947B,2.127B,1.044B,3.170B,,,,,,,,,1.133B,4.303B,6.250B,99.48M,931.13M,3.988B,,,,-867.39M,4.152B
2019-03,402.23M,,402.23M,1.373B,1.373B,25.99M,59.47M,1.088B,,1.173B,,425.61M,4.673B,0.0,84.86M,890.76M,858.96M,,1.835B,-958.48M,876.09M,1.492B,2.128B,3.620B,181.56M,9.189M,97.52M,736.83M,5.683B,10.36B,489.60M,199.84M,689.44M,585.70M,1.275B,650.00M,0.00,14.32M,664.32M,0.00,664.32M,5.485M,,401.03M,2.662B,2.116B,0.00,2.116B,108.00M,,341.74M,49.30M,163.96M,3.747M,,,62.80M,3.397B,6.058B,99.21M,1.180B,3.922B,,,,-902.08M,4.299B
2018-12,535.31M,,535.31M,1.774B,1.774B,117.61M,110.44M,1.638B,,1.866B,,436.24M,4.612B,,,,,,,,1.042B,1.756B,2.056B,3.812B,,,,818.46M,5.672B,10.28B,645.68M,,645.68M,1.234B,1.880B,,,,683.47M,,683.47M,,,,2.563B,2.135B,,2.135B,,,,,,,,,1.285B,3.421B,5.984B,98.87M,1.258B,3.830B,,,,-886.56M,4.301B
2018-09,352.78M,,352.78M,2.196B,2.196B,110.43M,119.35M,2.018B,,2.248B,,461.35M,5.418B,,,,,,,,1.036B,1.763B,2.084B,3.847B,,,,829.89M,5.712B,11.13B,732.45M,,732.45M,1.188B,1.921B,,,,1.576B,,1.576B,,,11.36M,3.509B,2.151B,,2.151B,,,,,,,,,1.292B,3.442B,6.951B,99.29M,1.148B,3.795B,,,,-862.92M,4.180B
2018-06,467.92M,,467.92M,1.429B,1.429B,110.82M,116.94M,1.766B,,1.994B,,439.87M,4.330B,,,,,,,,1.018B,1.816B,2.184B,4.000B,,,,843.00M,5.862B,10.19B,675.58M,,675.58M,996.86M,1.672B,,,,1.323B,,1.323B,,,,2.996B,2.157B,,2.157B,,,,,,,,,1.308B,3.465B,6.461B,98.88M,825.79M,3.689B,,,,-882.08M,3.731B
