,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-09,3.509B,3.509B,1.752B,1.757B,1.168B,-104.65M,27.11M,4.571M,-22.54M,,1.168B,588.60M,4.571M,27.11M,-22.54M,-104.98M,-22.54M,461.08M,74.32M,386.76M,,,-0.624M,,386.14M,473.92M,563.87M,75.68M,488.19M,0.98,,,1.203,0.98,0.97,,,1.1909999999999998,0.97,393.26M,397.38M,0.42
2017-06,2.360B,2.360B,1.187B,1.173B,1.005B,,24.19M,3.583M,-20.61M,,1.005B,168.02M,3.583M,24.19M,-20.61M,-1.653M,-20.61M,145.76M,30.90M,114.86M,,,-4.976M,,109.89M,109.89M,235.42M,65.47M,169.95M,0.29,-0.01,,0.29,0.28,0.29,-0.01,,0.29,0.27,397.06M,400.51M,0.42
2017-03,2.582B,2.582B,1.287B,1.295B,1.004B,,23.71M,3.518M,-20.19M,,1.004B,291.47M,3.518M,23.71M,-20.19M,-0.067M,-20.19M,271.22M,56.54M,214.68M,,,-5.516M,,209.16M,209.16M,361.36M,66.44M,294.92M,0.52,,,0.52,0.52,0.52,,,0.52,0.52,411.99M,415.96M,0.42
2016-12,2.744B,2.744B,1.361B,1.383B,962.01M,-79.64M,24.28M,2.717M,-21.56M,,962.01M,420.64M,2.717M,24.28M,-21.56M,-166.54M,-21.56M,232.54M,17.33M,215.20M,,,,,264.33M,342.79M,332.90M,76.09M,256.82M,0.64,,,0.8184,0.64,0.63,,,0.8064,0.63,413.21M,417.89M,0.42
2016-09,3.328B,3.328B,1.693B,1.635B,1.026B,0.00,24.78M,2.215M,-22.57M,,1.026B,608.25M,2.215M,24.78M,-22.57M,-1.097M,-22.57M,584.58M,99.36M,485.22M,,,13.26M,,498.49M,498.49M,677.38M,68.02M,609.36M,1.17,,,1.17,1.17,1.16,,,1.16,1.16,413.46M,419.24M,0.37
2016-06,2.320B,2.320B,1.185B,1.135B,940.80M,,23.63M,2.236M,-21.39M,,940.80M,194.42M,2.236M,23.63M,-21.39M,1.501M,-21.39M,174.53M,38.04M,136.49M,,,-85.48M,,51.02M,51.02M,267.60M,69.44M,198.16M,0.33,-0.21,,0.33,0.12,0.32,-0.21,,0.32,0.12,415.99M,422.06M,0.37
2016-03,2.634B,2.634B,1.351B,1.284B,971.92M,,22.03M,2.008M,-20.02M,,971.92M,311.80M,2.008M,22.03M,-20.02M,1.292M,-20.02M,293.07M,51.13M,241.94M,,,18.33M,,260.27M,260.27M,383.13M,68.03M,315.10M,0.57,,,0.57,0.57,0.56,,,0.56,0.56,421.75M,429.13M,0.37
2015-12,2.290B,2.290B,1.090B,1.200B,804.65M,,22.04M,1.653M,-20.38M,,804.65M,394.94M,1.653M,22.04M,-20.38M,0.811M,-20.38M,375.36M,66.91M,308.45M,,,,,312.21M,297.67M,471.17M,73.77M,397.40M,0.73,,,0.73,0.73,0.72,,,0.72,0.72,425.81M,432.04M,0.37
2015-09,3.530B,3.530B,1.844B,1.685B,1.046B,,22.16M,1.506M,-20.66M,,1.046B,639.56M,1.506M,22.16M,-20.66M,-1.278M,-20.66M,617.63M,159.99M,457.64M,,,2.229M,,459.86M,459.86M,708.83M,69.04M,639.79M,1.08,,,1.08,1.08,1.06,,,1.06,1.06,425.21M,431.46M,0.32
2015-06,2.427B,2.427B,1.261B,1.166B,947.07M,,22.86M,1.895M,-20.96M,,947.07M,218.98M,1.895M,22.86M,-20.96M,0.672M,-20.96M,198.69M,30.84M,167.84M,,,2.969M,,170.81M,170.81M,284.93M,63.38M,221.55M,0.39,0.01,,0.39,0.4,0.39,0.01,,0.39,0.4,424.35M,430.70M,0.32
2015-03,2.837B,2.837B,1.447B,1.391B,992.92M,,21.85M,2.098M,-19.75M,,992.92M,397.84M,2.098M,21.85M,-19.75M,0.828M,-19.75M,378.91M,90.20M,288.71M,,,,,288.71M,288.71M,466.64M,65.88M,400.76M,0.68,,,0.68,0.68,0.67,,,0.67,0.67,426.26M,434.10M,0.32
2014-12,3.178B,3.178B,1.648B,1.530B,987.88M,,21.57M,2.209M,-19.36M,,987.88M,542.23M,2.209M,21.57M,-19.36M,-1.336M,-19.36M,521.53M,119.19M,402.34M,,,,,122.10M,122.10M,617.47M,74.36M,543.11M,0.28,,,0.28,0.28,0.28,,,0.28,0.28,431.58M,439.63M,0.32
2014-09,3.520B,3.520B,1.819B,1.702B,1.069B,,22.56M,1.852M,-20.70M,,1.069B,633.08M,1.852M,22.56M,-20.70M,-1.609M,-20.70M,610.77M,140.24M,470.53M,,,,,470.53M,470.53M,702.64M,69.32M,633.32M,1.09,,,1.09,1.09,1.08,,,1.08,1.08,430.64M,437.59M,0.2625
2014-06,2.402B,2.402B,1.239B,1.163B,942.92M,,21.34M,1.519M,-19.82M,,942.92M,219.81M,1.519M,21.34M,-19.82M,-0.508M,-19.82M,199.48M,41.80M,157.68M,,,,,157.68M,157.68M,288.00M,67.18M,220.82M,0.37,,,0.37,0.37,0.36,,,0.36,0.36,429.94M,437.13M,0.2625
2014-03,2.781B,2.781B,1.407B,1.374B,971.02M,,20.64M,1.331M,-19.31M,,971.02M,403.19M,1.331M,20.64M,-19.31M,-2.092M,-19.31M,381.79M,84.60M,297.19M,,,,,297.19M,297.19M,466.45M,64.02M,402.43M,0.68,,,0.68,0.68,0.67,,,0.67,0.67,438.29M,446.27M,0.2625
2013-12,3.290B,3.290B,1.705B,1.585B,1.077B,,20.98M,1.577M,-19.41M,,1.077B,508.38M,1.577M,20.98M,-19.41M,-2.302M,-19.41M,486.67M,119.00M,367.67M,,,,,367.67M,367.67M,579.82M,72.16M,507.66M,0.84,,,0.84,0.84,0.82,,,0.82,0.82,439.08M,447.80M,0.2625
2013-09,3.297B,3.297B,1.728B,1.569B,989.42M,,21.25M,1.259M,-19.99M,,989.42M,579.70M,1.259M,21.25M,-19.99M,-1.25M,-19.99M,558.47M,124.70M,433.76M,,,,,433.76M,433.76M,644.11M,64.39M,579.71M,0.99,,,0.99,0.99,0.97,,,0.97,0.97,438.18M,445.62M,0.2175
2013-06,2.220B,2.220B,1.143B,1.077B,875.72M,,21.53M,0.815M,-20.72M,,875.72M,201.33M,0.815M,21.53M,-20.72M,-1.512M,-20.72M,179.10M,40.83M,138.27M,,,,,138.27M,138.27M,259.40M,58.77M,200.64M,0.32,,,0.32,0.32,0.31,,,0.31,0.31,437.10M,445.92M,0.2175
2013-03,2.612B,2.612B,1.355B,1.257B,898.86M,,21.01M,0.49M,-20.52M,,898.86M,357.73M,0.49M,21.01M,-20.52M,1.039M,-20.52M,338.25M,67.83M,270.42M,,,,,270.42M,270.42M,417.20M,57.95M,359.26M,0.61,,,0.61,0.61,0.6,,,0.6,0.6,440.27M,447.90M,0.2175
2012-12,3.033B,3.033B,1.596B,1.438B,987.46M,,22.83M,0.495M,-22.33M,,987.46M,450.29M,0.495M,22.83M,-22.33M,1.988M,-22.33M,429.94M,95.78M,334.17M,,,0.00,,334.17M,334.17M,523.94M,71.17M,452.77M,0.76,,,0.76,0.76,0.745,,,0.745,0.745,439.57M,448.28M,0.2175
2012-09,3.148B,3.148B,1.678B,1.470B,933.37M,,23.84M,0.632M,-23.21M,,933.37M,536.89M,0.632M,23.84M,-23.21M,1.569M,-23.21M,515.25M,133.93M,381.32M,,,0.00,,381.32M,381.32M,595.10M,56.01M,539.09M,0.87,,,0.87,0.87,0.855,,,0.855,0.855,438.23M,445.95M,0.18
2012-06,2.142B,2.142B,1.155B,986.37M,822.39M,,23.59M,1.188M,-22.40M,,822.39M,163.98M,1.188M,23.59M,-22.40M,41.56M,-22.40M,183.14M,27.71M,155.42M,,,-0.128M,,155.30M,155.30M,264.60M,57.87M,206.73M,0.355,,,0.355,0.355,0.35,,,0.35,0.35,436.86M,444.91M,0.18
2012-03,2.556B,2.556B,1.389B,1.168B,853.49M,,23.34M,1.038M,-22.31M,,853.49M,314.10M,1.038M,23.34M,-22.31M,1.746M,-22.31M,293.54M,78.31M,215.23M,,,-0.011M,,215.22M,215.22M,369.79M,52.90M,316.89M,0.4875,,,0.4875,0.4875,0.4775,,,0.4775,0.4775,442.11M,451.00M,0.18
2011-12,2.910B,2.910B,1.595B,1.315B,963.71M,,25.00M,0.931M,-24.07M,,963.71M,351.36M,0.931M,25.00M,-24.07M,3.891M,-24.07M,331.18M,73.18M,257.99M,,,-0.676M,,257.32M,257.32M,422.87M,66.69M,356.18M,0.5825,0.0,,0.5825,0.5825,0.57,0.0,,0.57,0.57,440.81M,472.82M,0.18
2011-09,2.750B,2.750B,1.505B,1.245B,814.97M,-6.473M,20.67M,1.371M,-19.30M,,814.97M,430.12M,1.371M,20.67M,-19.30M,-6.473M,-19.30M,404.34M,102.93M,301.41M,,,-0.712M,,300.70M,305.53M,469.30M,44.29M,425.02M,0.685,0.0,,0.696,0.685,0.6725,0.0,,0.6835,0.6725,438.57M,438.57M,0.1575
2011-06,1.840B,1.840B,994.59M,845.53M,656.86M,-2.735M,15.96M,1.51M,-14.45M,,656.86M,188.67M,1.51M,15.96M,-14.45M,-2.735M,-14.45M,171.48M,41.92M,129.57M,,,-0.199M,,129.37M,131.43M,230.26M,42.81M,187.45M,0.2975,0.0,,0.3022,0.2975,0.2925,0.0,,0.2972,0.2925,436.32M,436.32M,0.1575
2011-03,1.959B,1.959B,1.034B,924.94M,650.30M,-1.931M,15.94M,0.966M,-14.97M,,650.30M,274.64M,0.966M,15.94M,-14.97M,-1.931M,-14.97M,257.74M,56.32M,201.42M,,,-0.717M,,200.70M,202.21M,318.62M,44.94M,273.68M,0.4625,0.0,,0.466,0.4625,0.455,0.0,,0.4584,0.455,432.89M,440.16M,0.1575
2010-12,2.126B,2.126B,1.135B,991.12M,715.85M,-210.68M,16.19M,0.736M,-15.45M,,715.85M,275.27M,0.736M,16.19M,-15.45M,-205.93M,-15.45M,53.89M,-1.421M,55.31M,,,-1.085M,,54.22M,191.17M,120.09M,50.02M,70.08M,0.1275,,,0.4452,0.1275,0.125,,,0.4367,0.125,431.11M,439.34M,0.1575
2010-09,2.232B,2.232B,1.195B,1.037B,682.44M,0.599M,20.56M,0.61M,-19.95M,,682.44M,354.54M,0.61M,20.56M,-19.95M,0.599M,-19.95M,335.20M,91.94M,243.25M,,,-0.467M,,242.79M,242.35M,399.20M,43.45M,355.75M,0.5625,0.0,,0.5615,0.5625,0.555,0.0,,0.554,0.555,431.52M,436.76M,0.15
2010-06,1.594B,1.594B,842.50M,751.60M,582.08M,1.923M,20.49M,0.496M,-20.00M,,582.08M,169.52M,0.496M,20.49M,-20.00M,1.923M,-20.00M,151.45M,39.96M,111.49M,,,-0.655M,,110.84M,109.42M,210.81M,38.86M,171.94M,0.255,0.0,,0.2518,0.255,0.25,0.0,,0.2468,0.25,435.83M,441.92M,0.15
2010-03,1.750B,1.750B,932.20M,817.68M,594.42M,6.423M,20.50M,0.494M,-20.00M,,594.42M,223.26M,0.494M,20.50M,-20.00M,6.423M,-20.00M,209.68M,46.22M,163.46M,,,0.057M,,163.52M,158.51M,271.25M,41.07M,230.18M,0.37,0.0,,0.3586,0.37,0.365,0.0,,0.3538,0.365,441.04M,446.52M,0.15
2009-12,1.915B,1.915B,1.029B,886.42M,626.73M,-123.57M,20.74M,0.48M,-20.26M,,626.73M,259.69M,0.48M,20.74M,-20.26M,-123.57M,-20.26M,115.86M,50.87M,64.98M,,,1.90M,,66.88M,147.21M,186.14M,49.54M,136.60M,0.1525,0.0,,0.3343,0.1525,0.1475,0.0,,0.3268,0.1475,441.76M,448.03M,0.15
2009-09,2.094B,2.094B,1.166B,927.96M,610.07M,0.505M,21.32M,0.42M,-20.90M,,610.07M,317.89M,0.42M,21.32M,-20.90M,0.505M,-20.90M,297.49M,79.43M,218.06M,,,-0.141M,,217.92M,217.55M,360.85M,42.03M,318.82M,0.4925,0.0,,0.4917,0.4925,0.485,0.0,,0.4842,0.485,443.52M,448.58M,0.1475
2009-06,1.486B,1.486B,833.69M,651.94M,532.21M,1.394M,21.82M,0.565M,-21.25M,,532.21M,119.74M,0.565M,21.82M,-21.25M,1.394M,-21.25M,99.88M,24.90M,74.98M,,,0.549M,,75.53M,74.48M,166.13M,44.44M,121.70M,0.1725,0.0,,0.1701,0.1725,0.17,0.0,,0.1676,0.17,440.97M,444.96M,0.1475
2009-03,1.725B,1.725B,996.64M,728.83M,567.39M,1.249M,22.02M,0.765M,-21.25M,,567.39M,161.45M,0.765M,22.02M,-21.25M,1.249M,-21.25M,141.45M,41.01M,100.43M,,,0.505M,,100.94M,100.05M,197.91M,34.45M,163.46M,0.23,0.0,,0.228,0.23,0.2275,0.0,,0.2255,0.2275,439.97M,444.11M,0.1475
2008-12,1.912B,1.912B,1.099B,812.94M,633.14M,-4.107M,24.53M,1.419M,-23.12M,,633.14M,179.80M,1.419M,24.53M,-23.12M,-4.107M,-23.12M,152.58M,36.75M,115.83M,,,0.031M,,115.86M,118.98M,226.16M,49.05M,177.12M,0.265,0.0,,0.2721,0.265,0.2625,0.0,,0.2695,0.2625,439.00M,443.53M,0.1475
2008-09,2.207B,2.207B,1.228B,979.05M,627.84M,-1.677M,24.31M,1.435M,-22.88M,,627.84M,351.21M,1.435M,24.31M,-22.88M,-1.677M,-22.88M,326.66M,92.61M,234.05M,,,-0.176M,,233.88M,235.08M,390.19M,39.22M,350.97M,0.535,0.0,,0.5378,0.535,0.525,0.0,,0.5277,0.525,436.42M,445.03M,0.145
2008-06,1.677B,1.677B,942.76M,734.72M,570.86M,3.113M,23.01M,1.565M,-21.44M,,570.86M,163.86M,1.565M,23.01M,-21.44M,3.113M,-21.44M,145.53M,41.51M,104.02M,,,-0.04M,,103.98M,101.75M,209.21M,40.68M,168.53M,0.24,0.0,,0.2349,0.24,0.235,0.0,,0.23,0.235,434.84M,443.94M,0.145
2008-03,1.846B,1.846B,1.014B,832.21M,588.09M,-0.298M,22.20M,1.696M,-20.50M,,588.09M,244.12M,1.696M,22.20M,-20.50M,-0.298M,-20.50M,223.32M,74.38M,148.95M,,,0.086M,,149.03M,149.23M,282.75M,37.22M,245.52M,0.34,0.0,,0.3405,0.34,0.3325,0.0,,0.3329,0.3325,437.44M,447.51M,0.145
2007-12,1.955B,1.955B,1.105B,850.18M,599.56M,-0.642M,,,,,599.56M,250.62M,,,,-0.642M,,226.04M,61.99M,164.05M,0.362M,,,,164.41M,164.51M,287.60M,36.98M,250.62M,0.3725,0.0,,0.3736,0.375,0.3625,0.0,,0.3635,0.365,437.76M,450.58M,0.145
2007-09,2.073B,2.073B,1.163B,909.76M,578.72M,1.834M,,,,,578.72M,331.04M,,,,1.834M,,315.73M,106.41M,209.32M,-2.11M,,,,207.21M,208.10M,365.33M,34.29M,331.04M,0.4775,-0.005,,0.4747,0.4725,0.465,-0.005,,0.4623,0.46,438.68M,449.70M,0.1375
2007-06,1.517B,1.517B,865.73M,651.67M,483.20M,1.483M,,,,,483.20M,168.46M,,,,1.483M,,159.69M,53.89M,105.80M,-24.14M,,,,81.66M,104.82M,201.45M,32.99M,168.46M,0.24,-0.055,,0.2378,0.185,0.2325,-0.055,,0.2303,0.18,442.02M,453.89M,0.1375
2007-03,1.674B,1.674B,945.88M,727.74M,512.41M,0.266M,,,,,512.41M,215.32M,,,,0.266M,,204.11M,70.03M,134.08M,4.266M,,,,138.34M,133.90M,252.29M,36.96M,215.32M,0.3,0.01,,0.2996,0.31,0.2925,0.01,,0.2921,0.3,447.57M,459.28M,0.1375
2006-12,1.599B,1.599B,907.45M,691.31M,486.09M,-0.881M,,,,,486.09M,205.22M,,,,-0.881M,,191.29M,49.90M,141.39M,-32.80M,,,0.00,108.59M,142.04M,239.78M,34.57M,205.22M,0.315,-0.0725,,0.3165,0.2425,0.31,-0.0725,,0.3114,0.2375,446.72M,454.55M,0.1375
2006-09,1.810B,1.810B,1.018B,792.08M,504.25M,1.869M,,,,,504.25M,287.82M,,,,1.869M,,275.30M,89.34M,185.96M,11.75M,,,,197.71M,184.69M,314.71M,26.88M,287.82M,0.42,0.0275,,0.4172,0.445,0.41,0.025,,0.4072,0.4375,443.21M,452.25M,0.1375
2006-06,1.351B,13.52B,765.55M,12.75B,439.97M,0.542M,,,,12.16B,12.60B,145.79M,,,,0.542M,,133.77M,44.21M,89.56M,9.473M,,,0.266M,99.03M,89.20M,183.88M,38.10M,145.79M,0.2025,0.0225,,0.2017,0.225,0.2,0.02,,0.1992,0.22,439.52M,450.16M,0.1375
2006-03,1.456B,1.456B,824.60M,631.02M,443.71M,0.829M,,,,,443.71M,187.31M,,,,0.829M,,176.88M,58.74M,118.14M,10.04M,,,0.38M,128.18M,117.59M,216.61M,29.30M,187.31M,0.2675,0.0225,,0.2662,0.29,0.2625,0.0225,,0.2613,0.285,439.42M,449.36M,0.0725
2005-12,851.62M,797.78M,396.32M,401.45M,261.79M,-48.52M,,,,,261.79M,139.66M,,,,-48.52M,,132.66M,41.10M,91.56M,,0.00,,0.394M,127.47M,125.05M,164.80M,25.14M,139.66M,0.205,0.1075,0.0,0.2798,0.285,0.2,0.105,0.0,0.2744,0.28,447.45M,450.39M,0.0725
2005-09,1.803B,1.822B,1.056B,766.47M,478.47M,19.84M,,,,,478.47M,288.00M,,,,19.84M,,270.87M,91.24M,179.63M,,,,0.406M,179.63M,166.47M,320.70M,32.70M,288.00M,0.4025,0.0,,0.3729,0.4025,0.3925,0.0,,0.3637,0.3925,444.46M,456.58M,0.0675
2005-06,1.436B,1.452B,841.81M,610.30M,456.51M,16.14M,,,,,456.51M,153.78M,,,,16.14M,,137.20M,40.45M,96.75M,,,,0.415M,96.75M,85.37M,187.39M,33.60M,153.78M,0.2175,0.0,,0.1917,0.2175,0.2125,0.0,,0.1874,0.2125,441.02M,453.13M,0.0675
2005-03,1.564B,1.582B,915.56M,666.62M,480.12M,18.66M,,,,,480.12M,186.51M,,,,18.66M,,170.97M,56.28M,114.69M,,-11.83M,,0.421M,102.85M,102.17M,216.50M,30.00M,186.51M,0.255,-0.025,0.0,0.227,0.23,0.25,-0.0275,-0.0265,0.2228,0.2225,447.04M,459.97M,0.0675
2004-12,723.29M,723.29M,346.84M,376.46M,256.04M,-31.57M,,,,,285.84M,90.62M,,,,-31.57M,,72.15M,22.67M,49.48M,,,,0.44M,125.30M,71.13M,126.49M,35.87M,90.62M,0.1075,0.1725,,0.1561,0.28,0.1075,0.1675,,0.1556,0.275,445.38M,450.35M,0.0675
2004-09,1.793B,1.793B,1.073B,719.83M,466.20M,-1.389M,,,,2.227M,468.42M,251.40M,,,,-1.389M,,233.51M,78.07M,155.44M,,,,0.451M,155.44M,156.36M,297.77M,46.36M,251.40M,0.3525,0.0,,0.3546,0.3525,0.345,0.0,,0.347,0.345,440.60M,452.14M,0.065
2004-06,1.270B,1.270B,769.71M,499.83M,371.78M,21.24M,,,,-21.73M,350.05M,149.78M,,,,21.24M,,132.63M,42.54M,90.09M,,,,0.464M,90.09M,75.66M,179.26M,29.48M,149.78M,0.205,0.0,,0.1721,0.205,0.2,0.0,,0.168,0.2,438.62M,450.57M,0.065
2004-03,1.433B,1.433B,878.39M,554.28M,394.96M,14.85M,,,,-13.24M,381.72M,172.56M,,,,14.85M,,157.38M,53.51M,103.87M,,,,0.477M,103.87M,94.07M,201.56M,29.00M,172.56M,0.2375,0.0,,0.215,0.2375,0.2325,0.0,,0.2105,0.2325,434.92M,446.06M,0.065
2003-12,1.387B,1.387B,837.13M,550.13M,366.46M,-20.98M,,,,,388.19M,161.94M,,,,-20.98M,,151.56M,45.93M,105.63M,,,,0.517M,105.63M,120.26M,188.16M,26.22M,161.94M,0.2425,0.0,,0.2763,0.2425,0.24,0.0,,0.2738,0.24,433.18M,433.18M,0.065
2003-09,1.435B,1.435B,898.32M,537.08M,341.86M,9.205M,,,,-9.359M,332.50M,204.58M,,,,9.205M,,190.79M,65.50M,125.29M,,,,0.543M,125.29M,119.24M,231.12M,26.54M,204.58M,0.29,0.0,,0.2759,0.29,0.285,0.0,,0.2712,0.285,428.85M,439.10M,0.0625
2003-06,1.135B,1.135B,714.01M,420.73M,301.16M,8.246M,,,,-6.039M,295.12M,125.61M,,,,8.246M,,114.73M,39.78M,74.94M,,,,0.572M,74.94M,69.56M,149.42M,23.81M,125.61M,0.1725,0.0,,0.16,0.1725,0.17,0.0,,0.1578,0.17,429.65M,440.35M,0.0625
2003-03,1.250B,1.250B,781.29M,468.76M,322.33M,7.061M,,,,-6.33M,316.00M,152.76M,,,,7.061M,,141.42M,49.36M,92.07M,,,,0.606M,92.07M,87.47M,180.65M,27.89M,152.76M,0.21,0.0,,0.1994,0.21,0.2075,0.0,,0.1971,0.2075,433.42M,443.74M,0.0625
2002-12,1.311B,1.311B,851.14M,459.48M,325.18M,-16.38M,,,,,343.07M,116.41M,,,,-16.38M,,106.08M,35.75M,70.34M,6.263M,0.00,,0.704M,76.60M,81.20M,145.50M,29.09M,116.41M,0.1625,0.015,0.0,0.1873,0.175,0.16,0.0125,-0.0001,0.1802,0.175,437.64M,537.78M,0.0625
2002-09,1.400B,1.400B,871.12M,529.27M,321.03M,8.766M,,,,-8.07M,312.96M,216.32M,,,,8.766M,,197.03M,68.47M,128.56M,-0.315M,,,1.74M,128.25M,122.84M,242.34M,26.02M,216.32M,0.29,0.0,,0.2769,0.29,0.2875,0.0,,0.2747,0.2875,435.07M,447.40M,0.06
