,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,243.25M,,-4.151M,-4.151M,,,75.83M,75.83M,,103.86M,16.43M,-17.01M,-648.19M,-15.39M,284.49M,,,3.263M,-375.82M,36.03M,86.00M,-68.18M,,,-24.87M,,-100.00M,-3.266M,-172.22M,-0.546M,-6.019M,-6.565M,,8.413M,8.413M,-186.89M,-186.89M,,-0.159M,-185.20M,2.190B,-271.43M,-12.21M,1.906B,,0.00,-0.546M,8.413M
2020-06,-277.74M,,-3.802M,-3.802M,,,63.03M,63.03M,,101.77M,9.686M,32.86M,372.75M,-100.13M,-86.68M,,,-130.34M,55.60M,7.266M,-3.188M,-82.67M,,,-13.48M,,-700.00M,-0.573M,-785.16M,2.996B,-1.210B,1.786B,,-15.63M,-15.63M,-186.75M,-186.75M,,-21.27M,1.563B,1.411B,774.32M,4.126M,2.190B,,2.996B,-0.222M,-15.63M
2020-03,-569.85M,,-12.22M,47.56M,-491.78M,,-224.16M,-224.16M,,715.93M,-27.10M,213.66M,179.31M,-7.882M,-196.71M,,,-107.56M,-132.84M,60.87M,32.90M,-110.22M,,,-8.314M,,,-3.456M,-128.09M,432.07M,1.173B,1.605B,20.30M,-500.00M,-479.70M,-186.36M,-186.36M,,-7.274M,931.85M,597.21M,836.66M,-22.55M,1.411B,20.30M,1.077B,-48.00M,-500.00M
2019-12,508.35M,0.00,15.55M,15.55M,491.78M,,366.62M,366.62M,,-186.33M,25.16M,-24.23M,356.89M,300.50M,-80.94M,,,-84.23M,492.22M,5.945M,1.207B,-93.91M,,,-12.62M,0.00,,-7.573M,-96.54M,-1.628M,-428.14M,-429.77M,84.43M,-500.00M,-415.58M,-188.69M,-188.69M,,0.00,-1.034B,520.23M,76.52M,0.458M,597.21M,84.43M,,-598.19M,-500.00M
2019-09,625.38M,,-3.288M,-3.288M,,,62.92M,62.92M,,94.20M,36.86M,-112.37M,-708.06M,-228.74M,87.35M,,,-154.69M,-1.004B,-2.775M,-299.30M,-70.55M,,,-10.95M,,0.00,-3.372M,-76.78M,-1.389M,417.06M,415.67M,43.46M,,43.46M,-171.07M,-171.07M,,0.00,288.06M,618.71M,-88.02M,-10.46M,520.23M,43.46M,0.00,-1.389M,
2019-06,65.27M,,-2.837M,-2.837M,,,62.24M,62.24M,,92.12M,33.29M,12.55M,165.91M,-204.62M,-210.89M,,,-91.11M,-340.71M,10.04M,-66.18M,-59.15M,,,-13.76M,,0.00,62.93M,-0.631M,-1.479M,-585.48M,-586.96M,7.199M,,7.199M,-202.54M,-202.54M,,906.15M,123.85M,556.59M,57.04M,5.078M,618.71M,7.199M,0.00,-1.479M,
2019-03,-260.56M,5.533M,-4.782M,0.751M,,,39.37M,39.37M,-47.98M,0.00,3.784M,-2.918M,117.86M,-0.299M,-79.42M,,,32.85M,70.99M,,227.56M,-31.20M,,,-10.68M,0.013M,,2.371M,-72.09M,-1.589M,-11.63M,-13.22M,61.83M,0.00,61.83M,-201.88M,-201.88M,,0.00,-153.28M,538.90M,2.196M,15.49M,556.59M,61.83M,,-1.589M,0.00
2018-12,463.51M,3.327M,1.337M,4.664M,,,71.37M,71.37M,91.58M,0.00,25.37M,-58.19M,409.06M,374.95M,19.28M,,,-73.78M,729.50M,,1.334B,-64.85M,,,-9.80M,142.00M,,-7.365M,69.78M,-1.568M,-892.77M,-894.33M,7.356M,-150.20M,-142.84M,-201.32M,-201.32M,,-2.123M,-1.241B,359.44M,162.87M,16.59M,538.90M,7.356M,,-1.568M,-150.20M
2018-09,507.12M,29.79M,-0.942M,28.85M,,,73.86M,73.86M,-91.58M,0.00,28.36M,11.26M,-812.33M,-292.60M,359.84M,,,5.408M,-739.68M,,-174.19M,-82.48M,,,-11.20M,0.99M,,-7.608M,-89.10M,-1.55M,254.60M,253.05M,76.61M,-0.48M,76.13M,-182.33M,-182.33M,,,146.85M,473.15M,-116.44M,2.728M,359.44M,76.61M,,-1.55M,-0.48M
2018-06,160.36M,-5.003M,2.537M,-2.466M,,,71.13M,71.13M,,,26.77M,10.52M,-25.48M,-140.75M,174.98M,,,-0.732M,8.016M,,277.14M,-90.46M,,,-21.55M,-33.12M,,-5.643M,-129.23M,-1.557M,-214.38M,-215.94M,53.50M,,53.50M,-181.52M,-181.52M,,,-343.96M,689.19M,-196.04M,-20.00M,473.15M,53.50M,,-1.557M,
2017-12,-437.12M,-4.936M,7.421M,2.485M,,,30.73M,30.73M,,-104.65M,6.179M,-26.64M,586.33M,429.05M,120.09M,,,479.98M,1.615B,,1.468B,-25.97M,,,-10.18M,-739.07M,,3.107M,-801.34M,-251.56M,-1.273B,-1.524B,41.75M,0.00,41.75M,-181.69M,-181.69M,,,-1.664B,1.550B,-997.75M,16.88M,569.40M,41.75M,0.00,-251.56M,0.00
2017-09,386.14M,-0.25M,4.614M,4.364M,,,75.68M,75.68M,,104.65M,23.25M,-15.65M,-668.84M,-182.44M,293.15M,,,-13.99M,-572.12M,,11.23M,-65.90M,,,-19.72M,5.279M,,-3.41M,-64.03M,-0.928M,1.065B,1.064B,33.43M,-0.052M,33.38M,-165.39M,-165.39M,,,931.69M,676.94M,878.89M,-5.559M,1.550B,33.43M,0.00,-0.928M,-0.052M
