,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2020-09,466.41M,466.41M,237.50M,228.91M,,94.20M,47.85M,-9.419M,7.273M,0.055M,-7.218M,142.04M,86.87M,0.055M,7.273M,-7.218M,0.269M,-7.218M,79.92M,19.26M,60.66M,,60.66M,67.81M,110.66M,,2020-09,0.46,,0.5145,2020-09,0.46,,0.5143,0.46,131.12M,131.68M,0.17,AOR,
2020-06,482.02M,482.02M,229.82M,252.20M,,88.68M,56.01M,-7.702M,6.962M,0.127M,-6.835M,144.69M,107.51M,0.127M,6.962M,-6.835M,-18.78M,-6.835M,81.89M,20.64M,61.26M,,61.26M,67.02M,112.38M,,2020-06,0.47,,0.5140,2020-06,0.47,,0.5137,0.47,130.83M,131.69M,0.17,AOR,
2020-03,450.92M,450.92M,231.56M,219.37M,,116.24M,53.85M,-20.78M,6.961M,0.349M,-6.612M,170.09M,49.28M,0.349M,6.961M,-6.612M,-19.47M,-6.612M,23.20M,7.774M,15.42M,,15.42M,29.25M,54.38M,,2020-03,0.12,,0.2235,2020-03,0.11,,0.2124,0.11,133.60M,134.93M,0.17,AOR,
2019-12,489.04M,489.04M,256.56M,232.49M,,120.34M,53.77M,-4.323M,7.341M,0.544M,-6.797M,174.11M,58.38M,0.544M,7.341M,-6.797M,-9.669M,-6.797M,41.91M,40.23M,1.684M,,1.684M,4.840M,76.35M,,2019-12,0.01,,0.0335,2019-12,0.01,,0.0332,0.01,134.27M,136.07M,0.17,AOR,
2019-09,471.25M,471.25M,241.50M,229.75M,,103.39M,49.80M,-2.166M,7.582M,0.612M,-6.97M,153.19M,76.55M,0.612M,7.582M,-6.97M,-2.458M,-6.97M,67.13M,5.079M,62.05M,,62.05M,64.05M,101.83M,,2019-09,0.46,,0.4749,2019-09,0.46,,0.4747,0.46,134.74M,136.05M,0.17,AOR,Restated
2019-06,482.00M,482.00M,248.59M,233.41M,,113.71M,52.96M,-3.001M,7.272M,0.438M,-6.834M,166.67M,66.74M,0.438M,7.272M,-6.834M,-1.781M,-6.834M,58.12M,12.00M,46.12M,,46.12M,48.50M,97.65M,,2019-06,0.34,,0.3576,2019-06,0.34,,0.3574,0.34,135.52M,137.08M,0.17,AOR,Restated
2019-03,444.74M,444.74M,210.88M,233.86M,,104.49M,47.68M,-0.609M,5.516M,1.057M,-4.459M,152.17M,81.69M,1.057M,5.516M,-4.459M,-2.475M,-4.459M,74.76M,13.01M,61.75M,,61.75M,62.25M,96.94M,,2019-03,0.46,,0.4637,2019-03,0.45,,0.4537,0.45,135.54M,137.16M,0.17,AOR,Restated
2018-12,448.46M,448.46M,220.68M,227.78M,,90.20M,43.29M,-8.384M,4.061M,1.31M,-2.751M,133.50M,94.28M,1.31M,4.061M,-2.751M,-7.412M,-2.751M,84.12M,-14.40M,98.52M,,98.52M,104.64M,105.28M,,2018-12,0.72,,0.7647,2018-12,0.71,,0.7540,0.71,136.82M,139.00M,0.16,AOR,Restated
2018-09,434.90M,434.90M,212.82M,222.07M,,91.52M,42.00M,0.00,4.042M,0.979M,-3.063M,133.52M,88.55M,0.979M,4.042M,-3.063M,-0.071M,-3.063M,85.42M,12.27M,73.15M,,73.15M,73.15M,105.77M,,2018-09,0.53,,0.53,2018-09,0.52,,0.52,0.52,138.19M,140.33M,0.16,AOR,Restated
2018-06,452.71M,452.71M,220.16M,232.55M,,97.46M,46.43M,0.00,3.992M,0.656M,-3.336M,143.88M,88.67M,0.656M,3.992M,-3.336M,-2.377M,-3.336M,82.95M,11.39M,71.56M,,71.56M,71.56M,103.55M,,2018-06,0.52,,0.52,2018-06,0.51,,0.51,0.51,137.75M,140.15M,0.16,AOR,Restated
