,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,1.123B,-321.00M,27.00M,222.00M,-249.00M,-5.00M,1.338B,,1.338B,1.338B,89.00M,,,61.00M,,,,,-307.00M,388.00M,22.00M,103.00M,2.839B,-1.307B,-27.00M,-351.00M,-1.384B,21.00M,-3.021B,2.07B,-351.00M,1.719B,,,-49.00M,-686.00M,-686.00M,207.00M,1.191B,1.436B,1.009B,-8.00M,2.437B,,3.428B,-1.709B,,,
2020-06,1.128B,297.00M,17.00M,167.00M,-154.00M,11.00M,1.032B,,1.032B,1.032B,47.00M,,,-265.00M,,,,,-348.00M,271.00M,-87.00M,-164.00M,1.898B,-1.786B,-74.00M,-168.00M,-994.00M,-102.00M,-3.05B,2.096B,-2.792B,-696.00M,,57.00M,6.00M,-686.00M,-686.00M,138.00M,-1.238B,3.834B,-2.39B,-8.00M,1.436B,,4.649B,-5.345B,57.00M,,
2020-03,308.00M,-297.00M,-39.00M,563.00M,390.00M,617.00M,922.00M,,922.00M,922.00M,-180.00M,,,301.00M,,,,,142.00M,-245.00M,-71.00M,-174.00M,1.894B,-1.452B,-57.00M,-340.00M,-1.495B,152.00M,-3.135B,4.042B,685.00M,4.727B,,-57.00M,-57.00M,-685.00M,-685.00M,-24.00M,3.961B,1.108B,2.72B,6.00M,3.834B,,5.979B,-1.252B,-57.00M,,
2019-12,844.00M,-46.00M,7.00M,-243.00M,-146.00M,-428.00M,1.041B,,1.041B,1.041B,133.00M,,,-257.00M,,,,,433.00M,-240.00M,213.00M,406.00M,1.912B,-1.855B,-70.00M,-237.00M,-1.885B,263.00M,-3.714B,1.075B,160.00M,1.235B,1.494B,,6.00M,-611.00M,-611.00M,720.00M,1.35B,1.558B,-452.00M,2.00M,1.108B,1.494B,3.206B,-1.971B,,,
2019-09,799.00M,-415.00M,-2.00M,151.00M,90.00M,235.00M,1.313B,,1.313B,1.313B,23.00M,,,233.00M,,,,,-187.00M,376.00M,66.00M,255.00M,2.962B,-1.421B,-76.00M,-224.00M,-1.917B,-10.00M,-3.572B,1.679B,-1.991B,-312.00M,,,1.462B,-600.00M,-600.00M,-79.00M,471.00M,1.703B,-139.00M,-6.00M,1.558B,,1.732B,-2.044B,,,
2019-06,1.139B,49.00M,17.00M,-402.00M,6.00M,-741.00M,1.262B,,1.262B,1.262B,-118.00M,,,-61.00M,,,,,-406.00M,494.00M,-34.00M,54.00M,1.684B,-1.32B,-72.00M,-153.00M,-357.00M,-116.00M,-1.946B,3.071B,-2.47B,601.00M,-20.00M,,6.00M,-599.00M,-599.00M,617.00M,625.00M,1.341B,363.00M,-1.00M,1.703B,-20.00M,6.413B,-5.812B,,,
2019-03,606.00M,-49.00M,-5.00M,386.00M,-16.00M,316.00M,862.00M,,862.00M,862.00M,220.00M,,,-153.00M,,,,,283.00M,-514.00M,-107.00M,-338.00M,1.597B,-1.316B,-97.00M,-4.551B,-1.215B,137.00M,-6.945B,2.602B,-498.00M,2.104B,20.00M,,20.00M,-598.00M,-598.00M,-99.00M,1.427B,5.253B,-3.921B,9.00M,1.341B,20.00M,2.768B,-664.00M,,,
2018-12,314.00M,-60.00M,21.00M,-34.00M,13.00M,-60.00M,1.145B,,1.145B,1.145B,-87.00M,,,23.00M,,,,,67.00M,-56.00M,-81.00M,-70.00M,1.362B,-1.527B,-50.00M,0.00,-972.00M,110.00M,-2.389B,-138.00M,5.324B,5.186B,4.00M,,4.00M,-531.00M,-531.00M,906.00M,5.565B,721.00M,4.538B,-6.00M,5.253B,4.00M,5.70B,-514.00M,,,
2018-09,941.00M,-36.00M,-16.00M,89.00M,-122.00M,-85.00M,1.183B,,1.183B,1.183B,159.00M,,,-8.00M,,,,,-584.00M,644.00M,-24.00M,36.00M,2.295B,-1.729B,-29.00M,0.00,-1.666B,185.00M,-3.206B,-226.00M,293.00M,67.00M,703.00M,,703.00M,-523.00M,-523.00M,635.00M,882.00M,736.00M,-29.00M,14.00M,721.00M,703.00M,1.646B,-1.579B,,,
2018-06,687.00M,-31.00M,-27.00M,192.00M,-52.00M,82.00M,894.00M,,894.00M,894.00M,121.00M,,,-53.00M,,,,,-357.00M,170.00M,12.00M,-175.00M,1.645B,-1.415B,-78.00M,0.00,226.00M,-1.132B,-1.688B,799.00M,-372.00M,427.00M,4.00M,,4.00M,-524.00M,-524.00M,-30.00M,-123.00M,908.00M,-166.00M,-6.00M,736.00M,4.00M,699.00M,-272.00M,,,
