,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-04,16.56B,16.78B,11.62B,5.156B,3.545B,,121.00M,,-121.00M,,4.115B,1.041B,,121.00M,-121.00M,7.00M,-121.00M,927.00M,210.00M,717.00M,1.00M,,718.00M,717.00M,1.679B,631.00M,1.048B,,1.335,0.0019,,1.335,1.34,,1.325,0.0018,,1.325,1.33,,536.90M,541.00M,0.62,,AOR,Restated
2018-01,22.73B,22.98B,16.80B,6.188B,4.454B,,132.00M,,-132.00M,,5.059B,1.129B,,132.00M,-132.00M,15.00M,-132.00M,1.012B,-76.00M,1.088B,-1.00M,,1.087B,1.088B,1.811B,667.00M,1.144B,,2.03,0.00,,2.03,2.03,,2.02,0.00,,2.02,2.02,,541.10M,545.80M,0.62,,AOR,Restated
2017-10,16.65B,16.87B,11.71B,5.162B,3.733B,,251.00M,,-251.00M,,4.315B,847.00M,,251.00M,-251.00M,15.00M,-251.00M,611.00M,135.00M,476.00M,2.00M,,478.00M,476.00M,1.505B,643.00M,862.00M,,0.87,0.01,,0.87,0.88,,0.87,0.00,,0.87,0.87,,544.50M,547.90M,0.62,,AOR,Restated
2017-07,16.41B,16.63B,11.42B,5.215B,3.601B,,131.00M,,-131.00M,,4.122B,1.093B,,131.00M,-131.00M,15.00M,-131.00M,977.00M,307.00M,670.00M,1.00M,,671.00M,670.00M,1.693B,585.00M,1.108B,,1.22,0.00,,1.22,1.22,,1.21,0.00,,1.21,1.22,,549.30M,551.90M,0.60,,AOR,Restated
2017-04,16.00B,16.22B,11.20B,5.024B,3.353B,,140.00M,,-140.00M,,3.869B,1.155B,,140.00M,-140.00M,15.00M,-140.00M,1.03B,355.00M,675.00M,3.00M,,678.00M,675.00M,1.751B,581.00M,1.17B,,1.22,0.01,,1.22,1.23,,1.21,0.01,,1.21,1.22,,552.40M,555.20M,0.60,,AOR,Restated
2017-01,20.61B,21.47B,15.19B,6.278B,4.476B,,127.00M,,-127.00M,,5.035B,1.243B,,127.00M,-127.00M,,-127.00M,1.204B,385.00M,819.00M,-5.00M,,814.00M,819.00M,1.963B,632.00M,1.331B,,1.47,-0.01,,1.47,1.46,,1.46,-0.01,,1.46,1.45,,559.90M,564.50M,0.60,,AOR,Restated
2016-10,16.44B,16.44B,11.54B,4.905B,3.339B,,142.00M,,-142.00M,,3.844B,1.061B,,142.00M,-142.00M,,-142.00M,919.00M,311.00M,608.00M,0.00,,608.00M,608.00M,1.631B,570.00M,1.061B,,1.07,0.00,,1.07,1.07,,1.06,0.00,,1.06,1.06,,570.10M,574.80M,0.60,,AOR,Restated
2016-07,16.17B,16.17B,11.17B,4.997B,3.249B,,307.00M,,-307.00M,,3.749B,1.248B,,307.00M,-307.00M,,-307.00M,941.00M,316.00M,625.00M,55.00M,,680.00M,625.00M,1.818B,570.00M,1.248B,,1.07,0.09,,1.07,1.17,,1.07,0.09,,1.07,1.16,,582.20M,586.80M,0.56,,AOR,Restated
2016-04,16.20B,16.20B,11.18B,5.011B,3.153B,,415.00M,,-415.00M,,3.699B,1.312B,,415.00M,-415.00M,,-415.00M,897.00M,283.00M,614.00M,18.00M,,632.00M,614.00M,1.858B,546.00M,1.312B,,1.03,0.03,,1.03,1.06,,1.02,0.03,,1.02,1.05,,598.30M,603.80M,0.56,,AOR,Restated
2016-01,21.63B,21.63B,15.84B,5.787B,3.92B,,152.00M,,-152.00M,,4.238B,1.549B,,152.00M,-152.00M,,-152.00M,2.017B,596.00M,1.421B,5.00M,,1.426B,1.421B,2.731B,562.00M,2.169B,,2.31,0.01,,2.31,2.33,,2.31,0.01,,2.31,2.32,,610.30M,615.50M,0.56,,AOR,Restated
