,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-07,10.56B,10.56B,7.182B,3.374B,2.289B,,,,,,2.588B,786.00M,,,,,,579.00M,219.00M,360.00M,1.05B,,1.41B,360.00M,1.085B,299.00M,786.00M,,0.40,1.15,,0.40,1.55,,0.39,1.14,,0.39,1.53,,911.50M,919.20M,0.07,,,
2004-04,10.18B,10.18B,6.769B,3.411B,2.346B,,,,,,2.638B,773.00M,,,,,,630.00M,238.00M,392.00M,40.00M,,432.00M,392.00M,1.065B,292.00M,773.00M,,0.43,0.04,,0.43,0.47,,0.43,0.04,,0.43,0.47,,912.60M,921.40M,0.07,,,
2004-01,13.68B,13.68B,9.339B,4.337B,2.798B,,,,,,3.084B,1.253B,,,,,,1.124B,425.00M,699.00M,101.00M,,800.00M,699.00M,1.539B,122.00M,1.253B,,0.68,-0.10,,0.68,0.58,,0.68,-0.10,,0.68,0.58,,1.333B,1.360B,0.07,,,
2003-10,9.827B,9.827B,6.643B,3.184B,2.344B,,,,,,2.621B,563.00M,,,,,,432.00M,161.00M,271.00M,31.00M,,302.00M,271.00M,1.004B,441.00M,563.00M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,911.30M,918.00M,0.07,,,
2003-07,9.594B,9.594B,6.45B,3.144B,2.185B,,,,,,2.459B,685.00M,,,,,,531.00M,202.00M,329.00M,29.00M,,358.00M,329.00M,959.00M,218.00M,685.00M,,0.36,0.03,,0.36,0.39,,0.36,0.03,,0.36,0.39,,910.80M,918.10M,0.06,,,
2003-04,10.32B,10.32B,6.764B,3.558B,2.536B,,,,,,2.853B,705.00M,,,,,,563.00M,214.00M,349.00M,,,349.00M,349.00M,1.022B,317.00M,705.00M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,910.30M,915.10M,0.06,,,
2003-01,7.554B,7.554B,5.80B,1.754B,862.00M,,,,,,940.00M,814.00M,,,,,,664.00M,254.00M,410.00M,,,657.00M,410.00M,892.00M,78.00M,814.00M,,0.46,0.27,,0.46,0.73,,0.45,0.27,,0.45,0.72,,909.20M,915.50M,0.06,,,
2002-10,10.19B,10.19B,6.736B,3.458B,2.56B,,,,,,2.865B,593.00M,,,,,,448.00M,171.00M,277.00M,,,277.00M,277.00M,898.00M,305.00M,593.00M,,0.31,0.00,,0.31,0.31,,0.30,0.00,,0.30,0.30,,908.50M,914.00M,0.06,,,
2002-07,10.07B,10.07B,6.64B,3.428B,2.42B,,,,,,2.715B,713.00M,,,,,,559.00M,215.00M,344.00M,,,344.00M,344.00M,1.008B,295.00M,713.00M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,907.90M,913.00M,0.06,,,
2002-04,9.594B,9.594B,6.322B,3.272B,2.292B,,,,,,2.581B,691.00M,,,,,,556.00M,211.00M,345.00M,,,345.00M,345.00M,980.00M,289.00M,691.00M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,906.40M,914.70M,0.06,,,
2002-01,13.22B,13.22B,9.121B,4.099B,2.62B,,,,,,2.903B,1.196B,,,,,,1.061B,403.00M,658.00M,,,658.00M,658.00M,1.479B,283.00M,1.196B,,0.7289,,,0.7289,0.7289,,0.7289,,,0.7289,0.7289,,902.79M,902.79M,0.055,,,
2001-10,9.331B,9.331B,6.337B,2.994B,2.293B,,,,,,2.574B,420.00M,,,,,,298.00M,113.00M,185.00M,,,185.00M,185.00M,701.00M,281.00M,420.00M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,902.30M,908.30M,0.055,,,
2001-07,8.952B,8.952B,6.10B,2.852B,2.045B,,,,,,2.304B,548.00M,,,,,,439.00M,167.00M,272.00M,,,271.00M,272.00M,807.00M,259.00M,548.00M,,0.30,0.00,-0.0011,0.30,0.30,,0.30,0.00,-0.0011,0.30,0.30,,901.00M,908.90M,0.055,,,
2001-04,8.345B,8.345B,5.622B,2.723B,1.951B,,,,,,2.207B,516.00M,,,,,,410.00M,156.00M,254.00M,,,254.00M,254.00M,772.00M,256.00M,516.00M,,0.28,0.00,,0.28,0.28,,0.28,0.00,,0.28,0.28,,899.00M,908.50M,0.055,,,
2001-01,12.32B,12.32B,8.639B,3.685B,2.422B,,,,,,2.669B,1.016B,,,,,,895.00M,343.00M,552.00M,,,552.00M,552.00M,1.263B,247.00M,1.016B,,0.61,0.00,,0.61,0.61,,0.60,0.00,,0.60,0.60,,896.60M,907.90M,0.055,,,
2000-10,8.582B,8.582B,5.86B,2.722B,2.024B,,,,,,2.263B,459.00M,,,,,,351.00M,135.00M,216.00M,,,217.00M,216.00M,698.00M,239.00M,459.00M,,0.24,0.00,0.0011,0.24,0.24,,0.24,0.00,0.0011,0.24,0.24,,900.40M,907.80M,0.055,,,
2000-07,8.251B,8.251B,5.593B,2.658B,1.91B,,,,,,2.14B,518.00M,,,,,,418.00M,161.00M,257.00M,,,258.00M,257.00M,748.00M,230.00M,518.00M,,0.28,0.00,0.0011,0.28,0.28,,0.28,0.00,0.0011,0.28,0.28,,906.60M,915.20M,0.05,,,
2000-04,7.746B,7.746B,5.203B,2.543B,1.834B,,,,,,2.058B,485.00M,,,,,,389.00M,150.00M,239.00M,,,239.00M,239.00M,709.00M,224.00M,485.00M,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,910.40M,921.20M,0.05,,,
2000-01,10.93B,10.93B,7.62B,3.31B,2.135B,,,,,,2.358B,952.00M,,,,,,853.00M,331.00M,522.00M,,,494.00M,522.00M,1.175B,223.00M,952.00M,,0.5698,,-0.0306,0.5698,0.5348,,0.52,0.01,-0.0306,0.52,0.53,,902.78M,934.61M,0.05,,,
1999-10,7.927B,7.927B,5.365B,2.562B,1.855B,,,,,,2.068B,494.00M,,,,,,392.00M,151.00M,241.00M,,,232.00M,241.00M,707.00M,213.00M,494.00M,,0.27,-0.01,-0.0101,0.27,0.26,,0.26,-0.01,-0.0101,0.26,0.25,,892.31M,928.00M,0.05,,,
1999-07,7.687B,7.687B,5.193B,2.494B,1.81B,,,,,,2.022B,472.00M,,,,,,374.00M,146.00M,228.00M,,,224.00M,228.00M,684.00M,212.00M,472.00M,,0.25,0.00,-0.0045,0.25,0.25,,0.24,0.00,-0.0045,0.24,0.24,,882.20M,932.70M,0.05,,,
1999-04,7.158B,7.158B,4.851B,2.307B,1.69B,,,,,,1.896B,411.00M,,,,,,317.00M,123.00M,194.00M,,,194.00M,194.00M,617.00M,206.00M,411.00M,,0.22,0.00,,0.22,0.22,,0.21,0.00,,0.21,0.21,,884.80M,939.00M,0.05,,,
1999-01,9.85B,9.85B,5.882B,3.968B,3.327B,,,,,,3.166B,802.00M,,,,,,705.00M,258.00M,447.00M,,,423.00M,447.00M,1.005B,203.00M,802.00M,,0.50,-0.02,-0.0274,0.50,0.48,,0.47,-0.02,-0.0274,0.47,0.45,,777.14M,893.96M,0.045,,,
1998-10,7.288B,7.288B,5.333B,1.955B,1.228B,,,,,121.00M,1.549B,406.00M,,,,,,302.00M,119.00M,183.00M,,,182.00M,183.00M,606.00M,200.00M,406.00M,,0.20,0.00,-0.0011,0.20,0.20,,0.20,0.00,-0.0011,0.20,0.20,,910.00M,910.00M,0.045,,,
1998-07,7.056B,7.056B,5.143B,1.913B,1.214B,,,,,121.00M,1.528B,385.00M,,,,,,284.00M,112.00M,172.00M,,,172.00M,172.00M,578.00M,193.00M,385.00M,,0.19,0.00,,0.19,0.19,,0.18,0.00,,0.18,0.18,,905.26M,955.56M,0.045,,,
1998-04,6.468B,6.468B,4.727B,1.741B,1.074B,,,,,122.00M,1.38B,361.00M,,,,,,265.00M,105.00M,160.00M,,,158.00M,160.00M,545.00M,184.00M,361.00M,,0.18,-0.01,-0.0022,0.18,0.17,,0.17,-0.01,-0.0022,0.17,0.16,,929.41M,987.50M,0.045,,,
1998-01,8.953B,8.953B,6.666B,2.287B,1.307B,,,,,124.00M,1.604B,683.00M,,,,,,588.00M,232.00M,356.00M,,,356.00M,356.00M,856.00M,173.00M,683.00M,,0.40,0.00,-0.0017,0.40,0.40,,0.38,0.00,-0.0017,0.38,0.385,,795.62M,819.36M,0.045,,,
1997-10,6.622B,6.622B,4.815B,1.807B,1.111B,,,,,116.00M,1.403B,404.00M,,,,,,297.00M,118.00M,179.00M,,,160.00M,179.00M,580.00M,176.00M,404.00M,,0.21,-0.03,-0.0214,0.21,0.18,,0.19,-0.03,-0.0214,0.19,0.17,,888.89M,941.18M,0.04,,,
1997-07,6.293B,6.293B,4.586B,1.707B,1.08B,,,,,113.00M,1.367B,340.00M,,,,,,233.00M,92.00M,141.00M,,,130.00M,141.00M,514.00M,174.00M,340.00M,,0.16,-0.02,-0.0118,0.16,0.14,,0.15,-0.02,-0.0118,0.15,0.13,,928.57M,1.00B,0.04,,,
1997-04,5.889B,5.889B,4.253B,1.636B,1.034B,,,,,117.00M,1.321B,315.00M,,,,,,208.00M,82.00M,126.00M,,,105.00M,126.00M,485.00M,170.00M,315.00M,,0.14,-0.03,-0.022,0.14,0.11,,0.14,-0.03,-0.022,0.14,0.11,,954.55M,954.55M,0.04,,,
1997-01,8.167B,8.167B,6.03B,2.137B,1.256B,,,,,116.00M,1.54B,597.00M,,,,,,355.00M,140.00M,215.00M,,,214.00M,215.00M,765.00M,168.00M,597.00M,,0.25,-0.01,-0.0013,0.25,0.24,,0.23,-0.01,-0.0013,0.23,0.22,,864.71M,985.26M,0.04,,,
1996-10,6.073B,6.073B,4.452B,1.621B,1.041B,,,,,109.00M,1.316B,305.00M,,,,,,191.00M,75.00M,116.00M,,,107.00M,116.00M,471.00M,166.00M,305.00M,,0.13,-0.01,-0.0101,0.13,0.12,,0.13,-0.01,-0.0101,0.13,0.12,,891.67M,891.67M,0.04,,,
1996-07,5.751B,5.751B,4.197B,1.554B,1.009B,,,,,108.00M,1.276B,278.00M,,,,,,167.00M,66.00M,101.00M,,,101.00M,101.00M,437.00M,159.00M,278.00M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,918.18M,918.18M,0.0367,,,
1996-04,5.38B,5.38B,3.949B,1.431B,983.00M,,,,,112.00M,1.252B,179.00M,,,,,,70.00M,28.00M,42.00M,,,41.00M,42.00M,336.00M,157.00M,179.00M,,0.04,0.00,-0.0010,0.04,0.04,,0.04,0.00,-0.0010,0.04,0.04,,1.025B,1.025B,0.0367,,,
1996-01,7.95B,7.95B,6.014B,1.936B,1.182B,,,,,110.00M,1.455B,481.00M,,,,,,365.00M,137.00M,228.00M,,,228.00M,228.00M,644.00M,163.00M,481.00M,,0.26,0.00,,0.26,0.26,,0.25,0.00,,0.25,0.25,,860.28M,860.28M,0.0367,,,
1995-10,5.573B,5.573B,4.113B,1.46B,1.027B,,,,,103.00M,1.278B,182.00M,,,,,,71.00M,27.00M,44.00M,,,44.00M,44.00M,330.00M,148.00M,182.00M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,880.00M,880.00M,0.0367,,,
1995-07,5.236B,5.236B,3.896B,1.34B,941.00M,,,,,101.00M,1.185B,155.00M,,,,,,47.00M,19.00M,28.00M,,,28.00M,28.00M,298.00M,143.00M,155.00M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,933.33M,933.33M,0.0367,,,
1995-04,4.757B,4.757B,3.504B,1.253B,893.00M,,,,,95.00M,1.128B,125.00M,,,,,,18.00M,7.00M,11.00M,,,11.00M,11.00M,265.00M,140.00M,125.00M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,1.10B,1.10B,0.035,,,
1995-01,6.998B,6.998B,5.169B,1.829B,1.027B,,,,,100.00M,1.262B,567.00M,,,,,,460.00M,181.00M,279.00M,,,279.00M,279.00M,702.00M,135.00M,567.00M,,0.31,0.00,,0.31,0.31,,0.30,0.00,,0.30,0.30,,881.37M,881.37M,0.035,,,
1994-10,5.046B,5.046B,3.695B,1.351B,910.00M,,,,,88.00M,1.134B,217.00M,,,,,,109.00M,42.00M,67.00M,,,67.00M,67.00M,353.00M,136.00M,217.00M,,0.08,0.00,,0.08,0.08,,0.07,0.00,,0.07,0.07,,837.50M,957.14M,0.035,,,
1994-07,4.802B,4.802B,3.519B,1.283B,874.00M,,,,,92.00M,1.097B,186.00M,,,,,,81.00M,32.00M,49.00M,,,49.00M,49.00M,317.00M,131.00M,186.00M,,0.06,0.00,,0.06,0.06,,0.05,0.00,,0.05,0.05,,816.67M,980.00M,0.035,,,
1994-04,4.465B,4.465B,3.253B,1.212B,820.00M,,,,,93.00M,1.042B,170.00M,,,,,,64.00M,25.00M,39.00M,,,39.00M,39.00M,299.00M,129.00M,170.00M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,975.00M,975.00M,0.035,,,
1994-01,6.281B,6.281B,4.593B,1.688B,920.00M,,,,,91.00M,1.133B,555.00M,,,,,,446.00M,168.00M,278.00M,,,278.00M,278.00M,677.00M,122.00M,555.00M,,0.32,0.00,,0.32,0.32,,0.30,0.00,,0.30,0.30,,661.43M,840.00M,0.0333,,,
1993-10,4.625B,4.625B,3.417B,1.208B,809.00M,,,,,85.00M,1.021B,187.00M,,,,,,75.00M,32.00M,43.00M,,,43.00M,43.00M,314.00M,126.00M,187.00M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,860.00M,860.00M,0.0333,,,
1993-07,4.287B,4.287B,3.18B,1.107B,748.00M,,,,,82.00M,956.00M,151.00M,,,,,,38.00M,14.00M,24.00M,,9.50M,24.00M,24.00M,277.00M,126.00M,151.00M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.00B,1.00B,0.0333,,,
1993-04,4.04B,4.04B,2.973B,1.067B,698.00M,,,,,85.00M,907.00M,160.00M,,,,,,48.00M,18.00M,30.00M,,,30.00M,30.00M,284.00M,124.00M,160.00M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.00B,1.00B,0.0333,,,
1993-01,5.901B,5.901B,4.331B,1.57B,862.00M,,,,,83.00M,1.063B,507.00M,,,,,,396.00M,147.00M,249.00M,,,249.00M,249.00M,625.00M,118.00M,507.00M,,0.28,0.00,,0.28,0.28,,0.26,0.00,,0.26,0.26,,776.19M,958.57M,0.0317,,,
1992-10,4.34B,4.34B,3.189B,1.151B,756.00M,,,,,76.00M,949.00M,202.00M,,,,,,91.00M,34.00M,57.00M,,,57.00M,57.00M,319.00M,117.00M,202.00M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,950.00M,950.00M,0.0317,,,
1992-07,3.967B,3.967B,2.899B,1.068B,704.00M,,,,,76.00M,893.00M,175.00M,,,,,,68.00M,26.00M,42.00M,,,42.00M,42.00M,288.00M,113.00M,175.00M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,840.00M,840.00M,0.0317,,,
1992-04,3.719B,3.719B,2.71B,1.009B,656.00M,,,,,78.00M,845.00M,164.00M,,,,,,56.00M,21.00M,35.00M,,,35.00M,35.00M,275.00M,111.00M,164.00M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,875.00M,875.00M,0.0317,,,
1992-01,5.249B,5.249B,3.82B,1.429B,844.00M,,,,,74.00M,1.023B,406.00M,,,,,,299.00M,107.00M,192.00M,,,192.00M,192.00M,511.00M,105.00M,406.00M,,0.22,0.00,,0.22,0.22,,0.20,0.00,,0.20,0.20,,675.76M,911.14M,0.03,,,
1991-10,3.955B,3.955B,2.913B,1.042B,711.00M,,,,,70.00M,884.00M,158.00M,,,,,,55.00M,20.00M,35.00M,,,35.00M,35.00M,261.00M,103.00M,158.00M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,875.00M,875.00M,0.03,,,
1991-07,3.562B,3.562B,2.598B,964.00M,639.00M,,,,,69.00M,806.00M,158.00M,,,,,,64.00M,24.00M,40.00M,,,40.00M,40.00M,256.00M,98.00M,158.00M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,1.00B,1.00B,0.03,,,
1991-04,3.349B,3.349B,2.42B,929.00M,607.00M,,,,,70.00M,781.00M,148.00M,,,,,,54.00M,20.00M,34.00M,,,34.00M,34.00M,252.00M,104.00M,148.00M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,850.00M,850.00M,0.03,,,
1991-01,4.865B,4.865B,3.508B,1.357B,724.00M,,,,,69.00M,886.00M,471.00M,,,,,,377.00M,142.00M,235.00M,,,235.00M,235.00M,564.00M,93.00M,471.00M,,0.26,0.00,,0.26,0.26,,0.25,0.00,,0.25,0.25,,881.29M,897.29M,0.0275,,,
1990-10,3.625B,3.625B,2.617B,1.008B,647.00M,,,,,66.00M,820.00M,188.00M,,,,,,93.00M,35.00M,58.00M,,,58.00M,58.00M,295.00M,107.00M,188.00M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,966.67M,966.67M,0.0275,,,
1990-07,3.242B,3.242B,2.358B,884.00M,563.00M,,,,,60.00M,713.00M,171.00M,,,,,,96.00M,37.00M,59.00M,,,59.00M,59.00M,261.00M,90.00M,171.00M,,0.07,0.00,,0.07,0.07,,0.06,0.00,,0.06,0.06,,842.86M,983.33M,0.0275,,,
1990-04,3.007B,3.007B,2.166B,841.00M,544.00M,,,,,61.00M,687.00M,154.00M,,,,,,93.00M,35.00M,58.00M,,,58.00M,58.00M,236.00M,82.00M,154.00M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,966.67M,966.67M,0.0275,,,
1990-01,4.485B,4.485B,3.263B,1.222B,662.00M,,,,,61.00M,803.00M,419.00M,,,,,,414.00M,164.00M,250.00M,,,250.00M,250.00M,499.00M,80.00M,419.00M,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,977.78M,977.78M,0.0233,,,
1989-10,3.236B,3.236B,2.346B,890.00M,558.00M,-22.00M,,,,55.00M,693.00M,197.00M,,,,-22.00M,,107.00M,43.00M,64.00M,,,64.00M,77.20M,277.00M,80.00M,197.00M,,0.07,0.00,,0.0844,0.07,,0.07,0.00,,0.0844,0.07,,914.29M,914.29M,0.0233,,,
1989-07,3.097B,3.097B,2.243B,854.00M,561.00M,,,,,56.00M,697.00M,157.00M,,,,,,91.00M,35.00M,56.00M,,,56.00M,56.00M,237.00M,80.00M,157.00M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,933.33M,933.33M,0.0233,,,
1989-04,2.826B,2.826B,,,,,,,,,,2.826B,,,,,,,,40.00M,,,40.00M,,2.826B,,2.826B,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,1.016B,1.016B,0.0233,,,
1989-01,4.100B,4.100B,,,,,,,,,,-7.414B,,,,,,,,183.00M,,,183.00M,,-7.414B,,-7.414B,,,,,,,,,,,,,,932.72M,932.72M,0.0213,,,
1988-10,2.867B,2.867B,,,,,,,,,,2.867B,,,,,,,,45.00M,,,45.00M,,2.867B,,2.867B,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,1.016B,1.016B,0.0213,,,
1988-07,2.693B,2.693B,,,,,,,,,,2.693B,,,,,,,,28.00M,,,28.00M,,2.693B,,2.693B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.023B,1.023B,0.0213,,,
1988-04,2.544B,2.544B,,,,,,,,,,2.544B,,,,,,,,31.00M,,,31.00M,,2.544B,,2.544B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.103B,1.103B,0.0213,,,
1988-01,3.679B,3.679B,,,,,,,,,,-6.447B,,,,,,,,133.70M,,,133.70M,,-6.447B,,-6.447B,,,,,,,,,,,,,,1.030B,1.030B,0.0192,,,
1987-10,2.539B,2.539B,,,,,,,,,,2.539B,,,,,,,,33.60M,,,33.60M,,2.539B,,2.539B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.170B,1.170B,0.0192,,,
1987-07,2.306B,2.306B,,,,,,,,,,2.306B,,,,,,,,23.00M,,,23.00M,,2.306B,,2.306B,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,1.122B,1.122B,0.0192,,,
1987-04,2.153B,2.153B,,,,,,,,,,2.153B,,,,,,,,38.10M,,,38.10M,,2.153B,,2.153B,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,1.169B,1.169B,0.0192,,,
1987-01,3.116B,3.116B,,,,,,,,,,-5.532B,,,,,,,,120.80M,9.00M,,129.80M,,-5.532B,,-5.532B,,,0.0077,,,0.0077,,,0.0077,,,0.0077,,1.170B,1.170B,0.0175,,,
1986-10,2.215B,2.215B,,,,,,,,,,2.215B,,,,,,,,53.10M,-1.10M,,52.00M,,2.215B,,2.215B,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,1.169B,1.169B,0.0175,,,
1986-07,2.042B,2.042B,,,,,,,,,,2.042B,,,,,,,,40.60M,-3.90M,,36.70M,,2.042B,,2.042B,,0.04,-0.01,,0.04,0.03,,0.04,-0.01,,0.04,0.03,,1.169B,1.169B,0.0175,,,
1986-04,1.887B,1.887B,,,,,,,,,,1.887B,,,,,,,,40.50M,-1.90M,,38.60M,,1.887B,,1.887B,,0.04,-0.01,,0.04,0.03,,0.04,-0.01,,0.04,0.03,,1.166B,1.166B,0.0175,,,
1986-01,2.939B,2.939B,,,,,,,,,,-5.222B,,,,,,,,153.30M,,,153.30M,,-5.222B,,-5.222B,,,,,,,,,,,,,,1.168B,1.168B,,,,
1985-10,2.072B,2.072B,,,,,,,,,,2.072B,,,,,,,,56.90M,,,56.90M,,2.072B,,2.072B,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,1.166B,1.166B,,,,
1985-07,1.964B,1.964B,,,,,,,,,,1.964B,,,,,,,,40.00M,,,40.00M,,1.964B,,1.964B,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,1.166B,1.166B,,,,
1985-04,1.819B,1.819B,,,,,,,,,,1.819B,,,,,,,,33.50M,,,33.50M,,1.819B,,1.819B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.164B,1.164B,,,,
1985-01,2.738B,2.738B,,,,,,,,,,-4.669B,,,,,,,,148.60M,,,148.60M,,-4.669B,,-4.669B,,,,,,,,,,,,,,1.165B,1.165B,,,,
1984-10,1.869B,1.869B,,,,,,,,,,1.869B,,,,,,,,43.20M,,,43.20M,,1.869B,,1.869B,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,1.164B,1.164B,,,,
1984-07,1.784B,1.784B,,,,,,,,,,1.784B,,,,,,,,39.10M,,,39.10M,,1.784B,,1.784B,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,1.164B,1.164B,,,,
1984-04,1.618B,1.618B,,,,,,,,,,1.618B,,,,,,,,28.40M,,,28.40M,,1.618B,,1.618B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.161B,1.161B,,,,
