,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,18.86B,18.86B,144.00M,10.13B,10.28B,,1.51B,-718.00M,9.56B,913.00M,9.368B,2.864B,645.00M,2.219B,,-184.00M,315.00M,2.035B,2.580B,2.382B,4.296B,0.42,,,0.5522,0.42,0.42,,,0.5519,0.42,4.124B,4.132B,0.1
2020-06,17.84B,17.84B,137.00M,9.32B,9.457B,22.00M,244.00M,,9.479B,745.00M,9.88B,-6.249B,-3.917B,-2.332B,,-47.00M,315.00M,-2.379B,-2.379B,2.194B,-4.328B,-0.66,,,-0.66,-0.66,-0.66,,,-0.66,-0.66,4.106B,4.106B,0.51
2020-03,17.72B,17.72B,181.00M,8.692B,8.873B,23.00M,260.00M,,8.896B,-1.164B,11.31B,664.00M,159.00M,505.00M,,148.00M,611.00M,653.00M,653.00M,1.868B,4.079B,0.01,,,0.01,0.01,0.01,,,0.01,0.01,4.105B,4.135B,0.51
2019-12,19.86B,19.86B,244.00M,7.855B,8.099B,,-2.119B,,8.099B,443.00M,11.20B,3.602B,678.00M,2.924B,,-51.00M,327.00M,2.873B,2.873B,2.135B,7.997B,0.61,,,0.61,0.61,0.6,,,0.6,0.6,4.195B,4.233B,0.51
2019-09,22.01B,22.01B,266.00M,10.80B,11.06B,,2.192B,0.00,11.06B,959.00M,11.62B,6.116B,1.304B,4.812B,,-202.00M,573.00M,4.61B,4.61B,1.84B,10.99B,0.93,,,0.93,0.93,0.92,,,0.92,0.92,4.358B,4.390B,0.51
2019-06,21.58B,21.58B,329.00M,8.929B,9.258B,27.00M,311.00M,,9.285B,642.00M,12.10B,7.632B,1.294B,6.338B,,-132.00M,358.00M,6.206B,6.206B,1.651B,12.52B,1.31,,,1.31,1.31,1.3,,,1.3,1.3,4.469B,4.495B,0.45
2019-03,21.61B,21.61B,237.00M,9.653B,9.89B,28.00M,286.00M,,9.918B,939.00M,12.31B,6.848B,881.00M,5.967B,,-107.00M,353.00M,5.86B,5.86B,1.449B,11.54B,1.21,,,1.21,1.21,1.2,,,1.2,1.2,4.552B,4.584B,0.45
2018-12,20.98B,20.98B,,9.825B,10.68B,264.00M,,,10.95B,30.00M,12.64B,7.12B,966.00M,6.154B,,-90.00M,353.00M,6.064B,6.064B,1.371B,11.40B,1.22,,,1.22,1.22,1.21,,,1.21,1.21,4.664B,4.699B,0.43
2018-09,21.94B,21.94B,,8.601B,8.601B,264.00M,,,8.865B,473.00M,12.57B,7.598B,1.512B,6.086B,,-79.00M,554.00M,6.007B,6.007B,1.387B,11.39B,1.14,,,1.14,1.14,1.13,,,1.13,1.13,4.784B,4.823B,0.43
2018-06,21.55B,21.55B,,8.649B,8.649B,265.00M,,,8.914B,336.00M,12.54B,7.119B,1.81B,5.309B,,-123.00M,394.00M,5.186B,5.186B,1.404B,10.59B,0.98,,,0.98,0.98,0.98,,,0.98,0.98,4.866B,4.900B,0.39
2018-03,21.93B,21.93B,153.00M,9.947B,10.10B,265.00M,320.00M,,10.36B,784.00M,12.24B,6.701B,1.374B,5.327B,,-191.00M,403.00M,5.136B,5.136B,1.431B,9.81B,0.97,,,0.97,0.97,0.96,,,0.96,0.96,4.886B,4.931B,0.39
2017-12,23.26B,23.26B,,10.92B,11.53B,288.00M,,,11.82B,1.936B,12.31B,4.599B,-1.642B,6.241B,,-90.00M,411.00M,6.151B,6.151B,1.612B,7.244B,1.17,,,1.17,1.17,1.16,,,1.16,1.16,4.912B,4.963B,0.39
2017-09,21.49B,21.49B,,8.502B,8.502B,288.00M,,,8.79B,166.00M,12.45B,6.781B,2.181B,4.60B,,-58.00M,411.00M,4.542B,4.542B,1.316B,9.376B,0.83,,,0.83,0.83,0.83,,,0.83,0.83,4.949B,4.997B,0.39
2017-06,21.96B,21.96B,,8.478B,8.478B,287.00M,,,8.765B,120.00M,12.47B,8.139B,2.245B,5.894B,,-38.00M,406.00M,5.856B,5.856B,1.241B,10.36B,1.09,,,1.09,1.09,1.08,,,1.08,1.08,4.990B,5.038B,0.38
2017-03,21.68B,21.68B,,9.005B,9.005B,289.00M,,,9.294B,36.00M,12.32B,7.858B,2.133B,5.725B,,-91.00M,401.00M,5.634B,5.634B,1.237B,9.747B,1.05,,,1.05,1.05,1.03,,,1.03,1.03,5.009B,5.070B,0.38
2016-12,22.16B,22.16B,,8.125B,8.125B,301.00M,,,8.426B,1.248B,12.40B,7.562B,2.258B,5.304B,,-30.00M,402.00M,5.274B,5.274B,1.372B,9.218B,0.97,,,0.97,0.97,0.96,,,0.96,0.96,5.026B,5.079B,0.38
2016-09,22.19B,22.19B,,8.277B,8.277B,299.00M,,,8.576B,106.00M,11.95B,8.255B,2.601B,5.654B,,-10.00M,401.00M,5.644B,5.644B,1.365B,9.79B,1.04,,,1.04,1.04,1.03,,,1.03,1.03,5.043B,5.095B,0.38
2016-06,21.97B,21.97B,,8.202B,8.202B,299.00M,,,8.501B,447.00M,11.73B,8.222B,2.649B,5.573B,,-15.00M,385.00M,5.558B,5.558B,938.00M,9.635B,1.02,,,1.02,1.02,1.01,,,1.01,1.01,5.067B,5.118B,0.38
2016-03,21.95B,21.95B,,8.457B,8.457B,293.00M,,,8.75B,244.00M,11.67B,8.081B,2.567B,5.514B,,-52.00M,377.00M,5.462B,5.462B,1.295B,9.386B,1.0,,,1.0,1.0,0.99,,,0.99,0.99,5.076B,5.139B,0.375
2015-12,21.16B,21.16B,,7.818B,7.818B,311.00M,,,8.129B,346.00M,11.59B,8.156B,2.533B,5.623B,,-48.00M,372.00M,5.575B,5.575B,892.00M,9.211B,1.05,,,1.05,1.05,1.03,,,1.03,1.03,5.108B,5.178B,0.375
2015-09,20.96B,20.96B,,7.705B,7.705B,311.00M,,,8.016B,147.00M,11.46B,8.773B,2.79B,5.983B,,-187.00M,353.00M,5.796B,5.796B,838.00M,9.761B,1.06,,,1.06,1.06,1.05,,,1.05,1.05,5.126B,5.194B,0.375
2015-06,20.80B,20.80B,,7.87B,7.87B,312.00M,,,8.182B,181.00M,11.27B,8.549B,2.763B,5.786B,,-67.00M,356.00M,5.719B,5.719B,831.00M,9.505B,1.04,,,1.04,1.04,1.03,,,1.03,1.03,5.152B,5.220B,0.375
2015-03,20.91B,20.91B,,8.261B,8.261B,312.00M,,,8.573B,278.00M,10.99B,8.163B,2.279B,5.884B,,-80.00M,343.00M,5.804B,5.804B,727.00M,9.14B,1.06,,,1.06,1.06,1.04,,,1.04,1.04,5.160B,5.244B,0.35
2014-12,21.07B,21.07B,,7.875B,7.875B,338.00M,,,8.213B,186.00M,11.18B,8.311B,2.519B,5.792B,,-83.00M,327.00M,5.709B,5.709B,582.00M,9.314B,1.04,,,1.04,1.04,1.02,,,1.02,1.02,5.192B,5.28B,0.35
2014-09,20.50B,20.50B,,7.601B,7.601B,342.00M,,,7.943B,253.00M,10.94B,8.597B,2.642B,5.955B,,-226.00M,321.00M,5.729B,5.729B,630.00M,9.62B,1.04,,,1.04,1.04,1.02,,,1.02,1.02,5.226B,5.310B,0.35
2014-06,20.62B,20.62B,,7.635B,7.635B,349.00M,,,7.984B,71.00M,10.79B,8.655B,2.869B,5.786B,,-60.00M,302.00M,5.726B,5.726B,732.00M,9.657B,1.02,,,1.02,1.02,1.01,,,1.01,1.01,5.268B,5.351B,0.35
2014-03,19.78B,19.78B,,7.759B,7.759B,341.00M,,,8.10B,83.00M,10.62B,8.352B,2.277B,6.075B,,-182.00M,286.00M,5.893B,5.893B,571.00M,9.349B,1.07,,,1.07,1.07,1.05,,,1.05,1.05,5.263B,5.353B,0.3
2013-12,20.01B,20.01B,,7.514B,7.514B,375.00M,,,7.889B,-14.00M,10.80B,8.217B,2.504B,5.713B,,-103.00M,241.00M,5.61B,5.61B,785.00M,9.25B,1.02,,,1.02,1.02,1.0,,,1.0,1.0,5.270B,5.361B,0.3
2013-09,19.98B,19.98B,,7.697B,7.697B,375.00M,,,8.072B,-6.00M,10.75B,8.301B,2.618B,5.683B,,-105.00M,261.00M,5.578B,5.578B,865.00M,9.329B,1.0,,,1.0,1.0,0.99,,,0.99,0.99,5.295B,5.382B,0.3
2013-06,21.18B,21.18B,,7.771B,7.771B,377.00M,,,8.148B,-54.00M,10.75B,8.471B,2.863B,5.608B,,-89.00M,247.00M,5.519B,5.519B,809.00M,9.548B,1.0,,,1.0,1.0,0.98,,,0.98,0.98,5.305B,5.385B,0.3
2013-03,21.15B,21.15B,,8.115B,8.115B,377.00M,,,8.492B,45.00M,10.50B,7.64B,2.42B,5.22B,,-49.00M,240.00M,5.171B,5.171B,834.00M,8.791B,0.93,,,0.93,0.93,0.92,,,0.92,0.92,5.279B,5.354B,0.25
2012-12,21.23B,21.23B,,7.298B,7.298B,418.00M,,,7.716B,-63.00M,10.64B,7.221B,1.924B,5.297B,,-207.00M,233.00M,5.09B,5.09B,724.00M,8.435B,0.92,,,0.92,0.92,0.91,,,0.91,0.91,5.272B,5.339B,0.22
