,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,25.54B,246.77B,220.57B,467.34B,39.41B,,39.41B,599.77B,,,,20.97B,,20.97B,,20.97B,26.39B,8.032B,34.42B,945.09B,19.46B,,925.62B,527.59B,1.522T,1.922T,72.27B,72.27B,,11.17B,11.17B,11.17B,127.50B,215.71B,,215.71B,1.383T,13.77B,859.00M,1.613T,1.740T,30.23B,160.91B,60.04B,68.38B,21.10B,,,-750.00M,181.17B
2020-06,24.70B,262.50B,228.90B,491.40B,36.84B,,36.84B,630.30B,,,,21.50B,,21.50B,,21.50B,26.38B,8.555B,34.94B,968.85B,18.93B,,949.92B,525.07B,1.547T,1.969T,75.16B,75.16B,,10.83B,10.83B,10.83B,135.64B,230.92B,,230.92B,1.411T,11.37B,736.00M,1.653T,1.789T,30.23B,159.95B,59.92B,69.05B,21.10B,,,-798.00M,179.39B
2020-03,22.74B,150.81B,251.23B,402.04B,52.21B,,52.21B,565.74B,,,,21.88B,,21.88B,,21.88B,26.38B,9.931B,36.31B,1.034T,11.26B,,1.022T,555.61B,1.646T,1.981T,76.24B,76.24B,,13.25B,13.25B,13.25B,168.53B,237.34B,,237.34B,1.377T,15.62B,612.00M,1.629T,1.798T,30.48B,165.31B,59.85B,70.22B,21.35B,,,-1.564B,182.72B
2019-12,21.76B,141.25B,263.46B,404.71B,34.72B,,34.72B,555.78B,1.857B,9.499B,7.189B,12.98B,2.597B,34.12B,-11.87B,22.25B,26.39B,13.37B,39.76B,986.58B,9.551B,,977.03B,565.37B,1.615T,1.928T,75.16B,75.16B,,12.11B,12.11B,12.11B,179.68B,228.16B,32.00M,228.19B,1.323T,9.079B,838.00M,1.560T,1.740T,30.68B,166.70B,61.05B,68.83B,21.55B,,,-1.311B,187.15B
2019-09,22.40B,148.73B,271.24B,419.97B,46.21B,,46.21B,583.91B,,,,22.65B,,22.65B,,22.65B,26.39B,12.92B,39.31B,981.90B,9.715B,,972.18B,567.41B,1.611T,1.944T,76.53B,76.53B,,13.51B,13.51B,13.51B,200.44B,230.65B,,230.65B,1.308T,9.948B,1.112B,1.549T,1.750T,30.68B,166.32B,60.87B,61.78B,21.55B,,,-1.639B,193.30B
2019-06,20.88B,164.43B,265.98B,430.41B,32.39B,,32.39B,588.08B,,,,22.87B,,22.87B,,22.87B,26.42B,13.98B,40.40B,974.06B,9.692B,,964.36B,543.60B,1.581T,1.923T,69.71B,69.71B,,12.78B,12.78B,12.78B,185.05B,241.48B,,241.48B,1.288T,8.399B,995.00M,1.538T,1.723T,32.16B,164.55B,60.62B,54.78B,23.02B,,,-2.224B,199.04B
2019-03,20.65B,148.97B,268.10B,417.07B,38.68B,,38.68B,565.61B,,,,22.49B,,22.49B,,22.49B,26.42B,15.27B,41.69B,964.28B,9.90B,,954.38B,541.91B,1.570T,1.888T,74.72B,74.72B,,12.70B,12.70B,12.70B,181.31B,236.34B,,236.34B,1.264T,7.393B,901.00M,1.508T,1.689T,32.35B,160.78B,60.41B,50.52B,23.21B,,,-3.682B,197.83B
2018-12,23.55B,173.29B,269.91B,443.20B,40.36B,,40.36B,574.54B,1.757B,8.974B,6.896B,9.111B,2.387B,29.12B,-11.17B,17.96B,26.42B,16.64B,43.06B,970.28B,9.775B,,960.50B,539.84B,1.571T,1.896T,69.32B,69.32B,,13.36B,13.36B,13.36B,175.10B,229.01B,36.00M,229.04B,1.286T,8.499B,900.00M,1.524T,1.699T,32.35B,158.16B,60.68B,47.19B,23.21B,,,-6.336B,196.17B
2018-09,18.79B,159.52B,262.96B,422.49B,38.95B,,38.95B,556.72B,,,,18.13B,,18.13B,,18.13B,26.42B,18.21B,44.63B,963.29B,10.02B,,953.27B,534.04B,1.559T,1.873T,71.35B,71.35B,0.00,13.03B,13.03B,13.03B,176.80B,221.32B,,221.32B,1.267T,8.586B,938.00M,1.497T,1.673T,32.62B,154.58B,60.74B,40.54B,23.48B,,,-6.873B,198.74B
2018-06,20.45B,163.45B,265.69B,429.14B,38.84B,,38.84B,559.26B,,,,18.27B,,18.27B,,18.27B,26.43B,17.90B,44.32B,969.18B,10.19B,,958.99B,533.00B,1.566T,1.880T,72.48B,72.48B,,15.19B,15.19B,15.19B,176.98B,219.28B,,219.28B,1.269T,8.507B,881.00M,1.497T,1.674T,34.87B,150.80B,59.64B,32.62B,25.74B,,,-5.461B,205.19B
