,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,185.80M,0.00,0.10M,,0.10M,49.30M,41.60M,90.90M,90.90M,12.40M,,10.00M,,0.50M,26.80M,-8.30M,39.30M,-8.80M,-143.00M,-94.00M,207.10M,,-64.80M,,-159.90M,,5.70M,-219.00M,,0.00,0.00,0.00,,-50.00M,-50.00M,-43.90M,-43.90M,26.20M,-8.80M,-76.50M,,309.40M,-88.40M,0.80M,221.80M,,,0.00,0.00,-50.00M,107.10M,19.20M,,AOR,
2020-06,179.00M,0.00,0.10M,,0.10M,45.90M,41.00M,86.90M,86.90M,-1.40M,,9.50M,,0.00,66.10M,-35.30M,10.60M,-60.90M,-9.00M,-28.50M,249.50M,,-56.70M,,0.00,,-1.50M,-58.20M,,494.80M,-440.00M,54.80M,,-75.00M,-75.00M,-44.00M,-44.00M,22.90M,-45.70M,-87.00M,,204.40M,104.30M,0.70M,309.40M,,,494.80M,-440.00M,-75.00M,21.60M,41.10M,,AOR,
2020-03,171.70M,-19.40M,0.30M,,-19.10M,46.10M,41.00M,87.10M,87.10M,-0.10M,,19.60M,,0.80M,-96.50M,-18.50M,-62.00M,-10.30M,288.40M,101.10M,362.60M,,-52.90M,,-63.80M,,29.20M,-87.50M,,,-55.00M,-55.00M,,-173.80M,-173.80M,-43.90M,-43.90M,19.20M,-1.90M,-255.40M,,184.60M,19.70M,-0.20M,204.40M,,,20.00M,-75.00M,-173.80M,4.10M,22.60M,,AOR,
2019-12,132.20M,-6.20M,0.30M,-0.20M,-6.10M,47.70M,37.90M,85.60M,85.60M,-1.90M,,6.30M,,6.60M,-15.80M,0.20M,-1.80M,7.60M,-38.60M,-48.40M,176.40M,,-64.00M,,-589.70M,,0.30M,-653.40M,,0.00,485.00M,485.00M,,-100.00M,-100.00M,-40.80M,-40.80M,6.60M,-5.10M,345.70M,,311.80M,-131.30M,4.40M,184.60M,,,80.00M,405.00M,-100.00M,40.90M,42.80M,,AOR,
2019-09,32.90M,6.20M,0.00,-0.10M,6.10M,45.80M,33.20M,79.00M,79.00M,-27.40M,,8.80M,,1.60M,35.20M,-9.20M,160.60M,18.10M,-94.00M,110.70M,213.50M,,-60.70M,,-44.90M,,-0.80M,-106.40M,,221.80M,-60.00M,161.80M,,-75.00M,-75.00M,-40.80M,-40.80M,13.50M,-8.10M,51.40M,,153.30M,158.50M,0.00,311.80M,,,221.80M,-60.00M,-75.00M,37.50M,16.50M,,AOR,Restated
2019-06,150.40M,0.00,0.00,-0.60M,-0.60M,45.60M,33.70M,79.30M,79.30M,-3.30M,,18.40M,,1.40M,-8.10M,-8.50M,27.90M,-4.10M,-54.60M,-47.40M,200.30M,,-46.90M,,0.00,,-0.90M,-47.80M,,0.00,-100.00M,-100.00M,,-50.00M,-50.00M,-41.00M,-41.00M,20.70M,-9.50M,-179.80M,,179.50M,-27.30M,1.10M,153.30M,,,0.00,-100.00M,-50.00M,53.90M,45.30M,,AOR,Restated
2019-03,134.40M,0.00,0.00,,0.00,46.60M,33.20M,79.80M,79.80M,3.30M,,9.20M,,0.50M,-81.60M,-2.20M,-35.80M,-0.70M,258.00M,137.70M,366.10M,,-45.20M,,-69.10M,,-6.00M,-120.30M,,147.90M,-245.00M,-97.10M,,-75.00M,-75.00M,-40.90M,-40.90M,11.60M,-5.00M,-206.40M,,139.50M,39.40M,0.60M,179.50M,,,397.90M,-495.00M,-75.00M,7.50M,15.30M,,AOR,Restated
2018-12,146.20M,,0.10M,0.40M,0.50M,43.70M,32.30M,76.00M,76.00M,27.00M,,8.40M,,1.10M,-33.10M,-5.80M,20.30M,9.30M,-78.00M,-87.30M,173.40M,,-76.50M,,-85.40M,0.00,0.30M,-161.60M,,0.00,130.00M,130.00M,,-156.40M,-156.40M,0.00,0.00,12.60M,-7.50M,-21.30M,,147.60M,-9.50M,1.40M,139.50M,,,0.00,130.00M,-156.40M,21.50M,43.80M,,AOR,Restated
2018-09,166.00M,0.00,0.10M,-12.50M,-12.40M,39.60M,33.30M,72.90M,72.90M,-7.60M,,10.30M,,1.00M,18.50M,-2.40M,36.00M,0.40M,-57.20M,-4.70M,226.80M,,-55.20M,,0.00,121.30M,0.10M,66.20M,,0.00,-195.00M,-195.00M,,-102.80M,-102.80M,0.00,0.00,27.70M,-1.30M,-271.40M,,132.00M,21.60M,-6.00M,147.60M,,,0.00,-195.00M,-102.80M,23.70M,17.50M,,AOR,Restated
2018-06,153.50M,,0.10M,-0.10M,0.00,41.50M,32.00M,73.50M,73.50M,-0.50M,,11.00M,,1.10M,71.90M,-13.10M,4.80M,0.00,-96.30M,-32.70M,207.20M,,-56.10M,,-45.50M,0.10M,0.00,-101.50M,,0.00,0.00,0.00,,-143.20M,-143.20M,0.00,0.00,29.50M,-9.20M,-122.90M,,149.80M,-17.20M,-0.60M,132.00M,,,0.00,0.00,-143.20M,52.90M,44.60M,,AOR,Restated
