,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,702.70M,702.70M,240.00M,462.70M,96.40M,49.40M,41.50M,,35.30M,,-35.30M,,187.30M,275.40M,,35.30M,-35.30M,-0.10M,-35.30M,240.00M,54.20M,185.80M,,185.80M,185.88M,366.20M,90.90M,275.30M,,1.14,,,1.140,1.14,,1.12,,,1.120,1.12,,162.50M,165.73M,0.27,,AOR,
2020-06,678.80M,678.80M,235.80M,443.00M,96.40M,45.90M,41.00M,,34.20M,,-34.20M,,183.30M,259.70M,,34.20M,-34.20M,-0.70M,-34.20M,224.80M,45.80M,179.00M,,179.00M,179.56M,345.90M,86.90M,259.00M,,1.10,,,1.103,1.10,,1.08,,,1.083,1.08,,162.37M,165.10M,0.27,,AOR,
2020-03,689.80M,689.80M,257.70M,432.10M,112.10M,46.10M,41.00M,,33.50M,,-33.50M,-19.40M,179.80M,252.30M,,33.50M,-33.50M,-2.10M,-33.50M,216.70M,45.00M,171.70M,,171.70M,173.36M,337.30M,87.10M,250.20M,,1.05,,,1.060,1.05,,1.04,,,1.050,1.04,,162.89M,165.72M,0.27,,AOR,
2019-12,676.80M,676.80M,259.80M,417.00M,124.80M,47.70M,37.90M,,33.10M,,-33.10M,,216.60M,200.40M,,33.10M,-33.10M,4.80M,-33.10M,172.10M,39.90M,132.20M,,132.20M,133.28M,290.80M,85.60M,205.20M,,0.81,,,0.8166,0.81,,0.80,,,0.8065,0.80,,163.29M,166.22M,0.25,,AOR,
2019-09,652.70M,652.70M,242.90M,409.80M,255.00M,45.80M,33.30M,-6.20M,31.30M,,-31.30M,,334.10M,75.70M,,31.30M,-31.30M,-5.50M,-31.30M,38.90M,6.00M,32.90M,,32.90M,37.55M,149.30M,79.10M,70.20M,,0.20,,,0.2284,0.20,,0.20,,,0.2279,0.20,,163.58M,166.78M,0.25,,AOR,Restated
2019-06,652.60M,652.60M,242.70M,409.90M,112.30M,45.70M,33.60M,,30.50M,,-30.50M,,191.60M,218.30M,,30.50M,-30.50M,-0.50M,-30.50M,187.30M,36.90M,150.40M,,150.40M,150.80M,297.10M,79.30M,217.80M,,0.92,,,0.9225,0.92,,0.90,,,0.9024,0.90,,163.74M,166.70M,0.25,,AOR,Restated
2019-03,625.00M,625.00M,231.40M,393.60M,111.40M,46.60M,33.20M,,31.90M,,-31.90M,,191.20M,202.40M,,31.90M,-31.90M,-0.40M,-31.90M,170.10M,35.70M,134.40M,,134.40M,134.72M,281.80M,79.80M,202.00M,,0.82,,,0.8219,0.82,,0.81,,,0.8119,0.81,,163.53M,166.54M,0.25,,AOR,Restated
2018-12,613.90M,613.90M,224.00M,389.90M,97.70M,43.70M,32.30M,,32.60M,,-32.60M,,173.70M,216.20M,,32.60M,-32.60M,-4.00M,-32.60M,179.60M,33.40M,146.20M,,146.20M,149.46M,288.20M,76.00M,212.20M,,0.89,,,0.9098,0.89,,0.87,,,0.8895,0.87,,164.34M,167.35M,,,AOR,Restated
2018-09,598.70M,598.70M,219.20M,379.50M,95.70M,39.50M,33.20M,,32.40M,,-32.40M,,168.40M,211.10M,,32.40M,-32.40M,14.10M,-32.40M,192.80M,26.80M,166.00M,,166.00M,153.86M,297.90M,72.70M,225.20M,,1.01,,,0.9363,1.01,,0.99,,,0.9178,0.99,,164.83M,168.20M,,,AOR,Restated
2018-06,601.30M,601.30M,222.40M,378.90M,93.00M,41.60M,32.00M,,31.90M,,-31.90M,,166.60M,212.30M,,31.90M,-31.90M,4.60M,-31.90M,185.00M,31.50M,153.50M,,153.50M,149.68M,290.50M,73.60M,216.90M,,0.93,,,0.9069,0.93,,0.91,,,0.8874,0.91,,165.02M,168.65M,,,AOR,Restated
