,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,RestrictedCommonStock,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,221.80M,,221.80M,433.40M,,459.40M,82.30M,,,36.20M,799.70M,,,844.20M,,844.20M,,844.20M,3.925B,1.316B,5.241B,,9.50M,325.00M,6.420B,7.220B,,369.30M,9.60M,378.90M,,378.90M,0.00,449.70M,449.70M,49.90M,499.60M,531.70M,531.70M,12.70M,1.423B,2.689B,250.10M,2.939B,369.20M,369.20M,,,67.10M,3.375B,4.798B,,0.10M,4.630B,2.465B,4.133B,-540.90M,2.421B,,AOR,
2020-06,309.40M,,309.40M,454.50M,,454.50M,81.60M,,,33.20M,878.70M,,,802.40M,,802.40M,,802.40M,3.744B,1.264B,5.008B,,9.10M,309.30M,6.129B,7.008B,,322.40M,47.40M,369.80M,,369.80M,,449.60M,449.60M,41.30M,490.90M,617.50M,617.50M,12.10M,1.490B,2.689B,247.70M,2.936B,348.20M,348.20M,,,57.00M,3.342B,4.832B,,0.10M,4.489B,2.433B,4.088B,-657.20M,2.176B,,AOR,
2020-03,204.40M,,204.40M,523.30M,,523.30M,66.60M,,,19.70M,814.00M,,,757.90M,,757.90M,,757.90M,3.743B,1.307B,5.049B,,9.10M,297.90M,6.114B,6.928B,,315.60M,21.70M,337.30M,,337.30M,440.00M,,440.00M,42.70M,482.70M,668.40M,668.40M,109.50M,1.598B,2.649B,202.40M,2.851B,349.60M,349.60M,,,49.10M,3.250B,4.848B,,0.10M,4.353B,2.405B,4.019B,-658.70M,2.080B,,AOR,
2019-12,184.60M,,184.60M,372.70M,80.60M,467.50M,60.90M,,,17.80M,744.90M,0.00,1.176B,218.60M,103.90M,1.499B,-731.90M,766.70M,3.864B,1.399B,5.263B,,9.80M,270.60M,6.310B,7.055B,,80.00M,6.80M,86.80M,295.00M,381.80M,495.00M,,495.00M,45.00M,540.00M,440.10M,440.10M,129.90M,1.492B,2.648B,211.40M,2.860B,356.00M,356.00M,,,48.80M,3.303B,4.794B,,0.10M,4.228B,2.369B,3.850B,-486.90M,2.261B,,AOR,
2019-09,311.80M,,311.80M,405.50M,,428.80M,71.90M,,,18.50M,831.00M,,,808.60M,,808.60M,,808.60M,3.367B,1.141B,4.508B,,10.70M,130.60M,5.458B,6.289B,,362.80M,4.80M,367.60M,,367.60M,10.00M,,10.00M,54.30M,64.30M,460.40M,460.40M,81.30M,973.60M,2.648B,233.10M,2.881B,322.20M,322.20M,,,48.90M,3.252B,4.225B,,0.10M,4.137B,2.357B,3.752B,-678.40M,2.064B,,AOR,Restated
2019-06,153.30M,,153.30M,442.60M,,468.00M,62.40M,,,26.60M,710.30M,,,797.10M,,797.10M,,797.10M,3.401B,1.194B,4.595B,,11.10M,120.90M,5.524B,6.234B,,236.70M,4.20M,240.90M,,240.90M,70.00M,,70.00M,50.00M,120.00M,559.90M,559.90M,,920.80M,2.427B,241.10M,2.668B,351.00M,351.00M,,,83.70M,3.102B,4.023B,,0.10M,4.145B,2.337B,3.679B,-592.20M,2.211B,,AOR,Restated
2019-03,179.50M,,179.50M,438.60M,,444.60M,59.80M,,,51.00M,734.90M,,,797.30M,,797.30M,,797.30M,3.432B,1.249B,4.681B,,11.40M,116.80M,5.606B,6.341B,,236.30M,2.50M,238.80M,,238.80M,170.00M,,170.00M,47.50M,217.50M,602.10M,602.10M,,1.058B,2.426B,247.90M,2.674B,354.20M,354.20M,,,84.20M,3.112B,4.171B,,0.10M,4.036B,2.302B,3.635B,-532.30M,2.170B,,AOR,Restated
2018-12,139.50M,,139.50M,299.70M,62.40M,390.40M,63.90M,,,50.70M,644.50M,0.00,1.155B,,111.90M,1.266B,-710.60M,555.90M,3.362B,1.228B,4.589B,,11.10M,99.50M,5.256B,5.900B,,74.70M,5.20M,79.90M,176.20M,256.10M,415.00M,250.00M,665.00M,7.80M,672.80M,383.10M,383.10M,12.60M,1.325B,2.031B,19.50M,2.050B,350.60M,350.60M,,,104.00M,2.505B,3.830B,,0.10M,3.943B,2.283B,3.563B,-591.90M,2.071B,,AOR,Restated
2018-09,147.60M,4.00M,151.60M,324.20M,,336.10M,59.40M,,,46.60M,593.70M,,,,,,,518.50M,3.339B,1.255B,4.594B,,15.40M,130.10M,5.258B,5.851B,,243.70M,0.00,243.70M,,243.70M,285.00M,249.80M,534.80M,7.50M,542.30M,433.20M,433.20M,,1.219B,2.030B,14.80M,2.045B,341.60M,341.60M,,,104.20M,2.491B,3.710B,,0.10M,3.796B,2.265B,3.411B,-509.60M,2.141B,,AOR,Restated
2018-06,132.00M,3.80M,135.80M,347.80M,,370.20M,61.10M,,,58.00M,625.10M,,,,,,,501.90M,3.373B,1.290B,4.662B,,15.70M,234.70M,5.414B,6.040B,,216.40M,,216.40M,,216.40M,480.00M,249.70M,729.70M,7.20M,736.90M,513.00M,513.00M,,1.466B,2.029B,15.00M,2.044B,349.60M,349.60M,,,105.90M,2.500B,3.966B,,0.10M,3.630B,2.235B,3.318B,-474.20M,2.074B,,AOR,Restated
2018-03,149.80M,3.80M,153.60M,424.10M,,432.20M,52.60M,,,70.20M,708.60M,,,,,,,489.00M,3.454B,1.357B,4.811B,,16.60M,221.90M,5.538B,6.247B,,223.80M,6.80M,230.60M,,230.60M,480.00M,249.50M,729.50M,11.40M,740.90M,586.60M,586.60M,,1.558B,2.028B,12.80M,2.041B,356.50M,356.50M,,,106.90M,2.504B,4.063B,,0.10M,3.477B,2.202B,3.185B,-309.30M,2.184B,,AOR,Restated
2017-12,142.30M,,142.30M,291.40M,58.70M,374.30M,38.10M,,,42.90M,597.60M,0.00,979.90M,,83.10M,1.063B,-584.70M,478.30M,3.369B,1.345B,4.714B,,15.90M,214.50M,5.423B,6.020B,,68.90M,3.10M,72.00M,156.50M,228.50M,715.00M,,715.00M,9.40M,724.40M,384.70M,384.70M,,1.338B,2.277B,7.60M,2.284B,337.80M,337.80M,,,135.10M,2.757B,4.095B,,0.10M,3.308B,2.180B,3.150B,-412.30M,1.925B,,AOR,Restated
2017-09,142.00M,3.70M,145.70M,285.80M,,320.10M,42.40M,,,36.50M,544.70M,,,,,,,437.80M,3.189B,1.256B,4.445B,,16.90M,183.80M,5.084B,5.628B,,210.20M,,210.20M,,210.20M,595.00M,,595.00M,7.90M,602.90M,390.00M,390.00M,,1.203B,2.276B,3.10M,2.279B,384.10M,384.10M,,,89.60M,2.752B,3.956B,,0.10M,3.103B,2.166B,3.153B,-443.30M,1.673B,,AOR,Restated
