,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,378.71M,,,,,,,77.14M,27.14M,104.28M,104.28M,72.91M,,48.32M,2.753M,-735.72M,-545.46M,-3.121M,1.574B,,,,289.63M,,903.05M,,-65.41M,,,,,,-65.41M,,-431.25M,,-431.25M,,-56.18M,-56.18M,-91.10M,-91.10M,58.22M,-24.16M,-544.47M,,4.598B,293.17M,4.891B,,,31.39M,-462.64M,-56.18M,,AOR,
2020-09,-4.845B,,,,,,0.00,75.55M,23.51M,99.06M,99.06M,-1.538B,0.00,16.83M,-49.06M,-1.085B,-710.32M,-0.707M,3.272B,,,,7.628B,,1.299B,,-118.58M,,,-21.25M,,1.698M,-101.76M,,-21.05M,,-21.05M,,0.00,66.36M,-86.81M,-86.81M,21.78M,-0.274M,-19.99M,,3.420B,1.177B,4.598B,,,9.374M,-30.42M,0.00,,AOR,
2020-06,287.27M,0.00,,,,,22.18M,71.59M,27.19M,98.78M,98.78M,14.37M,0.00,11.82M,27.61M,1.719B,-758.47M,27.18M,-1.541B,,,,-553.19M,,-87.90M,,-106.72M,,,-4.25M,,0.662M,-110.31M,,-11.91M,,-11.91M,,-13.30M,-13.30M,-86.22M,-86.22M,60.99M,-23.02M,-73.46M,,3.692B,-271.67M,3.420B,,,572.70M,-584.61M,-13.30M,,AOR,
2020-03,971.11M,0.00,,,,,0.00,71.76M,29.06M,100.82M,100.82M,-50.92M,223.65M,14.39M,-4.935M,-2.437B,478.62M,0.217M,1.537B,,,,-421.18M,,852.90M,,-77.08M,,,-30.58M,,2.196M,-105.46M,,14.93M,,14.93M,,-272.02M,-272.02M,-87.45M,-87.45M,56.64M,-0.197M,-288.10M,,3.233B,459.33M,3.692B,,,65.23M,-50.30M,-272.02M,,AOR,
2019-12,186.57M,,,,,,,71.85M,37.50M,109.34M,109.34M,29.36M,138.00M,31.37M,30.76M,-308.68M,-630.98M,1.363M,553.52M,,,,-384.78M,,142.81M,,-67.30M,,,,,4.966M,-62.34M,,-13.98M,,-13.98M,,-135.13M,-135.13M,-83.09M,-83.09M,20.11M,-9.977M,-222.06M,,3.374B,-141.59M,3.233B,,,69.12M,-83.10M,-135.13M,,AOR,Restated
2019-09,132.31M,0.00,,,,,0.00,74.81M,38.58M,113.39M,113.39M,-16.14M,0.00,10.44M,45.61M,-572.50M,112.16M,1.888M,837.10M,,,,377.06M,,672.82M,,-79.46M,,,0.093M,,-0.732M,-78.80M,,-2.58M,,-2.58M,,-151.25M,-151.25M,-83.91M,-83.91M,21.37M,-3.019M,-219.39M,,3.000B,374.64M,3.374B,,,59.89M,-62.47M,-151.25M,,AOR,Restated
2019-06,302.00M,0.00,,,,,0.00,74.50M,37.80M,112.30M,112.30M,19.73M,0.00,10.56M,-9.906M,208.06M,140.04M,11.65M,-230.72M,,,,129.03M,,567.87M,,-69.28M,,,-11.65M,,-4.881M,-85.81M,,-114.48M,,-114.48M,,-174.82M,-174.82M,-84.64M,-84.64M,17.27M,-1.593M,-358.25M,,2.876B,123.81M,3.000B,,,106.93M,-221.41M,-174.82M,,AOR,Restated
2019-03,28.07M,-13.69M,,,,,-13.69M,85.79M,50.80M,136.60M,136.60M,-21.30M,570.00M,6.101M,-67.10M,-221.39M,478.58M,9.174M,-283.57M,,,,-17.21M,,624.36M,,-82.26M,,,0.00,,-1.354M,-83.61M,,-24.46M,,-24.46M,,-108.95M,-108.95M,-84.89M,-84.89M,15.19M,-2.048M,-205.16M,,2.540B,335.59M,2.876B,,,458.11M,-482.57M,-108.95M,,AOR,Restated
2018-12,391.75M,,,,,,,86.00M,49.24M,135.23M,135.23M,46.25M,0.00,31.77M,-14.35M,-658.89M,-898.78M,-26.61M,1.465B,,,,-119.69M,,478.97M,,-79.23M,,,-52.40M,,4.013M,-127.62M,,8.442M,,8.442M,,-239.01M,-239.01M,-85.54M,-85.54M,22.40M,-10.01M,-303.71M,,2.493B,47.64M,2.540B,,,522.13M,-513.69M,-239.01M,,AOR,Restated
2018-09,194.00M,0.00,,,0.00,,0.00,84.98M,42.48M,127.46M,127.46M,-48.16M,59.68M,8.712M,79.95M,454.43M,46.80M,17.34M,-272.82M,,,,232.53M,,665.34M,,-88.05M,,,-2.037M,,-3.253M,-85.24M,,-63.46M,,-63.46M,,-338.79M,-338.79M,-82.08M,-82.08M,10.95M,-3.13M,-476.52M,,2.389B,103.59M,2.493B,,,677.52M,-740.98M,-338.79M,,AOR,Restated
2018-06,277.88M,0.00,,,0.00,,0.00,91.32M,54.10M,145.42M,145.42M,51.07M,0.00,9.396M,-39.43M,-517.24M,753.44M,10.49M,125.25M,,,,371.93M,,823.28M,,-79.54M,,,-6.177M,,-4.73M,-90.45M,,-121.56M,,-121.56M,,-240.24M,-240.24M,-83.43M,-83.43M,12.27M,-2.307M,-435.27M,,2.091B,297.57M,2.389B,,,99.18M,-220.75M,-240.24M,,AOR,Restated
2018-03,282.16M,0.00,,,42.33M,,42.33M,72.71M,52.80M,125.51M,125.51M,42.04M,30.00M,11.60M,7.518M,-682.01M,-345.04M,-81.08M,477.55M,,,,-630.58M,,-87.57M,,-95.18M,,,-706.76M,,8.831M,-793.10M,,-23.47M,,-23.47M,,-37.71M,-37.71M,-83.98M,-83.98M,85.66M,-6.224M,-65.72M,,3.038B,-946.39M,2.091B,,,21.85B,-21.88B,-37.71M,,AOR,Restated
2017-12,861.85M,,,,,,23.77M,69.48M,42.25M,111.72M,111.72M,-840.48M,,32.61M,0.211M,91.62M,-460.13M,-8.518M,201.05M,,,,-175.97M,,10.33M,,-73.64M,,,-70.33M,,1.648M,-142.32M,,844.19M,,844.19M,,-22.50M,-22.50M,-83.56M,-83.56M,29.57M,-33.09M,734.63M,,2.435B,602.63M,3.038B,,,3.814B,-2.969B,-22.50M,,AOR,Restated
2017-09,-344.59M,,,,0.00,,0.00,69.56M,42.52M,112.07M,112.07M,93.12M,0.00,10.61M,-66.35M,141.20M,398.45M,9.802M,1.026B,,,,1.575B,,1.380B,,-94.97M,,,0.732M,4.77M,-2.008M,-91.48M,,7.699M,,7.699M,,-100.00M,-100.00M,-80.10M,-80.10M,8.598M,-1.525M,-165.33M,,1.311B,1.124B,2.435B,,,2.552B,-2.545B,-100.00M,,AOR,Restated
2017-06,50.35M,,,,,,,65.68M,42.20M,107.88M,107.88M,66.55M,,10.34M,-18.68M,-1.001B,-273.85M,-2.747M,813.57M,,,,-464.41M,,-244.70M,,-108.73M,,,-59.23M,33.88M,-3.014M,-137.09M,,-662.37M,,-662.37M,,0.00,0.00,-80.08M,-80.08M,32.94M,-1.672M,-711.17M,,2.404B,-1.093B,1.311B,,,73.08M,-735.45M,0.00,,AOR,Restated
